"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Groningen"
"Nummer";;"HSB1"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Groningen";"Stadskanaal";"Veendam";"Pekela";"Oldambt";"Westerwolde";"Midden-Groningen";"Het Hogeland";"Westerkwartier";"Eemsdelta"
;;"33";"van Haasen, J.P.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"40";"18";"1";"4";"0";"3";"0";"5";"4";"4";"1"
;;"35";"Valize, J.J.T.M.";"3";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
;;"36";"Heutink, H.D.";"4";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0"
;;"37";"Pool, J.";"5";"2";"1";"0";"0";"0";"0";"0";"0";"1";"1"
;;"38";"Faddegon, C.J.";"3";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
;;"39";"Uppelschoten, N.A.";"47";"13";"0";"5";"0";"1";"0";"10";"7";"8";"3"
;;"40";"Rep, R.J.H.H.";"233";"6";"69";"10";"3";"7";"91";"13";"12";"11";"11"
;;"41";"Thiadens, F.M.";"39";"4";"1";"3";"1";"0";"0";"3";"4";"23";"0"
;;"42";"Raijer, A.J.";"11";"1";"1";"2";"0";"1";"0";"3";"1";"1";"1"
;;"43";"van Bijnen, H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"5";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1"
;;"45";"van Strien, G.A.";"27";"7";"4";"0";"0";"2";"5";"3";"1";"2";"3"
"5";"CDA";;;"10792";"3012";"912";"367";"176";"511";"424";"730";"1517";"2195";"948"
;;"1";"Bontenbal, H.";"8331";"2156";"749";"286";"138";"405";"344";"571";"1196";"1722";"764"
;;"2";"Vedder, E.C.";"1055";"349";"76";"35";"14";"54";"51";"71";"137";"185";"83"
;;"3";"Boswijk, D.G.";"65";"21";"8";"4";"0";"3";"1";"4";"9";"10";"5"
;;"4";"van Dijk, I.";"85";"38";"4";"1";"2";"7";"3";"8";"7";"7";"8"
;;"5";"Krul, H.M.";"32";"20";"1";"0";"0";"1";"0";"2";"2";"2";"4"
;;"6";"Palland-Mulder, H.M.";"55";"25";"2";"4";"0";"2";"1";"3";"2";"13";"3"
;;"7";"van den Brink, G.";"5";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1"
;;"8";"Absil, M.G.J.A.C.";"14";"8";"2";"0";"0";"0";"0";"0";"1";"2";"1"
;;"9";"Steen, H.S.";"22";"11";"3";"1";"0";"2";"0";"3";"1";"1";"0"
;;"10";"Kuik, A.";"295";"101";"24";"9";"9";"3";"8";"21";"42";"53";"25"
;;"11";"Spoelstra, J.";"141";"20";"1";"2";"0";"2";"0";"2";"8";"102";"4"
;;"12";"Slootweg, E.J.";"8";"4";"1";"0";"0";"0";"0";"1";"1";"0";"1"
;;"13";"Chaoui-Nhass, S.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"7";"3";"2";"0";"0";"0";"0";"1";"0";"1";"0"
;;"15";"Diederen, R.";"4";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0"
;;"16";"Hamstra, S.";"10";"4";"0";"0";"0";"1";"1";"1";"1";"0";"2"
;;"17";"Houmes, E.S.";"7";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"van den Berg, J.H.C.";"11";"4";"0";"0";"0";"1";"1";"3";"1";"1";"0"
;;"19";"de Haan, J.D.P.";"454";"171";"27";"20";"12";"20";"10";"25";"63";"78";"28"
;;"20";"Vermeer, J.";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"21";"van der Heide, E.J.";"5";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"22";"Goos, J.C.M.";"4";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0"
;;"23";"Boogaard, P.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"24";"Goudzwaard-Wiersma, W.";"18";"11";"0";"1";"0";"2";"0";"0";"0";"3";"1"
;;"25";"Segers-Hoogendoorn, R.G.C.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"5";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"27";"Goudriaan, L.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"van der Spek, A.M.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"30";"Out, F.M.S.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"31";"Silos, J.J.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"32";"Tuncer, Y.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"van den Oever, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"4";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"36";"Beers, A.M.A.G.";"6";"4";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"37";"van Luik, D.A.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"5";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0"
;;"39";"Luijten, S.C.A.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"40";"Dost, H.J.";"84";"13";"1";"1";"1";"3";"2";"7";"34";"8";"14"
;;"41";"Buijs, T.S.F.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"20";"15";"1";"0";"0";"1";"0";"1";"1";"1";"0"
;;"43";"Bracke, D.G.A.J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"45";"Meppelink, E.M.";"6";"2";"2";"1";"0";"1";"0";"0";"0";"0";"0"
;;"46";"van Dijk, Q.A.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"5";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"6";"SP (Socialistische Partij)";;;"16564";"6350";"800";"779";"411";"1313";"634";"1839";"1465";"1248";"1725"
;;"1";"Marijnissen, L.M.C.";"8991";"3291";"577";"467";"244";"755";"442";"989";"751";"739";"736"
;;"2";"Beckerman, S.M.";"5735";"1964";"160";"255";"133";"463";"145";"727";"606";"391";"891"
;;"3";"van Kent, B.";"46";"21";"5";"2";"0";"1";"2";"3";"0";"9";"3"
;;"4";"Dijk, J.P.";"993";"640";"31";"31";"19";"46";"15";"52";"69";"51";"39"
;;"5";"van Nispen, M.";"20";"11";"0";"0";"0";"3";"4";"0";"0";"2";"0"
;;"6";"Dobbe, S.E.M.";"106";"67";"3";"1";"1";"5";"2";"9";"5";"7";"6"
;;"7";"Temmink, N.G.J.";"103";"69";"3";"1";"2";"5";"3";"3";"4";"8";"5"
;;"8";"ten Broeke, M.J.";"9";"8";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"9";"van Dijk, J.J.";"54";"36";"3";"2";"1";"1";"1";"3";"0";"4";"3"
;;"10";"Meijer, B.W.V.";"9";"3";"0";"1";"0";"0";"0";"0";"1";"3";"1"
;;"11";"Elfrink, G.E.";"5";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2"
;;"12";"Wolters Gregório, J.";"5";"2";"0";"1";"0";"1";"1";"0";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"5";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1"
;;"14";"Alberts, R.";"18";"10";"1";"1";"1";"1";"0";"0";"1";"2";"1"
;;"15";"van der Nat, H.F.A.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"16";"Memiş, M.";"13";"5";"1";"0";"1";"0";"0";"3";"0";"2";"1"
;;"17";"van Dijk, D.";"18";"11";"0";"0";"1";"2";"0";"1";"0";"2";"1"
;;"18";"de Ridder, N.";"19";"13";"0";"0";"0";"1";"1";"3";"0";"1";"0"
;;"19";"Yahyaoui, J.";"37";"25";"0";"3";"0";"2";"0";"4";"2";"1";"0"
;;"20";"van Boven, A.W.";"4";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1"
;;"21";"Coppus, T.H.C.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"5";"2";"0";"1";"1";"0";"0";"1";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"6";"3";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"24";"Coşkun, T.S.J.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"25";"van den Hout, S.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"77";"31";"2";"1";"2";"2";"0";"8";"8";"5";"18"
;;"27";"Verdaasdonk, I.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van Rossum, L.";"9";"5";"0";"1";"0";"1";"1";"0";"0";"1";"0"
;;"29";"Rongen, K.S.";"4";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"31";"Cramer, A.";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"32";"van Scheltinga, E.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"34";"Kuin, R.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"4";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0"
;;"37";"Zandvliet, S.K.D.S.";"3";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
;;"38";"Spanner, A.M.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"39";"Boer, M.I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Ramesar, J.S.";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"41";"ten Heuw, M.A.";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"43";"Schelvis, A.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"44";"de Man, W.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"de Vries, E.";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"47";"Eikenaar, E.";"29";"14";"1";"5";"1";"0";"0";"3";"1";"4";"0"
;;"48";"Clemens, J.M.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"50";"Leijten, R.M.";"199";"95";"8";"6";"2";"19";"14";"21";"13";"12";"9"
"7";"Forum voor Democratie";;;"8359";"2866";"564";"499";"196";"743";"499";"886";"648";"827";"631"
;;"1";"Baudet, T.H.P.";"5833";"2019";"393";"358";"126";"525";"339";"632";"438";"551";"452"
;;"2";"Jansen, F.J.H.";"144";"67";"8";"8";"1";"15";"9";"9";"10";"12";"5"
;;"3";"van Meijeren, G.F.C.";"1588";"458";"120";"92";"52";"142";"112";"170";"144";"180";"118"
;;"4";"van Houwelingen, P.";"230";"84";"16";"12";"7";"17";"19";"18";"21";"17";"19"
;;"5";"Dekker, R.J.";"159";"81";"11";"9";"2";"12";"7";"12";"4";"13";"8"
;;"6";"de Vos, L.G.";"84";"36";"2";"5";"2";"4";"2";"8";"11";"11";"3"
;;"7";"Russcher, T.K.";"4";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1"
;;"8";"Etalle, M.J.S.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"9";"Bakir, A.";"13";"7";"0";"0";"0";"0";"0";"2";"0";"4";"0"
;;"10";"Dessing, J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"11";"Vastenhouw, J.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"12";"Al Biyati, I.";"8";"5";"0";"1";"1";"0";"0";"1";"0";"0";"0"
;;"13";"de Knegt, R.E.R.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"14";"Verstegen, P.J.T.";"8";"5";"0";"0";"0";"1";"0";"0";"0";"1";"1"
;;"15";"van Schijndel, A.H.J.W.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"4";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"18";"Koopman, P.";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1"
;;"19";"van Asch, R.W.G.T.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Epema, J.L.";"106";"36";"4";"7";"3";"11";"3";"13";"7";"12";"10"
;;"22";"Winkelaar, K.P.G.H.";"39";"15";"3";"3";"0";"2";"2";"8";"1";"4";"1"
;;"23";"Feenstra, N.";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"24";"Krijgsman, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Jellema, H.J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"26";"Baas, T.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0"
;;"27";"de Lange, A.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"29";"Wittebrood, J.C.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"33";"Heller, T.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"9";"5";"0";"1";"0";"1";"0";"1";"0";"1";"0"
;;"35";"Vos, A.V.B.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"38";"van der Voort, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"41";"van Rij, S.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"44";"Schaap, D.V.";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"45";"de Graaff, M.J.R.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"59";"17";"2";"2";"1";"5";"2";"4";"10";"11";"5"
;;"47";"van den Oetelaar, J.C.M.";"4";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"48";"Kerseboom, S.";"9";"2";"1";"0";"0";"2";"1";"0";"0";"2";"1"
;;"49";"Cliteur, P.B.";"12";"5";"0";"0";"0";"2";"1";"2";"0";"0";"2"
"8";"Partij voor de Dieren";;;"9828";"6077";"201";"212";"89";"419";"385";"563";"740";"699";"443"
;;"1";"Ouwehand, E.";"5989";"3427";"142";"129";"56";"304";"293";"364";"497";"463";"314"
;;"2";"Kostić, I.";"547";"400";"8";"8";"8";"10";"5";"26";"36";"31";"15"
;;"3";"Teunissen, C.";"248";"155";"7";"4";"3";"9";"7";"14";"14";"22";"13"
;;"4";"Wassenberg, F.P.";"93";"57";"1";"3";"0";"6";"6";"1";"8";"5";"6"
;;"5";"Akerboom, E.S.";"237";"171";"1";"4";"1";"7";"2";"8";"15";"19";"9"
;;"6";"van Raan, L.";"51";"37";"0";"1";"0";"1";"2";"2";"3";"5";"0"
;;"7";"van Schaik, M.";"148";"132";"0";"2";"1";"0";"2";"5";"2";"2";"2"
;;"8";"Krijger, A.L.";"262";"216";"0";"3";"1";"6";"1";"7";"13";"7";"8"
;;"9";"Plusquin, P.S.M.L.";"19";"14";"2";"0";"0";"0";"0";"0";"0";"2";"1"
;;"10";"Groenewege, P.J.L.";"9";"6";"0";"0";"0";"0";"0";"0";"0";"1";"2"
;;"11";"van Heuven, M.";"8";"4";"1";"0";"0";"0";"0";"1";"0";"2";"0"
;;"12";"van Hassel, F.";"17";"12";"1";"0";"0";"0";"1";"0";"2";"0";"1"
;;"13";"Bunnik, R.J.";"49";"36";"2";"1";"0";"1";"1";"3";"1";"4";"0"
;;"14";"Schmeets, H.H.J.";"10";"7";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"15";"Pınar, K.";"20";"16";"0";"0";"0";"0";"2";"1";"1";"0";"0"
;;"16";"Jones, M.G.";"17";"9";"1";"0";"0";"0";"0";"2";"2";"3";"0"
;;"17";"Bosma, J.";"1645";"1085";"23";"40";"11";"52";"46";"105";"117";"108";"58"
;;"18";"Barker, R.N.";"7";"4";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"19";"van Wijlandt, K.";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"5";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"21";"Hollebeek, J.P.";"4";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0"
;;"22";"Dicke, I.M.";"11";"7";"0";"0";"0";"1";"1";"0";"0";"1";"1"
;;"23";"Salemans, B.R.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Bersch, F.";"4";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"25";"de Gram, F.";"4";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0"
;;"26";"Krediet, L.";"15";"11";"0";"1";"0";"0";"0";"0";"1";"1";"1"
;;"27";"de Vos, D.J.C.";"12";"7";"1";"0";"0";"1";"1";"1";"0";"0";"1"
;;"28";"van der Velde, M.C.";"5";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0"
;;"29";"van Viegen, A.H.K.";"5";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"30";"Gerritsen, L.";"13";"8";"0";"2";"0";"0";"0";"0";"1";"2";"0"
;;"31";"Veenstra, M.";"6";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Vlasveld, A.I.";"4";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Janssens, T.A.O.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"34";"Coşkun, Z.P.";"8";"6";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"35";"van der Pluijm, L.C.";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"30";"17";"0";"2";"3";"1";"0";"2";"1";"4";"0"
;;"37";"Pallandt, C.M.J.";"11";"7";"0";"1";"0";"0";"1";"0";"0";"2";"0"
;;"38";"Pechler, W.I.";"199";"125";"5";"4";"0";"11";"7";"13";"19";"8";"7"
;;"39";"van Lierop, J.";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Spruit, V.";"4";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"41";"Kuijer, B.";"3";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"29";"25";"0";"0";"0";"1";"0";"2";"1";"0";"0"
;;"43";"Oudshoorn, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"5";"1";"0";"2";"0";"1";"0";"0";"0";"0";"1"
;;"45";"Samshuijzen, E.";"4";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"46";"Brouwer, M.";"9";"6";"0";"0";"0";"0";"0";"1";"1";"1";"0"
;;"47";"Onderdelinden, S.E.";"7";"4";"0";"0";"0";"0";"1";"1";"0";"0";"1"
;;"48";"Rozema, J.G.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"6";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Minnaert, X.D.E.";"30";"19";"3";"1";"1";"1";"2";"0";"2";"1";"0"
"9";"ChristenUnie";;;"12373";"3787";"1068";"284";"94";"441";"229";"1193";"1852";"2575";"850"
;;"1";"Bikker, M.H.";"6902";"1868";"666";"163";"58";"278";"150";"597";"1111";"1569";"442"
;;"2";"Grinwis, P.A.";"96";"30";"6";"2";"1";"1";"5";"13";"5";"29";"4"
;;"3";"Ceder, D.G.M.";"222";"96";"10";"1";"3";"11";"2";"22";"19";"40";"18"
;;"4";"te Rietstap, A.H.";"71";"33";"10";"0";"0";"0";"0";"2";"5";"18";"3"
;;"5";"Gooijer-Medema, J.K.";"106";"57";"9";"0";"0";"3";"0";"12";"9";"15";"1"
;;"6";"Drost, N.";"55";"19";"5";"1";"0";"1";"1";"2";"8";"15";"3"
;;"7";"Holtman, T.S.";"40";"33";"2";"1";"0";"1";"0";"0";"1";"1";"1"
;;"8";"Otter-van den Bosch, C.";"47";"7";"0";"0";"0";"0";"0";"1";"20";"18";"1"
;;"9";"van der Graaf, S.J.F.";"4295";"1435";"333";"106";"25";"128";"58";"499";"601";"778";"332"
;;"10";"Klein, M.C.A.";"11";"8";"0";"0";"0";"0";"0";"1";"0";"0";"2"
;;"11";"Niesink, C.C.M.";"61";"14";"1";"0";"1";"1";"0";"8";"10";"9";"17"
;;"12";"Setz, J.N.";"36";"19";"4";"0";"2";"0";"1";"0";"3";"3";"4"
;;"13";"van der Krift, H.J.C.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Langen, A.L.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"15";"Koppejan, E.J.A.";"4";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1"
;;"16";"van Wageningen, E.";"16";"8";"0";"0";"0";"0";"1";"0";"5";"2";"0"
;;"17";"Tijhof, B.D.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"de Reus, W.T.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"18";"15";"0";"0";"0";"0";"0";"0";"0";"3";"0"
;;"20";"Treurniet, M.";"94";"40";"6";"0";"1";"3";"1";"4";"11";"24";"4"
;;"21";"Palland, A.S.";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0"
;;"22";"Westerbeek, A.E.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"23";"Muilwijk, I.";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Westerink-Petersen, J.";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"26";"van den Berg, G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"27";"Broekmaat-Hagens, A.W.";"3";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"28";"de Haan, M.E.";"5";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"29";"Koerts, A.J.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"4";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Verweij, J.P.";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"33";"Kumar, A.D.J.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"7";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"35";"Visser, J.A.";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"76";"32";"3";"0";"1";"0";"0";"9";"15";"10";"6"
;;"38";"van der Zande, J.M.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Grandia, G.C.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"41";"Cornelissen, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"8";"2";"0";"0";"0";"0";"0";"0";"1";"3";"2"
;;"46";"Bosman, F.G.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"47";"Hoogenboom, E.";"11";"3";"0";"1";"0";"1";"1";"1";"2";"1";"1"
;;"48";"Stoorvogel, H.";"70";"13";"8";"7";"1";"4";"4";"7";"7";"14";"5"
;;"49";"van den Berg, R.C.";"8";"0";"1";"1";"0";"0";"0";"4";"2";"0";"0"
;;"50";"de Graaf, B.A.";"57";"16";"1";"0";"1";"4";"2";"8";"10";"14";"1"
"10";"Volt";;;"7082";"5636";"80";"83";"15";"103";"91";"250";"260";"405";"159"
;;"1";"Dassen, L.A.J.M.";"3098";"2336";"44";"36";"8";"65";"55";"120";"147";"206";"81"
;;"2";"Koekkoek, M.";"1444";"1204";"16";"17";"1";"14";"13";"42";"46";"66";"25"
