"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Groningen"
"Nummer";;"HSB1"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Groningen";"Stadskanaal";"Veendam";"Pekela";"Oldambt";"Westerwolde";"Midden-Groningen";"Het Hogeland";"Westerkwartier";"Eemsdelta"
;;"42";"Volkman, Y.";"7";"3";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"43";"van Kessel, P.W.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Rahimi, H.";"18";"14";"0";"0";"0";"0";"0";"3";"1";"0";"0"
;;"45";"Omlo, B.F.";"4";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"46";"Yizhak Cooremans, R.A.T.";"7";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"17";"3";"0";"0";"0";"2";"2";"6";"1";"0";"3"
;;"48";"de Wit, B.G.P.";"8";"6";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"49";"van Meerten-Kok, M.A.";"7";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1"
;;"50";"Hoogezand, B.";"11";"2";"0";"0";"0";"1";"0";"7";"0";"1";"0"
;;"51";"Achterbergh, M.";"11";"6";"0";"1";"0";"0";"0";"0";"3";"1";"0"
;;"52";"Wendel, H.";"759";"472";"16";"23";"1";"40";"9";"37";"43";"83";"35"
;;"53";"Kohli, N.R.";"16";"13";"0";"0";"0";"0";"0";"1";"0";"2";"0"
;;"54";"Klerks, I.C.";"4";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"13";"11";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"56";"Elkerbout, A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"57";"van Rijn, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"153";"17";"2";"6";"1";"2";"1";"103";"3";"5";"13"
;;"62";"van Os, J.L.P.";"4";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"63";"van der Klauw, R.A.";"5";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0"
;;"64";"Rahmani, A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"6";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0"
;;"66";"van Berlo, J.T.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Talens, A.E.";"17";"6";"6";"3";"0";"0";"0";"0";"0";"2";"0"
;;"68";"Bruin, R.N.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"69";"van 't Hull-Bettink, G.D.W.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"72";"van Noort-Cnossen, M.G.";"3";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"73";"Van der Sanden, M.M.E.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"74";"Rodoe, H.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"76";"de Wolff, I.";"4";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0"
;;"77";"de Boer, Y.";"10";"6";"0";"1";"0";"0";"0";"1";"1";"1";"0"
;;"78";"Yildirim, M.";"6";"3";"0";"0";"0";"1";"0";"1";"0";"1";"0"
;;"79";"Mulder, H.";"8";"3";"1";"1";"1";"1";"0";"0";"1";"0";"0"
;;"80";"van der Weijden, M.";"49";"22";"3";"4";"1";"6";"0";"3";"4";"3";"3"
"2";"D66";;;"20898";"13261";"435";"612";"128";"716";"415";"1412";"1236";"1811";"872"
;;"1";"Jetten, R.A.A.";"11083";"6727";"290";"323";"92";"411";"281";"748";"701";"1032";"478"
;;"2";"Paternotte, J.M.";"430";"279";"8";"8";"1";"14";"8";"31";"21";"44";"16"
;;"3";"Vijlbrief, J.A.";"1236";"567";"19";"64";"5";"61";"22";"150";"121";"91";"136"
;;"4";"Podt, A.";"1518";"1131";"21";"24";"4";"35";"11";"77";"78";"106";"31"
;;"5";"Sneller, J.C.";"48";"33";"0";"0";"0";"2";"2";"2";"2";"1";"6"
;;"6";"Rooderkerk, I.";"258";"194";"1";"6";"1";"1";"3";"10";"13";"24";"5"
;;"7";"Paulusma, W.";"4234";"2748";"73";"141";"18";"149";"61";"293";"216";"380";"155"
;;"8";"van der Werf, J.J.";"203";"166";"0";"2";"1";"4";"2";"5";"7";"11";"5"
;;"9";"Bamenga, P.";"48";"34";"0";"1";"0";"0";"0";"5";"4";"4";"0"
;;"10";"de Groot, T.C.";"147";"94";"2";"4";"0";"6";"3";"11";"7";"19";"1"
;;"11";"Synhaeve, M.";"248";"220";"2";"5";"0";"1";"1";"2";"4";"12";"1"
;;"12";"van Ginneken, L.M.";"232";"186";"4";"7";"0";"5";"2";"10";"5";"10";"3"
;;"13";"Belhaj, S.";"68";"64";"0";"0";"0";"0";"0";"0";"1";"2";"1"
;;"14";"Boulakjar, F.";"15";"13";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"15";"Sahla, F.";"35";"29";"0";"2";"0";"0";"0";"1";"2";"1";"0"
;;"16";"Klos, F.C.O.";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kat, H.";"53";"47";"1";"1";"0";"0";"0";"1";"1";"1";"1"
;;"18";"Warmerdam, S.";"4";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"Alberg, S.T.";"24";"16";"0";"0";"0";"0";"0";"3";"2";"2";"1"
;;"20";"Hammelburg, A.R.";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Hollander, J.";"98";"82";"0";"2";"0";"1";"2";"2";"2";"6";"1"
;;"22";"ten Dolle, L.";"48";"41";"0";"0";"0";"0";"0";"2";"2";"3";"0"
;;"23";"Blommers, D.";"18";"13";"0";"3";"0";"0";"0";"1";"0";"1";"0"
;;"24";"van Breugel, C.";"88";"69";"0";"0";"0";"3";"0";"3";"3";"7";"3"
;;"25";"Teunissen, J.C.M.";"9";"6";"0";"0";"0";"0";"1";"0";"0";"1";"1"
;;"26";"Çimen, M.";"11";"10";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"27";"Oualhadj, A.";"11";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Putuhena, M.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Keij, E.J.";"8";"2";"0";"0";"0";"0";"1";"1";"1";"1";"2"
;;"30";"Brink, V.J.";"28";"26";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"31";"van Dorst, P.A.";"7";"5";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"32";"Wijnja, G.H.";"5";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"33";"de Vries, M.M.";"13";"11";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"34";"Schoonbeek, F.";"6";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"35";"Mathlouti, M.";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"36";"Ruttenberg, W.C.J.";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"37";"Koops, J.H.";"22";"10";"0";"1";"1";"1";"5";"2";"1";"0";"1"
;;"38";"Hagen, K.B.";"32";"21";"1";"0";"0";"1";"0";"2";"2";"2";"3"
;;"39";"Hiemstra, G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"5";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Tjeerdema, H.";"23";"14";"0";"0";"0";"0";"1";"0";"3";"5";"0"
;;"42";"Woudstra, E.";"5";"2";"0";"0";"0";"1";"0";"0";"1";"1";"0"
;;"43";"Olsthoorn, A.";"3";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"44";"van Peski, C.J.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"7";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"47";"van Driel, M.";"8";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"48";"Ruijs, L.J.M.";"6";"3";"0";"0";"0";"0";"0";"2";"0";"1";"0"
;;"49";"van der Gaag, P.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"52";"van de Vijver, V.F.";"6";"3";"0";"1";"0";"0";"0";"0";"0";"0";"2"
;;"53";"Vemer, P.";"19";"9";"1";"0";"0";"1";"0";"3";"2";"3";"0"
;;"54";"Wallast, R.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"7";"4";"0";"0";"0";"1";"0";"2";"0";"0";"0"
;;"56";"Wesseling, A.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"57";"Maessen, R.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"5";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0"
;;"63";"Chaban, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"64";"Louhenapessij, A.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"13";"10";"0";"0";"0";"0";"0";"1";"0";"2";"0"
;;"66";"van Essen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"218";"144";"5";"9";"2";"13";"3";"14";"9";"13";"6"
;;"72";"Weerwind, F.M.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
;;"73";"van Huffelen, A.C.";"5";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0"
;;"74";"Kuipers, E.J.";"10";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"75";"Ollongren, K.H.";"19";"12";"0";"0";"0";"1";"3";"2";"0";"1";"0"
;;"76";"Dijkgraaf, R.H.";"59";"36";"3";"0";"0";"1";"2";"9";"1";"7";"0"
;;"77";"Uslu, G.";"10";"5";"0";"0";"0";"0";"0";"0";"2";"2";"1"
;;"78";"Pechtold, A.";"20";"11";"2";"2";"0";"0";"0";"1";"1";"1";"2"
;;"79";"Terlouw, J.C.";"25";"19";"0";"1";"0";"1";"0";"2";"1";"1";"0"
;;"80";"Kaag, S.A.M.";"92";"59";"0";"4";"3";"0";"1";"7";"10";"6";"2"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"73773";"44704";"1639";"2111";"676";"2996";"1706";"5051";"5448";"5977";"3465"
;;"1";"Timmermans, F.C.G.M.";"30702";"15722";"971";"1177";"411";"1765";"953";"2629";"2579";"2669";"1826"
;;"2";"Lahlah, A.";"7177";"5083";"83";"121";"32";"178";"121";"327";"460";"541";"231"
;;"3";"Klaver, J.F.";"5453";"3183";"126";"141";"52";"213";"135";"396";"437";"523";"247"
;;"4";"Piri, K.P.";"1409";"947";"15";"28";"7";"32";"32";"62";"99";"133";"54"
;;"5";"Westerveld, E.M.";"4923";"3559";"83";"89";"21";"102";"89";"199";"289";"378";"114"
;;"6";"Patijn, M.H.";"296";"198";"6";"3";"1";"8";"6";"15";"27";"19";"13"
;;"7";"Kröger, S.C.";"627";"485";"8";"10";"7";"11";"6";"18";"35";"40";"7"
;;"8";"Bushoff, T.J.";"9157";"4868";"217";"349";"94";"424";"234";"769";"828";"791";"583"
;;"9";"van der Lee, T.M.T.";"262";"127";"3";"3";"3";"9";"6";"22";"38";"16";"35"
;;"10";"Mutluer, S.";"138";"94";"1";"19";"1";"1";"4";"4";"4";"4";"6"
;;"11";"Bromet, L.";"716";"512";"4";"6";"3";"14";"7";"41";"53";"64";"12"
;;"12";"de Hoop, H.E.";"768";"579";"4";"5";"2";"17";"10";"16";"39";"85";"11"
;;"13";"Maatoug, S.";"227";"195";"1";"6";"2";"5";"0";"4";"8";"4";"2"
;;"14";"Mohandis, M.";"43";"27";"0";"2";"1";"1";"0";"5";"4";"1";"2"
;;"15";"Gabriëls, G.J.W.";"43";"30";"1";"1";"0";"1";"0";"4";"2";"2";"2"
