"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Gravenhage"
"Nummer";;"HSB12"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"'s-Gravenhage"
;;"31";"van Dorst, P.A.";"13";"13"
;;"32";"Wijnja, G.H.";"5";"5"
;;"33";"de Vries, M.M.";"27";"27"
;;"34";"Schoonbeek, F.";"4";"4"
;;"35";"Mathlouti, M.";"10";"10"
;;"36";"Ruttenberg, W.C.J.";"11";"11"
;;"37";"Koops, J.H.";"3";"3"
;;"38";"Hagen, K.B.";"89";"89"
;;"39";"Hiemstra, G.J.";"4";"4"
;;"40";"Keijmel - den Boer, J.M.I.";"7";"7"
;;"41";"Tjeerdema, H.";"3";"3"
;;"42";"Woudstra, E.";"16";"16"
;;"43";"Olsthoorn, A.";"23";"23"
;;"44";"van Peski, C.J.";"5";"5"
;;"45";"van Hattum, B.";"3";"3"
;;"46";"Dekker-Abdulaziz, H.";"16";"16"
;;"47";"van Driel, M.";"0";"0"
;;"48";"Ruijs, L.J.M.";"2";"2"
;;"49";"van der Gaag, P.J.";"1";"1"
;;"50";"Bosters, E.L.";"0";"0"
;;"51";"Hoevers, J.";"1";"1"
;;"52";"van de Vijver, V.F.";"5";"5"
;;"53";"Vemer, P.";"9";"9"
;;"54";"Wallast, R.D.";"1";"1"
;;"55";"André, E.S.";"4";"4"
;;"56";"Wesseling, A.";"5";"5"
;;"57";"Maessen, R.J.M.";"1";"1"
;;"58";"Schoonen, M.";"2";"2"
;;"59";"Pi Van de Venne, P.R.";"1";"1"
;;"60";"Jenneskens, M.T.P.";"1";"1"
;;"61";"Janssen, S.L.J.";"3";"3"
;;"62";"de Vries, L.";"6";"6"
;;"63";"Chaban, S.";"1";"1"
;;"64";"Louhenapessij, A.F.";"3";"3"
;;"65";"Nooitmeer, L.I.";"7";"7"
;;"66";"van Essen, J.";"4";"4"
;;"67";"Nunnely, J.M.";"3";"3"
;;"68";"Türkkol, N.";"5";"5"
;;"69";"van der Voort, P.H.J.";"1";"1"
;;"70";"Hendrickx, M.T.M.";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"5";"5"
;;"72";"Weerwind, F.M.";"7";"7"
;;"73";"van Huffelen, A.C.";"16";"16"
;;"74";"Kuipers, E.J.";"14";"14"
;;"75";"Ollongren, K.H.";"30";"30"
;;"76";"Dijkgraaf, R.H.";"100";"100"
;;"77";"Uslu, G.";"34";"34"
;;"78";"Pechtold, A.";"36";"36"
;;"79";"Terlouw, J.C.";"28";"28"
;;"80";"Kaag, S.A.M.";"196";"196"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"47315";"47315"
;;"1";"Timmermans, F.C.G.M.";"20232";"20232"
;;"2";"Lahlah, A.";"6083";"6083"
;;"3";"Klaver, J.F.";"5446";"5446"
;;"4";"Piri, K.P.";"2718";"2718"
;;"5";"Westerveld, E.M.";"3029";"3029"
;;"6";"Patijn, M.H.";"349";"349"
;;"7";"Kröger, S.C.";"595";"595"
;;"8";"Bushoff, T.J.";"89";"89"
;;"9";"van der Lee, T.M.T.";"129";"129"
;;"10";"Mutluer, S.";"258";"258"
;;"11";"Bromet, L.";"531";"531"
;;"12";"de Hoop, H.E.";"307";"307"
;;"13";"Maatoug, S.";"637";"637"
;;"14";"Mohandis, M.";"145";"145"
;;"15";"Gabriëls, G.J.W.";"48";"48"
;;"16";"Thijssen, J.";"81";"81"
;;"17";"Bouchallikh, K.";"558";"558"
;;"18";"Kathmann, B.C.";"269";"269"
;;"19";"Slagt-Tichelman, E.";"144";"144"
;;"20";"Tseggai, M.";"837";"837"
;;"21";"White, R.J.";"83";"83"
;;"22";"Pijpelink, A.";"190";"190"
;;"23";"Chakor, G.";"466";"466"
;;"24";"Nordkamp, J.";"28";"28"
;;"25";"Stultiens, L.C.J.";"176";"176"
;;"26";"Haage, M.W.";"616";"616"
;;"27";"Hirsch, D.H.";"923";"923"
;;"28";"de Jong, H.A.";"47";"47"
;;"29";"Postma, J.P.";"35";"35"
;;"30";"Oosting, I.";"220";"220"
;;"31";"de Boer, M.M.";"143";"143"
