"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Gravenhage"
"Nummer";;"HSB12"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"'s-Gravenhage"
;;"17";"Eigenhuis, F.";"10";"10"
;;"18";"Verbeek, E.L.I.";"25";"25"
;;"19";"Hemmes, B.J.A.";"18";"18"
;;"20";"Elsinga, D.";"30";"30"
;;"21";"Dreteler, S.J.";"42";"42"
"11";"JA21";;;"1146";"1146"
;;"1";"Eerdmans, B.J.";"833";"833"
;;"2";"Nanninga, A.";"202";"202"
;;"3";"Ceulemans, S.";"7";"7"
;;"4";"Bakker-Derks, E.H.M.";"10";"10"
;;"5";"van Doorn, D.M.A.";"3";"3"
;;"6";"Goudzwaard, M.";"3";"3"
;;"7";"Schyns, P.F.M.";"2";"2"
;;"8";"Uiterwijk, K.";"6";"6"
;;"9";"Dijksterhuis, R.G.";"0";"0"
;;"10";"van den Berg, D.J.";"3";"3"
;;"11";"Omlo, H.";"2";"2"
;;"12";"Hesselink, S.W.J.";"0";"0"
;;"13";"Nuijten, K.";"1";"1"
;;"14";"Roos, S.M.";"2";"2"
;;"15";"Soltani, M.";"3";"3"
;;"16";"Baten, L.C.C.";"1";"1"
;;"17";"Kövi, J.J.H.M.";"2";"2"
;;"18";"Wilson, L.";"2";"2"
;;"19";"van Vugt, T.";"1";"1"
;;"20";"Wanders, A.M.J.M.";"4";"4"
;;"21";"Lodders, I.A.G.";"2";"2"
;;"22";"Vos, L.L.";"29";"29"
;;"23";"Kauffmann, F.W.";"0";"0"
;;"24";"de Rijke, W.M.";"2";"2"
;;"25";"Hogendoorn, G.A.M.";"0";"0"
;;"26";"Gordijn, C.";"9";"9"
;;"27";"Bloemenkamp, J.H.";"1";"1"
;;"28";"Waitz, J.W.A.";"0";"0"
;;"29";"Veenvliet, A.";"0";"0"
;;"30";"Koetje, J.M.";"2";"2"
;;"31";"Buijs, M.";"8";"8"
;;"32";"Buijt, R.";"1";"1"
;;"33";"Kersten, J.J.M.";"1";"1"
;;"34";"de Groot, G.P.J.";"1";"1"
;;"35";"Hieralal, K.";"0";"0"
;;"36";"Blijlevens, R.P.";"0";"0"
;;"37";"Pastors, M.G.T.";"1";"1"
;;"38";"Fortuijn, S.A.F.";"2";"2"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"925";"925"
;;"1";"Stoffer, C.";"773";"773"
;;"2";"van Dijk, D.J.H.";"56";"56"
;;"3";"Flach, A.J.";"9";"9"
;;"4";"Middelkoop, P.N.";"14";"14"
;;"5";"Vroegindeweij, W.J.";"11";"11"
;;"6";"van der Maas, A.J.";"4";"4"
;;"7";"van der Wind, H.J.";"3";"3"
;;"8";"Both, D.D.";"3";"3"
;;"9";"Kloosterman, J.";"5";"5"
;;"10";"van Heijst, R.C.";"8";"8"
;;"11";"van der Wulp, A.D.";"4";"4"
;;"12";"Polinder, H.J.";"2";"2"
;;"13";"Slingerland, M.";"0";"0"
;;"14";"van Duijn, W.J.";"7";"7"
;;"15";"Barth, L.G.I.";"2";"2"
;;"16";"Lukasse, J.";"4";"4"
;;"17";"Tanis, J.P.";"3";"3"
;;"18";"Bosma, E.G.";"1";"1"
;;"19";"Schipaanboord, G.P.";"0";"0"
;;"20";"Veldman, J.D.";"2";"2"
;;"21";"Hartog, J.";"0";"0"
;;"22";"Koekoek, J.T.";"2";"2"
;;"23";"de Knegt, L.";"0";"0"
;;"24";"van Leeuwen, G.R.";"0";"0"
;;"25";"Bakker, T.";"3";"3"
;;"26";"Kok, W.H.";"2";"2"
;;"27";"van Westreenen, S.";"0";"0"
;;"28";"Noordergraaf, P.T.";"1";"1"
;;"29";"Boersma, A.";"0";"0"
;;"30";"Talen, L.";"0";"0"
;;"31";"van de Waerdt, C.J.";"0";"0"
;;"32";"Bulten, H.G.";"0";"0"
;;"33";"Versteeg, A.";"0";"0"
;;"34";"Kisteman, L.";"0";"0"
;;"35";"van Bruchem, L.";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"0";"0"
;;"37";"Herweijer, H.";"0";"0"
;;"38";"van Laar, G.J.";"0";"0"
;;"39";"Scheppink, A.J.";"0";"0"
;;"40";"van Heteren, R.";"0";"0"
;;"41";"van den Belt, B.";"1";"1"
;;"42";"van Iwaarden, D.";"1";"1"
;;"43";"van Tuijl, L.O.";"1";"1"
;;"44";"Proos, A.J.";"3";"3"
"13";"DENK";;;"21006";"21006"
;;"1";"van Baarle, S.R.T.";"14486";"14486"
;;"2";"Ergin, D.A.";"801";"801"
;;"3";"El Abassi, I.";"1172";"1172"
;;"4";"Alrubey, A.";"356";"356"
;;"5";"Gün, E.";"152";"152"
;;"6";"Usta, Y.";"44";"44"
;;"7";"Rijssel, N.E.";"56";"56"
;;"8";"Maroof, A.";"103";"103"
;;"9";"Mac Intosch, G.J.";"51";"51"
;;"10";"Safranti, M.";"40";"40"
;;"11";"Bayrakci, Y.C.";"26";"26"
;;"12";"Ghazi, M.I.";"151";"151"
;;"13";"Özçelik, S.";"147";"147"
;;"14";"Kaya, A.";"99";"99"
;;"15";"Konuksever-Tekin, A.";"36";"36"
;;"16";"Fkihi, O.";"29";"29"
;;"17";"Çetinkaya, T.";"1703";"1703"
;;"18";"Şahin, E.";"34";"34"
;;"19";"Kahramanoğlu, C.";"6";"6"
;;"20";"Kaplan, Ç.";"5";"5"
;;"21";"Manhoef, E.E.";"14";"14"
;;"22";"Tan, C.";"6";"6"
;;"23";"Kondu, F.";"15";"15"
;;"24";"Şimşek, J.I.";"9";"9"
;;"25";"Ileri, F.";"363";"363"
;;"26";"Buyatui, H.";"13";"13"
;;"27";"van Burik, M.";"1";"1"
;;"28";"Muradin, N.";"256";"256"
;;"29";"Delener, I.";"9";"9"
;;"30";"Sodirijo, S.D.";"17";"17"
;;"31";"Ağirbaş, A.";"8";"8"
;;"32";"Özcan, R.";"18";"18"
;;"33";"Tangali, M.J.";"109";"109"
;;"34";"Othman, R.";"22";"22"
;;"35";"Yildirim, A.";"28";"28"
;;"36";"Akhatab, N.";"57";"57"
;;"37";"Ben Touhami, M.";"43";"43"
;;"38";"Bal, M.I.";"20";"20"
;;"39";"Pancar, Ş.";"2";"2"
;;"40";"Akça, S.";"7";"7"
;;"41";"Dokgöz, Ş.";"30";"30"
;;"42";"Icar, N.";"242";"242"
;;"43";"Khan, S.Y.";"85";"85"
;;"44";"Sungur, M.";"8";"8"
;;"45";"Koyuncu, S.";"14";"14"
;;"46";"Achbar, F.";"113";"113"
"14";"50PLUS";;;"932";"932"
;;"1";"van Hooft, G.O.P.C.";"581";"581"
;;"2";"van Rooij, M.G.J.H.";"27";"27"
;;"3";"Brouwers, J.F.X.M.";"21";"21"
;;"4";"Hoek, W.M.M.";"158";"158"
;;"5";"van Acquoij, R.H.";"7";"7"
;;"6";"Hernández Martínez, A.";"73";"73"
;;"7";"Fonhof, G.J.";"5";"5"
;;"8";"van Tilborg, H.C.A.M.";"4";"4"
;;"9";"van Orsouw, J.H.T.";"4";"4"
;;"10";"Faassen, A.G.";"6";"6"
;;"11";"Hessing, J.C.";"2";"2"
;;"12";"Jablonski, J.";"2";"2"
;;"13";"Bongers, J.W.M.";"3";"3"
;;"14";"Franse, A.H.";"2";"2"
;;"15";"van Loon, J.C.A.";"6";"6"
;;"16";"de Kruif, F.N.J.";"3";"3"
;;"17";"van Es, J.W.";"7";"7"
;;"18";"Biever, R.M.";"0";"0"
;;"19";"Hamersma, K.";"2";"2"
;;"20";"Hornis, M.P.";"2";"2"
;;"21";"van Aert, J.L.";"2";"2"
;;"22";"Vriens, M.F.L.";"0";"0"
;;"23";"Voets, J.J.M.";"3";"3"
;;"24";"Hendriks, J.";"12";"12"
"15";"BBB";;;"3147";"3147"
;;"1";"van der Plas, C.A.M.";"2422";"2422"
;;"2";"Keijzer, M.C.G.";"379";"379"
;;"3";"Tuinman, G.P.";"57";"57"
;;"4";"Vermeer, H.";"11";"11"
;;"5";"Helder, L.M.J.S.";"17";"17"
;;"6";"Pierik, C.R.";"12";"12"
;;"7";"van Zanten, C.R.";"25";"25"
;;"8";"Rummenie, J.F.";"52";"52"
;;"9";"Pouw-Verweij, N.J.F.";"32";"32"
;;"10";"Rikkers-Oosterkamp, M.G.F.";"9";"9"
;;"11";"Wijen-Nass, M.J.M.H.";"2";"2"
;;"12";"Oostenbrink, M.";"7";"7"
;;"13";"Rekers, J.D.";"5";"5"
;;"14";"Hendriks, A.J.";"3";"3"
;;"15";"Govaert, C.A.H.M.";"4";"4"
;;"16";"van Vliet, L.R.";"2";"2"
;;"17";"Hemmen, H.M.";"4";"4"
;;"18";"van Vuuren, C.H.";"1";"1"
;;"19";"van der Meer, S.";"5";"5"
;;"20";"Stoop, C.J.";"3";"3"
;;"21";"van Veen, A.";"6";"6"
;;"22";"van Lissum, J.T.M.";"0";"0"
;;"23";"Stegink, T.W.";"1";"1"
;;"24";"Huiskamp, F.M.";"4";"4"
;;"25";"Eppink, D.J.";"36";"36"
;;"26";"Hankers, H.F.";"2";"2"
;;"27";"Berghout, N.C.G.";"1";"1"
;;"28";"Roubos, G.L.";"0";"0"
;;"29";"Evers, G.J.A.";"1";"1"
;;"30";"Sijbolts, M.A.";"2";"2"
;;"31";"Poppe, W.P.";"0";"0"
;;"32";"Swaag, J.H.";"0";"0"
;;"33";"Waalkens, D.E.";"1";"1"
;;"34";"de Ridder, R.J.G.";"0";"0"
;;"35";"Jaspers, W.C.P.H.";"0";"0"
;;"36";"Floors, G.W.C.";"0";"0"
;;"37";"Luitwieler-Bosma, J.M.";"0";"0"
;;"38";"Rood, I.";"1";"1"
;;"39";"van Noort, M.";"0";"0"
;;"40";"Cromwijk, J.";"0";"0"
;;"41";"van Wijk, J.W.";"0";"0"
;;"42";"Bos-Zandstra, K.J.";"4";"4"
;;"43";"Egelmeers, P.C.J.M.";"1";"1"
;;"44";"Baltus, A.W.M.";"1";"1"
;;"45";"van der Wereld-Verkerk, P.C.";"1";"1"
;;"46";"Schoone, L.";"24";"24"
;;"47";"Spätgens, J.M.";"1";"1"
;;"48";"Zeedzen, D.";"0";"0"
;;"49";"Bulk, E.J.";"1";"1"
;;"50";"Kruijthoff, D.L.";"7";"7"
"16";"BIJ1";;;"2022";"2022"
;;"1";"Olf, E.M.";"746";"746"
;;"2";"Mc Cray, L.";"375";"375"
;;"3";"Salmi, L.";"388";"388"
;;"4";"Courtar, G.O.";"63";"63"
;;"5";"de Miranda, E.N.";"32";"32"
;;"6";"Berend, C.E.W.R.";"139";"139"
;;"7";"Luhrs, Y.";"25";"25"
;;"8";"Gal, Y.";"43";"43"
;;"9";"ten Caat, J.";"3";"3"
;;"10";"Zandee, J.I.N.";"18";"18"
;;"11";"Bakker, D.L.";"5";"5"
;;"12";"Wienen, R.D.";"34";"34"
;;"13";"Bijleveld, D.";"45";"45"
;;"14";"Vrede, R.I.";"59";"59"
;;"15";"Timmer, R.S.Y.";"47";"47"
"17";"Piratenpartij - De Groenen";;;"285";"285"
;;"1";"van Treuren, M.A.";"141";"141"
;;"2";"Sadloe, S.";"28";"28"
;;"3";"van Zwoll, R.M.E.";"12";"12"
;;"4";"Pontier, M.A.";"8";"8"
;;"5";"Brandsma, W.A.";"3";"3"
;;"6";"ter Haar, O.H.";"1";"1"
;;"7";"Zimmerman, H.K.";"9";"9"
;;"8";"van Rijn, M.P.";"9";"9"
;;"9";"Berendsen, P.";"1";"1"
;;"10";"Yadegari, S.";"4";"4"
;;"11";"Pot, A.A.M.";"3";"3"
;;"12";"Werner, D.R.";"0";"0"
;;"13";"van Deijk, D.D.";"3";"3"
;;"14";"Russchenberg, S.";"0";"0"
;;"15";"Hallegraeff, D.S.";"34";"34"
;;"16";"Bresser, A.C.";"1";"1"
;;"17";"Abendroth, A.M.";"4";"4"
;;"18";"Darvish-Zadeh, P.";"4";"4"
;;"19";"Schrama, D.D.";"1";"1"
;;"20";"Werner-Wafelman, L.S.";"2";"2"
;;"21";"Plesa, B.";"1";"1"
;;"22";"Bouma, E.";"0";"0"
;;"23";"Bethlehem, C.";"4";"4"
;;"24";"Dekkers, S.A.P.";"0";"0"
;;"25";"van Nes, T.";"0";"0"
;;"26";"Linnenbank, A.C.";"1";"1"
;;"27";"Braun, P.W.";"3";"3"
;;"28";"Doting, R.";"0";"0"
;;"29";"Teders, N.B.";"1";"1"
;;"30";"Bakkers, T.F.M.";"1";"1"
;;"31";"van Gelderen, J.J.";"0";"0"
;;"32";"baron van Till, J.W.J.";"2";"2"
;;"33";"van Breemen, W.";"0";"0"
;;"34";"Blaak, M.G.M.H.";"4";"4"
"18";"BVNL / Groep Van Haga";;;"991";"991"
;;"1";"van Haga, W.R.";"739";"739"
;;"2";"Krol, H.C.M.";"30";"30"
;;"3";"van Keimpema, J.S.";"31";"31"
;;"4";"Dercksen, R.G.J.";"1";"1"
;;"5";"Koopmans - van der Veen, W.J.";"15";"15"
;;"6";"van Aalst, R.R.";"0";"0"
;;"7";"Emons, I.M.A.";"7";"7"
;;"8";"Shahbazi Fishtali, S.";"6";"6"
;;"9";"de Kok, A.";"0";"0"
;;"10";"van Tellingen, H.P.";"10";"10"
;;"11";"van der Velden, P.";"2";"2"
;;"12";"Ramautarsing, Y.J.S.";"18";"18"
;;"13";"Bosscher, C.J.";"1";"1"
;;"14";"Wijnschenk, H.H.R.";"1";"1"
;;"15";"Hulleman, S.P.X.";"47";"47"
;;"16";"Schuiling, A.";"0";"0"
;;"17";"van der Veen, T.A.";"0";"0"
;;"18";"Schilder, P.C.J.";"1";"1"
;;"19";"Vogelzang, S.J.";"0";"0"
;;"20";"Pestman, R.J.E.";"0";"0"
;;"21";"Vulders, S.";"0";"0"
;;"22";"van der Wiele, D.";"2";"2"
;;"23";"Brunke, R.L.";"0";"0"
;;"24";"Gorter-de Vos, M.";"2";"2"
;;"25";"van Dalen, E.H.";"0";"0"
;;"26";"Wiersma, K.J.";"12";"12"
;;"27";"van Kassel, P.";"1";"1"
;;"28";"Wymenga-Kooistra, G.";"1";"1"
;;"29";"Jonk, S.J.M.";"1";"1"
;;"30";"Zuidema, C.";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"2";"2"
;;"32";"Mensing, C.M.";"26";"26"
;;"33";"Durlacher, F.";"2";"2"
;;"34";"Dienjes, C.S.";"1";"1"
;;"35";"de Bekker, M.A.";"0";"0"
;;"36";"Laarhoven, E.L.O.";"3";"3"
;;"37";"Eradus, R.F.E.";"0";"0"
;;"38";"Westhoff, R.J.H.";"0";"0"
;;"39";"Beverloo, M.";"0";"0"
;;"40";"van Buuren, M.J.";"0";"0"
;;"41";"Overeem, A.C.";"10";"10"
;;"42";"Thiessens, F.B.M.";"0";"0"
;;"43";"Brouwer, A.";"0";"0"
;;"44";"Manders, T.T.A.J.";"7";"7"
;;"45";"Filippini, L.T.C.";"0";"0"
;;"46";"Verweij, D.W.";"0";"0"
;;"47";"Elens, R.B.";"10";"10"
;;"48";"Rolloos, M.A.";"1";"1"
;;"49";"Talsma, J.";"0";"0"
;;"50";"Smolders, H.A.J.";"1";"1"
"19";"Nieuw Sociaal Contract";;;"20811";"20811"
;;"1";"Omtzigt, P.H.";"18475";"18475"
;;"2";"van Vroonhoven-Kok, J.N.";"721";"721"
;;"3";"Uitermark, J.J.M.";"159";"159"
;;"4";"Veldkamp, C.C.J.";"64";"64"
;;"5";"Palmen-Schlangen, S.T.P.H.";"191";"191"
;;"6";"van Hijum, Y.J.";"27";"27"
;;"7";"Soepboer, A.J.";"67";"67"
;;"8";"Joseph, A.S.";"44";"44"
;;"9";"Six Dijkstra, J.P.S.";"41";"41"
;;"10";"Welzijn, R.M.";"74";"74"
;;"11";"Postma, W.L.";"228";"228"
;;"12";"Zeedijk-Raeven, F.A.";"16";"16"
;;"13";"Idsinga, F.L.";"7";"7"
;;"14";"Jansen, D.E.M.C.";"30";"30"
;;"15";"van Oostenbruggen, T.";"7";"7"
;;"16";"Kahraman, I.";"40";"40"
;;"17";"Hertzberger, R.Y.";"155";"155"
;;"18";"Bruyning, F.H.";"32";"32"
;;"19";"van Dijk, O.C.";"16";"16"
;;"20";"Holman, H.";"6";"6"
;;"21";"Boomsma, D.T.";"35";"35"
;;"22";"Heite, A.";"29";"29"
;;"23";"Saris, I.G.";"19";"19"
;;"24";"Wingelaar, N.T.P.";"11";"11"
;;"25";"Koops, W.J.";"38";"38"
;;"26";"Achahbar, N.";"131";"131"
;;"27";"van Waveren, A.";"3";"3"
;;"28";"de Korte-Verhoef, M.C.";"7";"7"
;;"29";"Boelhouwer, N.P.";"21";"21"
;;"30";"Schouten, M.A.C.";"2";"2"
;;"31";"Kouwenhoven, A.J.";"22";"22"
;;"32";"Verouden, V.C.H.M.";"4";"4"
;;"33";"Heine, J.A.H.";"2";"2"
;;"34";"Pouwelse, S.F.W.";"0";"0"
;;"35";"de Leeuw-Jongejans, M.M.";"5";"5"
;;"36";"Hartog, I.C.";"6";"6"
;;"37";"van Bruchem, R.H.J.";"3";"3"
;;"38";"van de Ven, M.A.A.";"2";"2"
;;"39";"de Neijs, E.D.E.";"12";"12"
;;"40";"Hassoo, W.";"29";"29"
;;"41";"Graafland-van Duijn, M.A.";"8";"8"
;;"42";"den Hartogh, A.";"4";"4"
;;"43";"Wessels, R.";"5";"5"
;;"44";"Geleijnse, S.";"13";"13"
"20";"Splinter";;;"359";"359"
;;"1";"van Kooten-Arissen, F.M.";"240";"240"
;;"2";"Ipenburg, N.";"60";"60"
;;"3";"Bogers, T.J.";"6";"6"
;;"4";"Vos, J.";"10";"10"
;;"5";"Jansma, D.M.";"0";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"1";"1"
;;"7";"Rasenberg, N.E.";"5";"5"
;;"8";"Janssen, P.G.";"0";"0"
;;"9";"van der Weide, Y.";"7";"7"
;;"10";"Wehnes, E.";"0";"0"
;;"11";"de Backer, R.E.";"0";"0"
;;"12";"Hoedeman, A.D.J.";"1";"1"
;;"13";"Rechards, B.P.";"0";"0"
;;"14";"Weyers, J.A.W.P.";"0";"0"
;;"15";"van Dam, G.A.J.";"1";"1"
;;"16";"Abrahams, J.M.";"4";"4"
;;"17";"Kuin, D.";"0";"0"
;;"18";"Gerritsen, M.C.G.";"2";"2"
;;"19";"Leijendekkers, L.S.";"0";"0"
;;"20";"de Ruiter, T.K.";"1";"1"
;;"21";"Pijnenburg, G.A.J.";"0";"0"
;;"22";"Schot, M.";"4";"4"
;;"23";"Ezendam, N.";"2";"2"
;;"24";"Peeters, L.M.";"2";"2"
;;"25";"de Groot, D.S.";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"0";"0"
;;"27";"Bruijstens, P.";"7";"7"
;;"28";"Keizer, M.B.";"0";"0"
;;"29";"Gol, T.M.L.";"1";"1"
;;"30";"de Koning, T.";"0";"0"
;;"31";"Keyser, I.";"5";"5"
"21";"LP (Libertaire Partij)";;;"110";"110"
;;"1";"van Lamoen, T.J.";"73";"73"
;;"2";"Burggraaf, B.W.";"3";"3"
;;"3";"Verhagen, P.H.";"2";"2"
;;"4";"Zijlstra, J.";"0";"0"
;;"5";"Meijer, T.D.J.";"1";"1"
;;"6";"Huijs, T.";"0";"0"
;;"7";"Pailer, S.";"23";"23"
;;"8";"Loman, W.P.J.A.";"0";"0"
;;"9";"van den Brink, G.D.";"1";"1"
;;"10";"Backhuijs, W.Q.";"0";"0"
;;"11";"Koopmans, S.F.P.";"1";"1"
;;"12";"Wassenaar, K.J.";"0";"0"
;;"13";"Noortman, M.";"1";"1"
;;"14";"Visser, P.R.";"0";"0"
;;"15";"Mens, R.W.";"3";"3"
;;"16";"Brokke, M.A.";"0";"0"
;;"17";"Kleinsmit, H.T.J.";"0";"0"
;;"18";"Hartkamp, P.L.";"2";"2"
;;"19";"Vermeulen, E.";"0";"0"
"22";"LEF - Voor de Nieuwe Generatie";;;"206";"206"
;;"1";"van Duijn, D.C.";"78";"78"
;;"2";"Zantman, N.M.";"34";"34"
;;"3";"Neijts, Z.V.";"54";"54"
;;"4";"Wijnker, M.I.";"5";"5"
;;"5";"Bloem, J.F.";"4";"4"
;;"6";"van Westerlaak, R.M.G.";"0";"0"
;;"7";"van Diest, Y.A.";"2";"2"
;;"8";"Kherrazi, W.";"6";"6"
;;"9";"Pont, I.";"2";"2"
;;"10";"Torres Noordenbos, D.";"1";"1"
;;"11";"Gunning, M.";"0";"0"
;;"12";"Berends, M.C.";"1";"1"
;;"13";"Pickkers, L.J.";"3";"3"
;;"14";"Sjiem-Fat, S.D.";"5";"5"
;;"15";"Hulst, P.W.";"2";"2"
;;"16";"Bijl, L.";"2";"2"
;;"17";"Twaalfhoven, M.";"3";"3"
;;"18";"Melis, E.M.";"2";"2"
;;"19";"van Die, B.L.Y.";"0";"0"
;;"20";"van Rooij, M.H.M.";"2";"2"
"23";"Samen voor Nederland";;;"103";"103"
;;"1";"Reijinga, M.";"52";"52"
;;"2";"You-ala, S.";"14";"14"
;;"3";"ten Seldam, W.";"1";"1"
;;"4";"Olde Kalter, D.H.";"1";"1"
;;"5";"Verspeek, M.R.";"1";"1"
;;"6";"Huzen, J.";"0";"0"
;;"7";"Buijs, L.J.";"1";"1"
;;"8";"Vaneker, N.C.";"1";"1"
;;"9";"Kuiper, T.R.M.";"1";"1"
;;"10";"Berndsen, V.";"1";"1"
;;"11";"Bosman, M.";"0";"0"
;;"12";"van den Berg, D.";"2";"2"
;;"13";"Dekker, C.J.";"3";"3"
;;"14";"Seijffert-Wubbels, J.M.";"1";"1"
;;"15";"Korving, R.J.";"11";"11"
;;"16";"Wagt, B.";"0";"0"
;;"17";"van der Pluijm, D.L.L.";"2";"2"
;;"18";"Verspeek, M.";"5";"5"
;;"19";"Ebbers, M.";"0";"0"
;;"20";"Timmer, B.";"3";"3"
;;"21";"Ijben, M.W.";"0";"0"
;;"22";"Bink, S.";"1";"1"
;;"23";"Roebersen, F.J.";"1";"1"
;;"24";"Ottenhoff, R.S.A.";"0";"0"
;;"25";"Honders, A.J.";"0";"0"
;;"26";"Huijing, A.A.";"0";"0"
;;"27";"Heesterman, E.";"1";"1"
;;"28";"Zwijnenburg, E.J.";"0";"0"
"24";"Nederland met een PLAN";;;"245";"245"
;;"1";"Chan, K.K.";"145";"145"
;;"2";"Hogeweg, M.Y.";"19";"19"
;;"3";"Groeneveld, R.M.";"0";"0"
;;"4";"Bouwman, A.K.";"6";"6"
;;"5";"Lutgens, S.I.";"1";"1"
;;"6";"Bakker, R.";"2";"2"
;;"7";"Dong, L.";"33";"33"
;;"8";"Riley, M.L.H.";"7";"7"
;;"9";"Chan, S.S.";"6";"6"
;;"10";"Cai, Y.";"17";"17"
;;"11";"Bosch, D.M.I.T.M.G.";"1";"1"
;;"12";"Fan, W.";"2";"2"
;;"13";"Adolfse, V.W.M.M.";"0";"0"
;;"14";"Cao, X.";"1";"1"
;;"15";"Lee, C.Y.";"0";"0"
;;"16";"Aabidi, M.";"3";"3"
;;"17";"Chang, M.J.P.L.";"2";"2"
"26";"Politieke Partij voor Basisinkomen";;;"76";"76"
;;"1";"Hannen, G.H.";"34";"34"
;;"2";"van Mierlo, L.M.A.";"4";"4"
;;"3";"Delsing, S.A.M.";"8";"8"
;;"4";"Diepenhorst, R.R.R.";"4";"4"
;;"5";"Binsbergen, E.";"1";"1"
;;"6";"Smit, H.R.M.P.";"5";"5"
;;"7";"Veeger, M.J.M.";"0";"0"
;;"8";"van der Staaij, E.J.";"0";"0"
;;"9";"Karremann, R.L.";"3";"3"
;;"10";"Rosenbaum, D.";"3";"3"
;;"11";"Sijtsma, S.";"14";"14"
