"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
;;"7";"Heinen, E.";"156";"3";"3";"4";"3";"2";"1";"27";"16";"18";"3";"5";"3";"7";"3";"3";"5";"2";"4";"4";"4";"2";"3";"1";"0";"2";"1";"1";"0";"2";"5";"14";"5"
;;"8";"de Vries, A.";"293";"6";"9";"3";"8";"4";"3";"44";"23";"39";"8";"3";"6";"9";"8";"2";"2";"2";"6";"5";"5";"3";"6";"2";"2";"7";"9";"0";"6";"13";"23";"16";"11"
;;"9";"Kamminga, R.J.";"96";"0";"0";"0";"2";"0";"0";"9";"4";"18";"2";"4";"1";"7";"2";"1";"4";"3";"1";"4";"0";"3";"1";"3";"0";"0";"3";"2";"1";"3";"3";"6";"9"
;;"10";"Paul, M.L.J.";"417";"5";"9";"1";"4";"2";"4";"38";"6";"24";"5";"8";"1";"15";"3";"5";"10";"3";"6";"17";"10";"2";"194";"5";"0";"4";"4";"2";"0";"12";"8";"6";"4"
;;"11";"Erkens, S.P.A.";"193";"4";"5";"0";"3";"3";"0";"47";"8";"23";"5";"2";"2";"10";"6";"8";"3";"5";"4";"1";"2";"6";"2";"3";"1";"2";"10";"1";"2";"0";"5";"11";"9"
;;"12";"Rajkowski, Q.M.";"180";"2";"2";"0";"1";"2";"1";"25";"18";"27";"5";"5";"0";"13";"7";"1";"2";"1";"7";"11";"3";"3";"3";"1";"2";"1";"6";"2";"2";"4";"11";"7";"5"
;;"13";"Aartsen, A.A.";"280";"3";"6";"0";"4";"10";"7";"35";"26";"33";"6";"2";"6";"15";"5";"9";"2";"5";"1";"8";"8";"1";"4";"10";"6";"2";"4";"3";"7";"5";"16";"17";"14"
;;"14";"van Campen, A.A.H.";"65";"1";"1";"0";"1";"1";"1";"11";"2";"10";"0";"1";"0";"5";"0";"3";"0";"1";"1";"2";"2";"3";"0";"1";"0";"0";"3";"1";"1";"0";"5";"6";"2"
;;"15";"Tielen, J.Z.C.M.";"128";"3";"2";"2";"1";"2";"2";"25";"3";"24";"3";"1";"2";"9";"4";"2";"2";"2";"3";"4";"0";"0";"2";"1";"0";"0";"7";"3";"2";"1";"4";"6";"6"
;;"16";"Veltman-Kamp, H.N.";"106";"0";"1";"0";"1";"1";"5";"10";"5";"12";"3";"6";"0";"11";"1";"1";"0";"2";"3";"3";"25";"1";"1";"0";"0";"1";"4";"1";"0";"0";"5";"2";"1"
;;"17";"van Eijk-Nagel, W.P.J.";"603";"21";"11";"0";"3";"31";"9";"75";"33";"28";"5";"10";"3";"8";"9";"47";"6";"21";"11";"6";"8";"15";"35";"8";"2";"110";"10";"2";"7";"25";"14";"23";"7"
;;"18";"Ellian, U.";"106";"1";"1";"0";"2";"5";"3";"13";"3";"13";"3";"1";"0";"13";"3";"1";"3";"2";"3";"3";"4";"0";"2";"1";"0";"3";"2";"1";"0";"3";"6";"7";"4"
;;"19";"Michon-Derkzen, I.J.M.";"50";"0";"1";"0";"2";"1";"1";"5";"5";"8";"1";"2";"2";"4";"1";"0";"1";"1";"7";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1"
;;"20";"Martens-America, C.";"76";"1";"2";"1";"0";"1";"1";"11";"7";"15";"4";"3";"1";"3";"1";"1";"0";"0";"3";"4";"0";"2";"1";"0";"0";"0";"1";"0";"1";"3";"2";"4";"3"
;;"21";"Meulenkamp, W.J.H.";"20";"1";"1";"1";"0";"1";"0";"4";"0";"2";"1";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0"
;;"22";"de Groot, P.C.";"86";"1";"4";"3";"2";"0";"0";"18";"4";"7";"3";"3";"0";"6";"3";"2";"2";"1";"2";"0";"2";"0";"1";"1";"0";"3";"0";"2";"1";"3";"4";"4";"4"
;;"23";"Kisteman, A.";"51";"0";"0";"3";"0";"2";"0";"4";"4";"3";"5";"0";"7";"1";"3";"2";"0";"0";"1";"0";"1";"1";"1";"0";"3";"0";"0";"1";"2";"4";"1";"1";"1"
;;"24";"de Kort, A.H.J.";"3730";"31";"76";"2";"15";"47";"187";"718";"113";"86";"10";"87";"56";"17";"27";"27";"49";"106";"1356";"12";"87";"25";"42";"27";"61";"58";"16";"103";"73";"129";"51";"21";"15"
;;"25";"van den Hil, J.";"112";"0";"2";"1";"3";"5";"1";"23";"2";"20";"4";"4";"1";"5";"2";"2";"2";"5";"5";"1";"1";"0";"0";"1";"0";"1";"4";"1";"3";"0";"7";"2";"4"
