"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
;;"80";"van der Weijden, M.";"625";"3";"8";"1";"20";"9";"3";"49";"27";"114";"37";"16";"12";"41";"25";"7";"5";"3";"4";"92";"8";"3";"9";"6";"2";"9";"20";"4";"6";"10";"30";"22";"20"
"2";"D66";;;"59651";"569";"1371";"336";"1483";"1043";"830";"10152";"2463";"8464";"1778";"1412";"757";"2864";"1624";"564";"970";"1161";"1801";"2139";"1192";"889";"809";"779";"406";"572";"1238";"543";"659";"1697";"3139";"3260";"2687"
;;"1";"Jetten, R.A.A.";"43044";"407";"998";"258";"1094";"757";"629";"6584";"1827";"5709";"1306";"1029";"588";"2096";"1186";"414";"740";"880";"1277";"1529";"873";"701";"612";"591";"315";"436";"961";"447";"519";"1189";"2405";"2498";"2189"
;;"2";"Paternotte, J.M.";"1545";"19";"49";"7";"36";"35";"23";"243";"73";"233";"52";"36";"21";"91";"61";"14";"27";"19";"43";"78";"38";"20";"21";"16";"14";"17";"22";"9";"12";"43";"74";"63";"36"
;;"3";"Vijlbrief, J.A.";"518";"4";"13";"1";"9";"3";"8";"92";"25";"88";"18";"18";"4";"25";"10";"3";"9";"8";"28";"25";"17";"6";"7";"5";"1";"6";"8";"2";"4";"15";"22";"22";"12"
;;"4";"Podt, A.";"5427";"62";"115";"29";"150";"101";"65";"949";"194";"898";"157";"142";"60";"260";"177";"53";"74";"120";"179";"214";"98";"65";"68";"61";"30";"43";"90";"28";"47";"172";"238";"295";"193"
;;"5";"Sneller, J.C.";"129";"0";"1";"0";"0";"3";"1";"32";"5";"23";"4";"4";"3";"9";"3";"0";"1";"4";"5";"4";"1";"4";"0";"2";"1";"0";"3";"1";"0";"3";"3";"7";"2"
;;"6";"Rooderkerk, I.";"676";"7";"21";"12";"11";"11";"8";"135";"29";"128";"16";"11";"11";"24";"21";"5";"5";"12";"17";"32";"7";"10";"3";"10";"2";"4";"13";"7";"6";"16";"32";"29";"21"
;;"7";"Paulusma, W.";"424";"0";"16";"1";"6";"4";"4";"68";"18";"78";"19";"9";"6";"24";"17";"5";"7";"13";"13";"13";"7";"5";"6";"4";"4";"3";"2";"3";"1";"13";"14";"20";"21"
;;"8";"van der Werf, J.J.";"566";"1";"15";"1";"9";"11";"12";"109";"25";"95";"22";"10";"5";"26";"11";"7";"8";"12";"19";"26";"6";"5";"3";"7";"3";"3";"16";"6";"8";"17";"26";"14";"28"
;;"9";"Bamenga, P.";"1664";"21";"40";"6";"28";"33";"20";"741";"74";"90";"8";"39";"8";"28";"20";"18";"27";"32";"76";"22";"60";"12";"17";"19";"8";"12";"6";"11";"16";"76";"69";"17";"10"
;;"10";"de Groot, T.C.";"314";"7";"5";"1";"5";"6";"2";"56";"11";"48";"3";"9";"3";"23";"9";"3";"4";"3";"3";"11";"4";"7";"4";"1";"10";"5";"9";"6";"1";"14";"21";"15";"5"
;;"11";"Synhaeve, M.";"1040";"12";"15";"8";"25";"23";"12";"194";"24";"190";"32";"18";"5";"62";"22";"6";"9";"6";"26";"37";"9";"10";"18";"11";"0";"7";"23";"5";"6";"28";"36";"119";"42"
;;"12";"van Ginneken, L.M.";"665";"3";"15";"0";"11";"11";"9";"185";"24";"134";"8";"12";"7";"32";"16";"7";"7";"5";"15";"19";"15";"7";"10";"6";"5";"4";"10";"1";"7";"9";"28";"17";"26"
;;"13";"Belhaj, S.";"183";"1";"2";"3";"8";"4";"2";"49";"13";"38";"4";"5";"2";"4";"4";"2";"1";"1";"2";"6";"2";"3";"2";"1";"0";"1";"3";"1";"1";"2";"8";"6";"2"
;;"14";"Boulakjar, F.";"102";"2";"2";"1";"2";"1";"1";"16";"1";"21";"7";"2";"2";"6";"2";"0";"2";"2";"1";"0";"1";"3";"0";"2";"0";"2";"2";"1";"2";"4";"9";"1";"4"
;;"15";"Sahla, F.";"92";"0";"2";"1";"2";"0";"2";"26";"1";"22";"0";"1";"2";"6";"3";"1";"2";"0";"2";"2";"1";"0";"3";"1";"0";"0";"1";"1";"0";"1";"4";"2";"3"
;;"16";"Klos, F.C.O.";"40";"0";"1";"0";"1";"1";"0";"16";"2";"6";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"2";"1";"1"
;;"17";"Kat, H.";"113";"0";"1";"0";"7";"2";"0";"26";"10";"24";"4";"0";"1";"1";"3";"1";"1";"1";"1";"1";"2";"4";"0";"0";"0";"4";"1";"0";"1";"2";"8";"5";"2"
;;"18";"Warmerdam, S.";"26";"0";"0";"0";"1";"0";"0";"5";"5";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0";"0";"1";"1";"2";"0";"1";"1";"1";"0"
;;"19";"Alberg, S.T.";"43";"0";"1";"0";"1";"0";"0";"11";"2";"4";"2";"0";"0";"6";"0";"1";"0";"0";"1";"0";"3";"1";"1";"1";"0";"0";"1";"0";"0";"2";"1";"1";"3"
;;"20";"Hammelburg, A.R.";"26";"0";"0";"0";"0";"0";"0";"7";"3";"8";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"21";"Hollander, J.";"89";"1";"2";"0";"2";"0";"0";"19";"4";"11";"1";"0";"2";"5";"7";"1";"1";"4";"7";"2";"1";"0";"2";"1";"0";"3";"2";"1";"1";"0";"3";"4";"2"
;;"22";"ten Dolle, L.";"129";"1";"3";"1";"2";"1";"5";"26";"7";"26";"3";"3";"4";"2";"0";"3";"0";"2";"2";"2";"0";"3";"0";"2";"1";"1";"5";"2";"2";"4";"5";"6";"5"
;;"23";"Blommers, D.";"38";"0";"0";"0";"0";"1";"0";"10";"2";"11";"2";"0";"0";"1";"2";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0"
;;"24";"van Breugel, C.";"230";"1";"1";"1";"5";"1";"2";"90";"4";"18";"6";"7";"1";"6";"4";"4";"9";"3";"17";"5";"0";"1";"3";"2";"2";"1";"4";"0";"5";"9";"7";"6";"5"
;;"25";"Teunissen, J.C.M.";"97";"2";"2";"0";"4";"2";"1";"20";"3";"11";"8";"2";"0";"2";"1";"1";"1";"0";"3";"6";"3";"2";"1";"2";"2";"0";"4";"0";"3";"0";"9";"0";"2"
;;"26";"Çimen, M.";"48";"0";"1";"0";"2";"0";"0";"20";"2";"7";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"2";"3";"2"
;;"27";"Oualhadj, A.";"25";"0";"0";"0";"0";"0";"0";"7";"1";"9";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
;;"28";"Putuhena, M.";"11";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"Keij, E.J.";"32";"0";"0";"0";"1";"1";"0";"6";"0";"7";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0";"1";"1";"0";"1";"2";"3";"2";"0"
;;"30";"Brink, V.J.";"57";"0";"0";"1";"0";"0";"0";"12";"1";"12";"2";"0";"2";"6";"0";"0";"0";"1";"2";"1";"2";"1";"0";"0";"0";"0";"4";"0";"0";"2";"4";"2";"2"
;;"31";"van Dorst, P.A.";"31";"0";"0";"0";"1";"1";"0";"3";"1";"13";"3";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1"
;;"32";"Wijnja, G.H.";"13";"0";"0";"0";"2";"1";"0";"2";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
;;"33";"de Vries, M.M.";"27";"0";"1";"0";"4";"1";"0";"5";"2";"1";"0";"0";"0";"5";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0"
;;"34";"Schoonbeek, F.";"7";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"35";"Mathlouti, M.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"8";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"37";"Koops, J.H.";"5";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"38";"Hagen, K.B.";"106";"0";"2";"0";"1";"1";"0";"22";"3";"28";"3";"2";"0";"4";"0";"0";"0";"1";"5";"3";"1";"0";"2";"0";"0";"0";"5";"1";"1";"1";"8";"7";"5"
;;"39";"Hiemstra, G.J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"40";"Keijmel - den Boer, J.M.I.";"31";"0";"1";"0";"1";"0";"2";"2";"3";"5";"1";"1";"0";"1";"0";"0";"3";"0";"0";"4";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"3";"0"
;;"41";"Tjeerdema, H.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"42";"Woudstra, E.";"9";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
;;"43";"Olsthoorn, A.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"44";"van Peski, C.J.";"97";"0";"4";"0";"3";"1";"3";"12";"1";"12";"7";"5";"4";"4";"2";"1";"1";"2";"4";"6";"1";"0";"4";"4";"1";"0";"1";"0";"2";"4";"8";"0";"0"
;;"45";"van Hattum, B.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"30";"0";"2";"0";"0";"0";"0";"15";"2";"3";"1";"1";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"47";"van Driel, M.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"10";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"49";"van der Gaag, P.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"31";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"18";"3"
;;"51";"Hoevers, J.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"52";"van de Vijver, V.F.";"499";"1";"9";"1";"13";"5";"4";"22";"4";"219";"32";"5";"0";"28";"19";"1";"3";"3";"12";"30";"0";"4";"2";"6";"0";"2";"18";"1";"0";"12";"26";"5";"12"
;;"53";"Vemer, P.";"7";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"10";"0";"0";"0";"0";"0";"0";"2";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"56";"Wesseling, A.";"28";"3";"1";"0";"0";"4";"0";"6";"1";"2";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"3";"0"
;;"57";"Maessen, R.J.M.";"11";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1";"0"
;;"58";"Schoonen, M.";"7";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"12";"0";"0";"0";"0";"0";"0";"5";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1"
;;"60";"Jenneskens, M.T.P.";"35";"1";"0";"0";"0";"0";"0";"12";"0";"3";"1";"3";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"4";"1"
;;"61";"Janssen, S.L.J.";"7";"0";"0";"1";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"9";"1";"0";"0";"0";"0";"1";"2";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"63";"Chaban, S.";"9";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"64";"Louhenapessij, A.F.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"35";"0";"1";"0";"1";"2";"0";"9";"2";"3";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"2";"5";"1"
;;"66";"van Essen, J.";"5";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"67";"Nunnely, J.M.";"5";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"8";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"69";"van der Voort, P.H.J.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"48";"1";"1";"0";"0";"4";"1";"8";"1";"6";"2";"2";"2";"3";"1";"0";"2";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"2";"1";"2";"0";"1"
;;"71";"Gräper-van Koolwijk, F.Q.";"6";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"72";"Weerwind, F.M.";"5";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"25";"0";"1";"0";"2";"0";"1";"6";"2";"2";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"2";"1";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"74";"Kuipers, E.J.";"42";"0";"2";"0";"0";"0";"0";"5";"3";"5";"1";"2";"0";"6";"0";"2";"1";"0";"0";"0";"0";"1";"4";"0";"0";"2";"0";"0";"1";"1";"2";"3";"1"
;;"75";"Ollongren, K.H.";"50";"0";"2";"0";"0";"1";"1";"13";"3";"9";"0";"1";"0";"3";"0";"0";"1";"3";"0";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"5";"0";"0";"3"
;;"76";"Dijkgraaf, R.H.";"276";"0";"11";"0";"8";"2";"1";"71";"10";"43";"7";"7";"2";"15";"5";"3";"9";"2";"6";"7";"6";"1";"3";"9";"1";"4";"2";"1";"2";"8";"10";"11";"9"
;;"77";"Uslu, G.";"46";"1";"1";"0";"0";"1";"0";"14";"0";"10";"3";"0";"0";"6";"1";"0";"0";"2";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"1"
;;"78";"Pechtold, A.";"122";"2";"3";"1";"4";"2";"3";"16";"2";"22";"8";"3";"0";"5";"2";"2";"3";"3";"3";"1";"3";"3";"0";"1";"1";"1";"4";"2";"1";"3";"6";"9";"3"
;;"79";"Terlouw, J.C.";"83";"0";"0";"0";"2";"2";"1";"18";"4";"19";"2";"3";"2";"7";"1";"0";"1";"2";"1";"6";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"5";"2";"1"
;;"80";"Kaag, S.A.M.";"427";"7";"6";"1";"16";"2";"4";"83";"19";"69";"17";"12";"4";"14";"7";"4";"8";"6";"7";"25";"15";"0";"6";"10";"0";"4";"2";"0";"2";"20";"16";"20";"21"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"114183";"944";"2020";"476";"2947";"1766";"1357";"24881";"5304";"17639";"2736";"2596";"1195";"6125";"2554";"818";"1431";"2127";"3192";"3398";"1786";"1652";"1325";"1296";"688";"1017";"1975";"1095";"1154";"3391";"5118";"6578";"3602"
;;"1";"Timmermans, F.C.G.M.";"56764";"502";"1039";"267";"1588";"958";"715";"10888";"2729";"7880";"1438";"1334";"593";"3066";"1313";"453";"762";"1190";"1717";"1673";"931";"900";"725";"758";"380";"567";"1043";"633";"653";"1745";"2889";"3447";"1988"
;;"2";"Lahlah, A.";"20161";"186";"365";"59";"581";"287";"246";"4212";"1102";"3867";"580";"422";"249";"962";"536";"117";"270";"287";"489";"758";"300";"250";"219";"216";"147";"113";"323";"163";"212";"584";"781";"770";"508"
;;"3";"Klaver, J.F.";"11223";"99";"224";"48";"294";"156";"153";"2254";"533";"1689";"268";"275";"90";"644";"247";"90";"123";"253";"346";"296";"192";"196";"129";"108";"64";"93";"207";"113";"99";"363";"526";"682";"369"
;;"4";"Piri, K.P.";"1675";"3";"45";"6";"34";"22";"15";"389";"60";"341";"38";"48";"11";"80";"36";"10";"26";"26";"37";"59";"26";"19";"28";"13";"7";"10";"26";"14";"10";"64";"49";"91";"32"
;;"5";"Westerveld, E.M.";"9072";"72";"120";"49";"168";"145";"86";"1708";"304";"1506";"159";"207";"58";"733";"190";"62";"97";"125";"200";"274";"113";"140";"91";"66";"34";"59";"184";"65";"68";"211";"387";"1029";"362"
;;"6";"Patijn, M.H.";"379";"1";"3";"2";"8";"6";"9";"80";"18";"72";"12";"10";"3";"15";"7";"0";"8";"5";"10";"10";"6";"10";"5";"4";"2";"3";"9";"3";"7";"6";"20";"14";"11"
;;"7";"Kröger, S.C.";"732";"8";"13";"1";"17";"12";"2";"198";"26";"131";"14";"20";"8";"44";"17";"1";"8";"8";"14";"28";"15";"2";"6";"7";"5";"5";"9";"7";"5";"24";"25";"42";"10"
;;"8";"Bushoff, T.J.";"94";"0";"3";"1";"1";"2";"0";"27";"1";"23";"0";"1";"0";"8";"0";"1";"1";"1";"3";"1";"1";"0";"2";"0";"0";"0";"1";"3";"0";"3";"7";"2";"1"
;;"9";"van der Lee, T.M.T.";"123";"2";"2";"1";"3";"0";"2";"28";"8";"22";"5";"0";"0";"5";"2";"0";"1";"2";"7";"2";"4";"1";"0";"3";"0";"2";"3";"0";"4";"5";"5";"2";"2"
;;"10";"Mutluer, S.";"260";"0";"3";"0";"11";"3";"4";"85";"21";"44";"6";"1";"0";"23";"0";"0";"1";"3";"4";"6";"4";"2";"3";"5";"0";"0";"4";"2";"0";"3";"13";"5";"4"
;;"11";"Bromet, L.";"790";"6";"6";"2";"18";"16";"8";"200";"19";"151";"15";"20";"5";"44";"19";"6";"9";"11";"17";"27";"10";"10";"13";"4";"5";"4";"14";"9";"6";"24";"39";"32";"21"
;;"12";"de Hoop, H.E.";"273";"0";"4";"1";"10";"11";"1";"66";"7";"53";"4";"3";"3";"17";"6";"1";"1";"7";"9";"9";"6";"3";"4";"2";"2";"1";"4";"0";"0";"8";"7";"14";"9"
;;"13";"Maatoug, S.";"240";"0";"4";"0";"3";"5";"3";"73";"10";"45";"5";"8";"2";"9";"2";"1";"2";"6";"5";"8";"2";"2";"0";"2";"1";"1";"4";"2";"4";"4";"9";"8";"10"
;;"14";"Mohandis, M.";"125";"2";"1";"0";"4";"0";"0";"40";"12";"20";"4";"0";"0";"6";"2";"1";"0";"0";"1";"3";"1";"4";"1";"0";"1";"1";"2";"0";"1";"3";"2";"9";"4"
;;"15";"Gabriëls, G.J.W.";"551";"10";"6";"5";"19";"18";"2";"127";"23";"46";"4";"5";"2";"13";"7";"20";"6";"16";"14";"6";"9";"1";"14";"6";"0";"95";"10";"3";"1";"26";"14";"19";"4"
;;"16";"Thijssen, J.";"127";"0";"3";"2";"4";"1";"0";"58";"4";"12";"2";"3";"2";"7";"0";"1";"3";"2";"1";"1";"0";"0";"0";"1";"0";"0";"2";"0";"1";"3";"10";"3";"1"
;;"17";"Bouchallikh, K.";"418";"0";"5";"1";"7";"2";"0";"127";"30";"105";"9";"4";"0";"20";"2";"2";"3";"2";"6";"5";"5";"5";"2";"2";"1";"0";"4";"1";"4";"18";"12";"24";"10"
;;"18";"Kathmann, B.C.";"227";"2";"2";"1";"4";"2";"4";"69";"9";"41";"8";"4";"1";"17";"7";"2";"2";"7";"4";"7";"5";"1";"0";"0";"0";"0";"2";"2";"5";"5";"4";"7";"3"
;;"19";"Slagt-Tichelman, E.";"293";"2";"8";"0";"5";"3";"3";"80";"10";"53";"4";"7";"2";"15";"12";"2";"5";"5";"5";"9";"4";"5";"4";"1";"0";"1";"6";"3";"0";"8";"9";"16";"6"
;;"20";"Tseggai, M.";"215";"1";"3";"0";"5";"2";"0";"65";"5";"42";"4";"3";"1";"12";"4";"0";"5";"7";"2";"5";"4";"3";"0";"2";"0";"3";"1";"2";"1";"6";"4";"19";"4"
;;"21";"White, R.J.";"65";"1";"1";"0";"2";"1";"1";"12";"1";"17";"0";"1";"0";"2";"3";"0";"1";"1";"2";"2";"0";"2";"0";"1";"0";"2";"3";"0";"0";"3";"2";"0";"4"
;;"22";"Pijpelink, A.";"314";"1";"5";"0";"10";"5";"4";"83";"4";"71";"5";"9";"1";"14";"5";"1";"3";"5";"17";"14";"3";"3";"1";"5";"1";"4";"0";"0";"2";"7";"8";"18";"5"
;;"23";"Chakor, G.";"344";"2";"2";"0";"8";"4";"2";"102";"9";"96";"4";"4";"0";"15";"13";"0";"3";"4";"6";"7";"7";"4";"6";"5";"3";"1";"8";"0";"4";"6";"4";"10";"5"
;;"24";"Nordkamp, J.";"34";"1";"0";"0";"0";"3";"0";"7";"1";"8";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"1";"4";"1";"0";"0";"1";"0";"2"
;;"25";"Stultiens, L.C.J.";"176";"1";"1";"0";"3";"0";"0";"92";"4";"24";"3";"2";"0";"2";"2";"0";"0";"2";"6";"12";"4";"0";"2";"0";"0";"0";"2";"2";"0";"4";"5";"3";"0"
;;"26";"Haage, M.W.";"711";"4";"17";"2";"10";"10";"5";"186";"30";"187";"14";"14";"5";"30";"16";"1";"3";"3";"20";"16";"9";"7";"0";"7";"2";"5";"13";"1";"4";"11";"24";"33";"22"
;;"27";"Hirsch, D.H.";"876";"6";"8";"4";"17";"4";"7";"250";"24";"228";"13";"21";"4";"34";"13";"5";"15";"13";"15";"28";"8";"5";"5";"3";"2";"7";"5";"1";"2";"22";"28";"44";"35"
;;"28";"de Jong, H.A.";"50";"0";"1";"0";"0";"2";"0";"10";"0";"9";"1";"1";"0";"3";"0";"0";"0";"2";"1";"3";"2";"1";"1";"1";"0";"0";"0";"0";"2";"2";"3";"5";"0"
;;"29";"Postma, J.P.";"37";"0";"1";"0";"5";"0";"0";"10";"5";"7";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1"
;;"30";"Oosting, I.";"349";"4";"3";"4";"8";"2";"7";"82";"8";"98";"11";"7";"1";"13";"7";"2";"2";"9";"9";"5";"7";"6";"3";"2";"1";"1";"7";"3";"2";"6";"10";"11";"8"
;;"31";"de Boer, M.M.";"117";"1";"0";"0";"1";"1";"4";"32";"3";"30";"5";"3";"1";"6";"3";"0";"0";"2";"1";"4";"2";"0";"0";"0";"0";"0";"1";"2";"1";"3";"5";"2";"4"
;;"32";"Daenen, J.W.B.";"294";"0";"2";"1";"1";"0";"7";"26";"3";"26";"2";"3";"113";"8";"3";"1";"2";"1";"3";"5";"1";"1";"0";"5";"13";"1";"1";"7";"17";"6";"2";"25";"8"
