"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
;;"21";"Dreteler, S.J.";"64";"64"
"11";"JA21";;;"1736";"1736"
;;"1";"Eerdmans, B.J.";"1007";"1007"
;;"2";"Nanninga, A.";"594";"594"
;;"3";"Ceulemans, S.";"23";"23"
;;"4";"Bakker-Derks, E.H.M.";"23";"23"
;;"5";"van Doorn, D.M.A.";"0";"0"
;;"6";"Goudzwaard, M.";"4";"4"
;;"7";"Schyns, P.F.M.";"4";"4"
;;"8";"Uiterwijk, K.";"10";"10"
;;"9";"Dijksterhuis, R.G.";"1";"1"
;;"10";"van den Berg, D.J.";"7";"7"
;;"11";"Omlo, H.";"4";"4"
;;"12";"Hesselink, S.W.J.";"3";"3"
;;"13";"Nuijten, K.";"1";"1"
;;"14";"Roos, S.M.";"3";"3"
;;"15";"Soltani, M.";"4";"4"
;;"16";"Baten, L.C.C.";"1";"1"
;;"17";"Kövi, J.J.H.M.";"1";"1"
;;"18";"Wilson, L.";"1";"1"
;;"19";"van Vugt, T.";"0";"0"
;;"20";"Wanders, A.M.J.M.";"3";"3"
;;"21";"Lodders, I.A.G.";"2";"2"
;;"22";"Vos, L.L.";"4";"4"
;;"23";"Kauffmann, F.W.";"1";"1"
;;"24";"de Rijke, W.M.";"1";"1"
;;"25";"Hogendoorn, G.A.M.";"1";"1"
;;"26";"Gordijn, C.";"16";"16"
;;"27";"Bloemenkamp, J.H.";"3";"3"
;;"28";"Waitz, J.W.A.";"0";"0"
;;"29";"Veenvliet, A.";"0";"0"
;;"30";"Koetje, J.M.";"3";"3"
;;"31";"Buijs, M.";"0";"0"
;;"32";"Buijt, R.";"0";"0"
;;"33";"Kersten, J.J.M.";"1";"1"
;;"34";"de Groot, G.P.J.";"3";"3"
;;"35";"Hieralal, K.";"0";"0"
;;"36";"Blijlevens, R.P.";"2";"2"
;;"37";"Pastors, M.G.T.";"0";"0"
;;"38";"Fortuijn, S.A.F.";"5";"5"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"527";"527"
;;"1";"Stoffer, C.";"419";"419"
;;"2";"van Dijk, D.J.H.";"26";"26"
;;"3";"Flach, A.J.";"10";"10"
;;"4";"Middelkoop, P.N.";"12";"12"
;;"5";"Vroegindeweij, W.J.";"13";"13"
;;"6";"van der Maas, A.J.";"2";"2"
;;"7";"van der Wind, H.J.";"3";"3"
;;"8";"Both, D.D.";"1";"1"
;;"9";"Kloosterman, J.";"1";"1"
;;"10";"van Heijst, R.C.";"3";"3"
;;"11";"van der Wulp, A.D.";"1";"1"
;;"12";"Polinder, H.J.";"4";"4"
;;"13";"Slingerland, M.";"4";"4"
;;"14";"van Duijn, W.J.";"0";"0"
;;"15";"Barth, L.G.I.";"5";"5"
;;"16";"Lukasse, J.";"1";"1"
;;"17";"Tanis, J.P.";"0";"0"
;;"18";"Bosma, E.G.";"2";"2"
;;"19";"Schipaanboord, G.P.";"2";"2"
;;"20";"Veldman, J.D.";"1";"1"
;;"21";"Hartog, J.";"1";"1"
;;"22";"Koekoek, J.T.";"2";"2"
;;"23";"de Knegt, L.";"0";"0"
;;"24";"van Leeuwen, G.R.";"0";"0"
;;"25";"Bakker, T.";"1";"1"
;;"26";"Kok, W.H.";"1";"1"
;;"27";"van Westreenen, S.";"2";"2"
;;"28";"Noordergraaf, P.T.";"0";"0"
;;"29";"Boersma, A.";"3";"3"
;;"30";"Talen, L.";"0";"0"
;;"31";"van de Waerdt, C.J.";"0";"0"
;;"32";"Bulten, H.G.";"0";"0"
;;"33";"Versteeg, A.";"0";"0"
;;"34";"Kisteman, L.";"0";"0"
;;"35";"van Bruchem, L.";"2";"2"
;;"36";"van den Dikkenberg, L.C.";"0";"0"
;;"37";"Herweijer, H.";"1";"1"
;;"38";"van Laar, G.J.";"1";"1"
;;"39";"Scheppink, A.J.";"0";"0"
;;"40";"van Heteren, R.";"0";"0"
;;"41";"van den Belt, B.";"0";"0"
;;"42";"van Iwaarden, D.";"0";"0"
;;"43";"van Tuijl, L.O.";"0";"0"
;;"44";"Proos, A.J.";"3";"3"
"13";"DENK";;;"31609";"31609"
;;"1";"van Baarle, S.R.T.";"19931";"19931"
;;"2";"Ergin, D.A.";"1475";"1475"
;;"3";"El Abassi, I.";"2464";"2464"
;;"4";"Alrubey, A.";"590";"590"
;;"5";"Gün, E.";"1381";"1381"
;;"6";"Usta, Y.";"134";"134"
;;"7";"Rijssel, N.E.";"181";"181"
;;"8";"Maroof, A.";"229";"229"
;;"9";"Mac Intosch, G.J.";"364";"364"
;;"10";"Safranti, M.";"111";"111"
;;"11";"Bayrakci, Y.C.";"63";"63"
;;"12";"Ghazi, M.I.";"1227";"1227"
;;"13";"Özçelik, S.";"193";"193"
;;"14";"Kaya, A.";"168";"168"
;;"15";"Konuksever-Tekin, A.";"700";"700"
;;"16";"Fkihi, O.";"31";"31"
;;"17";"Çetinkaya, T.";"95";"95"
;;"18";"Şahin, E.";"34";"34"
;;"19";"Kahramanoğlu, C.";"31";"31"
;;"20";"Kaplan, Ç.";"16";"16"
;;"21";"Manhoef, E.E.";"140";"140"
;;"22";"Tan, C.";"15";"15"
;;"23";"Kondu, F.";"18";"18"
;;"24";"Şimşek, J.I.";"22";"22"
;;"25";"Ileri, F.";"38";"38"
;;"26";"Buyatui, H.";"18";"18"
;;"27";"van Burik, M.";"19";"19"
;;"28";"Muradin, N.";"47";"47"
;;"29";"Delener, I.";"134";"134"
;;"30";"Sodirijo, S.D.";"13";"13"
;;"31";"Ağirbaş, A.";"13";"13"
;;"32";"Özcan, R.";"42";"42"
;;"33";"Tangali, M.J.";"111";"111"
;;"34";"Othman, R.";"217";"217"
;;"35";"Yildirim, A.";"27";"27"
;;"36";"Akhatab, N.";"71";"71"
;;"37";"Ben Touhami, M.";"161";"161"
;;"38";"Bal, M.I.";"14";"14"
;;"39";"Pancar, Ş.";"24";"24"
;;"40";"Akça, S.";"4";"4"
;;"41";"Dokgöz, Ş.";"28";"28"
;;"42";"Icar, N.";"17";"17"
;;"43";"Khan, S.Y.";"382";"382"
;;"44";"Sungur, M.";"51";"51"
;;"45";"Koyuncu, S.";"467";"467"
;;"46";"Achbar, F.";"98";"98"
"14";"50PLUS";;;"1236";"1236"
;;"1";"van Hooft, G.O.P.C.";"613";"613"
;;"2";"van Rooij, M.G.J.H.";"55";"55"
;;"3";"Brouwers, J.F.X.M.";"18";"18"
;;"4";"Hoek, W.M.M.";"215";"215"
;;"5";"van Acquoij, R.H.";"6";"6"
;;"6";"Hernández Martínez, A.";"71";"71"
;;"7";"Fonhof, G.J.";"4";"4"
;;"8";"van Tilborg, H.C.A.M.";"8";"8"
;;"9";"van Orsouw, J.H.T.";"3";"3"
;;"10";"Faassen, A.G.";"12";"12"
;;"11";"Hessing, J.C.";"3";"3"
;;"12";"Jablonski, J.";"4";"4"
;;"13";"Bongers, J.W.M.";"2";"2"
;;"14";"Franse, A.H.";"2";"2"
;;"15";"van Loon, J.C.A.";"3";"3"
;;"16";"de Kruif, F.N.J.";"4";"4"
;;"17";"van Es, J.W.";"178";"178"
;;"18";"Biever, R.M.";"0";"0"
;;"19";"Hamersma, K.";"3";"3"
;;"20";"Hornis, M.P.";"0";"0"
;;"21";"van Aert, J.L.";"1";"1"
;;"22";"Vriens, M.F.L.";"1";"1"
;;"23";"Voets, J.J.M.";"1";"1"
;;"24";"Hendriks, J.";"29";"29"
"15";"BBB";;;"4183";"4183"
;;"1";"van der Plas, C.A.M.";"3134";"3134"
;;"2";"Keijzer, M.C.G.";"557";"557"
;;"3";"Tuinman, G.P.";"53";"53"
;;"4";"Vermeer, H.";"9";"9"
;;"5";"Helder, L.M.J.S.";"24";"24"
;;"6";"Pierik, C.R.";"1";"1"
;;"7";"van Zanten, C.R.";"199";"199"
;;"8";"Rummenie, J.F.";"3";"3"
;;"9";"Pouw-Verweij, N.J.F.";"35";"35"
;;"10";"Rikkers-Oosterkamp, M.G.F.";"10";"10"
;;"11";"Wijen-Nass, M.J.M.H.";"3";"3"
;;"12";"Oostenbrink, M.";"2";"2"
;;"13";"Rekers, J.D.";"6";"6"
;;"14";"Hendriks, A.J.";"7";"7"
;;"15";"Govaert, C.A.H.M.";"22";"22"
;;"16";"van Vliet, L.R.";"2";"2"
;;"17";"Hemmen, H.M.";"4";"4"
;;"18";"van Vuuren, C.H.";"6";"6"
;;"19";"van der Meer, S.";"5";"5"
;;"20";"Stoop, C.J.";"1";"1"
;;"21";"van Veen, A.";"3";"3"
;;"22";"van Lissum, J.T.M.";"21";"21"
;;"23";"Stegink, T.W.";"1";"1"
;;"24";"Huiskamp, F.M.";"4";"4"
;;"25";"Eppink, D.J.";"18";"18"
;;"26";"Hankers, H.F.";"4";"4"
;;"27";"Berghout, N.C.G.";"3";"3"
;;"28";"Roubos, G.L.";"2";"2"
;;"29";"Evers, G.J.A.";"0";"0"
;;"30";"Sijbolts, M.A.";"0";"0"
;;"31";"Poppe, W.P.";"2";"2"
;;"32";"Swaag, J.H.";"3";"3"
;;"33";"Waalkens, D.E.";"0";"0"
;;"34";"de Ridder, R.J.G.";"3";"3"
;;"35";"Jaspers, W.C.P.H.";"0";"0"
;;"36";"Floors, G.W.C.";"1";"1"
;;"37";"Luitwieler-Bosma, J.M.";"1";"1"
;;"38";"Rood, I.";"1";"1"
;;"39";"van Noort, M.";"2";"2"
;;"40";"Cromwijk, J.";"1";"1"
;;"41";"van Wijk, J.W.";"1";"1"
;;"42";"Bos-Zandstra, K.J.";"1";"1"
;;"43";"Egelmeers, P.C.J.M.";"1";"1"
;;"44";"Baltus, A.W.M.";"3";"3"
;;"45";"van der Wereld-Verkerk, P.C.";"1";"1"
;;"46";"Schoone, L.";"4";"4"
;;"47";"Spätgens, J.M.";"0";"0"
;;"48";"Zeedzen, D.";"1";"1"
;;"49";"Hellebrand, W.T.";"6";"6"
;;"50";"Kattenberg, G.D.";"12";"12"
"16";"BIJ1";;;"9707";"9707"
;;"1";"Olf, E.M.";"4080";"4080"
;;"2";"Mc Cray, L.";"1730";"1730"
;;"3";"Salmi, L.";"665";"665"
;;"4";"Courtar, G.O.";"285";"285"
;;"5";"de Miranda, E.N.";"377";"377"
;;"6";"Berend, C.E.W.R.";"616";"616"
;;"7";"Luhrs, Y.";"660";"660"
;;"8";"Gal, Y.";"61";"61"
;;"9";"ten Caat, J.";"8";"8"
;;"10";"Zandee, J.I.N.";"47";"47"
;;"11";"Bakker, D.L.";"266";"266"
;;"12";"Wienen, R.D.";"104";"104"
;;"13";"Bijleveld, D.";"199";"199"
;;"14";"Vrede, R.I.";"424";"424"
;;"15";"Timmer, R.S.Y.";"185";"185"
"17";"Piratenpartij - De Groenen";;;"793";"793"
;;"1";"van Treuren, M.A.";"274";"274"
;;"2";"Sadloe, S.";"146";"146"
;;"3";"van Zwoll, R.M.E.";"128";"128"
;;"4";"Pontier, M.A.";"53";"53"
;;"5";"Brandsma, W.A.";"4";"4"
;;"6";"ter Haar, O.H.";"7";"7"
;;"7";"Zimmerman, H.K.";"39";"39"
;;"8";"van Rijn, M.P.";"36";"36"
;;"9";"Berendsen, P.";"5";"5"
;;"10";"Yadegari, S.";"9";"9"
;;"11";"Pot, A.A.M.";"10";"10"
;;"12";"Werner, D.R.";"2";"2"
;;"13";"van Deijk, D.D.";"1";"1"
;;"14";"Russchenberg, S.";"4";"4"
;;"15";"Hallegraeff, D.S.";"3";"3"
;;"16";"Bresser, A.C.";"1";"1"
;;"17";"Abendroth, A.M.";"8";"8"
;;"18";"Darvish-Zadeh, P.";"0";"0"
;;"19";"Schrama, D.D.";"2";"2"
;;"20";"Werner-Wafelman, L.S.";"5";"5"
;;"21";"Plesa, B.";"5";"5"
;;"22";"Bouma, E.";"0";"0"
;;"23";"Bethlehem, C.";"4";"4"
;;"24";"Dekkers, S.A.P.";"0";"0"
;;"25";"van Nes, T.";"2";"2"
;;"26";"Linnenbank, A.C.";"1";"1"
;;"27";"Braun, P.W.";"1";"1"
;;"28";"Doting, R.";"2";"2"
;;"29";"Teders, N.B.";"0";"0"
;;"30";"Bakkers, T.F.M.";"10";"10"
;;"31";"van Gelderen, J.J.";"2";"2"
;;"32";"baron van Till, J.W.J.";"5";"5"
;;"33";"van Breemen, W.";"0";"0"
;;"34";"Blaak, M.G.M.H.";"24";"24"
"18";"BVNL / Groep Van Haga";;;"1447";"1447"
;;"1";"van Haga, W.R.";"1017";"1017"
;;"2";"Krol, H.C.M.";"44";"44"
;;"3";"van Keimpema, J.S.";"68";"68"
;;"4";"Dercksen, R.G.J.";"3";"3"
;;"5";"Koopmans - van der Veen, W.J.";"20";"20"
;;"6";"van Aalst, R.R.";"1";"1"
;;"7";"Emons, I.M.A.";"11";"11"
;;"8";"Shahbazi Fishtali, S.";"35";"35"
;;"9";"de Kok, A.";"0";"0"
;;"10";"van Tellingen, H.P.";"12";"12"
;;"11";"van der Velden, P.";"2";"2"
;;"12";"Ramautarsing, Y.J.S.";"27";"27"
;;"13";"Bosscher, C.J.";"4";"4"
;;"14";"Wijnschenk, H.H.R.";"2";"2"
;;"15";"Hulleman, S.P.X.";"71";"71"
;;"16";"Schuiling, A.";"2";"2"
;;"17";"van der Veen, T.A.";"1";"1"
;;"18";"Schilder, P.C.J.";"11";"11"
;;"19";"Vogelzang, S.J.";"0";"0"
;;"20";"Pestman, R.J.E.";"1";"1"
;;"21";"Vulders, S.";"2";"2"
;;"22";"van der Wiele, D.";"2";"2"
;;"23";"Brunke, R.L.";"0";"0"
;;"24";"Gorter-de Vos, M.";"1";"1"
;;"25";"van Dalen, E.H.";"1";"1"
;;"26";"Wiersma, K.J.";"1";"1"
;;"27";"van Kassel, P.";"12";"12"
;;"28";"Wymenga-Kooistra, G.";"0";"0"
;;"29";"Jonk, S.J.M.";"1";"1"
;;"30";"Zuidema, C.";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"1";"1"
;;"32";"Mensing, C.M.";"0";"0"
;;"33";"Durlacher, F.";"0";"0"
;;"34";"Dienjes, C.S.";"0";"0"
;;"35";"de Bekker, M.A.";"0";"0"
;;"36";"Laarhoven, E.L.O.";"2";"2"
;;"37";"Eradus, R.F.E.";"4";"4"
;;"38";"Westhoff, R.J.H.";"0";"0"
;;"39";"Beverloo, M.";"0";"0"
;;"40";"van Buuren, M.J.";"0";"0"
;;"41";"Overeem, A.C.";"48";"48"
;;"42";"Thiessens, F.B.M.";"2";"2"
;;"43";"Brouwer, A.";"0";"0"
;;"44";"Manders, T.T.A.J.";"14";"14"
;;"45";"Filippini, L.T.C.";"7";"7"
;;"46";"Verweij, D.W.";"2";"2"
;;"47";"Elens, R.B.";"13";"13"
;;"48";"Rolloos, M.A.";"1";"1"
;;"49";"Talsma, J.";"0";"0"
;;"50";"Smolders, H.A.J.";"1";"1"
"19";"Nieuw Sociaal Contract";;;"27787";"27787"
;;"1";"Omtzigt, P.H.";"23958";"23958"
;;"2";"van Vroonhoven-Kok, J.N.";"1119";"1119"
;;"3";"Uitermark, J.J.M.";"310";"310"
;;"4";"Veldkamp, C.C.J.";"77";"77"
;;"5";"Palmen-Schlangen, S.T.P.H.";"218";"218"
;;"6";"van Hijum, Y.J.";"15";"15"
;;"7";"Soepboer, A.J.";"74";"74"
;;"8";"Joseph, A.S.";"68";"68"
;;"9";"Six Dijkstra, J.P.S.";"54";"54"
;;"10";"Welzijn, R.M.";"148";"148"
;;"11";"Postma, W.L.";"20";"20"
;;"12";"Zeedijk-Raeven, F.A.";"46";"46"
;;"13";"Idsinga, F.L.";"147";"147"
;;"14";"Jansen, D.E.M.C.";"45";"45"
;;"15";"van Oostenbruggen, T.";"8";"8"
;;"16";"Kahraman, I.";"117";"117"
;;"17";"Hertzberger, R.Y.";"255";"255"
;;"18";"Bruyning, F.H.";"110";"110"
;;"19";"van Dijk, O.C.";"15";"15"
;;"20";"Holman, H.";"8";"8"
;;"21";"Boomsma, D.T.";"469";"469"
;;"22";"Heite, A.";"48";"48"
;;"23";"Saris, I.G.";"45";"45"
;;"24";"Wingelaar, N.T.P.";"16";"16"
;;"25";"Koops, W.J.";"10";"10"
;;"26";"Achahbar, N.";"118";"118"
;;"27";"van Waveren, A.";"3";"3"
;;"28";"de Korte-Verhoef, M.C.";"17";"17"
;;"29";"Boelhouwer, N.P.";"23";"23"
;;"30";"Schouten, M.A.C.";"3";"3"
;;"31";"Kouwenhoven, A.J.";"2";"2"
;;"32";"Verouden, V.C.H.M.";"3";"3"
;;"33";"Heine, J.A.H.";"1";"1"
;;"34";"Pouwelse, S.F.W.";"4";"4"
;;"35";"de Leeuw-Jongejans, M.M.";"6";"6"
;;"36";"Hartog, I.C.";"4";"4"
;;"37";"van Bruchem, R.H.J.";"2";"2"
;;"38";"van de Ven, M.A.A.";"1";"1"
;;"39";"de Neijs, E.D.E.";"21";"21"
;;"40";"Hassoo, W.";"67";"67"
;;"41";"Graafland-van Duijn, M.A.";"97";"97"
;;"42";"den Hartogh, A.";"7";"7"
;;"43";"Wessels, R.";"2";"2"
;;"44";"Geleijnse, S.";"6";"6"
"20";"Splinter";;;"521";"521"
;;"1";"van Kooten-Arissen, F.M.";"379";"379"
;;"2";"Ipenburg, N.";"31";"31"
;;"3";"Bogers, T.J.";"27";"27"
;;"4";"Vos, J.";"6";"6"
;;"5";"Jansma, D.M.";"0";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"3";"3"
;;"7";"Rasenberg, N.E.";"6";"6"
;;"8";"Janssen, P.G.";"2";"2"
;;"9";"van der Weide, Y.";"6";"6"
;;"10";"Wehnes, E.";"0";"0"
;;"11";"de Backer, R.E.";"1";"1"
;;"12";"Hoedeman, A.D.J.";"9";"9"
;;"13";"Rechards, B.P.";"8";"8"
;;"14";"Weyers, J.A.W.P.";"1";"1"
;;"15";"van Dam, G.A.J.";"4";"4"
;;"16";"Abrahams, J.M.";"4";"4"
;;"17";"Kuin, D.";"0";"0"
;;"18";"Gerritsen, M.C.G.";"3";"3"
;;"19";"Leijendekkers, L.S.";"3";"3"
;;"20";"de Ruiter, T.K.";"5";"5"
;;"21";"Pijnenburg, G.A.J.";"0";"0"
;;"22";"Schot, M.";"0";"0"
;;"23";"Ezendam, N.";"3";"3"
;;"24";"Peeters, L.M.";"0";"0"
;;"25";"de Groot, D.S.";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"1";"1"
;;"27";"Bruijstens, P.";"0";"0"
;;"28";"Keizer, M.B.";"3";"3"
;;"29";"Gol, T.M.L.";"0";"0"
;;"30";"de Koning, T.";"2";"2"
;;"31";"Keyser, I.";"14";"14"
"21";"LP (Libertaire Partij)";;;"255";"255"
;;"1";"van Lamoen, T.J.";"180";"180"
;;"2";"Burggraaf, B.W.";"7";"7"
;;"3";"Verhagen, P.H.";"9";"9"
;;"4";"Zijlstra, J.";"2";"2"
;;"5";"Meijer, T.D.J.";"3";"3"
;;"6";"Huijs, T.";"3";"3"
;;"7";"Pailer, S.";"33";"33"
;;"8";"Loman, W.P.J.A.";"1";"1"
;;"9";"van den Brink, G.D.";"2";"2"
;;"10";"Backhuijs, W.Q.";"1";"1"
;;"11";"Koopmans, S.F.P.";"1";"1"
;;"12";"Wassenaar, K.J.";"3";"3"
;;"13";"Noortman, M.";"1";"1"
;;"14";"Visser, P.R.";"0";"0"
;;"15";"Mens, R.W.";"1";"1"
;;"16";"Brokke, M.A.";"1";"1"
;;"17";"Kleinsmit, H.T.J.";"3";"3"
;;"18";"Hartkamp, P.L.";"0";"0"
;;"19";"Vermeulen, E.";"4";"4"
"22";"LEF - Voor de Nieuwe Generatie";;;"357";"357"
;;"1";"van Duijn, D.C.";"147";"147"
;;"2";"Zantman, N.M.";"94";"94"
;;"3";"Neijts, Z.V.";"17";"17"
;;"4";"Wijnker, M.I.";"10";"10"
;;"5";"Bloem, J.F.";"7";"7"
;;"6";"van Westerlaak, R.M.G.";"3";"3"
;;"7";"van Diest, Y.A.";"5";"5"
;;"8";"Kherrazi, W.";"12";"12"
;;"9";"Pont, I.";"4";"4"
;;"10";"Torres Noordenbos, D.";"6";"6"
;;"11";"Gunning, M.";"7";"7"
;;"12";"Berends, M.C.";"1";"1"
;;"13";"Pickkers, L.J.";"1";"1"
;;"14";"Sjiem-Fat, S.D.";"19";"19"
;;"15";"Hulst, P.W.";"6";"6"
;;"16";"Bijl, L.";"6";"6"
;;"17";"Twaalfhoven, M.";"5";"5"
;;"18";"Melis, E.M.";"4";"4"
;;"19";"van Die, B.L.Y.";"1";"1"
;;"20";"van Rooij, M.H.M.";"2";"2"
"23";"Samen voor Nederland";;;"128";"128"
;;"1";"Reijinga, M.";"60";"60"
;;"2";"You-ala, S.";"24";"24"
;;"3";"ten Seldam, W.";"3";"3"
;;"4";"Olde Kalter, D.H.";"1";"1"
;;"5";"Verspeek, M.R.";"3";"3"
;;"6";"Huzen, J.";"2";"2"
;;"7";"Buijs, L.J.";"1";"1"
;;"8";"Vaneker, N.C.";"4";"4"
;;"9";"Kuiper, T.R.M.";"1";"1"
;;"10";"Berndsen, V.";"0";"0"
;;"11";"Bosman, M.";"4";"4"
;;"12";"van den Berg, D.";"2";"2"
;;"13";"Dekker, C.J.";"6";"6"
;;"14";"Seijffert-Wubbels, J.M.";"2";"2"
;;"15";"Korving, R.J.";"0";"0"
;;"16";"Wagt, B.";"2";"2"
;;"17";"van der Pluijm, D.L.L.";"2";"2"
;;"18";"Verspeek, M.";"0";"0"
;;"19";"Ebbers, M.";"1";"1"
;;"20";"Timmer, B.";"0";"0"
;;"21";"Ijben, M.W.";"0";"0"
;;"22";"Bink, S.";"2";"2"
;;"23";"Roebersen, F.J.";"1";"1"
;;"24";"Ottenhoff, R.S.A.";"1";"1"
;;"25";"Honders, A.J.";"1";"1"
;;"26";"Huijing, A.A.";"0";"0"
;;"27";"Heesterman, E.";"1";"1"
;;"28";"Zwijnenburg, E.J.";"4";"4"
"24";"Nederland met een PLAN";;;"342";"342"
;;"1";"Chan, K.K.";"232";"232"
;;"2";"Hogeweg, M.Y.";"22";"22"
;;"3";"Groeneveld, R.M.";"6";"6"
;;"4";"Bouwman, A.K.";"9";"9"
;;"5";"Lutgens, S.I.";"14";"14"
;;"6";"Bakker, R.";"4";"4"
;;"7";"Dong, L.";"9";"9"
;;"8";"Riley, M.L.H.";"11";"11"
;;"9";"Chan, S.S.";"6";"6"
;;"10";"Cai, Y.";"6";"6"
;;"11";"Bosch, D.M.I.T.M.G.";"7";"7"
;;"12";"Fan, W.";"0";"0"
;;"13";"Adolfse, V.W.M.M.";"1";"1"
;;"14";"Cao, X.";"3";"3"
;;"15";"Lee, C.Y.";"1";"1"
;;"16";"Aabidi, M.";"0";"0"
;;"17";"Chang, M.J.P.L.";"11";"11"
"25";"PartijvdSport";;;"195";"195"
;;"1";"van Duivenboden, A.M.C.J.";"102";"102"
;;"2";"van der Smissen, A.J.P.W.A.";"1";"1"
;;"3";"van Brussel, D.";"4";"4"
;;"4";"Liefers, G.J.";"8";"8"
;;"5";"Ladeur, W.H.M.";"3";"3"
;;"6";"Bijl, M.L.";"5";"5"
;;"7";"Stols-Gonçalves, D.";"44";"44"
;;"8";"Kempenaar, H.A.";"2";"2"
;;"9";"Devilee, E.M.";"7";"7"
;;"10";"Maaskant, R.P.";"19";"19"
"26";"Politieke Partij voor Basisinkomen";;;"149";"149"
;;"1";"Hannen, G.H.";"62";"62"
;;"2";"van Mierlo, L.M.A.";"7";"7"
;;"3";"Delsing, S.A.M.";"47";"47"
;;"4";"Diepenhorst, R.R.R.";"1";"1"
;;"5";"Binsbergen, E.";"14";"14"
;;"6";"Smit, H.R.M.P.";"3";"3"
;;"7";"Veeger, M.J.M.";"1";"1"
;;"8";"van der Staaij, E.J.";"1";"1"
;;"9";"Karremann, R.L.";"2";"2"
;;"10";"Rosenbaum, D.";"0";"0"
;;"11";"Sijtsma, S.";"11";"11"
