"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
;;"31";"van Dorst, P.A.";"22";"22"
;;"32";"Wijnja, G.H.";"13";"13"
;;"33";"de Vries, M.M.";"16";"16"
;;"34";"Schoonbeek, F.";"7";"7"
;;"35";"Mathlouti, M.";"8";"8"
;;"36";"Ruttenberg, W.C.J.";"7";"7"
;;"37";"Koops, J.H.";"9";"9"
;;"38";"Hagen, K.B.";"193";"193"
;;"39";"Hiemstra, G.J.";"40";"40"
;;"40";"Keijmel - den Boer, J.M.I.";"8";"8"
;;"41";"Tjeerdema, H.";"5";"5"
;;"42";"Woudstra, E.";"12";"12"
;;"43";"Olsthoorn, A.";"6";"6"
;;"44";"van Peski, C.J.";"11";"11"
;;"45";"van Hattum, B.";"7";"7"
;;"46";"Dekker-Abdulaziz, H.";"36";"36"
;;"47";"van Driel, M.";"4";"4"
;;"48";"Ruijs, L.J.M.";"4";"4"
;;"49";"van der Gaag, P.J.";"25";"25"
;;"50";"Bosters, E.L.";"5";"5"
;;"51";"Hoevers, J.";"3";"3"
;;"52";"van de Vijver, V.F.";"14";"14"
;;"53";"Vemer, P.";"1";"1"
;;"54";"Wallast, R.D.";"0";"0"
;;"55";"André, E.S.";"2";"2"
;;"56";"Wesseling, A.";"12";"12"
;;"57";"Maessen, R.J.M.";"2";"2"
;;"58";"Schoonen, M.";"8";"8"
;;"59";"Pi Van de Venne, P.R.";"1";"1"
;;"60";"Jenneskens, M.T.P.";"8";"8"
;;"61";"Janssen, S.L.J.";"13";"13"
;;"62";"de Vries, L.";"7";"7"
;;"63";"Chaban, S.";"3";"3"
;;"64";"Louhenapessij, A.F.";"12";"12"
;;"65";"Nooitmeer, L.I.";"37";"37"
;;"66";"van Essen, J.";"4";"4"
;;"67";"Nunnely, J.M.";"7";"7"
;;"68";"Türkkol, N.";"85";"85"
;;"69";"van der Voort, P.H.J.";"5";"5"
;;"70";"Hendrickx, M.T.M.";"8";"8"
;;"71";"Gräper-van Koolwijk, F.Q.";"4";"4"
;;"72";"Weerwind, F.M.";"18";"18"
;;"73";"van Huffelen, A.C.";"23";"23"
;;"74";"Kuipers, E.J.";"38";"38"
;;"75";"Ollongren, K.H.";"88";"88"
;;"76";"Dijkgraaf, R.H.";"196";"196"
;;"77";"Uslu, G.";"123";"123"
;;"78";"Pechtold, A.";"52";"52"
;;"79";"Terlouw, J.C.";"72";"72"
;;"80";"Kaag, S.A.M.";"385";"385"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"141976";"141976"
;;"1";"Timmermans, F.C.G.M.";"51467";"51467"
;;"2";"Lahlah, A.";"19966";"19966"
;;"3";"Klaver, J.F.";"9223";"9223"
