"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"35";"Hartsuiker, R.J.J.";"626";"41";"51";"263";"33";"11";"53";"75";"15";"10";"14";"17";"43"
;;"36";"Klein Lankhorst, H.";"4";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"37";"Haverkort, E.A.";"67";"2";"5";"3";"0";"1";"16";"3";"0";"5";"2";"15";"15"
;;"38";"Simons, C.";"4";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0"
;;"39";"Bijenhof, Y.";"11";"1";"0";"2";"0";"3";"1";"1";"1";"0";"1";"1";"0"
;;"40";"van Groningen, D.A.";"18";"2";"1";"0";"2";"0";"0";"0";"1";"0";"2";"8";"2"
;;"41";"Zeeuw van der Laan, E.M.";"6";"2";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0"
;;"42";"Volkman, Y.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van Kessel, P.W.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"44";"Rahimi, H.";"4";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"45";"Omlo, B.F.";"6";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1"
;;"46";"Yizhak Cooremans, R.A.T.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"47";"Nelisse, R.M.L.";"16";"0";"1";"0";"1";"0";"4";"0";"1";"7";"1";"0";"1"
;;"48";"de Wit, B.G.P.";"8";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"2";"1"
