"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"44";"Bosman, E.M.";"6";"0";"0";"1";"1";"1";"0";"2";"0";"1";"0";"0";"0"
;;"45";"Kuipers, C.M.";"28";"4";"0";"3";"0";"3";"2";"0";"1";"1";"1";"10";"3"
;;"46";"van Schalkwijk, M.W.";"13";"3";"0";"2";"0";"2";"2";"0";"2";"1";"0";"0";"1"
;;"47";"Boshove, R.";"32";"0";"6";"8";"5";"5";"1";"1";"1";"0";"1";"2";"2"
;;"48";"Meijerink, E.G.";"125";"7";"4";"27";"14";"41";"1";"3";"9";"2";"5";"5";"7"
;;"49";"de Vries, J.H.";"13";"1";"2";"2";"0";"0";"1";"2";"0";"1";"1";"0";"3"
;;"50";"Hümmels, Y.A.";"74";"14";"4";"12";"9";"6";"4";"6";"3";"7";"2";"6";"1"
"4";"PVV (Partij voor de Vrijheid)";;;"84503";"8885";"6569";"24282";"10997";"5042";"3466";"4838";"3983";"4396";"2856";"3615";"5574"
;;"1";"Wilders, G.";"76790";"7849";"5989";"22578";"10080";"4534";"3074";"4411";"3578";"3955";"2564";"3167";"5011"
;;"2";"Agema, M.";"3923";"544";"319";"844";"508";"267";"178";"197";"204";"211";"159";"178";"314"
;;"3";"van Meetelen, R.F.";"173";"25";"10";"42";"29";"8";"5";"7";"8";"10";"5";"8";"16"
;;"4";"Markuszower, G.";"66";"13";"1";"14";"10";"1";"6";"0";"7";"3";"1";"6";"4"
;;"5";"Bosma, M.";"1465";"198";"107";"300";"136";"128";"66";"86";"96";"89";"75";"94";"90"
;;"6";"Claassen, R.A.B.";"15";"1";"1";"4";"0";"0";"0";"2";"1";"1";"0";"3";"2"
;;"7";"Faber, M.H.M.";"129";"17";"10";"22";"15";"7";"5";"3";"7";"13";"6";"9";"15"
;;"8";"Mulder, E.";"367";"24";"31";"60";"75";"62";"10";"13";"45";"6";"13";"5";"23"
;;"9";"Maeijer, V.";"44";"7";"0";"12";"6";"1";"4";"1";"2";"2";"1";"0";"8"
;;"10";"van Dijck, A.P.C.";"15";"0";"3";"2";"1";"2";"0";"0";"4";"1";"1";"1";"0"
;;"11";"Kops, A.";"14";"2";"0";"1";"2";"0";"1";"4";"1";"1";"0";"0";"2"
;;"12";"Madlener, B.";"9";"1";"0";"4";"0";"2";"0";"0";"0";"0";"0";"2";"0"
;;"13";"de Jong, L.W.E.";"21";"4";"4";"4";"3";"0";"2";"1";"1";"0";"0";"0";"2"
;;"14";"Graus, D.J.G.";"28";"2";"8";"9";"1";"1";"3";"0";"0";"1";"1";"2";"0"
;;"15";"Blaauw, R.B.";"207";"27";"11";"40";"17";"2";"32";"27";"0";"8";"4";"24";"15"
;;"16";"de Roon, R.";"6";"0";"1";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van Dijk, E.";"11";"0";"3";"2";"0";"2";"0";"2";"0";"0";"0";"2";"0"
;;"18";"de Vree, J.H.";"4";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1"
;;"19";"Aardema, M.";"92";"15";"7";"13";"12";"1";"4";"2";"3";"21";"7";"3";"4"
;;"20";"van der Velde, M.K.";"48";"6";"3";"14";"7";"1";"2";"4";"3";"3";"2";"1";"2"
;;"21";"van der Hoeff, P.H.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Deen, M.";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0"
;;"23";"Nijhof-Leeuw, J.M.";"111";"21";"14";"27";"14";"6";"2";"3";"4";"4";"3";"0";"13"
;;"24";"Boon, M.C.H.";"11";"1";"0";"4";"2";"2";"0";"1";"0";"1";"0";"0";"0"
;;"25";"Mooiman, J.";"32";"2";"2";"11";"3";"2";"1";"2";"2";"1";"0";"4";"2"
;;"26";"Ram, D.";"225";"41";"11";"34";"21";"1";"16";"10";"1";"32";"5";"42";"11"
;;"27";"Vlottes, E.";"6";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Smitskam, P.";"6";"2";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Esser, E.R.F.";"4";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0"
;;"30";"Boutkan, W.";"5";"0";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0"
;;"31";"van den Born, V.H.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"32";"Crijns, P.P.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"4";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"30";"5";"4";"4";"6";"2";"1";"3";"1";"1";"0";"2";"1"
;;"35";"Valize, J.J.T.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"36";"Heutink, H.D.";"11";"0";"3";"2";"2";"0";"1";"1";"1";"0";"1";"0";"0"
;;"37";"Pool, J.";"16";"1";"0";"1";"6";"2";"0";"0";"4";"0";"1";"1";"0"
;;"38";"Faddegon, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"210";"47";"2";"24";"11";"0";"18";"2";"2";"21";"1";"57";"25"
;;"40";"Rep, R.J.H.H.";"328";"14";"19";"188";"10";"0";"22";"54";"2";"4";"3";"3";"9"
;;"41";"Thiadens, F.M.";"5";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
;;"42";"Raijer, A.J.";"24";"2";"2";"7";"5";"1";"1";"0";"2";"0";"0";"1";"3"
;;"43";"van Bijnen, H.M.";"4";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Strien, G.A.";"34";"8";"1";"7";"6";"1";"6";"1";"1";"2";"1";"0";"0"
"5";"CDA";;;"11928";"1354";"934";"2223";"1831";"889";"444";"536";"826";"698";"506";"705";"982"
;;"1";"Bontenbal, H.";"8338";"964";"682";"1547";"1371";"612";"309";"397";"439";"548";"301";"523";"645"
;;"2";"Vedder, E.C.";"2899";"287";"184";"509";"384";"243";"116";"112";"356";"97";"191";"129";"291"
;;"3";"Boswijk, D.G.";"62";"10";"4";"10";"4";"9";"4";"0";"5";"3";"4";"3";"6"
;;"4";"van Dijk, I.";"61";"11";"6";"8";"11";"4";"1";"3";"4";"2";"2";"4";"5"
;;"5";"Krul, H.M.";"21";"5";"5";"3";"3";"0";"0";"0";"2";"2";"1";"0";"0"
;;"6";"Palland-Mulder, H.M.";"51";"7";"6";"12";"11";"6";"1";"2";"1";"1";"0";"2";"2"
;;"7";"van den Brink, G.";"8";"2";"1";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"8";"Absil, M.G.J.A.C.";"18";"9";"0";"2";"0";"1";"0";"0";"0";"0";"2";"4";"0"
;;"9";"Steen, H.S.";"29";"1";"13";"3";"1";"0";"2";"3";"3";"0";"0";"2";"1"
;;"10";"Kuik, A.";"162";"13";"9";"80";"11";"1";"5";"8";"3";"14";"3";"8";"7"
;;"11";"Spoelstra, J.";"26";"5";"4";"0";"2";"3";"1";"0";"0";"7";"0";"2";"2"
;;"12";"Slootweg, E.J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"13";"Chaoui-Nhass, S.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"5";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"15";"Diederen, R.";"3";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"16";"Hamstra, S.";"7";"0";"1";"1";"1";"0";"0";"0";"3";"0";"0";"0";"1"
;;"17";"Houmes, E.S.";"6";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"3"
;;"18";"van den Berg, J.H.C.";"6";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"19";"de Haan, J.D.P.";"71";"12";"2";"8";"2";"0";"1";"5";"0";"15";"0";"19";"7"
;;"20";"Vermeer, J.";"8";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"1";"2"
;;"21";"van der Heide, E.J.";"5";"1";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"22";"Goos, J.C.M.";"3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"3";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"11";"2";"1";"2";"0";"0";"0";"2";"0";"1";"0";"2";"1"
;;"25";"Segers-Hoogendoorn, R.G.C.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"van Lagen, M.";"3";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"4";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"30";"Out, F.M.S.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Tuncer, Y.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"34";"van den Oever, J.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"35";"van den Berg, J.A.M.J.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"5";"1";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"37";"van Luik, D.A.N.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"38";"4";"7";"5";"10";"0";"0";"1";"9";"0";"0";"1";"1"
;;"39";"Luijten, S.C.A.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"14";"5";"1";"3";"0";"0";"1";"0";"0";"1";"0";"2";"1"
;;"41";"Buijs, T.S.F.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"16";"2";"2";"3";"2";"4";"0";"1";"0";"0";"0";"1";"1"
;;"43";"Bracke, D.G.A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Meppelink, E.M.";"5";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1"
;;"46";"van Dijk, Q.A.";"3";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"49";"van de Kamp, L.B.";"10";"4";"0";"2";"1";"2";"0";"0";"0";"0";"0";"0";"1"
"6";"SP (Socialistische Partij)";;;"10736";"1763";"597";"2481";"1137";"782";"624";"609";"348";"680";"441";"680";"594"
;;"1";"Marijnissen, L.M.C.";"8107";"1246";"474";"2027";"920";"594";"425";"466";"271";"443";"355";"434";"452"
;;"2";"Beckerman, S.M.";"1525";"337";"59";"241";"97";"40";"152";"95";"33";"174";"44";"180";"73"
;;"3";"van Kent, B.";"31";"4";"5";"3";"3";"2";"1";"1";"2";"2";"0";"2";"6"
;;"4";"Dijk, J.P.";"204";"50";"7";"39";"11";"5";"18";"14";"3";"26";"5";"17";"9"
;;"5";"van Nispen, M.";"20";"4";"1";"6";"1";"1";"0";"0";"0";"1";"3";"3";"0"
;;"6";"Dobbe, S.E.M.";"56";"11";"5";"14";"8";"3";"2";"3";"0";"5";"0";"2";"3"
;;"7";"Temmink, N.G.J.";"157";"18";"11";"29";"25";"28";"10";"2";"11";"4";"4";"8";"7"
;;"8";"ten Broeke, M.J.";"9";"1";"0";"1";"1";"0";"2";"1";"0";"0";"1";"1";"1"
;;"9";"van Dijk, J.J.";"37";"6";"4";"7";"4";"2";"2";"5";"1";"0";"2";"4";"0"
;;"10";"Meijer, B.W.V.";"14";"2";"2";"7";"2";"0";"0";"1";"0";"0";"0";"0";"0"
;;"11";"Elfrink, G.E.";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Wolters Gregório, J.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"7";"3";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0"
;;"14";"Alberts, R.";"7";"1";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van der Nat, H.F.A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0"
;;"16";"Memiş, M.";"6";"3";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"17";"van Dijk, D.";"13";"1";"1";"5";"4";"0";"0";"1";"1";"0";"0";"0";"0"
;;"18";"de Ridder, N.";"7";"1";"0";"1";"0";"0";"0";"2";"0";"1";"0";"2";"0"
;;"19";"Yahyaoui, J.";"16";"6";"2";"2";"0";"0";"1";"0";"2";"0";"1";"1";"1"
;;"20";"van Boven, A.W.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Coppus, T.H.C.";"3";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"142";"4";"8";"9";"17";"79";"0";"2";"12";"1";"8";"0";"2"
;;"23";"van Wijngaarden, T.J.J.";"5";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van den Hout, S.G.";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"22";"3";"0";"3";"0";"1";"2";"3";"2";"4";"0";"4";"0"
;;"27";"Verdaasdonk, I.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van Rossum, L.";"8";"1";"0";"2";"1";"1";"0";"1";"0";"0";"0";"0";"2"
;;"29";"Rongen, K.S.";"4";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"30";"van Hooft, J.W.H.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Cramer, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"van Scheltinga, E.";"5";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"34";"Kuin, R.M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Harris, D.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"5";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"99";"19";"4";"19";"18";"0";"1";"6";"0";"0";"4";"4";"24"
;;"38";"Spanner, A.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Boer, M.I.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"40";"Ramesar, J.S.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"41";"ten Heuw, M.A.";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"4";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"46";"de Vries, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"5";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"2";"0"
;;"48";"Clemens, J.M.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"5";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"0"
;;"50";"Leijten, R.M.";"175";"31";"12";"40";"17";"14";"5";"5";"8";"13";"9";"10";"11"
"7";"Forum voor Democratie";;;"7729";"972";"564";"1867";"1143";"547";"314";"454";"347";"416";"258";"373";"474"
;;"1";"Baudet, T.H.P.";"5136";"712";"360";"1277";"757";"390";"197";"271";"221";"268";"162";"225";"296"
;;"2";"Jansen, F.J.H.";"130";"14";"9";"17";"22";"9";"1";"16";"12";"5";"7";"10";"8"
;;"3";"van Meijeren, G.F.C.";"1719";"169";"150";"385";"250";"95";"81";"137";"75";"92";"68";"92";"125"
;;"4";"van Houwelingen, P.";"181";"22";"12";"51";"20";"13";"6";"9";"9";"9";"4";"12";"14"
;;"5";"Dekker, R.J.";"153";"19";"14";"28";"16";"11";"9";"8";"9";"14";"7";"8";"10"
;;"6";"de Vos, L.G.";"71";"8";"3";"9";"9";"6";"3";"2";"3";"10";"2";"8";"8"
;;"7";"Russcher, T.K.";"5";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"8";"Etalle, M.J.S.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"9";"Bakir, A.";"24";"3";"5";"12";"4";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Dessing, J.";"4";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0"
;;"11";"Vastenhouw, J.";"3";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Al Biyati, I.";"6";"0";"1";"2";"1";"0";"0";"0";"0";"0";"1";"1";"0"
;;"13";"de Knegt, R.E.R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"14";"Verstegen, P.J.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Koopman, P.";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"5";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"21";"Velzing, H.";"64";"0";"5";"46";"2";"1";"2";"2";"2";"1";"0";"2";"1"
;;"22";"Niessink, C.E.";"21";"2";"0";"2";"1";"1";"2";"2";"1";"10";"0";"0";"0"
;;"23";"Osseweijer, D.";"16";"5";"0";"0";"0";"0";"1";"1";"0";"0";"1";"6";"2"
;;"24";"Kleine, A.";"35";"1";"1";"6";"20";"3";"0";"0";"0";"0";"2";"0";"2"
;;"25";"Lubbers, A.E.";"19";"2";"1";"2";"2";"3";"0";"0";"7";"0";"0";"0";"2"
;;"26";"El Masoudi, F.";"19";"1";"0";"1";"13";"2";"0";"0";"0";"2";"0";"0";"0"
;;"27";"de Lange, A.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"6";"0";"1";"1";"2";"1";"0";"0";"1";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"5";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Vos, A.V.B.";"21";"0";"0";"2";"11";"1";"1";"0";"3";"0";"1";"0";"2"
;;"36";"Hartman, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"37";"Panis, T.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"41";"van Rij, S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"van Run, E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"11";"0";"0";"5";"3";"1";"0";"2";"0";"0";"0";"0";"0"
;;"44";"Schaap, D.V.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"30";"5";"0";"9";"1";"3";"3";"1";"1";"1";"0";"5";"1"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"11";"4";"0";"1";"1";"3";"0";"0";"0";"1";"1";"0";"0"
;;"49";"Cliteur, P.B.";"10";"1";"0";"1";"2";"0";"1";"2";"1";"0";"0";"0";"2"
"8";"Partij voor de Dieren";;;"5967";"900";"345";"846";"377";"483";"448";"352";"287";"506";"459";"535";"429"
;;"1";"Ouwehand, E.";"4265";"594";"261";"640";"279";"342";"314";"251";"221";"369";"333";"366";"295"
;;"2";"Kostić, I.";"281";"42";"11";"30";"13";"32";"17";"15";"15";"25";"32";"20";"29"
;;"3";"Teunissen, C.";"166";"24";"21";"15";"11";"12";"20";"6";"8";"10";"20";"11";"8"
;;"4";"Wassenberg, F.P.";"68";"16";"6";"11";"4";"3";"4";"4";"2";"4";"5";"3";"6"
;;"5";"Akerboom, E.S.";"119";"19";"7";"14";"10";"19";"7";"7";"9";"4";"11";"5";"7"
;;"6";"van Raan, L.";"41";"7";"0";"1";"2";"2";"2";"1";"3";"3";"6";"5";"9"
;;"7";"van Schaik, M.";"52";"10";"2";"5";"5";"7";"3";"4";"3";"7";"1";"2";"3"
;;"8";"Krijger, A.L.";"107";"23";"6";"9";"5";"13";"8";"3";"9";"6";"3";"13";"9"
;;"9";"Plusquin, P.S.M.L.";"18";"3";"3";"3";"0";"3";"0";"0";"1";"1";"1";"1";"2"
;;"10";"Groenewege, P.J.L.";"10";"1";"2";"2";"0";"1";"1";"1";"1";"0";"0";"0";"1"
;;"11";"van Heuven, M.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"12";"van Hassel, F.";"18";"1";"0";"3";"1";"1";"0";"1";"0";"5";"2";"2";"2"
;;"13";"Bunnik, R.J.";"16";"5";"0";"3";"1";"2";"0";"1";"0";"0";"3";"1";"0"
;;"14";"Schmeets, H.H.J.";"10";"3";"0";"0";"0";"0";"2";"0";"1";"0";"3";"1";"0"
;;"15";"Pınar, K.";"7";"0";"0";"1";"2";"0";"0";"0";"0";"3";"1";"0";"0"
;;"16";"Jones, M.G.";"8";"1";"2";"1";"0";"1";"1";"0";"0";"0";"0";"2";"0"
;;"17";"Bosma, J.";"354";"63";"10";"50";"14";"7";"26";"24";"6";"47";"11";"76";"20"
;;"18";"Barker, R.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Wijlandt, K.";"5";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0"
;;"20";"Batteau, J.M.";"5";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"21";"Hollebeek, J.P.";"3";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"22";"Dicke, I.M.";"6";"0";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1"
;;"23";"Salemans, B.R.";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"24";"Bersch, F.";"5";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1"
;;"25";"de Gram, F.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Krediet, L.";"36";"2";"1";"5";"2";"4";"6";"3";"2";"0";"0";"2";"9"
;;"27";"de Vos, D.J.C.";"10";"1";"0";"0";"2";"3";"0";"0";"0";"0";"3";"1";"0"
;;"28";"van der Velde, M.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van Viegen, A.H.K.";"3";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"31";"Veenstra, M.";"6";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"2"
;;"32";"Vlasveld, A.I.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"33";"Janssens, T.A.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van der Pluijm, L.C.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0"
;;"36";"Peeks, S.J.";"245";"68";"7";"30";"12";"12";"30";"21";"4";"16";"16";"10";"19"
