"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Nijmegen"
"Nummer";;"HSB6"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Beuningen";"Buren";"Culemborg";"Druten";"Heumen";"Maasdriel";"Nijmegen";"Tiel";"Wijchen";"Zaltbommel";"West Maas en Waal";"Neder-Betuwe";"Berg en Dal";"West Betuwe"
;;"17";"Bouchallikh, K.";"304";"5";"8";"25";"2";"6";"2";"199";"20";"7";"1";"1";"2";"15";"11"
;;"18";"Kathmann, B.C.";"172";"3";"3";"11";"0";"1";"1";"121";"7";"4";"5";"2";"1";"5";"8"
;;"19";"Slagt-Tichelman, E.";"249";"5";"6";"7";"3";"2";"4";"180";"10";"6";"7";"1";"1";"10";"7"
;;"20";"Tseggai, M.";"211";"2";"5";"4";"1";"1";"3";"158";"5";"7";"4";"2";"0";"8";"11"
;;"21";"White, R.J.";"66";"3";"0";"4";"0";"1";"1";"45";"0";"2";"1";"0";"0";"2";"7"
;;"22";"Pijpelink, A.";"236";"4";"5";"18";"4";"4";"3";"161";"10";"6";"2";"1";"0";"12";"6"
;;"23";"Chakor, G.";"441";"4";"2";"31";"5";"7";"5";"308";"11";"13";"14";"2";"4";"22";"13"
;;"24";"Nordkamp, J.";"38";"0";"1";"4";"0";"0";"0";"25";"0";"0";"0";"1";"1";"2";"4"
;;"25";"Stultiens, L.C.J.";"112";"2";"1";"7";"0";"1";"1";"80";"1";"1";"4";"0";"1";"3";"10"
;;"26";"Haage, M.W.";"682";"3";"15";"41";"4";"14";"8";"503";"22";"18";"15";"3";"4";"12";"20"
;;"27";"Hirsch, D.H.";"871";"12";"14";"64";"6";"9";"5";"664";"17";"12";"19";"9";"2";"18";"20"
;;"28";"de Jong, H.A.";"44";"1";"0";"2";"1";"0";"2";"27";"4";"2";"1";"0";"0";"2";"2"
;;"29";"Postma, J.P.";"22";"0";"0";"0";"0";"0";"0";"17";"2";"1";"0";"0";"0";"1";"1"
;;"30";"Oosting, I.";"311";"4";"9";"19";"2";"9";"2";"221";"8";"1";"12";"4";"0";"10";"10"
;;"31";"de Boer, M.M.";"104";"3";"0";"11";"0";"1";"0";"73";"2";"6";"1";"0";"0";"4";"3"
;;"32";"Daenen, J.W.B.";"383";"13";"0";"3";"4";"8";"0";"309";"9";"14";"1";"3";"0";"17";"2"
;;"33";"Ranshuijsen, A.B.";"1914";"45";"11";"38";"17";"40";"7";"1567";"17";"40";"7";"12";"5";"93";"15"
;;"34";"Köseoglu, E.";"355";"1";"2";"5";"5";"3";"1";"292";"20";"4";"4";"5";"0";"8";"5"
;;"35";"van Roemburg, E.T.W.";"110";"0";"3";"10";"1";"2";"2";"66";"5";"3";"3";"1";"2";"6";"6"
;;"36";"Nessar, A.";"10";"0";"0";"1";"0";"0";"0";"8";"0";"0";"1";"0";"0";"0";"0"
;;"37";"Muns, L.";"24";"1";"0";"1";"0";"1";"0";"20";"0";"0";"0";"0";"1";"0";"0"
;;"38";"Vrolijks, I.L.";"223";"12";"4";"14";"4";"2";"1";"143";"8";"5";"9";"1";"0";"9";"11"
;;"39";"Smits, P.L.";"66";"0";"6";"15";"1";"0";"0";"38";"3";"0";"0";"0";"1";"0";"2"
;;"40";"Nabih, M.";"31";"1";"4";"5";"4";"0";"2";"9";"1";"1";"1";"1";"0";"0";"2"
;;"41";"Rietveld, M.D.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1"
;;"42";"Torunoglu, Y.";"34";"0";"1";"1";"1";"0";"1";"20";"5";"4";"1";"0";"0";"0";"0"
;;"43";"de Bruijn, E.";"250";"6";"3";"11";"3";"1";"12";"160";"8";"13";"10";"0";"0";"7";"16"
;;"44";"Bosman, E.M.";"28";"0";"0";"3";"0";"0";"0";"15";"4";"1";"2";"0";"0";"0";"3"
;;"45";"Kuipers, C.M.";"10";"1";"1";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"0";"2"
;;"46";"van Schalkwijk, M.W.";"79";"0";"6";"18";"0";"1";"1";"31";"2";"5";"1";"1";"0";"0";"13"
;;"47";"Becker, J.R.C.";"11";"0";"1";"2";"0";"0";"0";"5";"1";"1";"0";"0";"0";"0";"1"
;;"48";"Leeuwenkamp, B.L.";"4";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
;;"49";"Brinkman, V.A.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1"
;;"50";"van der Vegte, F.G.";"105";"2";"4";"12";"3";"1";"2";"36";"8";"12";"8";"2";"2";"4";"9"
"4";"PVV (Partij voor de Vrijheid)";;;"85942";"4839";"5650";"3707";"3668";"2270";"5887";"16561";"7034";"7511";"4296";"4262";"3980";"6514";"9763"
;;"1";"Wilders, G.";"79602";"4491";"5286";"3379";"3437";"2086";"5520";"15162";"6461";"6923";"3955";"3981";"3760";"6118";"9043"
;;"2";"Agema, M.";"3725";"207";"230";"187";"139";"93";"202";"760";"366";"358";"209";"174";"144";"222";"434"
;;"3";"van Meetelen, R.F.";"185";"5";"6";"9";"12";"8";"16";"37";"18";"15";"6";"6";"4";"9";"34"
;;"4";"Markuszower, G.";"49";"4";"5";"2";"0";"1";"5";"10";"6";"5";"3";"2";"2";"2";"2"
;;"5";"Bosma, M.";"1379";"68";"73";"74";"55";"17";"66";"378";"113";"99";"69";"60";"54";"98";"155"
;;"6";"Claassen, R.A.B.";"28";"3";"2";"2";"1";"1";"2";"7";"1";"3";"1";"1";"0";"2";"2"
;;"7";"Faber, M.H.M.";"121";"8";"8";"11";"5";"4";"4";"28";"8";"5";"11";"3";"5";"10";"11"
;;"8";"Mulder, E.";"35";"1";"1";"1";"1";"1";"2";"3";"7";"1";"2";"2";"2";"1";"10"
;;"9";"Maeijer, V.";"49";"1";"4";"1";"1";"1";"2";"15";"6";"1";"5";"2";"3";"4";"3"
;;"10";"van Dijck, A.P.C.";"11";"0";"1";"3";"0";"0";"2";"2";"1";"0";"0";"0";"0";"1";"1"
;;"11";"Kops, A.";"216";"24";"1";"0";"8";"47";"2";"41";"1";"63";"1";"6";"1";"19";"2"
;;"12";"Madlener, B.";"8";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"1";"0";"1";"1"
;;"13";"de Jong, L.W.E.";"32";"2";"1";"2";"2";"0";"2";"7";"1";"3";"5";"0";"0";"5";"2"
;;"14";"Graus, D.J.G.";"19";"1";"1";"1";"0";"1";"5";"6";"1";"0";"2";"1";"0";"0";"0"
;;"15";"Blaauw, R.B.";"10";"2";"1";"1";"0";"0";"0";"1";"0";"1";"2";"0";"0";"2";"0"
;;"16";"de Roon, R.";"8";"0";"0";"1";"0";"0";"0";"1";"2";"1";"0";"2";"0";"0";"1"
;;"17";"van Dijk, E.";"7";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"2";"0";"1";"0"
;;"18";"de Vree, J.H.";"22";"0";"1";"1";"1";"0";"3";"0";"4";"0";"1";"1";"0";"0";"10"
;;"19";"Aardema, M.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
;;"20";"van der Velde, M.K.";"107";"2";"11";"17";"2";"3";"6";"22";"15";"2";"1";"2";"1";"3";"20"
;;"21";"van der Hoeff, P.H.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Deen, M.";"7";"0";"3";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1"
;;"23";"Nijhof-Leeuw, J.M.";"48";"7";"2";"0";"2";"0";"0";"18";"2";"6";"1";"1";"1";"6";"2"
;;"24";"Boon, M.C.H.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"25";"Mooiman, J.";"18";"2";"0";"0";"1";"1";"0";"6";"1";"1";"0";"2";"1";"1";"2"
;;"26";"Ram, D.";"7";"0";"1";"0";"0";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0"
;;"27";"Vlottes, E.";"17";"1";"0";"0";"0";"1";"0";"5";"5";"2";"1";"0";"0";"1";"1"
;;"28";"Smitskam, P.";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
;;"29";"Esser, E.R.F.";"83";"0";"3";"1";"0";"0";"43";"5";"4";"4";"14";"2";"0";"0";"7"
;;"30";"Boutkan, W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"31";"van den Born, V.H.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Crijns, P.P.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"38";"5";"5";"3";"0";"1";"0";"13";"0";"1";"1";"1";"1";"2";"5"
;;"35";"Valize, J.J.T.M.";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"36";"Heutink, H.D.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Pool, J.";"4";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Faddegon, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"40";"Rep, R.J.H.H.";"5";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1"
;;"41";"Thiadens, F.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"42";"Raijer, A.J.";"23";"1";"0";"2";"0";"2";"1";"7";"2";"2";"0";"1";"0";"1";"4"
;;"43";"van Bijnen, H.M.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"1";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"5";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
;;"45";"van Strien, G.A.";"41";"1";"3";"4";"0";"0";"0";"9";"1";"10";"0";"4";"0";"4";"5"
"5";"CDA";;;"9976";"432";"529";"488";"377";"469";"559";"2109";"548";"969";"621";"498";"417";"754";"1206"
;;"1";"Bontenbal, H.";"8561";"369";"469";"424";"334";"410";"468";"1706";"485";"839";"552";"449";"358";"664";"1034"
;;"2";"Vedder, E.C.";"558";"20";"29";"33";"17";"31";"26";"147";"33";"58";"28";"16";"18";"40";"62"
;;"3";"Boswijk, D.G.";"92";"1";"3";"5";"6";"0";"8";"24";"2";"8";"8";"4";"10";"5";"8"
;;"4";"van Dijk, I.";"212";"12";"14";"11";"6";"14";"6";"49";"4";"31";"12";"9";"1";"16";"27"
;;"5";"Krul, H.M.";"33";"1";"0";"1";"1";"3";"3";"6";"7";"1";"0";"6";"2";"2";"0"
;;"6";"Palland-Mulder, H.M.";"42";"1";"2";"0";"1";"0";"0";"22";"1";"4";"3";"1";"0";"2";"5"
;;"7";"van den Brink, G.";"18";"1";"1";"1";"0";"0";"1";"5";"0";"0";"1";"0";"6";"1";"1"
;;"8";"Absil, M.G.J.A.C.";"32";"2";"2";"1";"1";"1";"1";"16";"0";"3";"0";"0";"0";"2";"3"
;;"9";"Steen, H.S.";"17";"1";"0";"1";"0";"0";"1";"7";"1";"3";"0";"0";"0";"0";"3"
;;"10";"Kuik, A.";"65";"4";"3";"2";"3";"0";"1";"21";"6";"6";"3";"1";"6";"3";"6"
;;"11";"Spoelstra, J.";"8";"0";"0";"1";"0";"0";"0";"4";"0";"0";"1";"0";"1";"1";"0"
;;"12";"Slootweg, E.J.";"10";"1";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"3";"0";"1"
;;"13";"Chaoui-Nhass, S.";"9";"0";"0";"3";"0";"0";"1";"2";"0";"2";"0";"1";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"21";"0";"2";"2";"0";"0";"0";"6";"2";"0";"1";"1";"4";"0";"3"
;;"15";"Diederen, R.";"15";"4";"0";"0";"0";"1";"0";"2";"0";"2";"0";"2";"0";"4";"0"
;;"16";"Hamstra, S.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"17";"Houmes, E.S.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"18";"van den Berg, J.H.C.";"9";"0";"1";"0";"0";"0";"0";"2";"0";"2";"0";"1";"1";"1";"1"
;;"19";"de Haan, J.D.P.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Vermeer, J.";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2"
;;"21";"van der Heide, E.J.";"8";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"3"
;;"22";"Goos, J.C.M.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"24";"Goudzwaard-Wiersma, W.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"44";"0";"2";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"38"
;;"30";"Out, F.M.S.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"1"
;;"31";"Silos, J.J.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
;;"32";"Tuncer, Y.";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"34";"van den Oever, J.A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1"
;;"35";"van den Berg, J.A.M.J.";"4";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"17";"2";"0";"0";"0";"0";"1";"8";"1";"0";"2";"2";"0";"0";"1"
;;"37";"van Luik, D.A.N.";"91";"8";"0";"0";"5";"5";"0";"57";"1";"3";"0";"0";"1";"11";"0"
;;"38";"van Dekken, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"41";"Buijs, T.S.F.";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Bracke, D.G.A.J.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"45";"Meppelink, E.M.";"6";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1"
;;"46";"van Dijk, Q.A.";"48";"1";"0";"0";"1";"0";"39";"0";"0";"0";"4";"0";"0";"0";"3"
;;"47";"van Lankvelt, F.J.M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"8";"0";"0";"0";"1";"2";"0";"1";"1";"0";"2";"0";"0";"0";"1"
"6";"SP (Socialistische Partij)";;;"11852";"638";"361";"500";"538";"426";"479";"4464";"762";"1045";"409";"486";"224";"896";"624"
;;"1";"Marijnissen, L.M.C.";"10188";"550";"316";"420";"490";"368";"440";"3602";"681";"951";"360";"452";"193";"806";"559"
;;"2";"Beckerman, S.M.";"312";"23";"10";"20";"14";"9";"12";"125";"25";"16";"8";"8";"7";"17";"18"
;;"3";"van Kent, B.";"49";"2";"1";"3";"2";"1";"0";"27";"1";"4";"3";"2";"0";"1";"2"
;;"4";"Dijk, J.P.";"60";"1";"0";"4";"1";"0";"1";"33";"3";"3";"2";"2";"1";"5";"4"
;;"5";"van Nispen, M.";"50";"4";"2";"3";"0";"3";"0";"23";"1";"1";"3";"1";"0";"5";"4"
;;"6";"Dobbe, S.E.M.";"309";"20";"9";"6";"13";"8";"1";"174";"13";"22";"8";"6";"10";"13";"6"
;;"7";"Temmink, N.G.J.";"78";"3";"3";"3";"0";"2";"0";"45";"3";"5";"5";"2";"3";"3";"1"
;;"8";"ten Broeke, M.J.";"15";"0";"1";"3";"1";"0";"0";"8";"0";"0";"0";"0";"0";"1";"1"
;;"9";"van Dijk, J.J.";"46";"1";"4";"3";"0";"0";"1";"22";"1";"2";"2";"1";"0";"4";"5"
;;"10";"Meijer, B.W.V.";"15";"1";"0";"1";"0";"1";"1";"8";"1";"1";"0";"0";"0";"0";"1"
;;"11";"Elfrink, G.E.";"16";"1";"1";"0";"0";"0";"0";"8";"0";"0";"1";"0";"0";"4";"1"
;;"12";"Wolters Gregório, J.";"11";"1";"0";"1";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"8";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"1";"1"
;;"14";"Alberts, R.";"20";"0";"0";"3";"1";"0";"1";"9";"2";"1";"0";"1";"1";"0";"1"
;;"15";"van der Nat, H.F.A.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"16";"Memiş, M.";"16";"0";"1";"3";"1";"0";"0";"7";"1";"3";"0";"0";"0";"0";"0"
;;"17";"van Dijk, D.";"19";"0";"0";"1";"0";"0";"1";"11";"2";"1";"0";"0";"1";"0";"2"
;;"18";"de Ridder, N.";"11";"0";"0";"1";"1";"0";"1";"2";"1";"2";"0";"1";"1";"1";"0"
;;"19";"Yahyaoui, J.";"59";"3";"4";"6";"1";"1";"1";"32";"6";"2";"1";"1";"0";"1";"0"
;;"20";"van Boven, A.W.";"15";"0";"0";"0";"0";"0";"4";"0";"1";"4";"5";"0";"0";"0";"1"
;;"21";"Coppus, T.H.C.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"22";"Topma, X.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"12";"0";"0";"0";"0";"0";"0";"9";"3";"0";"0";"0";"0";"0";"0"
;;"25";"van den Hout, S.G.";"4";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0"
;;"26";"van der Wijk, N.H.F.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Verdaasdonk, I.";"13";"0";"2";"0";"0";"1";"1";"8";"0";"1";"0";"0";"0";"0";"0"
;;"28";"van Rossum, L.";"7";"0";"2";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"29";"Rongen, K.S.";"4";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0"
;;"30";"van Hooft, J.W.H.";"198";"10";"0";"0";"2";"12";"0";"149";"0";"10";"0";"2";"1";"12";"0"
;;"31";"Cramer, A.";"10";"0";"0";"0";"0";"0";"1";"7";"0";"1";"0";"0";"0";"1";"0"
;;"32";"van Scheltinga, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kuin, R.M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"4";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"38";"Spanner, A.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Boer, M.I.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Ramesar, J.S.";"9";"0";"1";"3";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1"
;;"41";"ten Heuw, M.A.";"6";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"5";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"46";"de Vries, E.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"7";"0";"0";"0";"0";"0";"0";"4";"0";"0";"2";"1";"0";"0";"0"
;;"50";"Leijten, R.M.";"253";"16";"4";"8";"8";"20";"10";"114";"10";"14";"7";"5";"4";"17";"16"
"7";"Forum voor Democratie";;;"6308";"281";"379";"369";"178";"139";"291";"1762";"641";"431";"328";"207";"338";"366";"598"
;;"1";"Baudet, T.H.P.";"4518";"216";"277";"264";"131";"80";"208";"1280";"471";"306";"237";"137";"249";"250";"412"
;;"2";"Jansen, F.J.H.";"83";"1";"10";"4";"4";"2";"2";"30";"4";"6";"4";"4";"0";"4";"8"
;;"3";"van Meijeren, G.F.C.";"1177";"46";"57";"61";"29";"42";"60";"317";"99";"85";"67";"48";"71";"80";"115"
;;"4";"van Houwelingen, P.";"158";"4";"9";"16";"3";"5";"6";"37";"14";"11";"7";"5";"4";"15";"22"
;;"5";"Dekker, R.J.";"96";"3";"2";"7";"2";"1";"5";"37";"12";"7";"2";"1";"2";"2";"13"
;;"6";"de Vos, L.G.";"76";"2";"10";"7";"5";"3";"2";"19";"4";"5";"3";"1";"1";"7";"7"
;;"7";"Russcher, T.K.";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0"
;;"8";"Etalle, M.J.S.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"9";"Bakir, A.";"13";"0";"0";"1";"3";"1";"0";"3";"3";"0";"1";"0";"1";"0";"0"
;;"10";"Dessing, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Vastenhouw, J.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"12";"Al Biyati, I.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"13";"de Knegt, R.E.R.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"15";"van Schijndel, A.H.J.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Koopman, P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"8";"0";"2";"2";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1"
;;"20";"van den Boomgaard, M.R.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
;;"21";"van Iperen, A.";"14";"0";"2";"1";"0";"0";"1";"1";"6";"0";"0";"0";"0";"1";"2"
;;"22";"Hak, E.";"33";"0";"4";"0";"0";"0";"0";"2";"14";"0";"1";"9";"2";"0";"1"
;;"23";"Claassen, C.A.J.";"24";"6";"0";"0";"1";"3";"0";"6";"0";"6";"0";"0";"0";"2";"0"
;;"24";"van Manen, C.E.J.";"5";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0"
;;"25";"Korpel, D.";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"26";"van Meijeren, L.";"10";"1";"0";"2";"0";"0";"1";"2";"2";"1";"0";"0";"1";"0";"0"
;;"27";"de Lange, A.K.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"5";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0"
;;"32";"Minkels, J.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"8";"0";"0";"0";"0";"0";"0";"4";"0";"2";"1";"0";"0";"1";"0"
;;"35";"Vos, A.V.B.";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
