"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"30";"Brink, V.J.";"92";"9";"2";"1";"0";"0";"0";"3";"1";"0";"1";"0";"1";"4";"45";"1";"0";"1";"1";"6";"2";"1";"2";"2";"4";"3";"2"
;;"31";"van Dorst, P.A.";"39";"5";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"16";"2";"0";"0";"2";"1";"2";"0";"0";"0";"1";"1";"3"
;;"32";"Wijnja, G.H.";"19";"2";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"10";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"33";"de Vries, M.M.";"44";"9";"1";"2";"0";"1";"2";"1";"0";"0";"0";"0";"0";"1";"8";"1";"0";"0";"1";"1";"2";"0";"2";"3";"4";"3";"2"
;;"34";"Schoonbeek, F.";"14";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0"
;;"35";"Mathlouti, M.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Koops, J.H.";"12";"1";"0";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"38";"Hagen, K.B.";"350";"37";"5";"4";"7";"2";"2";"13";"0";"0";"5";"0";"2";"5";"98";"6";"0";"5";"2";"11";"7";"2";"6";"106";"10";"8";"7"
;;"39";"Hiemstra, G.J.";"21";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"9";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"4";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"27";"5";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"2";"4";"0";"0";"1";"1";"3";"1";"0";"1";"1";"0";"3";"0"
;;"41";"Tjeerdema, H.";"17";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"7";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"42";"Woudstra, E.";"20";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"11";"0";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0";"0"
;;"43";"Olsthoorn, A.";"10";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"44";"van Peski, C.J.";"14";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"4";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
;;"45";"van Hattum, B.";"27";"5";"3";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"5";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"1"
;;"46";"Dekker-Abdulaziz, H.";"252";"13";"5";"4";"4";"0";"1";"4";"0";"1";"0";"0";"1";"3";"178";"4";"0";"0";"3";"6";"7";"0";"3";"4";"4";"4";"3"
;;"47";"van Driel, M.";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"48";"Ruijs, L.J.M.";"14";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"4";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"2";"0"
;;"49";"van der Gaag, P.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"51";"Hoevers, J.";"103";"8";"2";"40";"0";"0";"0";"3";"0";"0";"1";"0";"0";"4";"4";"0";"0";"2";"0";"23";"0";"0";"2";"0";"6";"8";"0"
;;"52";"van de Vijver, V.F.";"23";"2";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"10";"0";"1";"1";"0";"2";"0";"0";"2";"1";"0";"0";"1"
;;"53";"Vemer, P.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"54";"Wallast, R.D.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"16";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"1";"0"
;;"56";"Wesseling, A.";"16";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"6";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0"
;;"57";"Maessen, R.J.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"12";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"6";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"20";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"12";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"6";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"62";"de Vries, L.";"19";"2";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"3";"1";"0";"0";"0";"1";"1";"0";"2";"0";"1";"2";"1"
;;"63";"Chaban, S.";"8";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0"
;;"64";"Louhenapessij, A.F.";"13";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1"
;;"65";"Nooitmeer, L.I.";"128";"9";"2";"0";"2";"0";"0";"6";"1";"6";"2";"0";"2";"2";"23";"0";"0";"2";"45";"0";"13";"0";"4";"2";"1";"5";"1"
;;"66";"van Essen, J.";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"8";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"69";"van der Voort, P.H.J.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"11";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"16";"4";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"72";"Weerwind, F.M.";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"73";"van Huffelen, A.C.";"129";"13";"2";"7";"3";"0";"0";"6";"2";"3";"1";"0";"2";"5";"52";"1";"1";"0";"1";"8";"0";"0";"2";"1";"10";"5";"4"
;;"74";"Kuipers, E.J.";"85";"9";"4";"2";"3";"0";"1";"3";"2";"0";"0";"0";"1";"2";"29";"1";"0";"2";"1";"9";"4";"0";"1";"1";"5";"4";"1"
;;"75";"Ollongren, K.H.";"88";"8";"0";"4";"4";"0";"0";"0";"3";"0";"1";"0";"1";"6";"27";"0";"2";"1";"1";"7";"3";"0";"5";"6";"3";"3";"3"
;;"76";"Dijkgraaf, R.H.";"386";"58";"7";"26";"9";"0";"1";"10";"11";"2";"0";"0";"2";"11";"111";"10";"1";"3";"6";"36";"12";"1";"21";"12";"19";"12";"5"
;;"77";"Uslu, G.";"71";"7";"0";"2";"1";"0";"0";"0";"3";"1";"0";"0";"1";"1";"34";"2";"0";"0";"0";"4";"5";"0";"2";"0";"5";"2";"1"
;;"78";"Pechtold, A.";"144";"15";"2";"4";"1";"1";"1";"7";"9";"1";"0";"1";"4";"3";"59";"5";"1";"1";"3";"6";"3";"0";"2";"2";"6";"6";"1"
;;"79";"Terlouw, J.C.";"134";"16";"4";"6";"2";"0";"1";"5";"5";"1";"1";"0";"1";"7";"35";"3";"0";"0";"2";"10";"3";"0";"5";"7";"12";"7";"1"
;;"80";"Kaag, S.A.M.";"622";"73";"16";"31";"13";"2";"2";"20";"15";"7";"4";"0";"4";"23";"212";"6";"1";"7";"12";"52";"17";"2";"15";"11";"43";"26";"8"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"172801";"21428";"2751";"6197";"2673";"418";"794";"6157";"3549";"522";"877";"137";"1554";"4466";"72881";"3624";"741";"2159";"2771";"8751";"5852";"541";"4804";"3315";"6323";"5965";"3551"
;;"1";"Timmermans, F.C.G.M.";"70323";"8982";"1263";"2831";"1189";"223";"401";"2829";"1638";"265";"456";"71";"800";"2196";"23564";"1811";"412";"1158";"1270";"3837";"2935";"292";"2328";"1682";"3053";"2906";"1931"
;;"2";"Lahlah, A.";"25899";"3274";"357";"922";"437";"46";"98";"950";"458";"54";"109";"23";"206";"593";"11709";"484";"93";"282";"319";"1339";"772";"55";"726";"444";"907";"796";"446"
;;"3";"Klaver, J.F.";"14971";"2056";"313";"610";"259";"44";"86";"638";"388";"69";"85";"9";"158";"448";"4901";"382";"76";"217";"277";"887";"594";"44";"468";"354";"661";"623";"324"
;;"4";"Piri, K.P.";"4902";"578";"78";"221";"88";"8";"14";"209";"85";"9";"20";"4";"42";"109";"2107";"90";"17";"50";"62";"285";"148";"12";"132";"82";"197";"182";"73"
;;"5";"Westerveld, E.M.";"17228";"2218";"247";"554";"259";"30";"67";"610";"330";"38";"85";"14";"164";"405";"7840";"400";"66";"208";"215";"840";"469";"58";"476";"249";"605";"502";"279"
;;"6";"Patijn, M.H.";"2090";"287";"89";"123";"24";"13";"43";"77";"38";"8";"7";"0";"9";"95";"712";"26";"14";"16";"28";"108";"78";"4";"42";"48";"67";"110";"24"
;;"7";"Kröger, S.C.";"3101";"302";"37";"106";"51";"2";"9";"86";"36";"3";"7";"1";"25";"57";"1701";"36";"4";"28";"31";"125";"62";"10";"61";"77";"109";"104";"31"
;;"8";"Bushoff, T.J.";"329";"37";"5";"17";"0";"0";"1";"15";"5";"1";"1";"0";"0";"10";"163";"3";"0";"3";"2";"12";"13";"2";"8";"8";"9";"8";"6"
;;"9";"van der Lee, T.M.T.";"349";"48";"9";"14";"3";"0";"1";"13";"5";"0";"3";"1";"2";"5";"152";"11";"1";"5";"4";"20";"6";"1";"3";"9";"22";"8";"3"
;;"10";"Mutluer, S.";"782";"88";"3";"16";"5";"1";"0";"17";"9";"2";"1";"0";"3";"44";"442";"12";"1";"0";"18";"20";"14";"0";"10";"10";"19";"24";"23"
;;"11";"Bromet, L.";"2308";"278";"50";"71";"42";"3";"9";"85";"39";"7";"6";"1";"20";"64";"1086";"32";"8";"29";"18";"104";"48";"10";"52";"50";"94";"79";"23"
;;"12";"de Hoop, H.E.";"1022";"118";"9";"30";"9";"1";"4";"19";"12";"2";"3";"2";"8";"20";"570";"13";"4";"13";"8";"44";"22";"0";"27";"16";"30";"25";"13"
;;"13";"Maatoug, S.";"1287";"104";"12";"47";"16";"0";"2";"20";"9";"2";"7";"0";"4";"15";"839";"10";"1";"5";"6";"63";"25";"2";"24";"6";"21";"32";"15"
;;"14";"Mohandis, M.";"378";"36";"4";"14";"5";"0";"1";"9";"4";"1";"2";"0";"3";"8";"196";"9";"0";"0";"7";"13";"21";"10";"10";"4";"7";"11";"3"
;;"15";"Gabriëls, G.J.W.";"330";"30";"2";"5";"6";"0";"0";"6";"7";"1";"0";"0";"3";"7";"203";"2";"1";"0";"2";"19";"11";"1";"4";"2";"6";"9";"3"
;;"16";"Thijssen, J.";"196";"23";"2";"5";"3";"0";"1";"4";"6";"0";"0";"0";"0";"7";"107";"1";"2";"1";"4";"10";"2";"0";"7";"1";"2";"7";"1"
;;"17";"Bouchallikh, K.";"1763";"164";"14";"40";"11";"2";"1";"24";"19";"1";"9";"1";"7";"22";"1081";"33";"0";"6";"29";"77";"49";"7";"29";"26";"30";"55";"26"
;;"18";"Kathmann, B.C.";"860";"93";"8";"25";"9";"1";"1";"18";"14";"1";"2";"2";"2";"17";"484";"11";"1";"2";"10";"36";"22";"1";"28";"9";"29";"19";"15"
;;"19";"Slagt-Tichelman, E.";"758";"105";"8";"22";"11";"0";"3";"36";"11";"2";"3";"0";"6";"16";"371";"15";"0";"8";"6";"33";"19";"1";"15";"12";"25";"20";"10"
;;"20";"Tseggai, M.";"886";"84";"5";"10";"8";"3";"3";"25";"4";"2";"6";"0";"6";"11";"576";"7";"0";"5";"2";"48";"15";"3";"6";"14";"9";"23";"11"
;;"21";"White, R.J.";"349";"31";"2";"14";"1";"0";"1";"6";"4";"0";"2";"0";"0";"3";"220";"8";"0";"0";"7";"11";"6";"1";"4";"7";"6";"14";"1"
;;"22";"Pijpelink, A.";"914";"106";"10";"15";"15";"2";"2";"19";"12";"1";"4";"0";"8";"15";"532";"11";"1";"4";"11";"49";"24";"2";"20";"9";"14";"19";"9"
;;"23";"Chakor, G.";"2021";"182";"17";"38";"25";"2";"5";"37";"12";"4";"2";"0";"9";"36";"1401";"20";"3";"9";"19";"61";"25";"1";"18";"15";"39";"31";"10"
;;"24";"Nordkamp, J.";"113";"15";"1";"1";"4";"0";"0";"3";"1";"0";"0";"0";"3";"3";"67";"0";"0";"1";"0";"5";"0";"1";"1";"1";"2";"2";"2"
;;"25";"Stultiens, L.C.J.";"519";"31";"3";"14";"5";"1";"0";"13";"4";"0";"1";"0";"0";"6";"387";"5";"0";"1";"0";"18";"4";"0";"11";"6";"7";"1";"1"
;;"26";"Haage, M.W.";"3148";"266";"27";"60";"27";"3";"9";"64";"32";"6";"5";"1";"5";"33";"2114";"39";"2";"19";"22";"118";"57";"3";"64";"25";"52";"57";"38"
;;"27";"Hirsch, D.H.";"4630";"394";"24";"120";"47";"2";"5";"75";"57";"3";"12";"3";"12";"53";"3243";"32";"2";"19";"18";"166";"52";"6";"39";"38";"84";"80";"44"
;;"28";"de Jong, H.A.";"152";"22";"3";"6";"3";"0";"1";"2";"3";"0";"0";"0";"0";"2";"69";"2";"0";"1";"2";"9";"5";"0";"4";"4";"5";"6";"3"
;;"29";"Postma, J.P.";"77";"10";"2";"2";"1";"0";"0";"1";"2";"0";"0";"0";"1";"3";"32";"2";"0";"0";"0";"4";"5";"0";"8";"0";"1";"2";"1"
;;"30";"Oosting, I.";"1455";"136";"6";"20";"14";"3";"5";"36";"13";"0";"4";"0";"4";"18";"997";"15";"3";"12";"13";"33";"28";"1";"19";"10";"22";"28";"15"
;;"31";"de Boer, M.M.";"700";"79";"6";"19";"6";"0";"3";"11";"7";"1";"0";"1";"2";"11";"460";"3";"0";"4";"6";"23";"9";"0";"11";"16";"8";"10";"4"
;;"32";"Daenen, J.W.B.";"158";"11";"1";"1";"1";"0";"0";"2";"0";"0";"0";"1";"3";"4";"115";"4";"0";"0";"0";"6";"2";"0";"1";"0";"3";"1";"2"
;;"33";"Ranshuijsen, A.B.";"1403";"130";"12";"28";"13";"3";"4";"37";"17";"2";"7";"0";"6";"14";"899";"13";"5";"7";"6";"47";"29";"1";"22";"9";"39";"34";"19"
;;"34";"Köseoglu, E.";"1070";"151";"7";"21";"5";"17";"3";"15";"3";"3";"4";"0";"5";"23";"660";"8";"2";"1";"7";"28";"21";"1";"17";"10";"8";"25";"25"
;;"35";"van Roemburg, E.T.W.";"457";"40";"4";"19";"4";"0";"4";"4";"5";"1";"0";"0";"1";"7";"314";"2";"0";"0";"2";"21";"4";"1";"5";"5";"10";"1";"3"
;;"36";"Nessar, A.";"77";"16";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"2";"43";"2";"0";"0";"1";"5";"1";"0";"1";"0";"0";"0";"1"
;;"37";"Muns, L.";"159";"15";"0";"4";"1";"0";"0";"1";"0";"0";"0";"0";"1";"3";"108";"0";"2";"1";"0";"6";"1";"0";"5";"0";"3";"5";"3"
;;"38";"Vrolijks, I.L.";"741";"75";"7";"13";"13";"1";"3";"17";"9";"1";"4";"0";"3";"13";"460";"7";"2";"9";"4";"33";"22";"0";"9";"14";"6";"9";"7"
;;"39";"Smits, P.L.";"169";"16";"0";"6";"1";"0";"0";"2";"3";"0";"1";"1";"6";"3";"78";"13";"0";"0";"3";"16";"6";"0";"2";"1";"6";"2";"3"
;;"40";"Nabih, M.";"87";"6";"0";"3";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"38";"7";"0";"1";"2";"6";"6";"0";"0";"4";"1";"8";"0"
;;"41";"Rietveld, M.D.";"21";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"12";"0";"0";"1";"0";"1";"2";"0";"0";"0";"1";"1";"0"
;;"42";"Torunoglu, Y.";"54";"8";"3";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"3";"23";"3";"0";"0";"2";"0";"2";"0";"3";"2";"0";"1";"1"
;;"43";"de Bruijn, E.";"804";"76";"9";"18";"4";"1";"1";"20";"9";"1";"3";"1";"9";"13";"495";"13";"0";"3";"7";"28";"15";"2";"21";"13";"14";"14";"14"
;;"44";"Bosman, E.M.";"85";"7";"4";"3";"1";"0";"0";"1";"2";"0";"1";"0";"1";"4";"37";"1";"0";"1";"1";"4";"4";"0";"1";"1";"5";"4";"2"
;;"45";"Kuipers, C.M.";"69";"6";"0";"4";"1";"0";"0";"3";"2";"0";"0";"0";"0";"1";"32";"1";"0";"0";"0";"2";"11";"0";"0";"2";"4";"0";"0"
;;"46";"van Schalkwijk, M.W.";"1403";"38";"1";"35";"29";"0";"2";"45";"1";"27";"9";"0";"3";"13";"533";"6";"0";"8";"315";"42";"132";"6";"39";"11";"23";"26";"59"
;;"47";"Becker, J.R.C.";"717";"4";"0";"26";"9";"1";"0";"18";"3";"2";"5";"0";"0";"2";"515";"4";"0";"9";"2";"34";"30";"0";"12";"3";"5";"20";"13"
;;"48";"Leeuwenkamp, B.L.";"499";"438";"2";"1";"0";"1";"0";"2";"14";"0";"0";"0";"0";"8";"18";"1";"0";"1";"0";"3";"4";"0";"1";"0";"5";"0";"0"
;;"49";"Brinkman, V.A.";"133";"9";"78";"2";"2";"1";"0";"1";"1";"1";"0";"0";"0";"8";"15";"2";"0";"0";"1";"2";"6";"0";"0";"1";"0";"3";"0"
;;"50";"van der Vegte, F.G.";"855";"204";"5";"20";"4";"2";"1";"27";"213";"1";"1";"0";"4";"12";"160";"12";"18";"11";"2";"50";"14";"2";"10";"5";"48";"18";"11"
"4";"PVV (Partij voor de Vrijheid)";;;"148706";"15525";"2609";"3645";"1408";"4792";"1517";"5834";"3454";"2764";"2145";"846";"3065";"6039";"20718";"9217";"1728";"3922";"4979";"5954";"10315";"1695";"6387";"6595";"5101";"9103";"9349"
;;"1";"Wilders, G.";"134062";"13807";"2332";"3316";"1264";"4383";"1352";"5261";"3044";"2575";"1960";"774";"2829";"5408";"18410";"8411";"1547";"3536";"4506";"5289";"9385";"1537";"5766";"5903";"4603";"8296";"8568"
;;"2";"Agema, M.";"8289";"931";"181";"180";"67";"243";"100";"335";"227";"121";"122";"42";"143";"381";"1087";"473";"100";"234";"278";"370";"537";"97";"385";"390";"288";"503";"474"
;;"3";"van Meetelen, R.F.";"376";"46";"4";"7";"5";"6";"4";"15";"9";"8";"5";"1";"5";"19";"54";"16";"2";"13";"13";"12";"24";"4";"11";"37";"18";"13";"25"
;;"4";"Markuszower, G.";"150";"12";"3";"3";"3";"1";"0";"3";"2";"0";"0";"0";"5";"5";"41";"14";"1";"1";"19";"3";"5";"1";"6";"5";"5";"5";"7"
;;"5";"Bosma, M.";"3431";"387";"55";"91";"44";"120";"42";"106";"99";"24";"41";"22";"58";"135";"674";"187";"46";"68";"85";"165";"187";"26";"133";"168";"122";"177";"169"
;;"6";"Claassen, R.A.B.";"86";"15";"0";"0";"1";"1";"3";"11";"0";"0";"0";"0";"1";"3";"8";"0";"0";"16";"2";"10";"7";"0";"1";"2";"3";"0";"2"
;;"7";"Faber, M.H.M.";"566";"192";"12";"8";"3";"11";"5";"6";"51";"7";"5";"3";"3";"24";"47";"25";"17";"10";"10";"26";"21";"3";"21";"15";"7";"23";"11"
;;"8";"Mulder, E.";"39";"5";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"2";"10";"2";"0";"0";"1";"3";"0";"1";"4";"2";"1";"2";"2"
;;"9";"Maeijer, V.";"139";"14";"2";"2";"1";"4";"0";"10";"4";"2";"0";"1";"1";"4";"18";"10";"2";"2";"4";"4";"11";"7";"9";"6";"3";"11";"7"
;;"10";"van Dijck, A.P.C.";"32";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"5";"4";"1";"1";"0";"3";"3";"0";"2";"1";"1";"2";"2"
;;"11";"Kops, A.";"15";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"1";"0";"0";"0";"2";"2";"0";"0";"1"
;;"12";"Madlener, B.";"15";"2";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"5";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0"
;;"13";"de Jong, L.W.E.";"73";"10";"0";"1";"0";"0";"0";"11";"0";"2";"1";"0";"0";"2";"12";"5";"2";"1";"3";"1";"2";"2";"5";"2";"2";"5";"4"
;;"14";"Graus, D.J.G.";"62";"6";"2";"6";"0";"0";"2";"2";"0";"0";"0";"0";"1";"2";"16";"4";"0";"1";"4";"3";"3";"1";"0";"3";"3";"1";"2"
;;"15";"Blaauw, R.B.";"19";"3";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0";"2";"2";"2";"1";"0"
;;"16";"de Roon, R.";"10";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0"
;;"17";"van Dijk, E.";"17";"2";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"3";"3";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1"
;;"18";"de Vree, J.H.";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"9"
;;"19";"Aardema, M.";"20";"1";"0";"0";"0";"0";"0";"2";"1";"1";"1";"0";"1";"1";"3";"1";"1";"0";"0";"0";"5";"0";"0";"1";"1";"0";"0"
;;"20";"van der Velde, M.K.";"837";"33";"7";"19";"12";"8";"2";"38";"7";"15";"7";"3";"6";"29";"246";"27";"5";"24";"39";"41";"96";"7";"25";"26";"29";"49";"37"
;;"21";"van der Hoeff, P.H.";"13";"3";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1"
;;"22";"Deen, M.";"11";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0"
;;"23";"Nijhof-Leeuw, J.M.";"70";"8";"2";"3";"1";"1";"0";"1";"3";"3";"1";"0";"2";"2";"16";"4";"0";"2";"0";"1";"2";"0";"3";"4";"2";"5";"4"
;;"24";"Boon, M.C.H.";"12";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1"
;;"25";"Mooiman, J.";"33";"5";"1";"0";"0";"0";"1";"2";"1";"1";"0";"0";"0";"2";"4";"2";"0";"3";"1";"1";"1";"4";"0";"2";"0";"0";"2"
;;"26";"Ram, D.";"11";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
;;"27";"Vlottes, E.";"10";"2";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"28";"Smitskam, P.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2"
;;"29";"Esser, E.R.F.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"30";"Boutkan, W.";"10";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1"
;;"31";"van den Born, V.H.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"32";"Crijns, P.P.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"33";"van Haasen, J.P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"88";"6";"1";"1";"1";"1";"0";"10";"3";"0";"1";"0";"3";"4";"19";"7";"0";"3";"2";"5";"7";"0";"1";"6";"1";"1";"5"
