"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"12";"Rajkowski, Q.M.";"1216";"64";"6";"36";"14";"5";"5";"36";"13";"3";"5";"2";"5";"17";"674";"21";"3";"11";"55";"57";"55";"1";"23";"4";"37";"41";"23"
;;"13";"Aartsen, A.A.";"118";"10";"5";"6";"1";"0";"0";"3";"2";"1";"3";"0";"4";"6";"31";"13";"1";"1";"1";"3";"2";"0";"7";"5";"6";"6";"1"
;;"14";"van Campen, A.A.H.";"86";"9";"1";"8";"1";"1";"0";"4";"3";"2";"0";"0";"2";"3";"29";"1";"0";"1";"3";"5";"3";"0";"4";"0";"3";"2";"1"
;;"15";"Tielen, J.Z.C.M.";"928";"52";"10";"35";"11";"5";"0";"33";"12";"8";"3";"0";"4";"24";"408";"14";"4";"15";"28";"67";"45";"2";"42";"10";"37";"30";"29"
;;"16";"Veltman-Kamp, H.N.";"121";"17";"2";"1";"4";"3";"1";"2";"5";"1";"0";"4";"2";"1";"22";"12";"4";"2";"1";"5";"2";"2";"6";"3";"14";"4";"1"
;;"17";"van Eijk-Nagel, W.P.J.";"84";"15";"2";"2";"1";"0";"1";"1";"0";"3";"0";"0";"1";"3";"29";"1";"0";"0";"1";"5";"7";"0";"3";"3";"2";"2";"2"
;;"18";"Ellian, U.";"192";"20";"9";"8";"1";"2";"2";"5";"4";"1";"0";"0";"2";"10";"48";"1";"1";"5";"12";"11";"7";"0";"11";"11";"9";"11";"1"
;;"19";"Michon-Derkzen, I.J.M.";"60";"3";"1";"7";"0";"1";"1";"6";"1";"0";"1";"1";"0";"5";"20";"1";"1";"1";"1";"5";"0";"0";"2";"0";"2";"0";"0"
;;"20";"Martens-America, C.";"128";"6";"2";"7";"1";"0";"1";"1";"5";"0";"0";"0";"0";"5";"41";"4";"4";"1";"2";"15";"5";"0";"5";"7";"6";"7";"3"
;;"21";"Meulenkamp, W.J.H.";"37";"7";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"14";"0";"0";"0";"0";"3";"1";"0";"2";"1";"2";"0";"2"
;;"22";"de Groot, P.C.";"142";"25";"4";"5";"0";"0";"0";"5";"9";"0";"0";"1";"3";"6";"32";"1";"1";"0";"2";"8";"5";"0";"6";"3";"8";"17";"1"
;;"23";"Kisteman, A.";"40";"8";"0";"1";"0";"1";"2";"1";"2";"0";"0";"0";"1";"2";"6";"2";"0";"0";"1";"4";"1";"0";"4";"0";"1";"0";"3"
;;"24";"de Kort, A.H.J.";"55";"5";"0";"2";"0";"0";"2";"2";"0";"1";"0";"0";"0";"6";"13";"1";"0";"1";"1";"6";"1";"0";"3";"2";"6";"1";"2"
;;"25";"van den Hil, J.";"156";"23";"1";"6";"0";"0";"1";"8";"7";"1";"1";"0";"0";"6";"51";"7";"0";"1";"1";"6";"5";"1";"4";"5";"8";"6";"7"
;;"26";"Valstar, P.J.";"69";"11";"3";"0";"1";"4";"0";"2";"2";"0";"0";"0";"0";"3";"20";"1";"0";"0";"5";"1";"2";"1";"5";"3";"0";"2";"3"
;;"27";"Bevers, H.";"42";"10";"0";"0";"1";"1";"0";"3";"2";"0";"0";"0";"1";"0";"12";"2";"0";"0";"0";"4";"2";"0";"1";"0";"2";"0";"1"
;;"28";"Buijsse, M.R.G.";"33";"5";"0";"0";"3";"0";"0";"2";"2";"0";"0";"0";"0";"0";"10";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"5"
;;"29";"Dral, R.M.";"246";"30";"1";"8";"2";"4";"0";"6";"5";"2";"1";"1";"3";"5";"118";"7";"0";"1";"8";"5";"4";"0";"4";"11";"6";"7";"7"
;;"30";"Bikkers, B.T.";"28";"6";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"9";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0";"3";"1"
;;"31";"Verkuijlen, R.";"82";"14";"8";"2";"0";"0";"5";"5";"4";"0";"0";"0";"0";"6";"12";"1";"1";"0";"0";"3";"2";"0";"4";"1";"4";"7";"3"
;;"32";"Richardson, S.M.";"174";"23";"5";"7";"1";"2";"1";"4";"2";"0";"1";"0";"2";"10";"59";"3";"4";"2";"4";"9";"4";"1";"11";"5";"7";"4";"3"
;;"33";"de Beer, M.E.E.";"33";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"2";"2";"1";"1";"2";"1";"0";"1";"1"
;;"34";"van Strien, P.J.T.";"38";"1";"5";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"11";"0";"0";"1";"0";"4";"0";"0";"1";"8";"3";"0";"1"
;;"35";"Hartsuiker, R.J.J.";"28";"1";"0";"1";"1";"0";"0";"2";"0";"1";"1";"0";"0";"0";"6";"0";"0";"0";"4";"2";"2";"0";"2";"3";"0";"1";"1"
;;"36";"Klein Lankhorst, H.";"416";"11";"9";"183";"5";"0";"0";"6";"3";"0";"3";"0";"1";"17";"68";"8";"0";"2";"3";"61";"7";"0";"8";"2";"10";"8";"1"
;;"37";"Haverkort, E.A.";"28";"4";"2";"1";"1";"0";"0";"2";"1";"0";"1";"0";"1";"1";"3";"1";"1";"0";"0";"3";"0";"0";"1";"1";"2";"2";"0"
;;"38";"Simons, C.";"14";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"2";"1"
;;"39";"Bijenhof, Y.";"35";"5";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"2";"1";"13";"2";"0";"0";"1";"2";"3";"0";"0";"0";"0";"1";"1"
;;"40";"van Groningen, D.A.";"93";"8";"1";"5";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"28";"1";"0";"4";"2";"4";"2";"3";"4";"5";"14";"7";"1"
;;"41";"Zeeuw van der Laan, E.M.";"77";"9";"7";"8";"1";"0";"12";"2";"0";"1";"0";"0";"0";"7";"7";"0";"1";"0";"0";"5";"2";"0";"2";"4";"4";"3";"2"
;;"42";"Volkman, Y.";"25";"3";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"5";"1";"0";"1";"0";"1";"2";"0";"0";"3";"0";"2";"2"
;;"43";"van Kessel, P.W.";"14";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"1";"3";"1";"1"
;;"44";"Rahimi, H.";"90";"4";"7";"2";"2";"0";"0";"3";"4";"0";"0";"0";"1";"9";"26";"1";"1";"2";"0";"3";"4";"0";"5";"3";"4";"9";"0"
;;"45";"Omlo, B.F.";"43";"7";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"7";"12";"1";"0";"1";"3";"1";"0";"1";"0";"1";"2";"2"
;;"46";"Yizhak Cooremans, R.A.T.";"16";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"38";"2";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"8";"0";"0";"4";"1";"2";"1";"1";"2";"2";"1";"6";"1"
;;"48";"de Wit, B.G.P.";"25";"3";"0";"1";"0";"0";"0";"1";"1";"0";"2";"0";"0";"2";"3";"0";"1";"2";"1";"3";"0";"1";"1";"0";"1";"2";"0"
;;"49";"van Meerten-Kok, M.A.";"33";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"5";"1";"0";"0";"0";"3";"1";"2";"1";"3";"1";"6";"2"
