Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
;;5;Bosma, M.;2145;92;8;59;194;413;77;94;4;164;19;10;61;108;67;305;154;143;173
;;6;Claassen, R.A.B.;25;0;0;1;3;5;0;0;0;2;0;0;0;2;2;2;3;2;3
;;7;Faber, M.H.M.;166;10;2;8;19;30;10;13;0;15;0;1;5;8;2;18;8;9;8
;;8;Mulder, E.;92;4;0;2;10;14;5;5;0;6;0;0;7;4;1;10;11;7;6
;;9;Maeijer, V.;84;2;0;2;6;19;4;1;0;7;0;0;4;1;1;17;8;7;5
;;10;van Dijck, A.P.C.;12;2;1;1;1;1;0;0;0;2;1;0;0;0;0;2;1;0;0
;;11;Kops, A.;22;0;0;0;1;3;3;1;0;4;0;0;1;0;1;4;1;1;2
;;12;Madlener, B.;25;0;0;0;4;8;1;1;0;0;0;0;0;0;0;5;0;5;1
;;13;de Jong, L.W.E.;40;3;0;1;5;6;3;2;0;0;0;0;1;1;0;4;6;4;4
;;14;Graus, D.J.G.;37;2;1;2;2;7;2;2;0;4;0;0;1;0;0;4;3;2;5
;;15;Blaauw, R.B.;36;2;0;0;1;8;5;0;1;4;0;0;1;2;0;6;0;3;3
;;16;de Roon, R.;13;1;0;1;1;1;1;0;0;1;0;0;0;4;2;0;0;0;1
;;17;van Dijk, E.;6;0;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0;1
;;18;de Vree, J.H.;19;0;0;0;0;1;0;0;0;1;0;0;1;4;1;2;1;6;2
;;19;Aardema, M.;1855;134;1;20;155;248;59;132;3;276;1;3;36;139;63;202;122;134;127
;;20;van der Velde, M.K.;89;7;0;2;7;19;4;3;0;9;0;0;2;7;5;6;8;4;6
;;21;van der Hoeff, P.H.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Deen, M.;9;0;0;0;0;2;0;0;0;1;0;0;3;0;1;2;0;0;0
;;23;Nijhof-Leeuw, J.M.;62;2;0;2;4;12;5;1;0;6;1;0;7;5;0;6;4;5;2
;;24;Boon, M.C.H.;5;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Mooiman, J.;22;0;0;2;1;2;2;2;0;3;0;0;1;0;0;5;0;4;0
;;26;Ram, D.;47;4;1;1;4;7;5;2;0;3;0;0;4;4;1;4;3;1;3
;;27;Vlottes, E.;6;0;0;0;0;1;0;0;0;1;0;0;0;0;1;3;0;0;0
;;28;Smitskam, P.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0
;;29;Esser, E.R.F.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Boutkan, W.;4;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
;;31;van den Born, V.H.;6;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0
;;32;Crijns, P.P.;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
;;33;van Haasen, J.P.;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;4;0
;;34;Vondeling, M.;53;1;0;2;4;15;7;3;0;0;1;0;2;0;0;7;2;6;3
;;35;Valize, J.J.T.M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;36;Heutink, H.D.;6;0;0;0;0;1;0;3;0;0;0;0;1;0;1;0;0;0;0
;;37;Pool, J.;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
;;38;Faddegon, C.J.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;39;Uppelschoten, N.A.;8;3;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1
;;40;Rep, R.J.H.H.;29;1;0;0;3;10;1;1;0;1;0;0;1;1;0;4;2;2;2
;;41;Thiadens, F.M.;7;1;0;0;0;1;1;0;0;0;0;0;1;1;0;2;0;0;0
;;42;Raijer, A.J.;36;4;0;0;4;8;2;0;0;6;0;0;0;4;0;4;2;2;0
;;43;van Bijnen, H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Hattem, A.W.J.A.;5;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
;;45;van Strien, G.A.;38;2;0;3;4;9;3;0;0;3;1;0;0;1;3;3;3;2;1
5;CDA;;;22478;1567;166;450;1225;2591;700;949;40;1856;141;23;608;1514;890;3581;2062;1906;2209
;;1;Bontenbal, H.;16012;595;145;370;947;1942;530;678;34;1410;120;19;487;1011;587;2652;1498;1378;1609
;;2;Vedder, E.C.;1041;36;4;21;88;146;63;53;3;97;10;2;70;44;18;157;91;66;72
;;3;Boswijk, D.G.;96;6;1;2;4;11;1;3;0;6;0;0;5;6;2;22;8;6;13
;;4;van Dijk, I.;124;4;2;2;4;28;3;3;0;10;1;1;4;9;4;24;10;8;7
;;5;Krul, H.M.;51;0;0;1;5;11;2;1;0;1;1;0;1;0;0;10;9;6;3
;;6;Palland-Mulder, H.M.;77;3;0;2;5;14;5;2;0;1;0;0;3;6;0;15;13;5;3
;;7;van den Brink, G.;20;0;2;0;1;4;3;0;0;0;0;0;0;1;1;2;3;0;3
;;8;Absil, M.G.J.A.C.;7;0;0;0;0;4;0;0;0;1;1;0;0;0;0;1;0;0;0
;;9;Steen, H.S.;34;1;0;10;4;5;0;2;0;2;0;0;1;0;0;4;1;1;3
;;10;Kuik, A.;76;0;0;0;7;16;2;8;0;6;1;0;3;5;4;11;5;3;5
;;11;Spoelstra, J.;4376;914;9;24;134;265;78;177;2;286;2;1;26;401;262;602;370;377;446
;;12;Slootweg, E.J.;10;1;0;0;0;2;2;0;0;0;0;0;0;1;0;2;2;0;0
;;13;Chaoui-Nhass, S.;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
;;14;Zwinkels, J.M.;14;0;1;0;1;2;1;3;0;1;0;0;0;1;0;0;1;2;1
;;15;Diederen, R.;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;15
;;16;Hamstra, S.;10;0;0;1;0;3;1;1;0;0;0;0;1;1;0;1;0;1;0
;;17;Houmes, E.S.;9;1;0;0;1;3;0;1;0;0;0;0;0;0;0;0;2;0;1
;;18;van den Berg, J.H.C.;10;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;1;2;2
;;19;de Haan, J.D.P.;31;0;0;0;4;6;4;0;0;4;0;0;0;2;0;2;2;5;2
;;20;Vermeer, J.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;21;van der Heide, E.J.;9;0;0;0;2;1;0;1;0;1;0;0;0;0;0;3;0;0;1
;;22;Goos, J.C.M.;10;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;5;0;0
;;23;Boogaard, P.;6;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0
;;24;Goudzwaard-Wiersma, W.;362;4;1;15;14;105;1;12;1;22;3;0;5;22;9;60;30;39;19
;;25;Segers-Hoogendoorn, R.G.C.;5;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;26;van Gijssel, A.K.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;27;Goudriaan, L.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Lagen, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;29;van der Spek, A.M.;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;30;Out, F.M.S.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Silos, J.J.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Tuncer, Y.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;33;Broekhuis, J.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;34;van den Oever, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van den Berg, J.A.M.J.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;36;Beers, A.M.A.G.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0
;;37;van Luik, D.A.N.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0
;;38;van Dekken, B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;39;Luijten, S.C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Dost, H.J.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Buijs, T.S.F.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0
;;42;van de Giessen, L.H.;11;0;0;0;0;6;1;1;0;0;0;0;1;0;0;0;1;1;0
;;43;Bracke, D.G.A.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
;;44;Joosten, J.P.J.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;45;Meppelink, E.M.;10;0;0;0;0;3;0;1;0;1;0;0;0;0;0;2;1;0;2
;;46;van Dijk, Q.A.;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;47;van Lankvelt, F.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;48;Siegmann, A.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;van de Kamp, L.B.;7;1;1;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0
6;SP (Socialistische Partij);;;14266;393;66;441;1171;3066;598;740;34;1266;132;43;644;689;303;1881;908;1035;856
;;1;Marijnissen, L.M.C.;11790;333;53;377;983;2431;476;614;28;1025;115;29;550;556;261;1595;775;880;709
;;2;Beckerman, S.M.;870;29;7;18;63;197;56;51;4;97;7;5;36;40;16;93;43;58;50
;;3;van Kent, B.;50;3;0;0;1;11;4;2;0;2;1;0;4;2;2;10;1;1;6
;;4;Dijk, J.P.;144;3;0;7;5;33;7;8;0;18;1;0;7;12;0;15;14;4;10
;;5;van Nispen, M.;25;1;0;0;1;8;4;2;0;1;0;0;2;0;1;1;2;1;1
;;6;Dobbe, S.E.M.;135;3;2;2;12;38;3;5;1;9;1;0;4;9;2;22;7;7;8
;;7;Temmink, N.G.J.;135;3;1;6;7;41;5;7;0;10;0;1;10;8;1;17;7;5;6
;;8;ten Broeke, M.J.;13;0;0;0;0;1;0;0;0;3;0;0;2;0;1;2;3;1;0
;;9;van Dijk, J.J.;46;0;0;2;4;11;1;0;0;5;0;1;0;5;0;10;1;5;1
;;10;Meijer, B.W.V.;22;0;0;3;2;7;0;0;0;2;0;0;0;4;0;2;1;0;1
;;11;Elfrink, G.E.;10;0;0;0;2;2;0;0;0;0;0;0;1;0;0;4;1;0;0
;;12;Wolters Gregório, J.;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3
;;13;Boerwinkel, E.M.J.;14;1;0;0;4;3;1;0;0;1;0;0;0;0;0;1;1;0;2
;;14;Alberts, R.;18;0;0;1;1;4;2;0;0;1;0;0;0;2;0;4;0;1;2
;;15;van der Nat, H.F.A.;6;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0
;;16;Memiş, M.;10;0;0;0;1;2;0;0;0;1;0;0;1;1;0;1;0;3;0
;;17;van Dijk, D.;38;0;0;3;4;15;1;0;0;1;0;0;0;1;0;3;5;3;2
;;18;de Ridder, N.;18;2;0;0;3;5;1;0;0;3;0;0;1;0;0;0;0;3;0
;;19;Yahyaoui, J.;27;0;0;1;1;12;1;3;1;4;1;0;0;0;0;2;0;1;0
;;20;van Boven, A.W.;8;0;0;1;0;2;1;1;0;2;1;0;0;0;0;0;0;0;0
;;21;Coppus, T.H.C.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;Topma, X.M.;14;0;0;1;1;4;1;0;0;0;0;0;5;0;0;1;0;0;1
;;23;van Wijngaarden, T.J.J.;6;0;0;0;0;1;1;0;0;2;0;0;0;1;0;1;0;0;0
;;24;Coşkun, T.S.J.;3;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
;;25;van den Hout, S.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;26;van der Wijk, N.H.F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;27;Verdaasdonk, I.;9;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;2;0;2
;;28;van Rossum, L.;8;0;0;0;2;2;0;0;0;2;0;1;0;0;0;0;0;1;0
;;29;Rongen, K.S.;13;0;0;1;1;3;2;1;0;3;0;0;0;0;0;1;0;1;0
;;30;van Hooft, J.W.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;31;Cramer, A.;8;1;0;0;1;2;0;2;0;1;0;0;0;0;0;1;0;0;0
;;32;van Scheltinga, E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;33;van Unen, G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;34;Kuin, R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Harris, D.C.;4;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;36;van der Veen, J.;201;1;0;0;33;23;10;16;0;21;1;1;5;20;4;29;15;15;7
;;37;Zandvliet, S.K.D.S.;7;0;0;0;0;2;1;0;0;1;0;0;2;1;0;0;0;0;0
;;38;Spanner, A.M.;6;1;0;0;0;2;0;1;0;0;0;0;1;0;0;1;0;0;0
;;39;Boer, M.I.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;40;Ramesar, J.S.;6;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;1;0
;;41;ten Heuw, M.A.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van der Sluis, J.H.A.;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
;;43;Schelvis, A.;211;2;0;3;3;106;5;2;0;14;0;0;2;11;3;13;10;19;18
;;44;de Man, W.J.;4;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
;;45;Hendriks-Berg, A.M.G.;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
;;46;de Vries, E.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;47;Eikenaar, E.;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;48;Clemens, J.M.M.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;49;Courbois, P.A.O.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
;;50;Leijten, R.M.;346;9;2;11;31;82;14;21;0;34;4;4;7;14;9;39;18;22;25
7;Forum voor Democratie;;;11312;574;39;300;891;2055;483;505;8;1095;55;17;491;505;315;1535;924;710;810
;;1;Baudet, T.H.P.;7577;352;20;203;625;1425;334;310;7;736;35;8;324;323;206;1034;620;478;537
;;2;Jansen, F.J.H.;185;7;1;3;15;33;16;9;0;10;1;0;6;4;1;24;21;11;23
;;3;van Meijeren, G.F.C.;2536;152;14;72;192;371;94;144;0;282;16;7;117;133;84;348;199;140;171
;;4;van Houwelingen, P.;279;22;2;13;16;52;15;12;0;19;1;0;12;10;7;34;18;23;23
;;5;Dekker, R.J.;195;4;0;3;13;53;4;7;0;14;2;0;13;8;5;26;15;13;15
;;6;de Vos, L.G.;89;4;1;1;10;23;1;3;0;5;0;0;4;5;1;9;8;4;10
;;7;Russcher, T.K.;9;0;0;0;0;2;1;0;0;0;0;0;1;2;1;0;0;2;0
;;8;Etalle, M.J.S.;12;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;8
;;9;Bakir, A.;10;3;0;0;0;1;0;0;0;2;0;0;0;0;1;2;0;1;0
;;10;Dessing, J.;6;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1
;;11;Vastenhouw, J.;5;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0
;;12;Al Biyati, I.;4;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0
;;13;de Knegt, R.E.R.;4;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0
;;14;Verstegen, P.J.T.;5;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0
;;15;van Schijndel, A.H.J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Antolini, B.M.;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Bos, M.;10;2;0;0;2;3;0;1;0;0;0;0;0;0;0;1;1;0;0
;;18;Koopman, P.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;van Asch, R.W.G.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;van den Boomgaard, M.R.;3;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
;;21;van Dijk, A.G.;35;12;0;2;1;4;1;2;0;1;0;0;0;6;1;0;0;0;5
;;22;Oudhuis, K.J.J.;64;1;0;1;2;31;0;3;0;2;0;0;2;3;0;8;2;7;2
;;23;Feenstra, N.;46;0;0;0;2;22;4;2;0;0;0;1;2;3;0;1;0;6;3
;;24;Krijgsman, A.;42;0;0;0;2;3;0;2;0;0;0;0;2;0;1;5;22;4;1
;;25;Jellema, H.J.;59;0;0;0;3;4;3;1;0;0;0;0;0;2;0;35;6;4;1
;;26;Baas, T.J.;43;13;0;0;2;5;3;4;0;7;0;0;0;2;1;0;2;1;3
;;27;de Lange, A.K.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;28;Hadderingh, B.S.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Wittebrood, J.C.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;30;Bilgin, T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;31;Luurssen, G.A.A.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Minkels, J.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Heller, T.H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Postuma, J.V.;11;1;0;1;1;3;1;0;0;1;0;0;0;0;0;0;0;0;3
;;35;Vos, A.V.B.;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0
;;36;Hartman, M.;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;37;Panis, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Voort, J.A.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;39;Nijman, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Wijngaard, M.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Rij, S.;5;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0
;;42;van Run, E.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van de Breevaart, J.O.;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;44;Schaap, D.V.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;45;de Graaff, M.J.R.L.;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;46;Zwitser, T.;21;0;0;1;0;4;2;0;0;2;0;0;0;1;5;1;3;2;0
;;47;van den Oetelaar, J.C.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Kerseboom, S.;14;1;0;0;0;2;0;1;0;2;0;1;0;1;0;2;1;1;2
;;49;Cliteur, P.B.;11;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3;5;1
8;Partij voor de Dieren;;;7635;176;59;206;639;2183;387;313;55;500;105;20;282;351;114;894;430;485;436
;;1;Ouwehand, E.;5578;129;44;173;479;1494;287;242;44;346;76;14;221;257;84;682;321;370;315
;;2;Kostić, I.;430;1;6;3;26;160;12;17;2;24;11;4;8;21;3;57;20;28;27
;;3;Teunissen, C.;218;8;0;2;17;72;19;7;4;10;4;0;7;9;3;25;10;12;9
;;4;Wassenberg, F.P.;56;4;2;0;3;11;5;2;2;4;0;0;2;1;2;6;2;4;6
;;5;Akerboom, E.S.;186;2;1;1;22;58;7;6;1;17;4;0;7;3;1;22;12;12;10
;;6;van Raan, L.;58;2;0;3;3;12;2;2;0;5;1;0;0;0;0;10;4;6;8
;;7;van Schaik, M.;72;0;1;4;8;31;3;0;0;3;0;0;3;1;0;9;3;3;3
;;8;Krijger, A.L.;145;1;1;3;18;57;3;4;0;8;2;0;4;4;1;5;17;8;9
;;9;Plusquin, P.S.M.L.;21;2;0;2;1;8;1;1;0;1;0;0;2;1;0;0;1;0;1
;;10;Groenewege, P.J.L.;11;0;0;0;0;4;1;0;0;0;0;0;1;1;0;4;0;0;0
;;11;van Heuven, M.;11;1;0;1;0;1;0;0;0;2;0;0;3;1;0;1;0;0;1
;;12;van Hassel, F.;24;0;1;0;3;11;1;0;0;0;0;0;0;2;3;1;1;1;0
;;13;Bunnik, R.J.;21;0;0;0;4;9;0;0;0;2;1;0;1;0;3;1;0;0;0
;;14;Schmeets, H.H.J.;9;0;0;0;0;2;0;0;0;2;0;0;1;0;0;2;2;0;0
;;15;Pınar, K.;10;0;0;1;0;7;0;0;0;0;0;0;0;0;0;1;0;1;0
;;16;Jones, M.G.;4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0
;;17;Bosma, J.;314;13;2;4;26;102;23;18;0;22;1;2;6;21;4;27;11;18;14
;;18;Barker, R.N.;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
;;19;van Wijlandt, K.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Batteau, J.M.;4;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Hollebeek, J.P.;3;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Dicke, I.M.;14;1;0;0;1;7;0;1;0;0;0;0;1;0;0;2;0;1;0
;;23;Salemans, B.R.;6;0;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;1
;;24;Bersch, F.;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Gram, F.;6;0;0;0;1;1;0;0;0;2;0;0;2;0;0;0;0;0;0
;;26;Krediet, L.;17;1;0;0;1;4;0;0;1;2;0;0;1;0;0;4;1;2;0
;;27;de Vos, D.J.C.;13;0;0;0;2;3;0;0;0;0;3;0;0;0;0;4;0;0;1
;;28;van der Velde, M.C.;7;0;0;0;0;3;1;1;0;1;0;0;0;0;0;1;0;0;0
;;29;van Viegen, A.H.K.;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;30;Gerritsen, L.;8;0;0;1;0;4;0;0;0;2;0;0;0;0;0;1;0;0;0
;;31;Veenstra, M.;3;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;Vlasveld, A.I.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;33;Janssens, T.A.O.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Coşkun, Z.P.;8;0;0;0;2;4;0;1;0;0;0;0;0;0;0;1;0;0;0
;;35;van der Pluijm, L.C.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;36;Peeks, S.J.;28;0;0;0;2;6;8;1;0;3;1;0;3;0;1;1;1;1;0
;;37;Pallandt, C.M.J.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Pechler, W.I.;16;0;0;0;0;5;4;0;0;1;0;0;0;1;0;1;0;0;4
;;39;van Lierop, J.;4;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1
;;40;Spruit, V.;10;0;0;0;0;5;2;0;0;0;0;0;0;0;0;1;1;0;1
;;41;Kuijer, B.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Markandu, G.;27;0;0;0;7;8;0;1;0;4;0;0;0;0;0;2;4;1;0
;;43;Oudshoorn, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Hanoeman, R.R.;7;0;0;0;0;2;0;0;0;1;0;0;0;1;0;1;0;0;2
;;45;Samshuijzen, E.;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;1;0
;;46;Brouwer, M.;227;9;0;4;8;62;3;8;1;25;1;0;5;24;7;17;16;15;22
;;47;Onderdelinden, S.E.;4;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;48;Rozema, J.G.;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;49;van de Peppel, S.;7;1;0;0;0;0;0;0;0;2;0;0;1;0;1;0;1;0;1
;;50;Minnaert, X.D.E.;21;0;0;3;0;11;0;0;0;6;0;0;1;0;0;0;0;0;0
9;ChristenUnie;;;11469;921;52;191;648;1599;344;804;17;1876;39;12;224;700;638;1130;537;611;1126
;;1;Bikker, M.H.;9014;752;43;165;515;1118;279;656;16;1445;30;10;179;553;556;858;422;466;951
;;2;Grinwis, P.A.;162;11;1;2;3;29;5;12;0;29;0;0;2;10;10;16;7;7;18
;;3;Ceder, D.G.M.;273;14;0;2;17;58;5;22;1;67;0;0;2;17;10;18;12;9;19
;;4;te Rietstap, A.H.;40;3;0;0;3;6;3;7;0;4;1;0;1;2;1;0;2;4;3
;;5;Gooijer-Medema, J.K.;114;5;0;2;11;18;2;7;0;28;0;0;1;7;3;13;8;2;7
;;6;Drost, N.;67;4;0;1;6;17;4;1;0;9;0;0;3;1;2;7;3;6;3
;;7;Holtman, T.S.;21;1;0;0;0;7;2;0;0;3;0;0;0;0;0;2;4;2;0
;;8;Otter-van den Bosch, C.;21;0;1;0;3;5;1;0;0;2;0;0;1;0;2;2;0;2;2
;;9;van der Graaf, S.J.F.;599;83;2;13;32;65;24;36;0;131;5;1;15;36;12;56;22;15;51
;;10;Klein, M.C.A.;12;2;0;0;0;4;0;0;0;0;0;1;0;0;1;1;0;1;2
;;11;Niesink, C.C.M.;596;16;0;2;27;203;5;27;0;33;1;0;7;44;29;62;32;73;35
;;12;Setz, J.N.;31;2;0;0;0;8;3;7;0;2;0;0;2;1;0;4;1;0;1
;;13;van der Krift, H.J.C.;5;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1
