Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
;;36;Klein Lankhorst, H.;6;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;1;0
;;37;Haverkort, E.A.;11;0;0;0;0;2;6;0;0;1;0;0;0;0;0;0;1;1;0
;;38;Simons, C.;5;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0
;;39;Bijenhof, Y.;14;0;0;0;0;2;0;1;0;2;0;0;0;0;0;4;4;0;1
;;40;van Groningen, D.A.;14;0;0;0;2;1;1;3;0;1;0;0;0;0;0;3;1;1;1
;;41;Zeeuw van der Laan, E.M.;10;3;0;0;0;1;0;0;0;1;0;0;2;0;0;2;0;1;0
;;42;Volkman, Y.;8;1;0;0;0;2;0;0;0;0;0;0;0;1;0;1;2;1;0
;;43;van Kessel, P.W.;8;0;0;1;0;1;0;0;0;0;1;0;3;0;0;1;1;0;0
;;44;Rahimi, H.;13;0;0;0;0;6;0;0;0;1;0;0;1;0;1;0;0;4;0
;;45;Omlo, B.F.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;46;Yizhak Cooremans, R.A.T.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;47;Nelisse, R.M.L.;16;2;0;0;0;1;3;2;0;3;0;0;0;0;0;2;1;0;2
;;48;de Wit, B.G.P.;5;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;1
;;49;van Meerten-Kok, M.A.;5;1;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0
;;50;Hoogezand, B.;9;0;0;1;3;1;0;0;0;0;0;0;1;0;0;0;3;0;0
;;51;Achterbergh, M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;52;Wendel, H.;52;1;0;0;9;16;4;2;0;8;0;0;2;1;0;3;1;5;0
;;53;Kohli, N.R.;7;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;2;0;0
;;54;Klerks, I.C.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;Dijkema, H.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Elkerbout, A.;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
;;57;van Rijn, D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;58;Aptroot, B.W.;4;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
;;59;de Regt, L.H.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;60;van Veen, J.;57;0;0;0;33;8;1;2;0;2;0;0;5;1;0;4;1;0;0
;;61;Vulpes, M.J.;6;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3;0;0;0
;;62;van Os, J.L.P.;9;0;0;0;4;0;0;0;0;0;0;0;2;0;0;1;2;0;0
;;63;van der Klauw, R.A.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;64;Rahmani, A.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
;;65;Bouma, R.A.;50;2;0;1;5;8;2;0;0;6;1;0;0;4;1;2;1;1;16
;;66;van Berlo, J.T.M.;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0
;;67;Talens, A.E.;8;0;2;0;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0
