"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"14";"Graus, D.J.G.";"67";"1";"8";"9";"3";"0";"0";"4";"3";"4";"0";"4";"1";"2";"0";"1";"3";"1";"0";"0";"3";"1";"0";"0";"1";"0";"1";"2";"2";"0";"0";"2";"2";"2";"2";"2";"2";"1"
;;"15";"Blaauw, R.B.";"32";"1";"3";"1";"0";"2";"1";"1";"1";"0";"2";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"2";"2";"1";"0";"0";"2";"1";"0";"1";"1"
;;"16";"de Roon, R.";"15";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0";"0";"1";"0";"2"
;;"17";"van Dijk, E.";"30";"1";"3";"4";"2";"1";"0";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"1";"0";"3";"1";"1";"0";"1";"0";"2";"0";"0";"0";"0"
;;"18";"de Vree, J.H.";"10";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0"
;;"19";"Aardema, M.";"29";"1";"1";"4";"2";"0";"1";"0";"1";"1";"0";"2";"0";"2";"0";"1";"0";"2";"0";"2";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2";"0"
;;"20";"van der Velde, M.K.";"171";"1";"13";"26";"10";"6";"1";"5";"0";"23";"2";"2";"4";"8";"0";"1";"1";"14";"2";"3";"1";"5";"0";"2";"1";"4";"1";"4";"1";"3";"6";"4";"3";"3";"6";"2";"2";"1"
;;"21";"van der Hoeff, P.H.";"11";"0";"2";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"22";"Deen, M.";"17";"0";"4";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0"
;;"23";"Nijhof-Leeuw, J.M.";"322";"14";"21";"11";"4";"2";"3";"17";"6";"10";"1";"5";"2";"3";"1";"0";"22";"1";"1";"2";"1";"4";"0";"0";"7";"2";"2";"11";"8";"10";"1";"21";"27";"6";"7";"70";"11";"8"
;;"24";"Boon, M.C.H.";"18";"0";"2";"3";"0";"0";"0";"3";"1";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"25";"Mooiman, J.";"51";"1";"6";"8";"1";"1";"0";"2";"1";"3";"1";"0";"1";"0";"0";"2";"1";"0";"2";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"3";"2";"1";"2";"2";"5";"1";"1";"0"
;;"26";"Ram, D.";"28";"0";"3";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"2";"1";"1";"2";"2";"3";"0";"2";"2";"0"
;;"27";"Vlottes, E.";"532";"3";"276";"26";"7";"20";"2";"14";"3";"10";"0";"30";"1";"2";"1";"6";"3";"2";"1";"1";"2";"20";"0";"0";"30";"3";"9";"2";"6";"14";"4";"1";"3";"3";"10";"2";"8";"7"
;;"28";"Smitskam, P.";"17";"0";"0";"4";"1";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0"
;;"29";"Esser, E.R.F.";"14";"0";"1";"3";"2";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"30";"Boutkan, W.";"13";"0";"2";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"van den Born, V.H.";"9";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3";"0";"0";"0"
;;"32";"Crijns, P.P.";"5";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"85";"4";"8";"10";"6";"2";"0";"0";"2";"10";"0";"2";"4";"7";"1";"0";"2";"2";"0";"1";"1";"6";"0";"0";"0";"1";"1";"1";"2";"3";"0";"3";"1";"0";"1";"3";"1";"0"
;;"35";"Valize, J.J.T.M.";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
;;"36";"Heutink, H.D.";"134";"13";"3";"5";"0";"0";"0";"8";"0";"1";"0";"2";"0";"0";"0";"0";"6";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"17";"2";"0";"0";"6";"26";"0";"0";"25";"7";"8"
;;"37";"Pool, J.";"29";"1";"0";"1";"0";"0";"0";"1";"2";"1";"3";"1";"0";"5";"2";"1";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"38";"Faddegon, C.J.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"19";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"1";"1"
;;"40";"Rep, R.J.H.H.";"30";"0";"0";"5";"1";"0";"0";"3";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"0";"1";"1";"2";"1";"0";"0";"3";"0";"2";"2"
;;"41";"Thiadens, F.M.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"42";"Raijer, A.J.";"68";"1";"13";"3";"0";"0";"0";"3";"1";"6";"1";"1";"0";"3";"0";"1";"0";"7";"1";"2";"5";"0";"0";"1";"0";"2";"1";"1";"1";"1";"1";"1";"1";"0";"3";"3";"3";"1"
;;"43";"van Bijnen, H.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"13";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0"
;;"45";"van Strien, G.A.";"87";"3";"10";"13";"2";"2";"0";"4";"3";"12";"0";"2";"1";"1";"1";"0";"1";"4";"1";"1";"2";"5";"0";"0";"1";"0";"1";"0";"3";"1";"1";"2";"1";"6";"0";"0";"3";"0"
"5";"CDA";;;"38824";"1269";"3314";"1521";"2064";"408";"226";"1192";"567";"3287";"852";"997";"1240";"1594";"506";"830";"821";"1648";"913";"1023";"765";"967";"50";"312";"746";"617";"319";"577";"1053";"713";"846";"1058";"968";"1103";"1276";"1101";"1106";"975"
;;"1";"Bontenbal, H.";"33172";"1103";"2885";"1265";"1778";"360";"202";"1019";"501";"2774";"722";"874";"952";"1372";"428";"743";"716";"1389";"797";"886";"665";"852";"41";"269";"663";"484";"283";"502";"938";"589";"729";"908";"780";"979";"1129";"835";"913";"847"
;;"2";"Vedder, E.C.";"2131";"60";"174";"102";"115";"28";"9";"56";"32";"191";"51";"53";"49";"75";"31";"38";"56";"108";"49";"56";"49";"47";"4";"22";"43";"38";"13";"33";"47";"59";"58";"41";"68";"45";"64";"56";"60";"51"
;;"3";"Boswijk, D.G.";"344";"11";"29";"19";"31";"1";"0";"17";"6";"44";"5";"4";"9";"8";"2";"3";"4";"13";"7";"8";"7";"11";"0";"8";"3";"7";"2";"3";"7";"9";"4";"10";"4";"7";"16";"7";"11";"7"
;;"4";"van Dijk, I.";"399";"14";"33";"26";"16";"5";"4";"15";"7";"45";"8";"10";"6";"4";"8";"8";"5";"10";"6";"11";"6";"12";"0";"3";"12";"15";"5";"4";"17";"1";"4";"11";"7";"24";"14";"6";"8";"9"
;;"5";"Krul, H.M.";"72";"3";"9";"3";"4";"1";"0";"2";"0";"7";"1";"4";"1";"3";"1";"2";"2";"3";"0";"3";"0";"0";"0";"1";"0";"4";"0";"1";"4";"3";"0";"1";"1";"2";"1";"1";"2";"2"
;;"6";"Palland-Mulder, H.M.";"315";"5";"31";"15";"10";"0";"1";"8";"2";"14";"37";"13";"4";"10";"23";"16";"3";"7";"37";"3";"7";"7";"2";"1";"3";"7";"2";"2";"5";"2";"10";"1";"2";"13";"7";"1";"2";"2"
;;"7";"van den Brink, G.";"134";"5";"8";"1";"16";"0";"2";"0";"0";"12";"1";"0";"3";"4";"0";"1";"0";"47";"2";"9";"1";"3";"0";"2";"1";"0";"0";"0";"0";"1";"2";"0";"0";"5";"3";"0";"2";"3"
;;"8";"Absil, M.G.J.A.C.";"59";"2";"5";"7";"3";"1";"1";"0";"1";"5";"2";"0";"1";"3";"0";"2";"0";"2";"0";"0";"0";"1";"0";"0";"1";"6";"1";"2";"2";"1";"0";"2";"2";"3";"0";"2";"0";"1"
;;"9";"Steen, H.S.";"220";"13";"18";"6";"4";"1";"0";"13";"6";"4";"0";"3";"3";"1";"2";"2";"9";"8";"0";"3";"1";"3";"0";"1";"7";"2";"4";"4";"3";"7";"2";"9";"33";"3";"3";"21";"17";"4"
;;"10";"Kuik, A.";"555";"5";"44";"15";"36";"2";"1";"13";"3";"29";"9";"24";"113";"63";"9";"5";"2";"38";"3";"26";"4";"13";"0";"0";"1";"8";"1";"3";"8";"9";"23";"7";"5";"8";"8";"1";"7";"9"
;;"11";"Spoelstra, J.";"37";"1";"4";"5";"0";"0";"1";"1";"1";"4";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"4";"0";"0";"3";"2";"1";"1";"0";"0";"0";"1";"1";"0"
;;"12";"Slootweg, E.J.";"175";"1";"3";"8";"18";"1";"0";"1";"0";"95";"1";"0";"0";"0";"0";"0";"0";"1";"1";"2";"5";"0";"1";"0";"0";"20";"0";"0";"1";"1";"0";"0";"2";"2";"6";"1";"2";"2"
;;"13";"Chaoui-Nhass, S.";"17";"0";"0";"2";"2";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"14";"Zwinkels, J.M.";"36";"1";"3";"8";"1";"0";"0";"3";"0";"6";"1";"1";"0";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0"
;;"15";"Diederen, R.";"61";"3";"5";"1";"2";"1";"1";"8";"1";"5";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"1";"4";"0";"0";"2";"0";"1";"8";"2";"2";"0";"1";"2";"5"
;;"16";"Hamstra, S.";"165";"1";"10";"0";"8";"0";"0";"1";"0";"0";"2";"0";"88";"26";"0";"1";"0";"5";"0";"8";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"9";"1";"0";"1";"0";"0";"1";"0"
;;"17";"Houmes, E.S.";"23";"2";"2";"2";"0";"0";"0";"0";"0";"4";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"3";"0";"0"
;;"18";"van den Berg, J.H.C.";"26";"1";"3";"3";"1";"0";"0";"2";"0";"1";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"2";"2";"0";"1";"1";"0";"1"
;;"19";"de Haan, J.D.P.";"15";"0";"3";"1";"0";"0";"0";"0";"0";"1";"2";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"20";"Vermeer, J.";"10";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
;;"21";"van der Heide, E.J.";"17";"2";"1";"0";"1";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0"
;;"22";"Goos, J.C.M.";"12";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"23";"Boogaard, P.";"11";"1";"1";"2";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"25";"0";"3";"4";"2";"1";"0";"0";"1";"2";"0";"0";"1";"3";"0";"0";"0";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"9";"0";"0";"1";"0";"1";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"26";"van Gijssel, A.K.";"469";"29";"5";"4";"1";"0";"0";"23";"2";"0";"0";"2";"0";"1";"0";"0";"19";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"14";"5";"14";"0";"45";"49";"0";"2";"155";"73";"22"
;;"27";"Goudriaan, L.H.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"van Lagen, M.";"22";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"1";"2";"1";"0";"3";"2";"1"
;;"29";"van der Spek, A.M.";"13";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0"
;;"30";"Out, F.M.S.";"6";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Silos, J.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Tuncer, Y.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0"
;;"33";"Broekhuis, J.C.";"9";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"34";"van den Oever, J.A.";"5";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"9";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"44";"0";"4";"1";"1";"1";"1";"0";"0";"10";"1";"2";"0";"3";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"1";"2";"1";"1";"1";"4";"0";"1";"1";"0";"1";"1";"0";"0"
;;"37";"van Luik, D.A.N.";"36";"2";"3";"9";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"4";"7";"0";"1";"3"
;;"38";"van Dekken, B.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"16";"0";"2";"1";"1";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"67";"1";"10";"3";"6";"0";"1";"0";"0";"3";"4";"3";"5";"4";"0";"3";"0";"1";"6";"2";"0";"3";"0";"0";"3";"2";"1";"0";"1";"1";"3";"0";"0";"0";"0";"1";"0";"0"
;;"43";"Bracke, D.G.A.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Meppelink, E.M.";"28";"0";"3";"1";"2";"1";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"3";"5";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"0";"0";"0";"0";"2";"0"
;;"46";"van Dijk, Q.A.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"28";"0";"3";"1";"1";"0";"0";"0";"0";"4";"2";"0";"1";"2";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"2";"2";"0";"1";"0";"1";"0";"0";"0";"2"
"6";"SP (Socialistische Partij)";;;"27147";"487";"2954";"3321";"438";"494";"352";"1432";"558";"1429";"239";"484";"349";"595";"173";"237";"602";"475";"199";"212";"660";"1055";"16";"86";"362";"699";"345";"619";"936";"1513";"254";"905";"535";"1016";"919";"888";"643";"666"
;;"1";"Marijnissen, L.M.C.";"22397";"413";"2529";"2508";"379";"423";"304";"1140";"478";"1209";"195";"424";"309";"526";"147";"214";"489";"416";"166";"187";"558";"880";"14";"79";"312";"536";"290";"523";"820";"988";"215";"754";"451";"902";"805";"750";"502";"562"
;;"2";"Beckerman, S.M.";"720";"11";"85";"86";"14";"12";"6";"32";"12";"51";"14";"16";"7";"21";"8";"4";"15";"10";"9";"3";"18";"23";"1";"1";"12";"33";"4";"23";"30";"33";"4";"26";"11";"22";"17";"25";"10";"11"
;;"3";"van Kent, B.";"107";"3";"11";"14";"2";"2";"1";"1";"1";"6";"1";"2";"1";"5";"2";"2";"4";"1";"0";"1";"5";"4";"0";"0";"0";"5";"1";"1";"2";"7";"1";"1";"4";"1";"7";"2";"3";"3"
;;"4";"Dijk, J.P.";"129";"3";"11";"15";"1";"1";"2";"10";"1";"8";"2";"5";"2";"5";"0";"3";"2";"4";"1";"0";"3";"8";"0";"0";"3";"4";"1";"3";"1";"10";"0";"4";"2";"4";"2";"4";"4";"0"
;;"5";"van Nispen, M.";"74";"0";"10";"11";"1";"3";"1";"4";"5";"5";"0";"0";"4";"2";"0";"0";"1";"1";"1";"1";"0";"2";"0";"0";"1";"3";"1";"2";"5";"0";"2";"2";"0";"3";"0";"1";"0";"2"
;;"6";"Dobbe, S.E.M.";"1145";"9";"91";"377";"12";"18";"11";"50";"22";"60";"2";"9";"5";"8";"1";"0";"9";"11";"1";"6";"46";"54";"0";"2";"3";"39";"17";"13";"31";"20";"11";"42";"12";"42";"51";"15";"22";"23"
;;"7";"Temmink, N.G.J.";"234";"5";"33";"17";"1";"1";"2";"3";"4";"14";"8";"15";"1";"4";"8";"7";"6";"6";"14";"5";"4";"7";"0";"2";"4";"7";"2";"4";"2";"15";"6";"1";"7";"4";"3";"6";"6";"0"
;;"8";"ten Broeke, M.J.";"552";"2";"27";"5";"1";"9";"1";"12";"1";"2";"0";"3";"0";"1";"1";"1";"37";"0";"0";"1";"2";"10";"0";"0";"9";"3";"0";"7";"3";"346";"2";"8";"5";"0";"2";"22";"26";"3"
;;"9";"van Dijk, J.J.";"103";"1";"4";"14";"3";"1";"2";"5";"3";"3";"1";"1";"4";"4";"0";"0";"0";"4";"0";"0";"1";"8";"0";"0";"0";"5";"0";"1";"5";"10";"1";"3";"0";"2";"2";"3";"7";"5"
;;"10";"Meijer, B.W.V.";"27";"0";"4";"5";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"2";"0";"3";"2";"1";"0";"0";"0";"0";"0";"0";"2";"2"
;;"11";"Elfrink, G.E.";"144";"0";"4";"62";"2";"1";"1";"3";"8";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"15";"0";"0";"0";"6";"3";"2";"5";"0";"0";"3";"0";"5";"5";"0";"0";"7"
;;"12";"Wolters Gregório, J.";"8";"0";"2";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"324";"19";"9";"5";"1";"1";"5";"137";"3";"3";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"13";"5";"4";"1";"38";"18";"0";"3";"15";"15";"19"
;;"14";"Alberts, R.";"24";"1";"5";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"3";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0"
;;"15";"van der Nat, H.F.A.";"6";"1";"0";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Memiş, M.";"60";"0";"10";"17";"1";"1";"0";"2";"0";"2";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"5";"2";"2";"1";"2";"0";"1";"0";"4"
;;"17";"van Dijk, D.";"248";"3";"20";"13";"1";"11";"2";"7";"1";"4";"0";"2";"1";"1";"3";"1";"19";"3";"0";"2";"2";"7";"0";"0";"8";"5";"2";"8";"4";"49";"4";"5";"10";"2";"3";"17";"23";"5"
;;"18";"de Ridder, N.";"33";"1";"5";"4";"1";"1";"0";"1";"0";"3";"1";"0";"1";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"2";"1";"0";"1";"3";"0"
;;"19";"Yahyaoui, J.";"96";"1";"14";"31";"2";"2";"0";"5";"2";"16";"1";"1";"0";"1";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"1";"6";"0";"0";"1";"2";"0";"1";"0";"0";"1";"0";"1";"2"
