"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"4";"van der Burg, E.";"1729";"13";"218";"177";"71";"15";"11";"64";"25";"122";"25";"43";"26";"45";"17";"20";"64";"62";"12";"33";"54";"48";"12";"13";"45";"39";"9";"25";"48";"46";"19";"28";"24";"60";"51";"46";"59";"40"
;;"5";"van der Wal-Zeggelink, C.";"1708";"17";"191";"100";"41";"14";"8";"28";"20";"54";"35";"48";"83";"469";"18";"13";"25";"68";"9";"58";"30";"35";"4";"2";"19";"15";"7";"11";"27";"20";"65";"21";"14";"34";"42";"14";"33";"16"
;;"6";"Brekelmans, R.P.";"611";"8";"67";"57";"17";"9";"4";"19";"16";"40";"11";"19";"9";"14";"7";"2";"22";"22";"4";"10";"26";"16";"6";"3";"12";"12";"6";"15";"16";"17";"5";"13";"7";"21";"28";"12";"21";"18"
;;"7";"Heinen, E.";"197";"3";"24";"11";"9";"3";"0";"10";"4";"11";"4";"10";"1";"4";"2";"7";"8";"9";"5";"7";"0";"7";"1";"1";"5";"4";"0";"4";"7";"6";"3";"5";"3";"4";"5";"3";"5";"2"
;;"8";"de Vries, A.";"317";"1";"49";"30";"13";"8";"1";"13";"7";"24";"1";"7";"2";"8";"1";"2";"12";"8";"1";"4";"8";"4";"1";"1";"9";"8";"2";"4";"11";"12";"4";"5";"11";"12";"20";"4";"7";"2"
;;"9";"Kamminga, R.J.";"164";"4";"23";"18";"5";"2";"1";"0";"5";"8";"2";"5";"2";"1";"4";"2";"6";"4";"2";"3";"6";"4";"0";"1";"5";"3";"4";"2";"4";"4";"0";"5";"6";"4";"6";"4";"4";"5"
;;"10";"Paul, M.L.J.";"119";"1";"14";"17";"4";"3";"0";"5";"4";"4";"0";"2";"0";"7";"0";"2";"6";"5";"0";"0";"2";"4";"1";"4";"4";"2";"1";"6";"3";"3";"0";"2";"0";"4";"4";"3";"0";"2"
;;"11";"Erkens, S.P.A.";"90";"0";"10";"14";"2";"3";"0";"5";"0";"4";"1";"1";"1";"0";"0";"1";"1";"1";"2";"1";"3";"1";"2";"0";"0";"4";"0";"2";"5";"3";"0";"0";"1";"6";"7";"4";"0";"5"
;;"12";"Rajkowski, Q.M.";"200";"3";"26";"30";"6";"3";"1";"4";"6";"10";"1";"3";"3";"11";"1";"1";"1";"8";"0";"1";"8";"13";"1";"1";"5";"4";"3";"1";"3";"3";"5";"1";"3";"6";"10";"6";"1";"7"
;;"13";"Aartsen, A.A.";"103";"1";"17";"8";"6";"2";"0";"2";"1";"9";"0";"0";"1";"4";"0";"0";"1";"2";"2";"0";"2";"3";"0";"1";"1";"4";"1";"2";"8";"1";"0";"4";"2";"6";"6";"0";"4";"2"
