"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"31";"van Dorst, P.A.";"28";"0";"0";"8";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"8";"0";"1";"0";"3";"1";"1";"0";"0";"2"
;;"32";"Wijnja, G.H.";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"de Vries, M.M.";"24";"0";"1";"6";"0";"2";"0";"1";"1";"0";"0";"0";"1";"0";"1";"5";"0";"1";"1";"2";"1";"1";"0";"0";"0"
;;"34";"Schoonbeek, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Mathlouti, M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Koops, J.H.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
;;"38";"Hagen, K.B.";"87";"0";"5";"28";"2";"2";"2";"0";"2";"0";"0";"4";"4";"0";"0";"23";"1";"1";"0";"1";"5";"1";"2";"2";"2"
;;"39";"Hiemstra, G.J.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"27";"0";"4";"7";"1";"1";"2";"1";"0";"1";"0";"0";"2";"1";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"41";"Tjeerdema, H.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Woudstra, E.";"9";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Olsthoorn, A.";"11";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"0";"0"
;;"44";"van Peski, C.J.";"320";"0";"2";"12";"5";"2";"2";"9";"21";"16";"6";"19";"6";"2";"0";"194";"8";"0";"0";"6";"4";"1";"0";"3";"2"
;;"45";"van Hattum, B.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"11";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"47";"van Driel, M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"9";"0";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van der Gaag, P.J.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"15";"0";"6";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"52";"van de Vijver, V.F.";"86";"0";"1";"13";"3";"5";"0";"1";"3";"1";"4";"10";"5";"0";"1";"12";"9";"0";"1";"1";"6";"1";"2";"2";"5"
;;"53";"Vemer, P.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"6";"0";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Wesseling, A.";"7";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"57";"Maessen, R.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"13";"0";"0";"6";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"5";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"7";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"10";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"6";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"63";"Chaban, S.";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"64";"Louhenapessij, A.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"18";"0";"1";"1";"3";"1";"0";"1";"2";"0";"0";"1";"0";"0";"0";"6";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"66";"van Essen, J.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"10";"0";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1"
;;"70";"Hendrickx, M.T.M.";"200";"1";"6";"8";"4";"1";"0";"8";"12";"5";"6";"8";"4";"2";"0";"122";"3";"0";"2";"1";"4";"1";"1";"0";"1"
;;"71";"Gräper-van Koolwijk, F.Q.";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"72";"Weerwind, F.M.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"15";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"6";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"74";"Kuipers, E.J.";"52";"0";"7";"12";"3";"1";"0";"2";"0";"2";"0";"2";"3";"0";"0";"11";"0";"1";"0";"0";"5";"1";"0";"1";"1"
;;"75";"Ollongren, K.H.";"42";"0";"2";"20";"0";"2";"0";"0";"3";"0";"0";"2";"3";"0";"0";"5";"2";"0";"0";"0";"2";"1";"0";"0";"0"
;;"76";"Dijkgraaf, R.H.";"162";"3";"10";"47";"5";"7";"4";"0";"4";"2";"1";"3";"5";"0";"1";"37";"5";"2";"0";"2";"8";"4";"6";"1";"5"
;;"77";"Uslu, G.";"39";"0";"4";"17";"2";"2";"1";"0";"0";"0";"0";"2";"1";"0";"0";"6";"0";"0";"0";"0";"1";"1";"1";"0";"1"
;;"78";"Pechtold, A.";"84";"1";"7";"18";"7";"2";"0";"4";"1";"0";"2";"1";"3";"1";"1";"16";"2";"1";"1";"3";"6";"3";"2";"0";"2"
;;"79";"Terlouw, J.C.";"52";"0";"6";"12";"1";"2";"3";"1";"2";"0";"0";"1";"1";"0";"1";"7";"3";"1";"0";"0";"5";"0";"2";"3";"1"
;;"80";"Kaag, S.A.M.";"277";"1";"15";"70";"2";"3";"4";"8";"12";"6";"8";"17";"16";"0";"6";"49";"11";"5";"1";"8";"10";"9";"3";"3";"10"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"86295";"347";"4263";"19082";"1882";"2857";"1117";"1952";"2523";"1403";"1462";"2609";"4090";"617";"984";"24154";"2622";"891";"1012";"1422";"4532";"1901";"1744";"616";"2213"
;;"1";"Timmermans, F.C.G.M.";"37748";"192";"2301";"8187";"938";"1539";"648";"993";"999";"598";"673";"1180";"2217";"370";"589";"6846";"1342";"539";"588";"836";"2487";"1140";"947";"314";"1285"
;;"2";"Lahlah, A.";"26046";"86";"654";"4033";"490";"463";"174";"509";"1058";"552";"496";"876";"765";"77";"118";"13033";"631";"110";"158";"181";"572";"257";"287";"165";"301"
;;"3";"Klaver, J.F.";"7842";"27";"540";"1947";"183";"348";"122";"191";"228";"98";"109";"230";"446";"73";"104";"1153";"267";"118";"112";"184";"677";"191";"217";"53";"224"
;;"4";"Piri, K.P.";"1174";"2";"80";"407";"18";"53";"11";"18";"18";"14";"8";"17";"52";"4";"16";"185";"36";"17";"13";"12";"80";"32";"25";"9";"47"
;;"5";"Westerveld, E.M.";"4459";"11";"210";"1368";"103";"170";"53";"103";"79";"52";"83";"141";"234";"24";"70";"833";"130";"43";"52";"72";"235";"124";"95";"28";"146"
;;"6";"Patijn, M.H.";"251";"1";"9";"61";"9";"10";"2";"6";"3";"4";"6";"11";"13";"1";"3";"51";"7";"3";"5";"10";"13";"3";"9";"2";"9"
;;"7";"Kröger, S.C.";"489";"2";"28";"154";"9";"16";"10";"8";"7";"6";"4";"9";"18";"7";"6";"107";"9";"6";"3";"10";"24";"19";"13";"3";"11"
;;"8";"Bushoff, T.J.";"68";"0";"3";"23";"2";"2";"1";"0";"0";"0";"0";"2";"0";"1";"0";"19";"4";"0";"0";"3";"1";"2";"1";"1";"3"
;;"9";"van der Lee, T.M.T.";"77";"0";"6";"21";"0";"1";"1";"2";"2";"1";"0";"1";"5";"1";"0";"19";"1";"0";"1";"3";"2";"2";"2";"1";"5"
;;"10";"Mutluer, S.";"228";"0";"19";"49";"0";"9";"2";"5";"9";"1";"0";"1";"15";"2";"3";"60";"9";"1";"0";"3";"21";"9";"5";"0";"5"
;;"11";"Bromet, L.";"511";"0";"16";"149";"11";"20";"9";"5";"7";"8";"7";"15";"26";"4";"7";"123";"11";"5";"7";"9";"27";"10";"6";"3";"26"
;;"12";"de Hoop, H.E.";"190";"1";"9";"56";"3";"4";"3";"5";"1";"1";"2";"5";"6";"4";"0";"54";"3";"3";"1";"6";"7";"2";"5";"1";"8"
;;"13";"Maatoug, S.";"203";"0";"15";"69";"2";"7";"1";"4";"2";"2";"2";"0";"5";"0";"0";"59";"6";"1";"2";"5";"11";"3";"1";"3";"3"
;;"14";"Mohandis, M.";"113";"0";"6";"39";"4";"2";"0";"2";"4";"1";"1";"0";"4";"1";"0";"22";"9";"0";"0";"0";"9";"5";"3";"0";"1"
;;"15";"Gabriëls, G.J.W.";"149";"0";"8";"41";"4";"3";"3";"2";"6";"1";"5";"4";"2";"0";"2";"50";"2";"1";"2";"0";"5";"0";"4";"2";"2"
;;"16";"Thijssen, J.";"46";"0";"4";"11";"0";"2";"0";"2";"1";"0";"1";"2";"3";"0";"0";"13";"1";"2";"0";"1";"2";"0";"1";"0";"0"
;;"17";"Bouchallikh, K.";"302";"0";"18";"85";"3";"11";"2";"5";"3";"0";"4";"1";"12";"4";"4";"96";"15";"1";"0";"4";"26";"4";"0";"0";"4"
;;"18";"Kathmann, B.C.";"292";"2";"24";"101";"2";"11";"3";"3";"6";"1";"3";"4";"14";"5";"1";"58";"5";"5";"2";"5";"16";"8";"9";"1";"3"
;;"19";"Slagt-Tichelman, E.";"158";"0";"8";"39";"2";"3";"2";"6";"2";"0";"1";"1";"9";"1";"4";"47";"8";"2";"3";"2";"7";"2";"3";"3";"3"
;;"20";"Tseggai, M.";"207";"0";"9";"60";"3";"8";"4";"2";"4";"2";"1";"0";"8";"0";"0";"69";"4";"1";"0";"1";"18";"1";"3";"2";"7"
;;"21";"White, R.J.";"54";"0";"2";"20";"0";"3";"0";"0";"1";"0";"0";"0";"2";"0";"0";"15";"1";"0";"0";"2";"5";"0";"1";"0";"2"
;;"22";"Pijpelink, A.";"475";"2";"79";"135";"7";"9";"2";"5";"4";"2";"3";"6";"16";"1";"13";"96";"6";"7";"8";"4";"47";"7";"6";"0";"10"
;;"23";"Chakor, G.";"248";"1";"11";"91";"4";"1";"4";"2";"8";"3";"2";"3";"5";"2";"3";"72";"6";"0";"2";"3";"9";"9";"4";"1";"2"
;;"24";"Nordkamp, J.";"29";"0";"4";"5";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"6";"3";"1";"1";"0";"2";"0";"0";"0";"4"
;;"25";"Stultiens, L.C.J.";"62";"0";"3";"21";"0";"1";"1";"1";"0";"1";"4";"0";"1";"0";"0";"18";"0";"2";"0";"0";"3";"2";"2";"1";"1"
;;"26";"Haage, M.W.";"592";"5";"17";"182";"12";"22";"5";"11";"9";"14";"3";"23";"18";"2";"5";"174";"12";"4";"1";"7";"25";"4";"11";"2";"24"
;;"27";"Hirsch, D.H.";"577";"2";"19";"206";"8";"10";"3";"7";"10";"7";"3";"22";"17";"3";"4";"195";"10";"3";"6";"5";"10";"8";"1";"6";"12"
;;"28";"de Jong, H.A.";"43";"1";"2";"10";"3";"1";"1";"0";"2";"2";"0";"0";"2";"0";"1";"12";"1";"0";"0";"0";"3";"1";"1";"0";"0"
;;"29";"Postma, J.P.";"20";"0";"4";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"1";"1";"1";"0";"0";"1"
;;"30";"Oosting, I.";"214";"0";"8";"77";"3";"3";"4";"3";"2";"2";"4";"2";"11";"2";"0";"59";"4";"0";"5";"0";"7";"4";"3";"2";"9"
;;"31";"de Boer, M.M.";"75";"0";"7";"24";"0";"2";"0";"1";"3";"1";"1";"0";"1";"1";"0";"21";"2";"0";"1";"0";"4";"1";"1";"0";"4"
;;"32";"Daenen, J.W.B.";"71";"0";"0";"18";"1";"2";"1";"1";"1";"6";"1";"1";"4";"0";"1";"16";"1";"0";"0";"2";"10";"1";"1";"1";"2"
;;"33";"Ranshuijsen, A.B.";"234";"1";"9";"63";"3";"7";"6";"2";"4";"4";"4";"5";"8";"0";"3";"81";"7";"0";"2";"4";"8";"2";"7";"1";"3"
;;"34";"Köseoglu, E.";"239";"1";"45";"54";"8";"5";"3";"3";"1";"1";"2";"2";"10";"2";"1";"65";"8";"0";"0";"4";"11";"4";"2";"0";"7"
;;"35";"van Roemburg, E.T.W.";"106";"0";"2";"31";"2";"5";"3";"1";"2";"2";"1";"3";"3";"1";"1";"35";"1";"0";"0";"1";"7";"1";"2";"1";"1"
;;"36";"Nessar, A.";"15";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"5";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"37";"Muns, L.";"22";"0";"1";"8";"1";"0";"1";"0";"0";"0";"0";"2";"7";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"38";"Vrolijks, I.L.";"235";"1";"9";"63";"4";"6";"1";"3";"3";"3";"1";"4";"10";"0";"2";"79";"3";"3";"4";"3";"9";"11";"4";"2";"7"
;;"39";"Smits, P.L.";"24";"0";"0";"3";"0";"3";"0";"1";"1";"1";"0";"1";"1";"0";"0";"6";"2";"0";"0";"1";"0";"1";"2";"0";"1"
;;"40";"Nabih, M.";"32";"0";"3";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"7";"6";"0";"0";"2";"6";"1";"0";"0";"0"
;;"41";"Rietveld, M.D.";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"42";"Torunoglu, Y.";"66";"3";"7";"5";"3";"1";"1";"2";"0";"0";"1";"1";"4";"1";"0";"24";"6";"0";"2";"0";"2";"0";"3";"0";"0"
;;"43";"de Bruijn, E.";"569";"2";"18";"159";"20";"17";"10";"7";"14";"11";"14";"19";"32";"0";"3";"160";"15";"2";"3";"4";"29";"8";"13";"1";"8"
;;"44";"Bosman, E.M.";"21";"1";"1";"8";"0";"1";"0";"0";"2";"0";"0";"2";"1";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"45";"Kuipers, C.M.";"12";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0";"0";"0"
;;"46";"van Schalkwijk, M.W.";"40";"2";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"1";"13";"0";"2";"0";"0";"2";"1";"1";"1";"0"
;;"47";"van Son, L.J.M.";"1508";"1";"31";"933";"15";"73";"18";"29";"12";"1";"7";"8";"65";"21";"16";"58";"16";"7";"26";"27";"68";"14";"41";"4";"17"
;;"48";"Penninx, A.";"23";"0";"2";"6";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"4";"2";"0";"1";"0";"0";"1";"1";"0";"1"
;;"49";"Roozendaal, H.";"70";"0";"6";"17";"0";"0";"0";"0";"2";"0";"0";"1";"4";"0";"2";"12";"3";"1";"0";"2";"13";"2";"1";"2";"2"
;;"50";"van de Wolde, F.";"63";"0";"2";"14";"1";"2";"1";"1";"2";"0";"2";"0";"6";"2";"1";"13";"3";"1";"1";"3";"5";"2";"0";"0";"1"
"4";"PVV (Partij voor de Vrijheid)";;;"184367";"1317";"11435";"21761";"4521";"7802";"5003";"4633";"3788";"2340";"4714";"4845";"9633";"7662";"5377";"27664";"9129";"4567";"4021";"6382";"12365";"7475";"5655";"1690";"10588"
;;"1";"Wilders, G.";"170052";"1236";"10230";"19743";"4158";"7232";"4611";"4255";"3496";"2139";"4394";"4458";"8943";"7284";"4935";"25601";"8473";"4195";"3707";"5983";"11357";"6891";"5293";"1572";"9866"
;;"2";"Agema, M.";"7422";"40";"373";"1068";"226";"311";"231";"234";"161";"91";"176";"220";"386";"193";"178";"1137";"366";"132";"177";"192";"505";"322";"215";"65";"423"
;;"3";"van Meetelen, R.F.";"1965";"8";"549";"189";"29";"74";"37";"33";"20";"22";"28";"17";"65";"66";"81";"128";"42";"116";"41";"73";"192";"74";"29";"12";"40"
;;"4";"Markuszower, G.";"179";"0";"6";"36";"6";"7";"4";"0";"3";"20";"1";"8";"7";"2";"1";"39";"2";"3";"6";"3";"15";"1";"3";"3";"3"
;;"5";"Bosma, M.";"2667";"25";"140";"456";"62";"111";"65";"50";"55";"39";"50";"78";"144";"70";"80";"419";"102";"52";"55";"77";"158";"126";"60";"23";"170"
;;"6";"Claassen, R.A.B.";"77";"0";"1";"8";"4";"1";"1";"1";"6";"0";"3";"10";"4";"7";"1";"14";"3";"1";"1";"2";"4";"3";"1";"1";"0"
;;"7";"Faber, M.H.M.";"218";"0";"6";"32";"9";"5";"4";"7";"8";"3";"4";"4";"17";"4";"6";"34";"14";"5";"9";"4";"21";"3";"13";"0";"6"
;;"8";"Mulder, E.";"41";"0";"2";"6";"1";"2";"4";"1";"1";"0";"1";"1";"1";"0";"1";"10";"2";"0";"1";"2";"2";"2";"0";"1";"0"
;;"9";"Maeijer, V.";"127";"2";"6";"18";"5";"4";"5";"1";"3";"2";"5";"6";"11";"1";"6";"22";"4";"3";"1";"3";"6";"2";"2";"2";"7"
;;"10";"van Dijck, A.P.C.";"37";"0";"2";"5";"0";"2";"0";"0";"2";"1";"2";"0";"2";"1";"1";"3";"5";"0";"2";"1";"2";"1";"1";"3";"1"
;;"11";"Kops, A.";"28";"0";"0";"4";"1";"1";"3";"0";"0";"0";"0";"1";"1";"3";"2";"7";"2";"0";"1";"1";"1";"0";"0";"0";"0"
;;"12";"Madlener, B.";"15";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"4";"0";"0";"1";"0";"0";"0";"1";"3";"2";"0";"0";"1"
;;"13";"de Jong, L.W.E.";"79";"0";"1";"14";"2";"0";"3";"3";"0";"1";"1";"5";"7";"4";"2";"16";"4";"0";"0";"2";"6";"4";"0";"0";"4"
;;"14";"Graus, D.J.G.";"71";"1";"1";"11";"2";"1";"0";"4";"2";"1";"3";"1";"1";"0";"5";"14";"2";"1";"1";"5";"4";"2";"4";"2";"3"
;;"15";"Blaauw, R.B.";"25";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"6";"0";"1";"0";"0";"6";"0";"1";"0";"0"
;;"16";"de Roon, R.";"21";"0";"0";"7";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"4";"2";"1";"0";"0";"2";"1";"0";"0";"0"
;;"17";"van Dijk, E.";"43";"0";"1";"3";"0";"1";"0";"17";"1";"1";"0";"1";"1";"0";"0";"6";"4";"0";"0";"1";"2";"0";"2";"0";"2"
;;"18";"de Vree, J.H.";"35";"0";"0";"4";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"3";"2";"0";"1";"0";"0";"0";"1";"0";"20"
;;"19";"Aardema, M.";"9";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"1";"0";"1";"1"
;;"20";"van der Velde, M.K.";"113";"1";"1";"27";"1";"4";"5";"3";"4";"2";"3";"3";"4";"1";"1";"22";"6";"1";"1";"4";"4";"7";"2";"0";"6"
;;"21";"van der Hoeff, P.H.";"29";"0";"3";"7";"1";"2";"0";"4";"2";"0";"1";"0";"2";"0";"1";"1";"2";"2";"0";"0";"0";"0";"1";"0";"0"
;;"22";"Deen, M.";"9";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1";"1";"1";"0";"0";"0";"0";"0";"0"
;;"23";"Nijhof-Leeuw, J.M.";"56";"0";"3";"12";"3";"3";"1";"1";"0";"1";"2";"1";"0";"3";"3";"13";"3";"3";"0";"0";"3";"0";"0";"1";"0"
;;"24";"Boon, M.C.H.";"401";"2";"102";"26";"0";"10";"6";"6";"2";"3";"2";"2";"5";"15";"61";"11";"8";"46";"9";"12";"49";"15";"7";"0";"2"
;;"25";"Mooiman, J.";"38";"0";"1";"6";"1";"3";"2";"0";"2";"0";"2";"2";"2";"0";"0";"6";"2";"0";"0";"0";"3";"2";"0";"0";"4"
;;"26";"Ram, D.";"16";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"5";"1";"0";"0";"1";"1";"0";"2";"0";"1"
;;"27";"Vlottes, E.";"12";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"2";"0";"0";"0";"1";"0";"1";"0";"1"
;;"28";"Smitskam, P.";"8";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"29";"Esser, E.R.F.";"259";"2";"1";"19";"4";"2";"4";"5";"9";"8";"25";"10";"7";"0";"0";"74";"49";"0";"4";"6";"1";"3";"4";"2";"20"
;;"30";"Boutkan, W.";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van den Born, V.H.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Crijns, P.P.";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"8";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"96";"0";"1";"23";"3";"8";"4";"0";"1";"2";"1";"2";"1";"1";"3";"17";"5";"3";"1";"5";"6";"6";"2";"0";"1"
;;"35";"Valize, J.J.T.M.";"4";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Heutink, H.D.";"5";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pool, J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"38";"Faddegon, C.J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"9";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0"
;;"40";"Rep, R.J.H.H.";"17";"0";"0";"3";"0";"1";"2";"0";"1";"0";"0";"0";"0";"3";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1"
;;"41";"Thiadens, F.M.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"1";"0";"0"
;;"42";"Raijer, A.J.";"42";"0";"0";"11";"0";"2";"1";"0";"1";"0";"1";"3";"3";"1";"1";"8";"6";"0";"0";"0";"1";"2";"0";"0";"1"
;;"43";"van Bijnen, H.M.";"10";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"22";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"3";"2";"0";"1";"8";"3";"0";"0";"0";"0";"0";"0";"0";"0"
