"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Lelystad"
"Nummer";;"HSB5"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almere";"Zeewolde";"Noordoostpolder";"Urk";"Dronten";"Lelystad"
;;"4";"Dijk, J.P.";"44";"22";"2";"7";"1";"6";"6"
;;"5";"van Nispen, M.";"13";"8";"0";"2";"1";"0";"2"
;;"6";"Dobbe, S.E.M.";"88";"49";"2";"4";"3";"11";"19"
;;"7";"Temmink, N.G.J.";"67";"28";"2";"12";"0";"16";"9"
;;"8";"ten Broeke, M.J.";"9";"5";"1";"1";"0";"0";"2"
;;"9";"van Dijk, J.J.";"28";"21";"3";"1";"0";"1";"2"
;;"10";"Meijer, B.W.V.";"12";"6";"0";"0";"1";"0";"5"
;;"11";"Elfrink, G.E.";"5";"2";"0";"0";"0";"0";"3"
;;"12";"Wolters Gregório, J.";"4";"3";"0";"1";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"10";"6";"1";"0";"0";"1";"2"
;;"14";"Alberts, R.";"35";"27";"0";"1";"0";"4";"3"
;;"15";"van der Nat, H.F.A.";"4";"3";"1";"0";"0";"0";"0"
;;"16";"Memiş, M.";"14";"12";"0";"0";"0";"0";"2"
;;"17";"van Dijk, D.";"11";"7";"0";"2";"0";"0";"2"
;;"18";"de Ridder, N.";"12";"8";"0";"1";"0";"3";"0"
;;"19";"Yahyaoui, J.";"48";"41";"0";"1";"0";"0";"6"
;;"20";"van Boven, A.W.";"3";"3";"0";"0";"0";"0";"0"
;;"21";"Coppus, T.H.C.";"1";"0";"0";"0";"0";"0";"1"
;;"22";"Topma, X.M.";"4";"1";"0";"3";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"6";"4";"0";"1";"0";"0";"1"
;;"24";"Coşkun, T.S.J.";"8";"8";"0";"0";"0";"0";"0"
;;"25";"van den Hout, S.G.";"1";"1";"0";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"2";"1";"0";"0";"0";"0";"1"
;;"27";"Verdaasdonk, I.";"2";"1";"0";"1";"0";"0";"0"
;;"28";"van Rossum, L.";"6";"4";"0";"0";"0";"0";"2"
;;"29";"Rongen, K.S.";"108";"48";"4";"2";"0";"6";"48"
;;"30";"van Hooft, J.W.H.";"1";"0";"0";"0";"0";"0";"1"
;;"31";"Cramer, A.";"4";"2";"0";"0";"0";"0";"2"
;;"32";"van Scheltinga, E.";"2";"0";"0";"1";"0";"1";"0"
;;"33";"van Unen, G.";"1";"1";"0";"0";"0";"0";"0"
;;"34";"Kuin, R.M.";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"3";"1";"0";"2";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"3";"2";"0";"0";"0";"0";"1"
;;"38";"Spanner, A.M.";"3";"2";"0";"0";"0";"0";"1"
;;"39";"Boer, M.I.";"50";"16";"0";"2";"0";"6";"26"
;;"40";"Ramesar, J.S.";"23";"15";"1";"0";"0";"0";"7"
;;"41";"ten Heuw, M.A.";"1";"1";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"1";"1";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"2";"1";"0";"1";"0";"0";"0"
;;"44";"de Man, W.J.";"3";"1";"0";"0";"0";"1";"1"
;;"45";"Hendriks-Berg, A.M.G.";"2";"1";"0";"0";"0";"0";"1"
;;"46";"de Vries, E.";"3";"2";"1";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"123";"75";"2";"11";"0";"12";"23"
"7";"Forum voor Democratie";;;"7422";"3488";"409";"811";"470";"639";"1605"
;;"1";"Baudet, T.H.P.";"5302";"2589";"293";"522";"286";"461";"1151"
;;"2";"Jansen, F.J.H.";"74";"29";"3";"16";"3";"6";"17"
;;"3";"van Meijeren, G.F.C.";"1396";"568";"85";"208";"124";"127";"284"
;;"4";"van Houwelingen, P.";"150";"55";"6";"24";"20";"13";"32"
;;"5";"Dekker, R.J.";"129";"58";"9";"12";"13";"14";"23"
;;"6";"de Vos, L.G.";"62";"19";"5";"6";"8";"5";"19"
;;"7";"Russcher, T.K.";"7";"1";"0";"1";"1";"0";"4"
;;"8";"Etalle, M.J.S.";"2";"1";"0";"0";"0";"0";"1"
;;"9";"Bakir, A.";"27";"12";"0";"10";"4";"0";"1"
;;"10";"Dessing, J.";"3";"2";"0";"0";"0";"0";"1"
;;"11";"Vastenhouw, J.";"6";"1";"1";"1";"0";"1";"2"
;;"12";"Al Biyati, I.";"13";"7";"0";"0";"2";"0";"4"
;;"13";"de Knegt, R.E.R.";"3";"0";"0";"0";"0";"0";"3"
;;"14";"Verstegen, P.J.T.";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"2";"1";"0";"0";"0";"0";"1"
;;"17";"Bos, M.";"1";"0";"0";"1";"0";"0";"0"
;;"18";"Koopman, P.";"2";"1";"0";"0";"0";"0";"1"
;;"19";"van Asch, R.W.G.T.";"1";"1";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"1";"1";"0";"0";"0";"0";"0"
;;"21";"Woensdregt, R.";"33";"31";"2";"0";"0";"0";"0"
;;"22";"De Potter, K.";"34";"33";"1";"0";"0";"0";"0"
;;"23";"van Slot, S.";"20";"2";"0";"2";"0";"2";"14"
;;"24";"Hodde, C.";"15";"14";"0";"0";"1";"0";"0"
;;"25";"Strikkers, A.";"7";"1";"0";"4";"0";"2";"0"
;;"26";"Bergman, A.J.B.M.";"0";"0";"0";"0";"0";"0";"0"
;;"27";"de Lange, A.K.";"7";"1";"0";"0";"0";"0";"6"
;;"28";"Hadderingh, B.S.T.";"6";"6";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"1";"1";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"2";"2";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"1";"1";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"33";"25";"2";"1";"1";"1";"3"
;;"35";"Vos, A.V.B.";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"2";"2";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"1";"0";"0";"1";"0";"0";"0"
;;"38";"van der Voort, J.A.";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"1";"1";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"33";"1";"0";"0";"0";"1";"31"
;;"41";"van Rij, S.";"1";"1";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"1";"0";"1";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"8";"3";"0";"1";"3";"1";"0"
;;"44";"Schaap, D.V.";"2";"0";"1";"0";"1";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"2";"0";"0";"0";"2";"0";"0"
;;"46";"Zwitser, T.";"12";"7";"0";"1";"0";"2";"2"
;;"47";"van den Oetelaar, J.C.M.";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"9";"5";"0";"0";"1";"1";"2"
;;"49";"Cliteur, P.B.";"10";"5";"0";"0";"0";"2";"3"
"8";"Partij voor de Dieren";;;"4389";"2556";"230";"367";"10";"375";"851"
;;"1";"Ouwehand, E.";"3074";"1711";"174";"290";"7";"269";"623"
;;"2";"Kostić, I.";"287";"177";"17";"25";"0";"23";"45"
;;"3";"Teunissen, C.";"124";"75";"3";"8";"1";"12";"25"
;;"4";"Wassenberg, F.P.";"43";"24";"1";"2";"0";"5";"11"
;;"5";"Akerboom, E.S.";"105";"59";"5";"7";"0";"14";"20"
;;"6";"van Raan, L.";"26";"16";"1";"0";"0";"3";"6"
;;"7";"van Schaik, M.";"57";"33";"1";"6";"0";"3";"14"
;;"8";"Krijger, A.L.";"129";"91";"7";"7";"0";"12";"12"
;;"9";"Plusquin, P.S.M.L.";"13";"3";"2";"0";"0";"3";"5"
;;"10";"Groenewege, P.J.L.";"3";"3";"0";"0";"0";"0";"0"
;;"11";"van Heuven, M.";"5";"4";"1";"0";"0";"0";"0"
;;"12";"van Hassel, F.";"7";"1";"0";"2";"0";"1";"3"
;;"13";"Bunnik, R.J.";"19";"8";"0";"1";"0";"2";"8"
;;"14";"Schmeets, H.H.J.";"7";"5";"0";"0";"0";"2";"0"
;;"15";"Pınar, K.";"17";"11";"0";"0";"0";"1";"5"
;;"16";"Jones, M.G.";"10";"6";"0";"0";"0";"0";"4"
;;"17";"Bosma, J.";"19";"8";"1";"3";"0";"4";"3"
;;"18";"Barker, R.N.";"2";"2";"0";"0";"0";"0";"0"
;;"19";"van Wijlandt, K.";"124";"108";"2";"1";"0";"4";"9"
;;"20";"Batteau, J.M.";"9";"6";"0";"1";"0";"0";"2"
;;"21";"Hollebeek, J.P.";"1";"0";"0";"1";"0";"0";"0"
;;"22";"Dicke, I.M.";"9";"7";"0";"0";"0";"0";"2"
;;"23";"Salemans, B.R.";"1";"1";"0";"0";"0";"0";"0"
;;"24";"Bersch, F.";"3";"2";"0";"0";"0";"0";"1"
;;"25";"de Gram, F.";"1";"1";"0";"0";"0";"0";"0"
;;"26";"Krediet, L.";"8";"4";"0";"1";"0";"0";"3"
;;"27";"de Vos, D.J.C.";"16";"11";"1";"0";"0";"0";"4"
;;"28";"van der Velde, M.C.";"8";"7";"0";"0";"0";"0";"1"
;;"29";"van Viegen, A.H.K.";"1";"0";"1";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"14";"8";"2";"0";"0";"0";"4"
;;"31";"Veenstra, M.";"136";"113";"6";"0";"1";"4";"12"
;;"32";"Vlasveld, A.I.";"3";"2";"0";"0";"0";"0";"1"
;;"33";"Janssens, T.A.O.";"3";"2";"0";"0";"0";"0";"1"
;;"34";"Coşkun, Z.P.";"12";"8";"0";"1";"0";"1";"2"
;;"35";"van der Pluijm, L.C.";"1";"1";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"3";"1";"0";"1";"0";"1";"0"
;;"37";"Pallandt, C.M.J.";"2";"2";"0";"0";"0";"0";"0"
;;"38";"Pechler, W.I.";"2";"1";"1";"0";"0";"0";"0"
;;"39";"van Lierop, J.";"5";"1";"0";"0";"1";"0";"3"
;;"40";"Spruit, V.";"9";"2";"2";"0";"0";"1";"4"
;;"41";"Kuijer, B.";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"37";"14";"2";"10";"0";"4";"7"
;;"43";"Oudshoorn, J.";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"1";"0";"0";"0";"0";"0";"1"
;;"45";"Samshuijzen, E.";"1";"1";"0";"0";"0";"0";"0"
;;"46";"Brouwer, M.";"1";"0";"0";"0";"0";"0";"1"
;;"47";"Onderdelinden, S.E.";"3";"0";"0";"0";"0";"0";"3"
;;"48";"Rozema, J.G.";"1";"0";"0";"0";"0";"0";"1"
;;"49";"van de Peppel, S.";"3";"2";"0";"0";"0";"0";"1"
;;"50";"Minnaert, X.D.E.";"24";"14";"0";"0";"0";"6";"4"
"9";"ChristenUnie";;;"5963";"1477";"733";"1324";"528";"1018";"883"
;;"1";"Bikker, M.H.";"4313";"841";"592";"1079";"446";"773";"582"
;;"2";"Grinwis, P.A.";"129";"32";"14";"35";"13";"23";"12"
;;"3";"Ceder, D.G.M.";"618";"442";"49";"28";"12";"32";"55"
;;"4";"te Rietstap, A.H.";"33";"5";"6";"13";"2";"6";"1"
;;"5";"Gooijer-Medema, J.K.";"116";"29";"15";"19";"13";"18";"22"
;;"6";"Drost, N.";"53";"7";"7";"20";"5";"7";"7"
;;"7";"Holtman, T.S.";"13";"0";"0";"1";"5";"3";"4"
;;"8";"Otter-van den Bosch, C.";"20";"4";"2";"3";"1";"7";"3"
;;"9";"van der Graaf, S.J.F.";"135";"21";"12";"31";"8";"41";"22"
;;"10";"Klein, M.C.A.";"11";"6";"0";"2";"1";"0";"2"
;;"11";"Niesink, C.C.M.";"16";"1";"0";"8";"0";"4";"3"
;;"12";"Setz, J.N.";"3";"1";"0";"0";"0";"2";"0"
;;"13";"van der Krift, H.J.C.";"2";"2";"0";"0";"0";"0";"0"
;;"14";"Langen, A.L.";"1";"0";"0";"0";"0";"1";"0"
;;"15";"Koppejan, E.J.A.";"2";"0";"0";"1";"1";"0";"0"
;;"16";"van Wageningen, E.";"204";"30";"6";"10";"1";"24";"133"
;;"17";"Tijhof, B.D.";"2";"1";"0";"0";"0";"1";"0"
;;"18";"de Reus, W.T.";"13";"2";"1";"2";"5";"3";"0"
;;"19";"Mbwete, N.A.G.";"13";"8";"1";"1";"0";"0";"3"
;;"20";"Treurniet, M.";"7";"1";"0";"3";"0";"1";"2"
;;"21";"Palland, A.S.";"3";"1";"0";"1";"0";"1";"0"
;;"22";"Westerbeek, A.E.";"4";"2";"0";"1";"0";"0";"1"
;;"23";"Muilwijk, I.";"3";"0";"0";"0";"0";"1";"2"
;;"24";"Westerink-Petersen, J.";"6";"1";"1";"0";"1";"2";"1"
;;"25";"Dijkstra-Verbeek, I.A.W.";"3";"2";"0";"0";"0";"1";"0"
;;"26";"van den Berg, G.";"5";"1";"0";"2";"1";"0";"1"
;;"27";"Broekmaat-Hagens, A.W.";"3";"1";"1";"0";"1";"0";"0"
;;"28";"de Haan, M.E.";"4";"1";"1";"2";"0";"0";"0"
;;"29";"Koerts, A.J.";"4";"0";"1";"1";"0";"0";"2"
;;"30";"Roor-Wubs, A.E.";"3";"0";"3";"0";"0";"0";"0"
;;"31";"Verweij, J.P.";"2";"0";"0";"0";"0";"0";"2"
;;"32";"Paalman-Dijkenga, I.M.";"51";"1";"3";"6";"3";"38";"0"
;;"33";"Kumar, A.D.J.M.";"11";"5";"1";"1";"0";"4";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"3";"1";"0";"0";"0";"2";"0"
;;"35";"Visser, J.A.";"1";"0";"0";"0";"0";"0";"1"
;;"36";"van der Pol, L.A.";"2";"1";"0";"1";"0";"0";"0"
;;"37";"Oudman, A.G.";"4";"2";"0";"2";"0";"0";"0"
;;"38";"van der Zande, J.M.";"1";"0";"0";"0";"0";"1";"0"
;;"39";"Grandia, G.C.";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"7";"2";"2";"1";"0";"1";"1"
;;"41";"Cornelissen, B.";"1";"0";"1";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"7";"2";"0";"2";"0";"0";"3"
;;"43";"Schutte, J.W.";"10";"0";"1";"5";"1";"3";"0"
;;"44";"van Dijk, G.G.";"7";"2";"0";"0";"0";"4";"1"
;;"45";"Adema, P.";"1";"0";"1";"0";"0";"0";"0"
;;"46";"Bosman, F.G.";"2";"0";"0";"0";"0";"0";"2"
;;"47";"Hoogenboom, E.";"15";"3";"3";"4";"3";"2";"0"
;;"48";"Stoorvogel, H.";"45";"7";"3";"20";"2";"8";"5"
;;"49";"van den Berg, R.C.";"10";"0";"2";"7";"0";"0";"1"
;;"50";"de Graaf, B.A.";"41";"9";"4";"12";"3";"4";"9"
"10";"Volt";;;"2392";"1356";"171";"204";"10";"237";"414"
;;"1";"Dassen, L.A.J.M.";"1423";"819";"101";"123";"4";"143";"233"
;;"2";"Koekkoek, M.";"546";"308";"39";"47";"3";"55";"94"
;;"3";"Boutkan, E.";"12";"10";"0";"1";"0";"0";"1"
;;"4";"Elfilali, I.";"118";"72";"4";"12";"0";"5";"25"
;;"5";"Hagoort, M.B.J.";"7";"4";"0";"1";"0";"0";"2"
;;"6";"Frijters, R.M.J.";"45";"22";"3";"3";"0";"5";"12"
;;"7";"de Boer, R.W.";"23";"19";"0";"0";"0";"2";"2"
;;"8";"van der Lugt, S.";"61";"32";"8";"1";"1";"4";"15"
;;"9";"Beijnon, B.";"8";"4";"2";"1";"0";"1";"0"
;;"10";"Twickler, R.";"28";"12";"2";"4";"0";"3";"7"
;;"11";"Ercan, C.";"20";"2";"2";"6";"0";"9";"1"
;;"12";"Hamel, J.E.R.";"10";"5";"1";"0";"2";"1";"1"
;;"13";"van Ewijk, W.H.E.";"3";"0";"0";"0";"0";"1";"2"
;;"14";"van Laar, S.A.";"23";"13";"2";"3";"0";"0";"5"
;;"15";"Tai, M.T.";"2";"0";"1";"0";"0";"0";"1"
;;"16";"Pajak, V.L.";"7";"5";"0";"0";"0";"1";"1"
;;"17";"Eigenhuis, F.";"9";"4";"3";"0";"0";"1";"1"
;;"18";"Verbeek, E.L.I.";"16";"14";"0";"0";"0";"0";"2"
;;"19";"Hemmes, B.J.A.";"5";"0";"1";"1";"0";"1";"2"
;;"20";"Elsinga, D.";"12";"9";"1";"0";"0";"1";"1"
;;"21";"Dreteler, S.J.";"14";"2";"1";"1";"0";"4";"6"
"11";"JA21";;;"1597";"720";"116";"199";"30";"201";"331"
;;"1";"Eerdmans, B.J.";"1160";"486";"91";"155";"25";"158";"245"
;;"2";"Nanninga, A.";"293";"166";"17";"24";"2";"23";"61"
;;"3";"Ceulemans, S.";"7";"2";"0";"0";"0";"4";"1"
;;"4";"Bakker-Derks, E.H.M.";"23";"8";"0";"7";"0";"2";"6"
;;"5";"van Doorn, D.M.A.";"8";"3";"0";"1";"0";"1";"3"
;;"6";"Goudzwaard, M.";"7";"3";"1";"1";"0";"2";"0"
;;"7";"Schyns, P.F.M.";"3";"2";"0";"0";"1";"0";"0"
;;"8";"Uiterwijk, K.";"12";"2";"2";"1";"0";"5";"2"
;;"9";"Dijksterhuis, R.G.";"3";"0";"0";"2";"0";"1";"0"
;;"10";"van den Berg, D.J.";"8";"5";"0";"1";"0";"0";"2"
;;"11";"Omlo, H.";"2";"0";"0";"1";"0";"1";"0"
;;"12";"Hesselink, S.W.J.";"4";"2";"0";"1";"0";"0";"1"
;;"13";"Nuijten, K.";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"4";"2";"0";"0";"0";"0";"2"
;;"15";"Soltani, M.";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Baten, L.C.C.";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"2";"0";"0";"0";"0";"1";"1"
;;"21";"Lodders, I.A.G.";"6";"3";"2";"1";"0";"0";"0"
;;"22";"Vos, L.L.";"2";"0";"0";"1";"0";"0";"1"
;;"23";"Kauffmann, F.W.";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"9";"5";"2";"1";"0";"1";"0"
;;"27";"Bloemenkamp, J.H.";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"1";"0";"0";"0";"0";"0";"1"
;;"31";"Buijs, M.";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"1";"1";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"37";"29";"1";"1";"0";"1";"5"
;;"35";"Hieralal, K.";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"1";"0";"0";"1";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"4";"1";"0";"0";"2";"1";"0"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"8656";"343";"265";"1300";"6163";"315";"270"
;;"1";"Stoffer, C.";"5440";"285";"241";"963";"3464";"258";"229"
;;"2";"van Dijk, D.J.H.";"164";"10";"3";"41";"89";"9";"12"
;;"3";"Flach, A.J.";"30";"5";"1";"4";"15";"1";"4"
;;"4";"Middelkoop, P.N.";"2801";"23";"11";"248";"2478";"30";"11"
;;"5";"Vroegindeweij, W.J.";"20";"1";"0";"3";"12";"1";"3"
;;"6";"van der Maas, A.J.";"4";"0";"0";"1";"3";"0";"0"
;;"7";"van der Wind, H.J.";"13";"0";"0";"4";"4";"5";"0"
;;"8";"Both, D.D.";"5";"1";"1";"0";"0";"2";"1"
;;"9";"Kloosterman, J.";"4";"0";"1";"1";"1";"0";"1"
;;"10";"van Heijst, R.C.";"7";"2";"2";"1";"0";"1";"1"
;;"11";"van der Wulp, A.D.";"8";"0";"0";"1";"6";"1";"0"
;;"12";"Polinder, H.J.";"24";"0";"2";"2";"17";"2";"1"
;;"13";"Slingerland, M.";"4";"0";"1";"0";"1";"2";"0"
;;"14";"van Duijn, W.J.";"12";"0";"0";"7";"4";"0";"1"
;;"15";"Barth, L.G.I.";"4";"0";"0";"1";"3";"0";"0"
;;"16";"Lukasse, J.";"4";"1";"0";"0";"2";"0";"1"
;;"17";"Tanis, J.P.";"6";"0";"0";"0";"5";"1";"0"
;;"18";"Bosma, E.G.";"9";"0";"0";"8";"1";"0";"0"
;;"19";"Schipaanboord, G.P.";"4";"0";"0";"0";"4";"0";"0"
;;"20";"Veldman, J.D.";"2";"2";"0";"0";"0";"0";"0"
;;"21";"Hartog, J.";"3";"0";"0";"1";"1";"1";"0"
;;"22";"Koekoek, J.T.";"11";"0";"0";"1";"10";"0";"0"
;;"23";"de Knegt, L.";"1";"0";"0";"1";"0";"0";"0"
;;"24";"van Leeuwen, G.R.";"6";"2";"0";"0";"4";"0";"0"
;;"25";"Bakker, T.";"5";"2";"1";"0";"2";"0";"0"
;;"26";"Kok, W.H.";"3";"2";"0";"1";"0";"0";"0"
;;"27";"van Westreenen, S.";"3";"0";"0";"1";"0";"0";"2"
;;"28";"Noordergraaf, P.T.";"2";"0";"0";"0";"2";"0";"0"
;;"29";"Boersma, A.";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Talen, L.";"1";"1";"0";"0";"0";"0";"0"
;;"31";"van de Waerdt, C.J.";"2";"0";"0";"0";"2";"0";"0"
;;"32";"Bulten, H.G.";"2";"0";"0";"1";"0";"0";"1"
;;"33";"Versteeg, A.";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"2";"1";"0";"0";"0";"0";"1"
;;"35";"van Bruchem, L.";"14";"0";"0";"0";"14";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"1";"0";"1";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Laar, G.J.";"1";"0";"0";"0";"1";"0";"0"
;;"39";"Scheppink, A.J.";"1";"0";"0";"0";"1";"0";"0"
;;"40";"van Heteren, R.";"10";"0";"0";"4";"6";"0";"0"
;;"41";"van den Belt, B.";"6";"0";"0";"1";"4";"1";"0"
;;"42";"van Iwaarden, D.";"3";"2";"0";"0";"1";"0";"0"
;;"43";"van Tuijl, L.O.";"1";"0";"0";"1";"0";"0";"0"
;;"44";"Proos, A.J.";"13";"3";"0";"3";"6";"0";"1"
"13";"DENK";;;"7505";"5152";"106";"265";"26";"346";"1610"
;;"1";"van Baarle, S.R.T.";"4834";"3335";"65";"146";"21";"226";"1041"
;;"2";"Ergin, D.A.";"477";"207";"14";"44";"0";"45";"167"
;;"3";"El Abassi, I.";"506";"314";"5";"26";"3";"24";"134"
;;"4";"Alrubey, A.";"249";"168";"7";"12";"0";"22";"40"
;;"5";"Gün, E.";"131";"92";"1";"3";"1";"4";"30"
;;"6";"Usta, Y.";"24";"11";"0";"1";"0";"1";"11"
;;"7";"Rijssel, N.E.";"300";"266";"2";"3";"0";"3";"26"
;;"8";"Maroof, A.";"65";"53";"1";"4";"0";"0";"7"
;;"9";"Mac Intosch, G.J.";"56";"45";"0";"1";"0";"0";"10"
;;"10";"Safranti, M.";"18";"8";"1";"1";"0";"2";"6"
;;"11";"Bayrakci, Y.C.";"13";"5";"0";"6";"0";"1";"1"
;;"12";"Ghazi, M.I.";"116";"83";"3";"0";"0";"2";"28"
;;"13";"Özçelik, S.";"45";"31";"1";"2";"0";"0";"11"
;;"14";"Kaya, A.";"41";"32";"0";"0";"0";"0";"9"
;;"15";"Konuksever-Tekin, A.";"26";"20";"0";"0";"0";"1";"5"
;;"16";"Fkihi, O.";"8";"7";"0";"0";"0";"0";"1"
;;"17";"Çetinkaya, T.";"6";"3";"0";"0";"0";"1";"2"
;;"18";"Şahin, E.";"6";"6";"0";"0";"0";"0";"0"
;;"19";"Kahramanoğlu, C.";"3";"3";"0";"0";"0";"0";"0"
;;"20";"Kaplan, Ç.";"1";"0";"0";"1";"0";"0";"0"
;;"21";"Manhoef, E.E.";"26";"19";"0";"1";"0";"1";"5"
;;"22";"Tan, C.";"4";"2";"0";"0";"0";"0";"2"
;;"23";"Kondu, F.";"3";"3";"0";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"5";"1";"1";"1";"0";"1";"1"
;;"25";"Ileri, F.";"9";"6";"0";"1";"0";"2";"0"
;;"26";"Buyatui, H.";"259";"234";"1";"2";"0";"0";"22"
;;"27";"van Burik, M.";"14";"10";"0";"1";"0";"0";"3"
;;"28";"Muradin, N.";"19";"17";"0";"0";"0";"0";"2"
;;"29";"Delener, I.";"6";"4";"0";"0";"0";"0";"2"
;;"30";"Sodirijo, S.D.";"9";"5";"0";"0";"0";"0";"4"
;;"31";"Ağirbaş, A.";"3";"3";"0";"0";"0";"0";"0"
;;"32";"Özcan, R.";"6";"2";"0";"0";"0";"1";"3"
;;"33";"Tangali, M.J.";"46";"39";"0";"0";"0";"0";"7"
;;"34";"Othman, R.";"23";"15";"0";"0";"1";"0";"7"
;;"35";"Yildirim, A.";"7";"3";"0";"1";"0";"1";"2"
;;"36";"Akhatab, N.";"15";"11";"0";"0";"0";"0";"4"
;;"37";"Ben Touhami, M.";"19";"9";"0";"1";"0";"0";"9"
;;"38";"Bal, M.I.";"2";"1";"0";"0";"0";"0";"1"
;;"39";"Pancar, Ş.";"10";"6";"0";"0";"0";"2";"2"
;;"40";"Akça, S.";"1";"0";"0";"0";"0";"1";"0"
;;"41";"Dokgöz, Ş.";"12";"9";"0";"0";"0";"2";"1"
;;"42";"Icar, N.";"1";"0";"0";"1";"0";"0";"0"
;;"43";"Khan, S.Y.";"42";"32";"2";"5";"0";"1";"2"
;;"44";"Sungur, M.";"6";"5";"0";"0";"0";"1";"0"
;;"45";"Koyuncu, S.";"14";"13";"0";"1";"0";"0";"0"
;;"46";"Achbar, F.";"19";"14";"2";"0";"0";"1";"2"
"14";"50PLUS";;;"1498";"878";"67";"124";"7";"153";"269"
;;"1";"van Hooft, G.O.P.C.";"716";"389";"38";"64";"4";"94";"127"
;;"2";"van Rooij, M.G.J.H.";"313";"236";"6";"9";"2";"22";"38"
;;"3";"Brouwers, J.F.X.M.";"24";"12";"1";"2";"0";"3";"6"
