"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"17";"Kat, H.";"156";"17";"6";"6";"3";"2";"1";"28";"3";"2";"4";"0";"6";"4";"1";"3";"20";"0";"2";"11";"1";"2";"1";"18";"11";"4"
;;"18";"Warmerdam, S.";"48";"3";"2";"4";"1";"1";"0";"7";"0";"1";"1";"4";"1";"0";"0";"2";"3";"0";"4";"3";"0";"1";"1";"5";"3";"1"
;;"19";"Alberg, S.T.";"64";"13";"2";"0";"1";"3";"1";"6";"0";"2";"0";"3";"1";"4";"1";"0";"9";"0";"2";"3";"2";"0";"0";"3";"6";"2"
;;"20";"Hammelburg, A.R.";"36";"3";"0";"4";"0";"0";"0";"11";"0";"1";"0";"1";"1";"0";"0";"2";"2";"0";"0";"1";"1";"1";"1";"5";"2";"0"
;;"21";"Hollander, J.";"116";"7";"2";"5";"2";"2";"1";"39";"2";"3";"0";"2";"5";"3";"4";"0";"4";"1";"4";"1";"2";"3";"2";"14";"6";"2"
;;"22";"ten Dolle, L.";"143";"5";"4";"6";"3";"7";"2";"33";"6";"2";"3";"2";"5";"5";"1";"0";"12";"0";"8";"5";"5";"2";"7";"8";"7";"5"
;;"23";"Blommers, D.";"86";"2";"2";"7";"2";"1";"0";"28";"2";"4";"1";"2";"3";"1";"3";"2";"2";"1";"0";"7";"1";"0";"2";"11";"1";"1"
;;"24";"van Breugel, C.";"142";"7";"2";"9";"7";"3";"0";"51";"2";"4";"7";"8";"4";"1";"0";"3";"5";"2";"6";"9";"1";"1";"3";"4";"2";"1"
;;"25";"Teunissen, J.C.M.";"18";"1";"3";"0";"0";"1";"0";"6";"0";"0";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"26";"Çimen, M.";"61";"1";"1";"6";"4";"1";"0";"17";"3";"2";"0";"2";"2";"2";"2";"3";"1";"0";"3";"1";"0";"0";"3";"2";"4";"1"
;;"27";"Oualhadj, A.";"46";"1";"0";"1";"1";"2";"0";"7";"1";"0";"2";"0";"3";"2";"3";"1";"7";"1";"1";"4";"1";"0";"0";"7";"1";"0"
;;"28";"Putuhena, M.";"17";"4";"3";"2";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"29";"Keij, E.J.";"22";"2";"2";"0";"0";"1";"0";"2";"0";"0";"0";"1";"3";"1";"0";"1";"1";"0";"1";"4";"1";"0";"0";"1";"0";"1"
;;"30";"Brink, V.J.";"97";"7";"1";"6";"2";"0";"1";"24";"3";"0";"2";"2";"3";"5";"3";"0";"10";"0";"2";"9";"1";"1";"2";"8";"2";"3"
;;"31";"van Dorst, P.A.";"52";"2";"9";"5";"0";"1";"2";"6";"1";"0";"0";"1";"0";"1";"1";"0";"2";"0";"2";"10";"0";"4";"2";"0";"0";"3"
;;"32";"Wijnja, G.H.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"33";"de Vries, M.M.";"102";"5";"3";"4";"1";"1";"0";"12";"1";"2";"0";"1";"1";"5";"2";"0";"4";"0";"6";"5";"0";"0";"3";"40";"4";"2"
;;"34";"Schoonbeek, F.";"136";"8";"1";"5";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"1";"104";"0";"0";"3";"2";"1";"0";"2";"4";"0"
;;"35";"Mathlouti, M.";"27";"2";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"16";"2";"0"
;;"36";"Ruttenberg, W.C.J.";"5";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Koops, J.H.";"7";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0"
;;"38";"Hagen, K.B.";"152";"8";"5";"8";"2";"9";"2";"23";"11";"2";"11";"7";"4";"2";"7";"9";"5";"0";"3";"4";"3";"6";"1";"11";"3";"6"
;;"39";"Hiemstra, G.J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"19";"2";"1";"3";"0";"0";"1";"4";"0";"0";"0";"1";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"41";"Tjeerdema, H.";"9";"1";"0";"1";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
;;"42";"Woudstra, E.";"35";"4";"0";"3";"0";"0";"0";"5";"1";"1";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"1";"3";"4";"6";"2"
;;"43";"Olsthoorn, A.";"25";"0";"2";"0";"0";"0";"0";"5";"1";"0";"0";"2";"2";"1";"0";"0";"2";"0";"0";"4";"1";"1";"0";"1";"3";"0"
;;"44";"van Peski, C.J.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"1";"0";"0"
;;"45";"van Hattum, B.";"8";"1";"0";"0";"0";"0";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"31";"2";"2";"3";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"4";"0";"1";"2";"1";"0";"2";"3";"4";"0"
;;"47";"van Driel, M.";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"48";"Ruijs, L.J.M.";"10";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0"
;;"49";"van der Gaag, P.J.";"5";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"50";"Bosters, E.L.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"51";"Hoevers, J.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"52";"van de Vijver, V.F.";"19";"2";"0";"1";"0";"1";"1";"6";"2";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0"
;;"53";"Vemer, P.";"6";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"54";"Wallast, R.D.";"4";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"55";"André, E.S.";"10";"1";"0";"1";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"56";"Wesseling, A.";"11";"1";"2";"2";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"57";"Maessen, R.J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2"
;;"59";"Pi Van de Venne, P.R.";"8";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"0";"1";"0";"0"
;;"60";"Jenneskens, M.T.P.";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"19";"0";"1";"1";"0";"0";"1";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"1";"1";"1";"1"
;;"62";"de Vries, L.";"14";"2";"1";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
;;"63";"Chaban, S.";"4";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"64";"Louhenapessij, A.F.";"8";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"65";"Nooitmeer, L.I.";"39";"3";"2";"5";"1";"1";"0";"3";"1";"0";"0";"1";"1";"0";"0";"0";"7";"0";"5";"0";"0";"0";"1";"3";"2";"3"
;;"66";"van Essen, J.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"67";"Nunnely, J.M.";"31";"1";"15";"3";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"1";"0"
;;"68";"Türkkol, N.";"5";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"3";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"19";"2";"1";"0";"0";"0";"0";"5";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"2";"0";"1";"1";"0";"2";"1";"0"
;;"72";"Weerwind, F.M.";"18";"1";"0";"1";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"4";"2";"1"
;;"73";"van Huffelen, A.C.";"25";"2";"3";"1";"0";"0";"0";"3";"1";"0";"0";"0";"2";"1";"1";"0";"3";"0";"0";"3";"1";"2";"0";"2";"0";"0"
;;"74";"Kuipers, E.J.";"70";"8";"3";"7";"1";"0";"0";"7";"0";"2";"1";"4";"2";"1";"1";"4";"4";"0";"2";"6";"0";"4";"4";"5";"3";"1"
;;"75";"Ollongren, K.H.";"62";"5";"1";"4";"0";"1";"0";"5";"3";"0";"1";"0";"3";"3";"1";"2";"4";"0";"3";"5";"3";"1";"2";"4";"7";"4"
;;"76";"Dijkgraaf, R.H.";"261";"24";"6";"15";"5";"5";"4";"52";"5";"6";"4";"12";"14";"4";"3";"3";"18";"0";"12";"13";"9";"8";"5";"18";"12";"4"
;;"77";"Uslu, G.";"56";"4";"1";"2";"3";"0";"0";"9";"0";"1";"0";"2";"2";"1";"1";"3";"3";"1";"2";"5";"0";"1";"2";"3";"9";"1"
;;"78";"Pechtold, A.";"89";"6";"3";"3";"2";"0";"3";"23";"3";"1";"0";"1";"4";"3";"1";"0";"8";"0";"4";"6";"1";"2";"1";"6";"6";"2"
;;"79";"Terlouw, J.C.";"97";"11";"1";"8";"1";"0";"4";"15";"1";"1";"3";"2";"8";"3";"3";"0";"9";"2";"3";"4";"0";"4";"1";"6";"4";"3"
;;"80";"Kaag, S.A.M.";"438";"42";"14";"27";"4";"9";"5";"69";"8";"5";"6";"13";"23";"16";"5";"21";"29";"5";"12";"21";"6";"14";"17";"36";"23";"8"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"111504";"8627";"4691";"8609";"1700";"2644";"1801";"23851";"3329";"1492";"1580";"3119";"3522";"3061";"1869";"1486";"9405";"970";"3335";"4266";"1820";"2731";"2170";"7205";"4643";"3578"
;;"1";"Timmermans, F.C.G.M.";"52212";"4250";"2496";"3709";"869";"1340";"1043";"8647";"1546";"801";"877";"1574";"1694";"1443";"1013";"782";"4910";"447";"1651";"2042";"880";"1452";"1131";"3344";"2160";"2111"
;;"2";"Lahlah, A.";"13623";"1162";"543";"1141";"219";"281";"196";"2955";"402";"163";"165";"420";"412";"369";"211";"157";"1048";"115";"389";"514";"230";"342";"297";"931";"604";"357"
;;"3";"Klaver, J.F.";"11790";"1034";"554";"834";"193";"305";"200";"1784";"386";"170";"166";"366";"349";"333";"204";"178";"1249";"92";"389";"488";"200";"299";"237";"834";"573";"373"
;;"4";"Piri, K.P.";"3529";"242";"118";"246";"38";"62";"43";"723";"98";"45";"51";"76";"121";"120";"44";"57";"372";"29";"94";"127";"43";"79";"59";"374";"185";"83"
;;"5";"Westerveld, E.M.";"8668";"690";"263";"736";"143";"233";"112";"1946";"251";"122";"129";"240";"277";"243";"124";"101";"649";"83";"273";"360";"171";"193";"170";"549";"368";"242"
;;"6";"Patijn, M.H.";"720";"59";"24";"48";"11";"19";"9";"135";"27";"8";"11";"23";"22";"30";"16";"11";"45";"9";"23";"22";"15";"21";"21";"56";"39";"16"
;;"7";"Kröger, S.C.";"1391";"98";"42";"96";"36";"30";"9";"423";"45";"22";"25";"35";"38";"28";"18";"11";"69";"10";"56";"45";"27";"26";"27";"74";"71";"30"
;;"8";"Bushoff, T.J.";"145";"9";"5";"10";"2";"3";"5";"45";"1";"0";"2";"4";"2";"5";"2";"2";"14";"1";"4";"5";"4";"1";"2";"7";"6";"4"
;;"9";"van der Lee, T.M.T.";"226";"16";"6";"19";"2";"4";"2";"54";"6";"4";"7";"6";"11";"11";"1";"9";"18";"3";"7";"9";"3";"1";"1";"19";"2";"5"
;;"10";"Mutluer, S.";"360";"32";"33";"17";"8";"2";"7";"92";"6";"1";"2";"4";"16";"11";"4";"4";"32";"5";"12";"10";"4";"8";"1";"31";"14";"4"
;;"11";"Bromet, L.";"1205";"95";"23";"128";"24";"32";"10";"297";"36";"9";"16";"29";"46";"41";"15";"14";"79";"11";"34";"35";"36";"15";"18";"75";"47";"40"
;;"12";"de Hoop, H.E.";"546";"29";"25";"19";"5";"8";"5";"191";"6";"2";"7";"10";"14";"20";"4";"6";"46";"8";"18";"20";"3";"17";"8";"43";"24";"8"
;;"13";"Maatoug, S.";"4103";"186";"28";"70";"32";"113";"3";"2432";"213";"36";"15";"76";"183";"161";"10";"16";"73";"63";"137";"27";"62";"14";"26";"77";"40";"10"
;;"14";"Mohandis, M.";"1057";"57";"14";"691";"1";"1";"4";"43";"5";"0";"3";"6";"5";"5";"33";"3";"37";"3";"5";"13";"4";"22";"36";"18";"12";"36"
;;"15";"Gabriëls, G.J.W.";"133";"10";"4";"15";"0";"2";"1";"36";"4";"2";"3";"4";"3";"2";"4";"2";"10";"0";"4";"2";"5";"3";"2";"9";"4";"2"
;;"16";"Thijssen, J.";"146";"7";"1";"13";"4";"5";"0";"42";"4";"2";"2";"8";"5";"3";"5";"2";"9";"1";"0";"4";"2";"3";"0";"12";"7";"5"
;;"17";"Bouchallikh, K.";"672";"54";"34";"61";"6";"12";"9";"180";"17";"7";"4";"19";"16";"11";"11";"10";"79";"3";"15";"26";"3";"17";"7";"32";"24";"15"
;;"18";"Kathmann, B.C.";"974";"35";"158";"58";"8";"11";"34";"157";"8";"3";"4";"15";"15";"11";"13";"8";"62";"2";"11";"154";"3";"66";"8";"44";"40";"46"
;;"19";"Slagt-Tichelman, E.";"385";"25";"10";"35";"5";"7";"7";"114";"10";"7";"3";"5";"13";"8";"5";"2";"29";"4";"13";"10";"5";"3";"12";"28";"14";"11"
;;"20";"Tseggai, M.";"580";"36";"26";"24";"5";"10";"8";"214";"19";"4";"5";"11";"10";"11";"14";"8";"42";"5";"12";"10";"7";"5";"1";"61";"30";"2"
;;"21";"White, R.J.";"169";"7";"11";"18";"0";"2";"1";"65";"1";"2";"3";"4";"4";"1";"1";"0";"17";"0";"3";"5";"2";"2";"1";"8";"4";"7"
;;"22";"Pijpelink, A.";"484";"38";"16";"37";"3";"17";"6";"173";"7";"3";"7";"13";"18";"9";"7";"5";"31";"9";"10";"12";"6";"5";"6";"17";"19";"10"
;;"23";"Chakor, G.";"692";"36";"18";"54";"6";"9";"5";"297";"18";"4";"5";"14";"21";"11";"5";"7";"43";"3";"14";"18";"7";"9";"8";"46";"27";"7"
;;"24";"Nordkamp, J.";"29";"1";"4";"2";"0";"0";"0";"11";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"2"
;;"25";"Stultiens, L.C.J.";"197";"7";"4";"15";"2";"0";"1";"76";"4";"4";"0";"3";"6";"6";"2";"4";"8";"2";"4";"6";"3";"3";"3";"17";"15";"2"
;;"26";"Haage, M.W.";"1623";"76";"81";"126";"11";"27";"27";"577";"39";"10";"11";"31";"55";"29";"24";"9";"64";"11";"20";"123";"22";"41";"15";"93";"77";"24"
;;"27";"Hirsch, D.H.";"1771";"93";"19";"119";"14";"22";"10";"795";"44";"14";"18";"46";"67";"52";"15";"35";"67";"17";"42";"42";"20";"17";"15";"103";"55";"30"
;;"28";"de Jong, H.A.";"73";"5";"2";"4";"2";"2";"0";"23";"1";"1";"3";"0";"3";"2";"0";"3";"8";"1";"0";"5";"2";"0";"0";"3";"1";"2"
;;"29";"Postma, J.P.";"119";"2";"14";"14";"1";"1";"4";"15";"7";"1";"0";"1";"1";"1";"1";"0";"20";"0";"2";"11";"0";"11";"0";"2";"5";"5"
;;"30";"Oosting, I.";"538";"29";"9";"39";"6";"9";"5";"237";"24";"5";"6";"15";"15";"7";"1";"4";"19";"2";"9";"16";"4";"9";"7";"31";"22";"8"
;;"31";"de Boer, M.M.";"286";"16";"6";"17";"5";"5";"2";"115";"7";"1";"6";"8";"13";"11";"1";"5";"8";"3";"4";"7";"3";"6";"6";"19";"7";"5"
;;"32";"Daenen, J.W.B.";"62";"1";"1";"2";"0";"0";"0";"25";"3";"0";"0";"1";"5";"1";"3";"0";"3";"0";"1";"0";"3";"1";"0";"6";"5";"1"
;;"33";"Ranshuijsen, A.B.";"494";"31";"10";"35";"9";"8";"4";"182";"15";"6";"1";"10";"10";"11";"6";"12";"28";"4";"14";"22";"6";"6";"6";"27";"29";"2"
;;"34";"Köseoglu, E.";"372";"14";"17";"20";"6";"2";"3";"145";"12";"2";"1";"1";"8";"13";"9";"0";"21";"3";"6";"24";"5";"5";"4";"32";"14";"5"
;;"35";"van Roemburg, E.T.W.";"149";"6";"2";"14";"1";"4";"0";"63";"4";"3";"0";"0";"5";"7";"2";"0";"8";"1";"7";"2";"1";"0";"2";"11";"4";"2"
;;"36";"Nessar, A.";"50";"3";"4";"2";"0";"1";"6";"7";"1";"0";"0";"2";"3";"0";"0";"0";"7";"1";"0";"2";"0";"2";"1";"4";"4";"0"
;;"37";"Muns, L.";"74";"4";"4";"1";"2";"0";"0";"28";"1";"1";"2";"3";"1";"0";"2";"0";"6";"0";"0";"1";"1";"0";"1";"6";"4";"6"
;;"38";"Vrolijks, I.L.";"523";"40";"13";"43";"7";"17";"4";"158";"12";"10";"5";"19";"7";"12";"11";"5";"39";"6";"11";"15";"9";"7";"6";"31";"19";"17"
;;"39";"Smits, P.L.";"59";"4";"2";"5";"0";"1";"0";"20";"2";"0";"0";"1";"0";"0";"0";"3";"4";"0";"3";"0";"1";"0";"0";"10";"3";"0"
;;"40";"Nabih, M.";"55";"1";"3";"3";"0";"2";"2";"13";"1";"0";"0";"1";"0";"0";"0";"0";"8";"0";"1";"1";"2";"4";"2";"6";"2";"3"
;;"41";"Rietveld, M.D.";"28";"3";"1";"1";"0";"0";"0";"6";"0";"1";"0";"1";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"8";"1";"0"
;;"42";"Torunoglu, Y.";"27";"0";"0";"0";"0";"3";"0";"7";"3";"0";"0";"0";"0";"1";"0";"0";"5";"0";"0";"1";"1";"0";"1";"3";"1";"1"
;;"43";"de Bruijn, E.";"308";"21";"14";"18";"2";"7";"4";"94";"6";"10";"4";"3";"4";"3";"4";"2";"23";"3";"5";"7";"6";"3";"5";"32";"18";"10"
;;"44";"Bosman, E.M.";"138";"8";"2";"8";"0";"5";"1";"16";"3";"1";"1";"2";"1";"3";"5";"1";"17";"2";"3";"3";"3";"2";"2";"26";"21";"2"
;;"45";"Kuipers, C.M.";"18";"0";"2";"1";"0";"1";"0";"4";"3";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"1"
;;"46";"van Schalkwijk, M.W.";"98";"7";"3";"6";"2";"2";"2";"17";"1";"0";"2";"1";"4";"2";"4";"1";"5";"1";"2";"4";"2";"1";"4";"4";"4";"17"
;;"47";"Bijlsma, J.S.";"27";"3";"2";"3";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"2";"5";"1";"1"
;;"48";"Rowaan, R.";"209";"14";"3";"4";"6";"7";"0";"112";"11";"2";"1";"2";"10";"4";"2";"0";"7";"5";"11";"3";"1";"1";"1";"2";"0";"0"
;;"49";"van der Hoeven, A.A.M.";"129";"9";"2";"9";"0";"0";"2";"17";"2";"0";"0";"2";"3";"2";"2";"6";"30";"0";"3";"2";"3";"2";"4";"24";"4";"1"
;;"50";"van Kalken, L.";"238";"22";"15";"19";"4";"10";"5";"37";"7";"3";"5";"4";"4";"6";"9";"1";"30";"2";"10";"9";"0";"7";"4";"8";"10";"7"
"4";"PVV (Partij voor de Vrijheid)";;;"178943";"16067";"9337";"8219";"3760";"13219";"4825";"11387";"3518";"3686";"4885";"7316";"1960";"2938";"4884";"3158";"20381";"1345";"5310";"9494";"4941";"7083";"4838";"8907";"8443";"9042"
;;"1";"Wilders, G.";"160545";"14347";"8450";"7336";"3391";"12094";"4279";"10207";"3130";"3285";"4419";"6592";"1699";"2629";"4385";"2839";"18148";"1198";"4715";"8534";"4417";"6373";"4347";"7951";"7627";"8153"
;;"2";"Agema, M.";"10737";"1016";"487";"568";"225";"667";"235";"633";"234";"237";"295";"463";"153";"193";"300";"178";"1248";"89";"360";"589";"333";"392";"317";"534";"497";"494"
;;"3";"van Meetelen, R.F.";"469";"61";"22";"24";"8";"27";"8";"32";"11";"13";"21";"15";"5";"4";"14";"13";"57";"1";"10";"14";"15";"11";"8";"20";"14";"41"
;;"4";"Markuszower, G.";"223";"20";"23";"8";"4";"17";"1";"19";"2";"7";"3";"10";"2";"3";"4";"12";"18";"2";"5";"9";"7";"1";"3";"17";"22";"4"
;;"5";"Bosma, M.";"4146";"371";"182";"189";"74";"310";"90";"330";"101";"94";"97";"173";"82";"88";"99";"82";"430";"33";"142";"217";"103";"180";"97";"262";"171";"149"
;;"6";"Claassen, R.A.B.";"68";"7";"4";"3";"1";"3";"0";"8";"0";"3";"3";"2";"1";"0";"2";"2";"6";"0";"0";"1";"2";"7";"3";"2";"4";"4"
;;"7";"Faber, M.H.M.";"320";"34";"17";"12";"10";"18";"3";"19";"11";"8";"12";"10";"2";"2";"13";"3";"36";"3";"20";"18";"12";"8";"8";"15";"12";"14"
;;"8";"Mulder, E.";"64";"3";"4";"2";"2";"3";"4";"11";"0";"1";"1";"4";"1";"2";"1";"1";"6";"0";"1";"5";"1";"2";"3";"2";"2";"2"
;;"9";"Maeijer, V.";"633";"31";"79";"18";"8";"9";"184";"10";"3";"10";"7";"9";"3";"2";"18";"5";"22";"2";"4";"25";"10";"32";"13";"4";"7";"118"
;;"10";"van Dijck, A.P.C.";"61";"4";"2";"1";"3";"3";"0";"4";"0";"2";"1";"1";"1";"0";"0";"1";"9";"0";"3";"6";"2";"1";"2";"10";"3";"2"
;;"11";"Kops, A.";"52";"5";"4";"1";"0";"2";"1";"4";"1";"0";"0";"1";"0";"0";"1";"0";"20";"1";"1";"3";"3";"3";"0";"1";"0";"0"
;;"12";"Madlener, B.";"27";"3";"4";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"4";"0";"1";"1";"5";"2";"1"
;;"13";"de Jong, L.W.E.";"146";"11";"7";"11";"2";"7";"3";"19";"1";"1";"0";"3";"2";"3";"7";"6";"14";"1";"5";"7";"3";"4";"3";"11";"7";"8"
;;"14";"Graus, D.J.G.";"79";"3";"4";"5";"2";"6";"0";"9";"0";"3";"1";"1";"1";"0";"2";"2";"6";"1";"3";"2";"1";"2";"2";"15";"2";"6"
;;"15";"Blaauw, R.B.";"40";"7";"1";"3";"2";"2";"1";"3";"1";"0";"1";"1";"0";"0";"1";"1";"3";"0";"0";"1";"0";"2";"4";"2";"2";"2"
;;"16";"de Roon, R.";"15";"1";"2";"1";"2";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1"
;;"17";"van Dijk, E.";"44";"7";"2";"2";"0";"5";"0";"3";"0";"1";"0";"1";"0";"0";"1";"0";"4";"0";"3";"1";"3";"1";"0";"5";"4";"1"
;;"18";"de Vree, J.H.";"20";"2";"3";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"1";"0";"1";"3";"2"
;;"19";"Aardema, M.";"9";"1";"0";"0";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"20";"van der Velde, M.K.";"143";"15";"5";"3";"3";"10";"1";"10";"2";"4";"7";"3";"2";"4";"5";"2";"13";"2";"7";"6";"4";"4";"9";"6";"7";"9"
;;"21";"van der Hoeff, P.H.";"16";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"3";"0";"0";"2";"2";"0";"1"
;;"22";"Deen, M.";"33";"2";"1";"0";"3";"4";"0";"1";"0";"5";"2";"5";"0";"0";"1";"0";"1";"0";"0";"1";"3";"2";"0";"1";"1";"0"
;;"23";"Nijhof-Leeuw, J.M.";"97";"11";"3";"3";"5";"5";"2";"10";"4";"0";"3";"4";"1";"1";"4";"1";"12";"1";"2";"3";"0";"2";"5";"5";"3";"7"
;;"24";"Boon, M.C.H.";"21";"4";"0";"0";"1";"0";"2";"2";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"3";"1"
;;"25";"Mooiman, J.";"312";"34";"1";"4";"2";"5";"1";"8";"3";"3";"4";"0";"0";"0";"10";"1";"178";"4";"5";"12";"3";"2";"4";"12";"13";"3"
