"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"31";"van Dorst, P.A.";"9";"0";"0";"0";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
;;"32";"Wijnja, G.H.";"137";"0";"1";"5";"4";"6";"0";"3";"1";"4";"69";"0";"0";"1";"7";"0";"1";"2";"21";"2";"1";"1";"1";"3";"0";"4"
;;"33";"de Vries, M.M.";"18";"0";"0";"1";"1";"2";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"7";"1";"0";"1";"2";"0";"0";"0"
;;"34";"Schoonbeek, F.";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Mathlouti, M.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"37";"Koops, J.H.";"15";"0";"0";"0";"1";"0";"0";"7";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
;;"38";"Hagen, K.B.";"72";"0";"0";"2";"13";"6";"0";"3";"1";"3";"3";"0";"5";"0";"2";"0";"1";"2";"23";"2";"1";"1";"2";"2";"0";"0"
;;"39";"Hiemstra, G.J.";"14";"0";"0";"1";"1";"1";"0";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"11";"1";"0";"0";"0";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0"
;;"41";"Tjeerdema, H.";"11";"0";"0";"0";"3";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"1"
;;"42";"Woudstra, E.";"5";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"43";"Olsthoorn, A.";"9";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"2";"0";"0"
;;"44";"van Peski, C.J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"15";"1";"0";"1";"3";"3";"0";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"47";"van Driel, M.";"292";"4";"1";"10";"7";"8";"0";"6";"9";"5";"4";"0";"1";"5";"19";"1";"0";"1";"190";"2";"4";"5";"1";"4";"2";"3"
;;"48";"Ruijs, L.J.M.";"15";"0";"1";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"1";"0";"1";"0";"1";"0"
;;"49";"van der Gaag, P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"4";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"52";"van de Vijver, V.F.";"10";"1";"0";"2";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
;;"53";"Vemer, P.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"55";"André, E.S.";"47";"0";"1";"0";"25";"2";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"4";"1";"0";"1";"3";"2";"1";"0"
;;"56";"Wesseling, A.";"9";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1"
;;"57";"Maessen, R.J.M.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"6";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"12";"0";"0";"0";"2";"0";"0";"0";"3";"1";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0"
;;"63";"Chaban, S.";"5";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"64";"Louhenapessij, A.F.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"18";"2";"1";"0";"1";"4";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"1";"0";"0"
;;"66";"van Essen, J.";"224";"13";"20";"0";"3";"63";"6";"0";"4";"34";"0";"29";"18";"1";"2";"0";"8";"4";"3";"1";"0";"7";"1";"1";"5";"1"
;;"67";"Nunnely, J.M.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"68";"Türkkol, N.";"7";"1";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"19";"2";"0";"0";"2";"2";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"1";"0";"0";"0";"0";"0"
;;"72";"Weerwind, F.M.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"6";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"74";"Kuipers, E.J.";"26";"2";"1";"1";"3";"4";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"7";"1";"1";"2";"0";"0";"0";"0"
;;"75";"Ollongren, K.H.";"22";"0";"0";"1";"6";"2";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"6";"0";"1";"1";"0";"1";"0";"0"
;;"76";"Dijkgraaf, R.H.";"118";"5";"0";"1";"18";"13";"1";"1";"3";"12";"2";"1";"2";"4";"3";"0";"2";"1";"27";"1";"7";"4";"3";"5";"2";"0"
;;"77";"Uslu, G.";"14";"0";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"3";"1";"0"
;;"78";"Pechtold, A.";"59";"5";"0";"0";"11";"13";"0";"0";"1";"3";"1";"1";"3";"1";"2";"2";"1";"1";"11";"1";"0";"1";"0";"1";"0";"0"
;;"79";"Terlouw, J.C.";"106";"5";"3";"2";"43";"7";"0";"0";"3";"7";"3";"2";"0";"1";"3";"1";"1";"1";"15";"1";"3";"2";"1";"1";"1";"0"
;;"80";"Kaag, S.A.M.";"212";"16";"6";"4";"26";"29";"3";"7";"2";"22";"9";"4";"9";"7";"4";"0";"0";"0";"39";"2";"7";"5";"4";"3";"2";"2"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"86648";"4060";"1615";"1688";"13285";"13161";"1229";"2613";"1848";"6971";"3094";"1060";"1978";"1019";"2374";"321";"490";"862";"18134";"785";"3228";"2175";"1099";"1886";"906";"767"
;;"1";"Timmermans, F.C.G.M.";"42357";"2169";"850";"888";"6077";"6122";"703";"1434";"1035";"3573";"1662";"441";"963";"530";"1294";"180";"239";"460";"7651";"454";"1845";"1213";"605";"1026";"518";"425"
;;"2";"Lahlah, A.";"9353";"363";"156";"171";"1659";"1372";"89";"216";"164";"693";"328";"62";"176";"135";"228";"31";"45";"67";"2384";"61";"327";"158";"98";"224";"63";"83"
;;"3";"Klaver, J.F.";"8583";"417";"182";"173";"1389";"1136";"125";"262";"185";"750";"325";"66";"221";"97";"237";"30";"52";"104";"1745";"78";"335";"215";"115";"203";"72";"69"
;;"4";"Piri, K.P.";"2005";"108";"35";"41";"352";"297";"32";"47";"41";"152";"70";"19";"40";"29";"44";"5";"13";"15";"414";"12";"70";"58";"24";"48";"19";"20"
;;"5";"Westerveld, E.M.";"8605";"350";"143";"153";"1660";"1239";"113";"217";"170";"640";"293";"61";"187";"103";"230";"27";"44";"92";"1960";"77";"238";"183";"85";"184";"90";"66"
;;"6";"Patijn, M.H.";"431";"24";"5";"12";"82";"58";"2";"9";"8";"20";"18";"3";"11";"3";"18";"0";"1";"3";"109";"0";"15";"9";"9";"5";"4";"3"
;;"7";"Kröger, S.C.";"809";"31";"5";"15";"156";"120";"7";"19";"14";"55";"39";"4";"6";"3";"20";"2";"2";"6";"228";"2";"24";"14";"5";"23";"3";"6"
;;"8";"Bushoff, T.J.";"317";"12";"4";"14";"37";"42";"1";"14";"4";"26";"11";"1";"4";"3";"6";"1";"1";"3";"79";"2";"31";"6";"5";"7";"2";"1"
;;"9";"van der Lee, T.M.T.";"140";"8";"4";"5";"21";"27";"0";"3";"2";"9";"2";"0";"0";"2";"18";"5";"0";"0";"20";"0";"4";"3";"1";"3";"1";"2"
;;"10";"Mutluer, S.";"410";"48";"7";"5";"61";"100";"7";"1";"6";"50";"6";"3";"14";"0";"2";"2";"1";"2";"57";"1";"1";"18";"16";"1";"0";"1"
;;"11";"Bromet, L.";"854";"21";"17";"18";"179";"116";"7";"24";"14";"51";"18";"8";"9";"7";"33";"1";"7";"9";"219";"6";"39";"15";"9";"10";"7";"10"
;;"12";"de Hoop, H.E.";"498";"18";"7";"5";"79";"68";"1";"13";"2";"25";"24";"1";"7";"1";"12";"3";"2";"4";"144";"4";"44";"5";"3";"18";"1";"7"
;;"13";"Maatoug, S.";"219";"4";"1";"1";"55";"40";"0";"9";"4";"16";"5";"2";"0";"1";"2";"0";"0";"1";"65";"0";"6";"3";"2";"0";"1";"1"
;;"14";"Mohandis, M.";"79";"9";"0";"0";"18";"12";"1";"1";"0";"4";"2";"1";"0";"1";"0";"1";"2";"0";"21";"1";"0";"1";"1";"1";"1";"1"
;;"15";"Gabriëls, G.J.W.";"78";"3";"1";"1";"19";"15";"1";"0";"0";"4";"3";"2";"3";"0";"1";"0";"0";"0";"16";"0";"0";"5";"1";"2";"0";"1"
;;"16";"Thijssen, J.";"97";"4";"0";"2";"17";"31";"0";"1";"4";"6";"6";"0";"5";"0";"0";"0";"0";"1";"13";"1";"2";"1";"1";"2";"0";"0"
;;"17";"Bouchallikh, K.";"276";"14";"1";"1";"45";"53";"6";"4";"6";"18";"7";"1";"4";"1";"4";"0";"0";"0";"85";"2";"6";"5";"3";"6";"1";"3"
;;"18";"Kathmann, B.C.";"207";"7";"3";"6";"35";"40";"0";"10";"2";"13";"8";"1";"1";"2";"6";"0";"0";"1";"47";"1";"6";"8";"4";"3";"1";"2"
;;"19";"Slagt-Tichelman, E.";"792";"33";"14";"21";"107";"90";"5";"32";"18";"43";"28";"4";"10";"17";"28";"5";"4";"12";"214";"9";"57";"10";"7";"12";"4";"8"
;;"20";"Tseggai, M.";"178";"1";"0";"3";"20";"27";"1";"0";"4";"13";"11";"0";"2";"1";"1";"1";"1";"1";"71";"1";"7";"2";"0";"2";"3";"5"
;;"21";"White, R.J.";"96";"1";"4";"1";"12";"19";"4";"5";"0";"10";"0";"1";"0";"0";"0";"0";"1";"1";"35";"0";"1";"0";"0";"1";"0";"0"
;;"22";"Pijpelink, A.";"196";"4";"0";"2";"33";"31";"1";"3";"1";"14";"9";"1";"5";"0";"3";"0";"0";"3";"67";"1";"9";"2";"3";"0";"2";"2"
;;"23";"Chakor, G.";"618";"15";"5";"16";"84";"104";"10";"16";"8";"37";"23";"0";"12";"9";"16";"3";"2";"5";"214";"1";"14";"7";"8";"9";"0";"0"
;;"24";"Nordkamp, J.";"2108";"124";"71";"18";"87";"494";"37";"13";"52";"289";"9";"345";"199";"6";"28";"2";"42";"26";"61";"15";"6";"75";"24";"11";"72";"2"
;;"25";"Stultiens, L.C.J.";"94";"3";"0";"0";"11";"42";"1";"1";"1";"5";"1";"0";"0";"0";"1";"1";"0";"0";"24";"0";"0";"2";"1";"0";"0";"0"
;;"26";"Haage, M.W.";"561";"18";"6";"10";"106";"112";"6";"6";"5";"31";"12";"1";"8";"9";"12";"2";"3";"1";"176";"3";"11";"7";"7";"6";"0";"3"
;;"27";"Hirsch, D.H.";"736";"18";"5";"7";"155";"126";"8";"10";"10";"52";"31";"2";"9";"3";"8";"2";"0";"6";"211";"7";"20";"9";"5";"15";"8";"9"
;;"28";"de Jong, H.A.";"68";"0";"0";"3";"4";"6";"2";"0";"1";"4";"3";"2";"0";"1";"1";"0";"1";"0";"32";"0";"3";"0";"2";"2";"0";"1"
;;"29";"Postma, J.P.";"27";"1";"0";"0";"7";"2";"0";"1";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"7";"0";"2";"0";"1";"0";"0";"2"
;;"30";"Oosting, I.";"607";"24";"10";"17";"77";"69";"6";"76";"9";"25";"27";"3";"6";"15";"17";"4";"5";"8";"146";"5";"23";"7";"8";"8";"6";"6"
;;"31";"de Boer, M.M.";"111";"5";"0";"6";"12";"17";"0";"3";"1";"3";"4";"2";"2";"1";"5";"0";"0";"1";"40";"0";"0";"4";"1";"3";"0";"1"
;;"32";"Daenen, J.W.B.";"29";"0";"0";"1";"5";"8";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"8";"1";"1";"1";"1";"0";"1";"0"
;;"33";"Ranshuijsen, A.B.";"357";"9";"4";"3";"83";"69";"2";"10";"4";"16";"8";"2";"5";"2";"7";"0";"3";"3";"98";"3";"13";"3";"4";"4";"1";"1"
;;"34";"Köseoglu, E.";"562";"41";"5";"0";"162";"92";"9";"3";"1";"43";"11";"0";"22";"0";"3";"0";"2";"1";"156";"2";"4";"1";"3";"1";"0";"0"
;;"35";"van Roemburg, E.T.W.";"93";"2";"2";"1";"30";"12";"1";"2";"3";"7";"3";"1";"0";"2";"1";"1";"1";"0";"14";"1";"1";"1";"1";"3";"2";"1"
;;"36";"Nessar, A.";"29";"0";"0";"0";"4";"2";"0";"0";"0";"7";"1";"0";"0";"1";"0";"0";"0";"0";"8";"0";"1";"4";"1";"0";"0";"0"
;;"37";"Muns, L.";"40";"0";"0";"2";"2";"11";"0";"1";"0";"5";"1";"0";"1";"1";"2";"0";"0";"0";"11";"0";"0";"0";"0";"3";"0";"0"
;;"38";"Vrolijks, I.L.";"242";"12";"2";"3";"47";"40";"2";"8";"5";"14";"6";"2";"8";"3";"5";"1";"1";"1";"71";"1";"3";"1";"4";"2";"0";"0"
;;"39";"Smits, P.L.";"62";"0";"1";"0";"11";"22";"0";"2";"0";"9";"1";"0";"1";"2";"1";"0";"0";"0";"10";"0";"1";"1";"0";"0";"0";"0"
;;"40";"Nabih, M.";"17";"1";"0";"0";"4";"2";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1"
;;"41";"Rietveld, M.D.";"6";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Torunoglu, Y.";"33";"2";"0";"1";"5";"9";"0";"0";"0";"7";"1";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"1";"0";"0";"0";"0"
;;"43";"de Bruijn, E.";"214";"6";"2";"4";"36";"51";"1";"7";"3";"16";"6";"1";"1";"3";"4";"0";"0";"1";"59";"2";"4";"1";"1";"2";"2";"1"
;;"44";"Bosman, E.M.";"24";"1";"0";"0";"5";"3";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"10";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Kuipers, C.M.";"49";"3";"0";"2";"6";"5";"0";"2";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"18";"0";"9";"0";"0";"0";"0";"0"
;;"46";"van Schalkwijk, M.W.";"52";"2";"0";"1";"9";"3";"1";"3";"1";"4";"1";"0";"1";"3";"2";"0";"0";"0";"10";"0";"6";"1";"2";"2";"0";"0"
;;"47";"Boshove, R.";"154";"8";"1";"5";"6";"3";"1";"91";"3";"1";"0";"0";"1";"5";"4";"2";"1";"0";"10";"5";"2";"2";"0";"1";"2";"0"
;;"48";"Meijerink, E.G.";"1513";"18";"3";"44";"100";"20";"1";"26";"21";"10";"50";"2";"3";"14";"49";"9";"1";"4";"1043";"11";"30";"4";"2";"23";"2";"23"
;;"49";"de Vries, J.H.";"330";"20";"22";"0";"46";"13";"11";"1";"10";"44";"4";"1";"8";"1";"8";"0";"4";"12";"7";"8";"3";"88";"11";"4";"4";"0"
;;"50";"Hümmels, Y.A.";"1332";"78";"37";"6";"65";"768";"23";"5";"25";"151";"10";"13";"21";"2";"12";"0";"8";"8";"35";"7";"4";"21";"15";"5";"13";"0"
"4";"PVV (Partij voor de Vrijheid)";;;"163886";"12271";"3521";"3908";"11260";"20204";"3890";"10527";"5221";"10842";"8649";"4189";"4840";"2343";"4783";"2446";"3918";"3813";"13265";"6330";"7476";"5160";"4778";"2515";"4338";"3399"
;;"1";"Wilders, G.";"149518";"11343";"3231";"3552";"10276";"18408";"3519";"9632";"4811";"9685";"7904";"3856";"4411";"2099";"4387";"2227";"3662";"3558";"11650";"5918";"6838";"4666";"4402";"2314";"4041";"3128"
;;"2";"Agema, M.";"7031";"444";"145";"189";"570";"773";"177";"485";"204";"514";"389";"151";"176";"122";"196";"115";"108";"108";"734";"208";"353";"245";"210";"128";"140";"147"
;;"3";"van Meetelen, R.F.";"315";"27";"6";"9";"27";"48";"7";"11";"11";"27";"21";"5";"11";"8";"3";"4";"3";"5";"43";"6";"16";"2";"6";"3";"1";"5"
;;"4";"Markuszower, G.";"99";"7";"0";"1";"10";"22";"1";"6";"5";"7";"1";"3";"3";"2";"1";"5";"1";"0";"11";"1";"2";"1";"1";"4";"3";"1"
;;"5";"Bosma, M.";"2900";"182";"41";"71";"217";"392";"54";"188";"78";"222";"153";"61";"96";"57";"81";"49";"48";"68";"333";"75";"132";"87";"69";"31";"55";"60"
;;"6";"Claassen, R.A.B.";"55";"4";"1";"0";"8";"7";"0";"6";"2";"3";"4";"2";"0";"1";"3";"1";"0";"0";"4";"2";"2";"0";"2";"1";"1";"1"
;;"7";"Faber, M.H.M.";"173";"9";"1";"3";"13";"19";"4";"8";"6";"14";"10";"2";"6";"3";"5";"4";"1";"3";"28";"4";"9";"5";"3";"5";"4";"4"
;;"8";"Mulder, E.";"968";"37";"9";"54";"23";"25";"15";"98";"33";"22";"33";"7";"14";"29";"56";"22";"9";"9";"327";"25";"50";"15";"7";"11";"8";"30"
;;"9";"Maeijer, V.";"98";"3";"2";"3";"11";"8";"4";"6";"1";"5";"4";"2";"3";"1";"3";"1";"1";"4";"20";"2";"4";"2";"1";"5";"1";"1"
;;"10";"van Dijck, A.P.C.";"20";"2";"0";"1";"0";"1";"0";"3";"0";"2";"1";"1";"0";"0";"2";"0";"0";"0";"1";"2";"1";"1";"1";"1";"0";"0"
;;"11";"Kops, A.";"33";"6";"0";"1";"0";"5";"2";"0";"3";"1";"0";"0";"2";"2";"0";"0";"0";"1";"2";"1";"1";"2";"0";"2";"2";"0"
;;"12";"Madlener, B.";"10";"1";"0";"1";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"13";"de Jong, L.W.E.";"52";"4";"1";"1";"3";"5";"0";"1";"2";"6";"3";"1";"1";"1";"1";"1";"1";"1";"8";"3";"4";"1";"2";"0";"0";"1"
;;"14";"Graus, D.J.G.";"37";"4";"0";"1";"8";"3";"0";"4";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"2";"2";"0";"1";"3"
;;"15";"Blaauw, R.B.";"33";"0";"0";"0";"3";"5";"0";"3";"1";"4";"1";"1";"3";"1";"0";"0";"1";"0";"5";"0";"2";"0";"1";"0";"0";"2"
;;"16";"de Roon, R.";"9";"0";"1";"0";"0";"1";"0";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van Dijk, E.";"25";"1";"2";"0";"2";"3";"0";"1";"1";"0";"0";"0";"1";"0";"3";"2";"2";"0";"2";"0";"3";"1";"1";"0";"0";"0"
;;"18";"de Vree, J.H.";"10";"1";"0";"0";"2";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"19";"Aardema, M.";"30";"0";"0";"0";"1";"1";"0";"2";"0";"1";"2";"1";"0";"0";"1";"1";"1";"0";"2";"0";"14";"0";"2";"0";"0";"1"
;;"20";"van der Velde, M.K.";"81";"3";"1";"0";"9";"7";"3";"8";"3";"4";"7";"4";"0";"2";"2";"0";"1";"1";"11";"5";"5";"1";"1";"0";"3";"0"
;;"21";"van der Hoeff, P.H.";"7";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
;;"22";"Deen, M.";"6";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Nijhof-Leeuw, J.M.";"1247";"129";"62";"10";"33";"122";"62";"31";"40";"256";"7";"38";"52";"7";"22";"5";"60";"40";"18";"48";"14";"97";"32";"3";"55";"4"
;;"24";"Boon, M.C.H.";"23";"0";"0";"0";"0";"1";"0";"0";"0";"15";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
;;"25";"Mooiman, J.";"43";"3";"1";"0";"2";"4";"1";"2";"0";"6";"1";"1";"1";"0";"1";"0";"0";"0";"10";"2";"1";"1";"2";"2";"1";"1"
;;"26";"Ram, D.";"31";"2";"0";"0";"0";"8";"1";"3";"0";"0";"0";"1";"7";"0";"1";"0";"0";"0";"5";"1";"1";"0";"1";"0";"0";"0"
;;"27";"Vlottes, E.";"44";"2";"0";"1";"17";"1";"2";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"4";"12";"0";"0";"0"
;;"28";"Smitskam, P.";"7";"0";"1";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Esser, E.R.F.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"30";"Boutkan, W.";"7";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"31";"van den Born, V.H.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Crijns, P.P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"5";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"34";"Vondeling, M.";"68";"8";"0";"2";"4";"7";"4";"1";"1";"5";"2";"0";"5";"2";"1";"0";"1";"3";"11";"0";"3";"1";"5";"2";"0";"0"
;;"35";"Valize, J.J.T.M.";"9";"0";"0";"0";"0";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Heutink, H.D.";"622";"36";"14";"0";"4";"302";"31";"9";"11";"32";"0";"43";"45";"4";"2";"1";"14";"9";"0";"18";"0";"20";"8";"0";"19";"0"
;;"37";"Pool, J.";"142";"1";"0";"2";"2";"2";"0";"4";"1";"2";"89";"0";"0";"1";"1";"4";"2";"0";"13";"2";"6";"1";"0";"2";"0";"7"
;;"38";"Faddegon, C.J.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"39";"Uppelschoten, N.A.";"5";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
