"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"13";"Aartsen, A.A.";"73";"7";"0";"1";"8";"12";"0";"3";"0";"7";"1";"1";"1";"1";"2";"2";"1";"0";"23";"1";"0";"2";"0";"0";"0";"0"
;;"14";"van Campen, A.A.H.";"1504";"20";"9";"70";"61";"43";"5";"68";"43";"33";"77";"11";"20";"27";"101";"8";"14";"16";"701";"25";"56";"7";"18";"26";"24";"21"
;;"15";"Tielen, J.Z.C.M.";"57";"2";"2";"1";"10";"11";"0";"2";"3";"2";"3";"0";"2";"0";"1";"0";"1";"0";"8";"0";"2";"2";"3";"2";"0";"0"
;;"16";"Veltman-Kamp, H.N.";"83";"4";"4";"2";"12";"10";"1";"2";"1";"4";"3";"3";"3";"4";"3";"2";"3";"1";"12";"0";"1";"0";"5";"2";"1";"0"
;;"17";"van Eijk-Nagel, W.P.J.";"26";"2";"1";"0";"6";"4";"0";"1";"1";"2";"0";"1";"0";"0";"1";"0";"0";"0";"4";"0";"2";"1";"0";"0";"0";"0"
;;"18";"Ellian, U.";"70";"10";"1";"2";"5";"9";"2";"2";"2";"4";"2";"1";"3";"0";"4";"4";"0";"3";"8";"0";"0";"3";"0";"3";"2";"0"
;;"19";"Michon-Derkzen, I.J.M.";"22";"4";"0";"2";"0";"1";"0";"0";"2";"1";"1";"1";"3";"2";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0"
;;"20";"Martens-America, C.";"45";"0";"3";"2";"5";"4";"2";"1";"2";"14";"0";"0";"1";"1";"1";"0";"0";"1";"4";"0";"0";"1";"1";"0";"1";"1"
;;"21";"Meulenkamp, W.J.H.";"1972";"72";"137";"1";"22";"203";"96";"11";"36";"252";"1";"45";"75";"3";"5";"1";"71";"91";"3";"23";"2";"688";"41";"1";"92";"0"
;;"22";"de Groot, P.C.";"62";"1";"3";"2";"8";"7";"0";"0";"2";"11";"4";"1";"1";"0";"4";"0";"2";"1";"3";"2";"0";"4";"1";"1";"2";"2"
;;"23";"Kisteman, A.";"820";"5";"1";"40";"16";"12";"2";"33";"8";"9";"30";"6";"2";"11";"44";"9";"5";"6";"523";"10";"16";"3";"2";"9";"4";"14"
;;"24";"de Kort, A.H.J.";"26";"1";"0";"0";"1";"5";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"1";"8";"0";"1";"0";"2";"1";"0";"1"
;;"25";"van den Hil, J.";"51";"1";"1";"1";"6";"10";"0";"3";"1";"6";"3";"1";"1";"3";"2";"0";"0";"1";"5";"0";"1";"2";"0";"2";"1";"0"
;;"26";"Valstar, P.J.";"21";"0";"1";"1";"2";"5";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"0";"0";"1";"0";"0"
;;"27";"Bevers, H.";"18";"0";"1";"0";"3";"3";"1";"0";"1";"2";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
;;"28";"Buijsse, M.R.G.";"16";"2";"2";"0";"2";"4";"0";"1";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Dral, R.M.";"81";"0";"1";"3";"9";"9";"0";"3";"3";"5";"1";"1";"3";"3";"4";"1";"4";"1";"15";"1";"3";"7";"0";"3";"0";"1"
;;"30";"Bikkers, B.T.";"5";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"31";"Verkuijlen, R.";"9";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Richardson, S.M.";"51";"6";"1";"3";"3";"7";"1";"2";"3";"10";"1";"0";"0";"0";"1";"1";"0";"0";"6";"0";"4";"0";"0";"1";"1";"0"
;;"33";"de Beer, M.E.E.";"19";"3";"1";"0";"1";"3";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"2";"0";"3";"0";"0";"0";"1";"0";"0";"0"
;;"34";"van Strien, P.J.T.";"7";"4";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hartsuiker, R.J.J.";"39";"3";"0";"1";"4";"5";"0";"10";"0";"0";"1";"3";"1";"0";"2";"2";"2";"0";"2";"1";"1";"0";"0";"0";"1";"0"
;;"36";"Klein Lankhorst, H.";"26";"2";"0";"0";"10";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"2";"0";"1";"1"
;;"37";"Haverkort, E.A.";"75";"3";"2";"0";"28";"9";"3";"0";"0";"4";"0";"1";"1";"1";"1";"0";"0";"1";"7";"3";"0";"5";"3";"2";"0";"1"
;;"38";"Simons, C.";"23";"18";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
