"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Middelburg"
"Nummer";;"HSB16"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Borsele";"Goes";"Hulst";"Kapelle";"Middelburg";"Reimerswaal";"Terneuzen";"Tholen";"Veere";"Vlissingen";"Schouwen-Duiveland";"Noord-Beveland";"Sluis"
;;"43";"de Bruijn, E.";"34";"3";"5";"3";"2";"12";"0";"2";"1";"1";"3";"2";"0";"0"
;;"44";"Bosman, E.M.";"4";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"45";"Kuipers, C.M.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
;;"46";"van Schalkwijk, M.W.";"5";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
;;"47";"van Son, L.J.M.";"23";"1";"6";"5";"0";"3";"1";"2";"0";"0";"1";"2";"0";"2"
;;"48";"Penninx, A.";"4";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
;;"49";"Roozendaal, H.";"16";"2";"1";"0";"0";"5";"0";"2";"1";"0";"2";"3";"0";"0"
;;"50";"van de Wolde, F.";"17";"0";"3";"2";"0";"3";"0";"3";"1";"1";"1";"2";"0";"1"
"4";"PVV (Partij voor de Vrijheid)";;;"55151";"3450";"5068";"4333";"1739";"5248";"3112";"8607";"4544";"2290";"6434";"5490";"1359";"3477"
;;"1";"Wilders, G.";"50137";"3127";"4586";"3987";"1591";"4757";"2917";"7531";"4209";"2083";"5831";"5064";"1237";"3217"
;;"2";"Agema, M.";"2182";"146";"211";"150";"84";"257";"92";"272";"152";"95";"309";"238";"59";"117"
;;"3";"van Meetelen, R.F.";"335";"29";"59";"9";"13";"22";"32";"28";"49";"14";"42";"19";"9";"10"
;;"4";"Markuszower, G.";"44";"0";"5";"4";"2";"8";"2";"4";"3";"4";"2";"5";"5";"0"
;;"5";"Bosma, M.";"934";"72";"108";"42";"28";"97";"35";"133";"71";"43";"140";"96";"31";"38"
;;"6";"Claassen, R.A.B.";"22";"1";"2";"1";"0";"1";"0";"3";"8";"1";"2";"3";"0";"0"
;;"7";"Faber, M.H.M.";"52";"1";"10";"3";"2";"8";"3";"4";"3";"4";"7";"4";"1";"2"
;;"8";"Mulder, E.";"9";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"2";"0";"1"
;;"9";"Maeijer, V.";"29";"1";"5";"2";"0";"4";"2";"5";"0";"0";"3";"7";"0";"0"
;;"10";"van Dijck, A.P.C.";"10";"0";"1";"2";"0";"1";"0";"1";"1";"0";"3";"1";"0";"0"
;;"11";"Kops, A.";"15";"1";"1";"4";"0";"4";"1";"1";"0";"1";"1";"0";"0";"1"
;;"12";"Madlener, B.";"17";"2";"0";"2";"0";"1";"0";"0";"1";"1";"3";"4";"3";"0"
;;"13";"de Jong, L.W.E.";"17";"1";"1";"0";"1";"1";"0";"8";"3";"0";"2";"0";"0";"0"
;;"14";"Graus, D.J.G.";"21";"3";"1";"4";"0";"2";"1";"0";"1";"0";"2";"3";"0";"4"
;;"15";"Blaauw, R.B.";"9";"1";"1";"1";"0";"2";"0";"1";"0";"2";"1";"0";"0";"0"
;;"16";"de Roon, R.";"272";"16";"26";"32";"6";"23";"5";"54";"2";"10";"35";"10";"3";"50"
;;"17";"van Dijk, E.";"8";"0";"1";"2";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
;;"18";"de Vree, J.H.";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"Aardema, M.";"8";"2";"3";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"20";"van der Velde, M.K.";"26";"0";"2";"2";"0";"2";"2";"4";"1";"2";"5";"5";"0";"1"
;;"21";"van der Hoeff, P.H.";"811";"30";"26";"78";"5";"30";"12";"531";"6";"20";"24";"12";"7";"30"
;;"22";"Deen, M.";"14";"0";"0";"0";"4";"2";"0";"3";"0";"0";"4";"0";"0";"1"
;;"23";"Nijhof-Leeuw, J.M.";"19";"2";"4";"1";"0";"5";"0";"0";"1";"2";"2";"1";"0";"1"
;;"24";"Boon, M.C.H.";"62";"4";"3";"2";"3";"6";"4";"3";"25";"3";"3";"2";"3";"1"
;;"25";"Mooiman, J.";"7";"1";"0";"1";"0";"1";"0";"1";"0";"2";"1";"0";"0";"0"
;;"26";"Ram, D.";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Vlottes, E.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Smitskam, P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"29";"Esser, E.R.F.";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
;;"30";"Boutkan, W.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"31";"van den Born, V.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Crijns, P.P.";"3";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"34";"Vondeling, M.";"30";"2";"2";"0";"0";"2";"0";"8";"6";"0";"2";"7";"1";"0"
;;"35";"Valize, J.J.T.M.";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
;;"36";"Heutink, H.D.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pool, J.";"5";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
;;"38";"Faddegon, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"40";"Rep, R.J.H.H.";"6";"0";"2";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
;;"41";"Thiadens, F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Raijer, A.J.";"6";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0";"0"
;;"43";"van Bijnen, H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Strien, G.A.";"20";"3";"5";"2";"0";"2";"0";"4";"0";"2";"1";"1";"0";"0"
"5";"CDA";;;"10015";"728";"1128";"790";"484";"1236";"496";"1288";"470";"892";"694";"1066";"243";"500"
;;"1";"Bontenbal, H.";"8293";"599";"917";"439";"395";"1074";"415";"1137";"400";"775";"599";"933";"197";"413"
;;"2";"Vedder, E.C.";"351";"25";"33";"19";"15";"47";"24";"30";"17";"30";"28";"64";"4";"15"
;;"3";"Boswijk, D.G.";"50";"4";"3";"2";"2";"3";"2";"9";"5";"3";"6";"8";"0";"3"
;;"4";"van Dijk, I.";"70";"6";"8";"2";"5";"15";"0";"8";"4";"3";"9";"6";"1";"3"
;;"5";"Krul, H.M.";"17";"0";"4";"1";"0";"3";"2";"1";"2";"2";"0";"0";"0";"2"
;;"6";"Palland-Mulder, H.M.";"32";"4";"6";"3";"1";"2";"1";"3";"4";"2";"1";"3";"0";"2"
;;"7";"van den Brink, G.";"11";"2";"5";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0"
;;"8";"Absil, M.G.J.A.C.";"9";"0";"2";"0";"1";"2";"0";"2";"0";"1";"0";"1";"0";"0"
;;"9";"Steen, H.S.";"5";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1"
;;"10";"Kuik, A.";"11";"0";"2";"1";"0";"1";"0";"1";"0";"3";"1";"1";"0";"1"
;;"11";"Spoelstra, J.";"5";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1"
;;"12";"Slootweg, E.J.";"4";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"13";"Chaoui-Nhass, S.";"6";"0";"0";"1";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"8";"0";"1";"0";"0";"1";"1";"2";"2";"0";"0";"0";"0";"1"
;;"15";"Diederen, R.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1"
;;"16";"Hamstra, S.";"5";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0"
;;"17";"Houmes, E.S.";"614";"69";"115";"13";"60";"61";"38";"19";"30";"59";"37";"36";"38";"39"
;;"18";"van den Berg, J.H.C.";"15";"0";"2";"0";"0";"1";"2";"4";"0";"2";"1";"3";"0";"0"
;;"19";"de Haan, J.D.P.";"13";"1";"10";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"20";"Vermeer, J.";"5";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"1";"0";"0"
;;"21";"van der Heide, E.J.";"5";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0"
;;"22";"Goos, J.C.M.";"4";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"23";"Boogaard, P.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
;;"24";"Goudzwaard-Wiersma, W.";"3";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"4";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"4";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"18";"4";"1";"0";"0";"4";"0";"1";"0";"4";"0";"2";"1";"1"
;;"30";"Out, F.M.S.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Tuncer, Y.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"van den Oever, J.A.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"11";"0";"7";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0"
;;"36";"Beers, A.M.A.G.";"4";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"37";"van Luik, D.A.N.";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Bracke, D.G.A.J.";"397";"8";"3";"302";"1";"5";"4";"54";"2";"0";"2";"2";"1";"13"
;;"44";"Joosten, J.P.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"45";"Meppelink, E.M.";"7";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"1"
;;"46";"van Dijk, Q.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"49";"van de Kamp, L.B.";"12";"0";"4";"1";"0";"4";"1";"0";"0";"1";"0";"0";"1";"0"
"6";"SP (Socialistische Partij)";;;"7068";"325";"782";"548";"182";"954";"239";"1053";"363";"311";"1076";"621";"157";"457"
;;"1";"Marijnissen, L.M.C.";"6245";"294";"701";"454";"160";"862";"209";"908";"329";"283";"952";"552";"138";"403"
;;"2";"Beckerman, S.M.";"149";"6";"14";"5";"1";"27";"8";"22";"8";"1";"26";"14";"5";"12"
;;"3";"van Kent, B.";"26";"0";"4";"0";"0";"4";"3";"4";"0";"1";"4";"2";"1";"3"
;;"4";"Dijk, J.P.";"21";"2";"4";"2";"1";"0";"0";"4";"0";"0";"6";"1";"1";"0"
;;"5";"van Nispen, M.";"41";"3";"3";"2";"3";"2";"1";"12";"2";"1";"9";"1";"0";"2"
;;"6";"Dobbe, S.E.M.";"59";"3";"7";"3";"2";"8";"1";"6";"2";"4";"10";"9";"1";"3"
;;"7";"Temmink, N.G.J.";"39";"2";"7";"2";"1";"5";"5";"3";"1";"1";"7";"3";"1";"1"
;;"8";"ten Broeke, M.J.";"9";"0";"4";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1"
;;"9";"van Dijk, J.J.";"23";"0";"3";"2";"2";"1";"0";"5";"3";"1";"2";"4";"0";"0"
;;"10";"Meijer, B.W.V.";"9";"0";"2";"0";"1";"0";"2";"2";"0";"0";"1";"1";"0";"0"
;;"11";"Elfrink, G.E.";"7";"0";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"2"
;;"12";"Wolters Gregório, J.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"13";"Boerwinkel, E.M.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Alberts, R.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"15";"van der Nat, H.F.A.";"4";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0"
;;"16";"Memiş, M.";"5";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2"
;;"17";"van Dijk, D.";"13";"1";"2";"0";"1";"0";"1";"0";"2";"0";"2";"3";"1";"0"
;;"18";"de Ridder, N.";"7";"0";"0";"1";"0";"0";"0";"2";"0";"0";"2";"1";"0";"1"
;;"19";"Yahyaoui, J.";"14";"1";"4";"2";"0";"2";"0";"1";"0";"0";"1";"2";"1";"0"
;;"20";"van Boven, A.W.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"21";"Coppus, T.H.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"4";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0"
;;"25";"van den Hout, S.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Verdaasdonk, I.";"12";"0";"1";"0";"0";"2";"0";"5";"1";"0";"1";"1";"0";"1"
;;"28";"van Rossum, L.";"6";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0";"1"
;;"29";"Rongen, K.S.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Cramer, A.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
;;"32";"van Scheltinga, E.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"33";"van Unen, G.";"202";"7";"13";"62";"8";"8";"3";"49";"5";"2";"19";"8";"2";"16"
;;"34";"Kuin, R.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Boer, M.I.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"40";"Ramesar, J.S.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"ten Heuw, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"3";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"de Vries, E.";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0"
;;"47";"Eikenaar, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"133";"6";"9";"6";"1";"18";"5";"19";"4";"14";"27";"12";"4";"8"
"7";"Forum voor Democratie";;;"5711";"290";"562";"398";"161";"747";"296";"778";"425";"309";"764";"526";"131";"324"
;;"1";"Baudet, T.H.P.";"4055";"197";"375";"283";"107";"514";"217";"565";"319";"210";"566";"386";"82";"234"
;;"2";"Jansen, F.J.H.";"73";"3";"8";"4";"3";"9";"3";"14";"6";"3";"9";"8";"1";"2"
;;"3";"van Meijeren, G.F.C.";"1126";"61";"125";"78";"40";"163";"58";"140";"78";"68";"127";"101";"32";"55"
;;"4";"van Houwelingen, P.";"136";"11";"15";"10";"6";"18";"5";"14";"11";"8";"18";"9";"3";"8"
;;"5";"Dekker, R.J.";"94";"8";"16";"4";"0";"5";"2";"16";"5";"1";"9";"10";"8";"10"
;;"6";"de Vos, L.G.";"41";"3";"5";"4";"1";"10";"0";"5";"2";"2";"3";"5";"0";"1"
;;"7";"Russcher, T.K.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1"
;;"8";"Etalle, M.J.S.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Bakir, A.";"6";"0";"0";"1";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0"
;;"10";"Dessing, J.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
;;"11";"Vastenhouw, J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Al Biyati, I.";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
;;"13";"de Knegt, R.E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"17";"Bos, M.";"39";"1";"3";"1";"0";"9";"2";"8";"1";"7";"4";"2";"0";"1"
;;"18";"Koopman, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Claerhoudt, I.C.F.";"17";"1";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"11"
;;"22";"Werner, A.";"26";"1";"2";"0";"0";"6";"0";"2";"0";"0";"13";"0";"1";"1"
;;"23";"Provoost, K.";"24";"0";"6";"0";"1";"3";"5";"0";"0";"6";"2";"1";"0";"0"
;;"24";"Zandee, D.J.F.";"16";"0";"0";"12";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0"
;;"25";"Visser, N.";"11";"1";"1";"0";"1";"1";"0";"0";"0";"0";"3";"1";"3";"0"
;;"26";"Kegel, E.W.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"de Lange, A.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"4";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0"
;;"35";"Vos, A.V.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Schaap, D.V.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"6";"0";"0";"0";"1";"1";"0";"2";"0";"2";"0";"0";"0";"0"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"48";"Kerseboom, S.";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"49";"Cliteur, P.B.";"4";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"8";"Partij voor de Dieren";;;"4166";"219";"494";"195";"111";"841";"81";"393";"168";"301";"530";"457";"122";"254"
;;"1";"Ouwehand, E.";"3120";"169";"359";"142";"84";"582";"60";"297";"131";"235";"400";"373";"97";"191"
;;"2";"Kostić, I.";"161";"11";"22";"5";"5";"41";"3";"17";"6";"8";"13";"19";"4";"7"
;;"3";"Teunissen, C.";"110";"5";"14";"7";"6";"26";"2";"10";"5";"3";"16";"8";"4";"4"
;;"4";"Wassenberg, F.P.";"39";"2";"8";"4";"1";"3";"3";"3";"1";"2";"4";"2";"3";"3"
;;"5";"Akerboom, E.S.";"92";"3";"14";"4";"4";"16";"2";"11";"4";"14";"8";"7";"0";"5"
;;"6";"van Raan, L.";"16";"0";"0";"2";"2";"4";"0";"0";"0";"0";"5";"1";"1";"1"
;;"7";"van Schaik, M.";"38";"4";"5";"1";"0";"12";"0";"5";"2";"2";"3";"3";"0";"1"
;;"8";"Krijger, A.L.";"77";"2";"12";"0";"1";"23";"3";"4";"7";"4";"12";"6";"2";"1"
;;"9";"Plusquin, P.S.M.L.";"15";"0";"1";"0";"0";"10";"0";"2";"0";"0";"0";"1";"0";"1"
;;"10";"Groenewege, P.J.L.";"18";"2";"1";"0";"0";"7";"0";"2";"0";"3";"1";"1";"0";"1"
;;"11";"van Heuven, M.";"6";"1";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"1"
;;"12";"van Hassel, F.";"6";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
;;"13";"Bunnik, R.J.";"14";"0";"4";"1";"0";"4";"0";"0";"0";"0";"4";"0";"0";"1"
;;"14";"Schmeets, H.H.J.";"8";"0";"0";"0";"0";"2";"0";"1";"0";"1";"2";"0";"0";"2"
;;"15";"Pınar, K.";"5";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"16";"Jones, M.G.";"9";"0";"6";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
;;"17";"Bosma, J.";"5";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0"
;;"18";"Barker, R.N.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"19";"van Wijlandt, K.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Batteau, J.M.";"4";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"21";"Hollebeek, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Dicke, I.M.";"5";"0";"2";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Salemans, B.R.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
