"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Middelburg"
"Nummer";;"HSB16"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Borsele";"Goes";"Hulst";"Kapelle";"Middelburg";"Reimerswaal";"Terneuzen";"Tholen";"Veere";"Vlissingen";"Schouwen-Duiveland";"Noord-Beveland";"Sluis"
;;"33";"de Beer, M.E.E.";"10";"2";"1";"0";"0";"3";"0";"1";"0";"0";"1";"0";"1";"1"
;;"34";"van Strien, P.J.T.";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hartsuiker, R.J.J.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
;;"36";"Klein Lankhorst, H.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"37";"Haverkort, E.A.";"4";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"38";"Simons, C.";"429";"16";"15";"19";"14";"143";"14";"41";"3";"37";"71";"22";"1";"33"
;;"39";"Bijenhof, Y.";"6";"1";"0";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0"
;;"40";"van Groningen, D.A.";"18";"3";"2";"1";"2";"5";"0";"0";"0";"1";"1";"3";"0";"0"
;;"41";"Zeeuw van der Laan, E.M.";"9";"1";"0";"1";"1";"0";"1";"0";"2";"2";"0";"0";"1";"0"
;;"42";"Volkman, Y.";"5";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1"
;;"43";"van Kessel, P.W.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"44";"Rahimi, H.";"10";"4";"0";"0";"0";"2";"0";"0";"0";"1";"2";"1";"0";"0"
;;"45";"Omlo, B.F.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"46";"Yizhak Cooremans, R.A.T.";"5";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"39";"3";"4";"6";"1";"4";"1";"2";"9";"2";"4";"2";"1";"0"
;;"48";"de Wit, B.G.P.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"49";"van Meerten-Kok, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Hoogezand, B.";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"51";"Achterbergh, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"52";"Wendel, H.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"53";"Kohli, N.R.";"4";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"54";"Klerks, I.C.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2"
;;"55";"Dijkema, H.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"5";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1"
;;"57";"van Rijn, D.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"60";"van Veen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"62";"van Os, J.L.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"63";"van der Klauw, R.A.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"64";"Rahmani, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"65";"Bouma, R.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Talens, A.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Bruin, R.N.";"3";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"74";"Rodoe, H.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"76";"de Wolff, I.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"78";"Yildirim, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"79";"Mulder, H.";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0"
;;"80";"van der Weijden, M.";"57";"1";"6";"2";"1";"11";"2";"9";"2";"4";"6";"4";"1";"8"
"2";"D66";;;"9537";"470";"1304";"628";"320";"1704";"196";"1043";"289";"676";"1214";"977";"216";"500"
;;"1";"Jetten, R.A.A.";"7092";"356";"961";"478";"232";"1208";"156";"810";"214";"496";"878";"747";"157";"399"
;;"2";"Paternotte, J.M.";"261";"15";"50";"19";"11";"39";"2";"27";"5";"16";"33";"33";"5";"6"
;;"3";"Vijlbrief, J.A.";"133";"6";"20";"9";"6";"26";"1";"13";"3";"9";"16";"18";"1";"5"
;;"4";"Podt, A.";"702";"33";"91";"38";"24";"159";"16";"60";"23";"56";"80";"67";"15";"40"
;;"5";"Sneller, J.C.";"23";"0";"7";"2";"2";"6";"0";"1";"0";"1";"3";"1";"0";"0"
;;"6";"Rooderkerk, I.";"86";"8";"17";"4";"2";"15";"1";"7";"2";"1";"12";"9";"4";"4"
;;"7";"Paulusma, W.";"65";"3";"11";"2";"2";"10";"4";"8";"4";"1";"10";"9";"0";"1"
;;"8";"van der Werf, J.J.";"71";"6";"19";"1";"6";"16";"0";"2";"3";"6";"4";"4";"3";"1"
;;"9";"Bamenga, P.";"29";"0";"1";"3";"0";"8";"1";"1";"2";"2";"5";"5";"0";"1"
;;"10";"de Groot, T.C.";"35";"1";"2";"4";"0";"3";"0";"1";"0";"4";"6";"7";"3";"4"
;;"11";"Synhaeve, M.";"52";"1";"9";"5";"1";"11";"1";"4";"4";"6";"5";"2";"0";"3"
;;"12";"van Ginneken, L.M.";"89";"4";"11";"6";"6";"19";"2";"10";"3";"4";"13";"8";"2";"1"
;;"13";"Belhaj, S.";"47";"3";"3";"3";"0";"12";"0";"3";"1";"2";"10";"7";"3";"0"
;;"14";"Boulakjar, F.";"16";"0";"2";"0";"0";"4";"0";"1";"1";"1";"2";"4";"0";"1"
;;"15";"Sahla, F.";"12";"0";"1";"1";"1";"1";"1";"0";"1";"1";"2";"2";"0";"1"
;;"16";"Klos, F.C.O.";"8";"0";"0";"5";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0"
;;"17";"Kat, H.";"13";"0";"1";"0";"0";"2";"0";"6";"0";"1";"3";"0";"0";"0"
;;"18";"Warmerdam, S.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Alberg, S.T.";"14";"1";"2";"1";"0";"4";"0";"0";"0";"1";"2";"0";"1";"2"
;;"20";"Hammelburg, A.R.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"21";"Hollander, J.";"13";"0";"3";"1";"0";"4";"0";"1";"1";"0";"2";"1";"0";"0"
;;"22";"ten Dolle, L.";"20";"2";"3";"0";"1";"5";"0";"1";"2";"0";"2";"0";"1";"3"
;;"23";"Blommers, D.";"8";"0";"4";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
;;"24";"van Breugel, C.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0"
;;"25";"Teunissen, J.C.M.";"11";"0";"2";"0";"0";"1";"0";"2";"1";"0";"3";"1";"1";"0"
;;"26";"Çimen, M.";"5";"0";"0";"1";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0"
;;"27";"Oualhadj, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"Putuhena, M.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"29";"Keij, E.J.";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1"
;;"30";"Brink, V.J.";"6";"1";"2";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
;;"31";"van Dorst, P.A.";"5";"0";"1";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"32";"Wijnja, G.H.";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"de Vries, M.M.";"4";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"34";"Schoonbeek, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Mathlouti, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Koops, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Hagen, K.B.";"13";"0";"4";"0";"2";"3";"0";"1";"1";"0";"1";"1";"0";"0"
;;"39";"Hiemstra, G.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"244";"9";"32";"12";"12";"50";"6";"24";"5";"33";"32";"11";"8";"10"
;;"41";"Tjeerdema, H.";"5";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"42";"Woudstra, E.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0"
;;"43";"Olsthoorn, A.";"4";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0"
;;"44";"van Peski, C.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"45";"van Hattum, B.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"16";"0";"0";"1";"0";"8";"0";"1";"0";"3";"3";"0";"0";"0"
;;"47";"van Driel, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"49";"van der Gaag, P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"52";"van de Vijver, V.F.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4";"0";"0"
;;"53";"Vemer, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"75";"3";"3";"5";"3";"31";"1";"7";"3";"3";"5";"3";"2";"6"
;;"55";"André, E.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Wesseling, A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"57";"Maessen, R.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"138";"6";"13";"8";"5";"13";"1";"23";"2";"7";"45";"7";"4";"4"
;;"59";"Pi Van de Venne, P.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"63";"Chaban, S.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"64";"Louhenapessij, A.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"66";"van Essen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"72";"Weerwind, F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"4";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"74";"Kuipers, E.J.";"11";"1";"2";"0";"0";"2";"0";"1";"1";"0";"2";"1";"0";"1"
;;"75";"Ollongren, K.H.";"13";"1";"0";"2";"0";"3";"0";"3";"0";"0";"3";"1";"0";"0"
;;"76";"Dijkgraaf, R.H.";"37";"3";"2";"6";"0";"5";"0";"5";"1";"3";"2";"4";"4";"2"
;;"77";"Uslu, G.";"5";"0";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
;;"78";"Pechtold, A.";"11";"1";"2";"0";"0";"3";"0";"2";"0";"0";"1";"2";"0";"0"
;;"79";"Terlouw, J.C.";"16";"1";"3";"1";"0";"2";"0";"0";"0";"3";"2";"2";"0";"2"
;;"80";"Kaag, S.A.M.";"75";"3";"10";"7";"3";"15";"1";"6";"2";"9";"7";"9";"1";"2"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"25606";"1286";"3170";"1502";"729";"5402";"596";"2794";"872";"1735";"3329";"2287";"540";"1364"
;;"1";"Timmermans, F.C.G.M.";"12331";"580";"1482";"799";"340";"2100";"314";"1486";"547";"816";"1635";"1236";"281";"715"
;;"2";"Lahlah, A.";"2043";"88";"290";"82";"66";"474";"30";"180";"69";"128";"263";"206";"48";"119"
;;"3";"Klaver, J.F.";"2071";"118";"302";"136";"52";"390";"43";"235";"75";"131";"278";"181";"44";"86"
;;"4";"Piri, K.P.";"293";"9";"28";"14";"12";"74";"9";"35";"8";"28";"33";"25";"4";"14"
;;"5";"Westerveld, E.M.";"988";"39";"150";"63";"34";"202";"33";"88";"38";"49";"112";"97";"25";"58"
;;"6";"Patijn, M.H.";"64";"5";"6";"2";"0";"14";"0";"10";"4";"4";"9";"5";"1";"4"
;;"7";"Kröger, S.C.";"109";"4";"13";"5";"4";"25";"5";"7";"6";"3";"18";"14";"1";"4"
;;"8";"Bushoff, T.J.";"18";"1";"2";"1";"1";"3";"0";"2";"0";"2";"2";"2";"1";"1"
;;"9";"van der Lee, T.M.T.";"17";"0";"0";"2";"1";"4";"0";"0";"0";"1";"4";"3";"2";"0"
;;"10";"Mutluer, S.";"28";"1";"5";"0";"0";"10";"1";"4";"2";"0";"4";"1";"0";"0"
;;"11";"Bromet, L.";"129";"11";"19";"5";"1";"28";"7";"11";"1";"12";"13";"13";"4";"4"
;;"12";"de Hoop, H.E.";"48";"0";"8";"2";"1";"8";"0";"5";"2";"4";"5";"9";"1";"3"
;;"13";"Maatoug, S.";"34";"2";"7";"0";"0";"6";"2";"5";"2";"1";"5";"3";"0";"1"
;;"14";"Mohandis, M.";"31";"3";"6";"0";"0";"5";"0";"3";"0";"2";"9";"2";"0";"1"
;;"15";"Gabriëls, G.J.W.";"12";"0";"1";"0";"2";"1";"1";"0";"0";"2";"2";"1";"0";"2"
;;"16";"Thijssen, J.";"31";"1";"3";"0";"0";"5";"5";"4";"0";"3";"8";"1";"1";"0"
;;"17";"Bouchallikh, K.";"47";"2";"5";"1";"1";"9";"1";"5";"0";"5";"10";"6";"2";"0"
;;"18";"Kathmann, B.C.";"50";"3";"3";"1";"2";"13";"0";"3";"0";"0";"4";"16";"1";"4"
;;"19";"Slagt-Tichelman, E.";"20";"0";"1";"1";"0";"3";"2";"2";"1";"1";"7";"2";"0";"0"
;;"20";"Tseggai, M.";"37";"4";"3";"2";"2";"5";"4";"3";"2";"1";"4";"7";"0";"0"
;;"21";"White, R.J.";"9";"0";"0";"0";"1";"3";"0";"0";"1";"0";"4";"0";"0";"0"
