"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"36";"Ruttenberg, W.C.J.";"6";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
;;"37";"Koops, J.H.";"7";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"38";"Hagen, K.B.";"72";"15";"4";"5";"3";"0";"7";"0";"2";"0";"4";"0";"0";"6";"3";"1";"4";"5";"1";"0";"3";"0";"4";"3";"2"
;;"39";"Hiemstra, G.J.";"9";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"40";"Keijmel - den Boer, J.M.I.";"15";"2";"1";"1";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0"
;;"41";"Tjeerdema, H.";"12";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"3";"0";"0";"0";"0";"0";"3";"0"
;;"42";"Woudstra, E.";"10";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"1";"0";"0";"0";"1";"0"
;;"43";"Olsthoorn, A.";"6";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1"
;;"44";"van Peski, C.J.";"4";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"46";"Dekker-Abdulaziz, H.";"18";"6";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4"
;;"47";"van Driel, M.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"10";"2";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
;;"49";"van der Gaag, P.J.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"51";"Hoevers, J.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1"
;;"52";"van de Vijver, V.F.";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1"
;;"53";"Vemer, P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"56";"Wesseling, A.";"7";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"57";"Maessen, R.J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"59";"Pi Van de Venne, P.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1"
;;"61";"Janssen, S.L.J.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"13";"0";"0";"1";"0";"0";"1";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"2"
;;"63";"Chaban, S.";"132";"17";"1";"2";"2";"5";"1";"0";"44";"0";"15";"0";"2";"1";"2";"0";"1";"2";"11";"2";"0";"0";"7";"8";"9"
;;"64";"Louhenapessij, A.F.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"29";"3";"0";"2";"1";"2";"0";"0";"1";"0";"3";"0";"1";"0";"1";"0";"0";"6";"1";"1";"1";"0";"1";"1";"4"
;;"66";"van Essen, J.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"6";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"68";"Türkkol, N.";"18";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"0";"0";"9";"0";"0";"0";"0";"1";"0";"0"
;;"69";"van der Voort, P.H.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"6";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"72";"Weerwind, F.M.";"12";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0"
;;"73";"van Huffelen, A.C.";"18";"3";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"3";"1";"0";"1";"3";"0";"0";"0";"2";"0";"1";"0"
;;"74";"Kuipers, E.J.";"33";"5";"0";"4";"0";"1";"0";"4";"5";"1";"1";"1";"0";"1";"0";"2";"2";"2";"1";"0";"1";"0";"0";"1";"1"
;;"75";"Ollongren, K.H.";"37";"2";"0";"1";"1";"2";"0";"2";"4";"2";"0";"0";"0";"6";"3";"0";"1";"5";"0";"1";"0";"0";"1";"1";"5"
;;"76";"Dijkgraaf, R.H.";"179";"26";"11";"11";"3";"3";"5";"9";"19";"2";"6";"2";"1";"13";"16";"3";"1";"18";"3";"3";"2";"0";"4";"5";"13"
;;"77";"Uslu, G.";"41";"5";"3";"4";"0";"1";"1";"0";"4";"1";"2";"0";"0";"4";"0";"2";"1";"6";"1";"1";"2";"0";"1";"1";"1"
;;"78";"Pechtold, A.";"65";"10";"3";"6";"1";"1";"2";"4";"1";"1";"4";"1";"0";"4";"2";"2";"2";"8";"1";"0";"0";"0";"2";"3";"7"
;;"79";"Terlouw, J.C.";"61";"6";"5";"6";"4";"2";"3";"2";"1";"1";"5";"0";"0";"1";"1";"0";"2";"8";"2";"3";"2";"1";"0";"0";"6"
;;"80";"Kaag, S.A.M.";"275";"35";"20";"18";"10";"5";"11";"5";"13";"5";"10";"5";"0";"32";"11";"2";"5";"33";"6";"3";"4";"9";"3";"10";"20"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"91076";"13217";"3655";"4939";"2082";"1605";"3394";"2924";"7081";"1414";"2737";"914";"716";"7233";"3814";"1747";"1320";"14829";"1386";"1266";"2315";"1704";"1472";"2752";"6560"
;;"1";"Timmermans, F.C.G.M.";"45713";"5974";"1984";"2441";"1086";"884";"1786";"1748";"3542";"646";"1555";"452";"388";"3654";"2132";"901";"674";"6744";"736";"724";"1029";"862";"767";"1554";"3450"
;;"2";"Lahlah, A.";"10163";"1677";"452";"644";"243";"187";"409";"262";"890";"185";"277";"80";"89";"763";"396";"222";"146";"1419";"144";"129";"252";"194";"141";"284";"678"
;;"3";"Klaver, J.F.";"9731";"1488";"391";"494";"204";"194";"380";"328";"779";"129";"329";"88";"84";"756";"466";"188";"153";"1326";"169";"148";"158";"179";"169";"309";"822"
;;"4";"Piri, K.P.";"2156";"359";"110";"112";"47";"24";"88";"64";"176";"33";"55";"12";"13";"158";"102";"57";"24";"317";"27";"19";"68";"31";"25";"84";"151"
;;"5";"Westerveld, E.M.";"5897";"922";"196";"395";"119";"103";"231";"172";"520";"103";"168";"68";"65";"412";"239";"126";"112";"819";"104";"82";"108";"83";"128";"151";"471"
;;"6";"Patijn, M.H.";"681";"117";"31";"38";"9";"9";"31";"27";"50";"8";"18";"3";"3";"47";"30";"11";"12";"100";"10";"6";"20";"8";"7";"21";"65"
;;"7";"Kröger, S.C.";"1657";"241";"58";"123";"30";"26";"65";"38";"153";"46";"39";"35";"9";"131";"48";"27";"32";"265";"17";"20";"50";"45";"27";"36";"96"
;;"8";"Bushoff, T.J.";"127";"12";"2";"3";"3";"5";"7";"5";"14";"0";"2";"0";"1";"4";"2";"5";"2";"21";"3";"0";"0";"2";"3";"18";"13"
;;"9";"van der Lee, T.M.T.";"222";"30";"7";"29";"5";"4";"6";"5";"24";"2";"4";"3";"4";"23";"7";"4";"1";"29";"4";"1";"5";"3";"5";"2";"15"
;;"10";"Mutluer, S.";"2470";"104";"21";"61";"11";"10";"21";"18";"70";"14";"19";"56";"1";"87";"18";"5";"17";"1721";"6";"12";"20";"109";"8";"9";"52"
;;"11";"Bromet, L.";"2871";"356";"119";"117";"154";"55";"79";"46";"209";"60";"76";"19";"17";"347";"96";"49";"23";"269";"42";"33";"375";"39";"81";"75";"135"
;;"12";"de Hoop, H.E.";"406";"55";"12";"17";"9";"5";"10";"24";"29";"5";"15";"2";"3";"35";"13";"23";"5";"48";"5";"0";"9";"4";"12";"18";"48"
;;"13";"Maatoug, S.";"289";"60";"14";"17";"6";"3";"9";"5";"30";"7";"5";"4";"2";"21";"10";"6";"3";"32";"6";"6";"11";"2";"1";"5";"24"
;;"14";"Mohandis, M.";"88";"15";"0";"3";"2";"2";"1";"1";"8";"0";"4";"0";"0";"13";"2";"1";"1";"22";"1";"5";"1";"1";"1";"0";"4"
;;"15";"Gabriëls, G.J.W.";"72";"11";"2";"5";"1";"3";"4";"9";"6";"1";"1";"0";"1";"6";"1";"4";"0";"4";"1";"1";"1";"1";"2";"3";"4"
;;"16";"Thijssen, J.";"83";"11";"7";"5";"1";"1";"2";"6";"8";"1";"1";"0";"0";"8";"4";"2";"1";"12";"1";"1";"2";"1";"0";"4";"4"
;;"17";"Bouchallikh, K.";"503";"70";"22";"33";"11";"3";"10";"5";"46";"11";"9";"5";"2";"52";"16";"7";"3";"122";"4";"1";"13";"11";"4";"13";"30"
;;"18";"Kathmann, B.C.";"155";"22";"16";"14";"2";"0";"3";"4";"7";"5";"1";"3";"1";"8";"7";"2";"0";"30";"4";"3";"0";"4";"2";"4";"13"
;;"19";"Slagt-Tichelman, E.";"182";"28";"7";"11";"1";"2";"12";"4";"14";"3";"5";"4";"1";"16";"8";"9";"3";"23";"3";"2";"3";"1";"2";"6";"14"
;;"20";"Tseggai, M.";"256";"37";"6";"14";"4";"0";"3";"8";"21";"6";"6";"0";"0";"34";"6";"0";"9";"44";"8";"3";"8";"1";"6";"13";"19"
;;"21";"White, R.J.";"403";"18";"2";"7";"8";"1";"6";"5";"23";"7";"14";"3";"1";"204";"3";"2";"2";"63";"9";"3";"4";"9";"2";"3";"4"
;;"22";"Pijpelink, A.";"233";"38";"2";"12";"9";"4";"6";"5";"24";"4";"9";"4";"1";"21";"9";"3";"4";"29";"6";"1";"4";"5";"2";"3";"28"
;;"23";"Chakor, G.";"388";"79";"12";"17";"6";"7";"17";"5";"45";"7";"7";"3";"1";"26";"7";"5";"3";"75";"12";"1";"14";"7";"4";"4";"24"
;;"24";"Nordkamp, J.";"38";"2";"1";"0";"1";"2";"1";"1";"7";"0";"0";"0";"0";"1";"2";"3";"0";"8";"1";"2";"0";"0";"1";"2";"3"
;;"25";"Stultiens, L.C.J.";"59";"8";"4";"6";"0";"0";"2";"1";"5";"2";"2";"2";"0";"1";"0";"0";"3";"7";"1";"2";"1";"2";"1";"3";"6"
;;"26";"Haage, M.W.";"429";"93";"13";"31";"6";"5";"14";"15";"38";"10";"15";"0";"2";"28";"10";"9";"14";"53";"6";"7";"12";"8";"7";"10";"23"
;;"27";"Hirsch, D.H.";"978";"158";"32";"86";"33";"15";"37";"16";"67";"21";"15";"12";"2";"87";"35";"15";"21";"166";"8";"13";"39";"10";"10";"33";"47"
;;"28";"de Jong, H.A.";"62";"7";"1";"4";"3";"0";"2";"1";"9";"2";"1";"1";"0";"5";"2";"2";"2";"11";"0";"0";"1";"2";"1";"1";"4"
;;"29";"Postma, J.P.";"29";"3";"1";"1";"1";"1";"0";"0";"7";"1";"0";"0";"0";"1";"2";"0";"0";"3";"0";"2";"0";"0";"0";"1";"5"
;;"30";"Oosting, I.";"255";"44";"7";"19";"3";"9";"11";"8";"9";"4";"13";"3";"1";"15";"7";"5";"5";"43";"4";"1";"7";"0";"5";"11";"21"
;;"31";"de Boer, M.M.";"212";"39";"11";"18";"4";"3";"8";"5";"13";"2";"4";"5";"0";"22";"5";"4";"1";"33";"5";"3";"5";"5";"4";"3";"10"
;;"32";"Daenen, J.W.B.";"21";"5";"1";"1";"0";"1";"4";"0";"4";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Ranshuijsen, A.B.";"237";"39";"3";"9";"10";"3";"8";"8";"24";"7";"4";"4";"2";"26";"10";"3";"1";"31";"1";"3";"4";"3";"5";"10";"19"
;;"34";"Köseoglu, E.";"905";"90";"3";"15";"14";"6";"8";"1";"24";"3";"8";"10";"0";"33";"7";"2";"8";"592";"0";"4";"6";"36";"1";"2";"32"
;;"35";"van Roemburg, E.T.W.";"93";"13";"8";"4";"0";"0";"4";"3";"11";"2";"4";"1";"1";"1";"5";"4";"1";"13";"0";"0";"1";"2";"5";"1";"9"
;;"36";"Nessar, A.";"29";"3";"0";"0";"1";"2";"1";"1";"2";"1";"0";"0";"0";"4";"1";"2";"0";"6";"0";"0";"0";"1";"0";"1";"3"
;;"37";"Muns, L.";"58";"15";"1";"4";"2";"2";"2";"1";"1";"0";"3";"0";"0";"4";"1";"1";"2";"13";"2";"0";"0";"0";"2";"0";"2"
;;"38";"Vrolijks, I.L.";"255";"49";"7";"15";"2";"5";"10";"5";"29";"4";"4";"2";"5";"14";"7";"6";"7";"35";"5";"2";"5";"1";"2";"6";"28"
;;"39";"Smits, P.L.";"22";"3";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"1";"6";"0";"0";"1";"2";"0";"0";"1"
;;"40";"Nabih, M.";"913";"653";"18";"15";"2";"3";"21";"17";"11";"2";"5";"1";"4";"6";"34";"2";"1";"13";"5";"2";"0";"0";"3";"9";"86"
;;"41";"Rietveld, M.D.";"9";"2";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Torunoglu, Y.";"27";"15";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0";"1"
;;"43";"de Bruijn, E.";"127";"28";"4";"4";"0";"0";"5";"3";"14";"2";"1";"1";"0";"6";"6";"3";"2";"22";"6";"1";"0";"5";"0";"3";"11"
;;"44";"Bosman, E.M.";"40";"4";"1";"1";"0";"0";"1";"10";"2";"2";"1";"0";"0";"4";"2";"1";"1";"2";"0";"1";"2";"0";"0";"1";"4"
;;"45";"Kuipers, C.M.";"37";"5";"0";"1";"0";"2";"4";"2";"3";"0";"2";"0";"0";"3";"2";"1";"0";"2";"1";"0";"0";"0";"0";"4";"5"
;;"46";"van Schalkwijk, M.W.";"48";"5";"3";"3";"0";"1";"0";"2";"5";"0";"2";"1";"1";"2";"4";"4";"0";"7";"2";"0";"2";"0";"0";"3";"1"
;;"47";"van der Steenhoven, G.P.G.";"8";"4";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Tselms, R.V.";"30";"3";"1";"2";"1";"0";"1";"0";"3";"5";"0";"1";"0";"3";"0";"0";"0";"4";"0";"0";"1";"1";"0";"2";"2"
;;"49";"Gankema, P.";"59";"16";"1";"6";"0";"1";"2";"1";"2";"2";"1";"0";"0";"2";"1";"2";"3";"13";"1";"1";"0";"0";"1";"0";"3"
;;"50";"Moorman, M.";"1350";"187";"60";"81";"27";"11";"62";"27";"97";"59";"30";"25";"11";"133";"48";"17";"16";"204";"16";"21";"73";"24";"25";"27";"69"
"4";"PVV (Partij voor de Vrijheid)";;;"161596";"13867";"4269";"4611";"10792";"2800";"2716";"10555";"10002";"1869";"7457";"1949";"1986";"17759";"7372";"2103";"2092";"21434";"3175";"4106";"2509";"2643";"3670";"8614";"13246"
;;"1";"Wilders, G.";"145725";"12269";"3848";"4069";"10042";"2545";"2392";"9537";"8953";"1688";"6822";"1773";"1783";"16235";"6673";"1836";"1847";"19268";"2857";"3708";"2273";"2359";"3313";"7797";"11838"
;;"2";"Agema, M.";"9264";"948";"235";"328";"394";"152";"183";"547";"630";"94";"377";"109";"129";"905";"415";"155";"145";"1200";"186";"254";"143";"184";"238";"483";"830"
;;"3";"van Meetelen, R.F.";"437";"54";"10";"13";"8";"9";"7";"24";"29";"4";"20";"9";"5";"43";"18";"5";"5";"59";"8";"14";"6";"8";"5";"25";"49"
;;"4";"Markuszower, G.";"194";"10";"2";"10";"6";"3";"3";"8";"19";"6";"7";"3";"4";"23";"7";"3";"1";"25";"3";"18";"6";"1";"6";"5";"15"
;;"5";"Bosma, M.";"3739";"375";"137";"129";"301";"56";"98";"208";"265";"64";"152";"34";"32";"358";"145";"61";"50";"468";"80";"63";"69";"57";"61";"180";"296"
;;"6";"Claassen, R.A.B.";"48";"8";"2";"3";"0";"1";"0";"4";"5";"1";"2";"0";"0";"3";"3";"0";"1";"7";"1";"1";"0";"0";"0";"1";"5"
;;"7";"Faber, M.H.M.";"329";"47";"9";"16";"11";"6";"5";"20";"20";"3";"10";"4";"5";"30";"14";"8";"10";"34";"3";"7";"2";"5";"7";"13";"40"
;;"8";"Mulder, E.";"58";"5";"0";"1";"0";"1";"2";"3";"3";"1";"2";"1";"0";"9";"1";"4";"1";"6";"1";"2";"0";"1";"1";"5";"8"
;;"9";"Maeijer, V.";"157";"17";"2";"7";"5";"2";"2";"3";"13";"0";"5";"1";"0";"12";"6";"5";"4";"21";"4";"3";"3";"5";"6";"7";"24"
;;"10";"van Dijck, A.P.C.";"21";"1";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"1";"0";"1";"3";"3";"1";"2";"0";"2";"0";"1";"1"
;;"11";"Kops, A.";"26";"3";"1";"0";"2";"0";"1";"1";"2";"0";"1";"0";"0";"2";"4";"0";"1";"1";"0";"2";"0";"1";"0";"2";"2"
;;"12";"Madlener, B.";"31";"2";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"6";"4";"0";"0";"5";"1";"0";"1";"1";"1";"5";"1"
;;"13";"de Jong, L.W.E.";"78";"4";"1";"2";"2";"3";"2";"2";"2";"1";"3";"0";"2";"18";"2";"2";"0";"23";"1";"0";"0";"1";"2";"2";"3"
;;"14";"Graus, D.J.G.";"63";"10";"0";"2";"0";"1";"3";"6";"1";"0";"5";"0";"0";"4";"5";"4";"3";"5";"1";"1";"0";"1";"3";"3";"5"
;;"15";"Blaauw, R.B.";"29";"2";"0";"0";"0";"0";"2";"1";"4";"1";"0";"0";"4";"1";"3";"0";"1";"0";"1";"0";"0";"0";"3";"3";"3"
;;"16";"de Roon, R.";"12";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"2"
;;"17";"van Dijk, E.";"26";"2";"0";"0";"1";"1";"1";"2";"3";"0";"2";"2";"0";"1";"1";"1";"1";"4";"0";"2";"0";"0";"0";"0";"2"
;;"18";"de Vree, J.H.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1"
;;"19";"Aardema, M.";"32";"1";"0";"0";"2";"2";"0";"2";"6";"0";"2";"1";"1";"2";"4";"0";"0";"1";"0";"1";"0";"0";"0";"3";"4"
;;"20";"van der Velde, M.K.";"148";"16";"5";"5";"2";"3";"4";"9";"8";"0";"9";"1";"3";"12";"4";"1";"5";"13";"5";"7";"2";"6";"1";"7";"20"
;;"21";"van der Hoeff, P.H.";"15";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"2";"0";"2";"0";"2";"0";"0";"0";"0";"1";"3";"0"
;;"22";"Deen, M.";"59";"9";"2";"2";"0";"1";"2";"1";"3";"1";"3";"1";"0";"7";"3";"1";"1";"7";"1";"1";"0";"1";"3";"2";"7"
;;"23";"Nijhof-Leeuw, J.M.";"58";"9";"0";"3";"5";"5";"1";"3";"4";"0";"2";"0";"0";"5";"2";"1";"1";"2";"1";"2";"0";"1";"0";"2";"9"
;;"24";"Boon, M.C.H.";"17";"1";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"1";"1";"0";"0";"4";"4";"0";"0";"0";"0";"1";"1"
;;"25";"Mooiman, J.";"36";"2";"0";"2";"0";"0";"0";"1";"0";"0";"4";"0";"1";"8";"2";"1";"1";"4";"1";"0";"0";"0";"1";"4";"4"
;;"26";"Ram, D.";"21";"2";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"3";"1";"0";"1";"2";"1";"0";"0";"0";"1";"3";"2"
;;"27";"Vlottes, E.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
;;"28";"Smitskam, P.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1"
;;"29";"Esser, E.R.F.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Boutkan, W.";"11";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1"
;;"31";"van den Born, V.H.";"308";"22";"0";"4";"1";"1";"1";"151";"2";"0";"6";"0";"4";"4";"30";"3";"1";"4";"1";"2";"0";"0";"3";"39";"29"
;;"32";"Crijns, P.P.";"11";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"2";"1";"0";"0";"0";"1";"0";"2";"0"
;;"33";"van Haasen, J.P.";"325";"16";"4";"3";"2";"2";"1";"2";"4";"1";"7";"4";"3";"18";"2";"0";"2";"221";"5";"6";"2";"6";"5";"1";"8"
;;"34";"Vondeling, M.";"71";"8";"5";"2";"1";"2";"0";"0";"8";"3";"2";"1";"3";"9";"4";"4";"2";"7";"0";"1";"0";"1";"2";"2";"4"
;;"35";"Valize, J.J.T.M.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1"
;;"36";"Heutink, H.D.";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1"
;;"37";"Pool, J.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"38";"Faddegon, C.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"39";"Uppelschoten, N.A.";"12";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"1";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2"
;;"40";"Rep, R.J.H.H.";"26";"3";"0";"2";"2";"0";"0";"0";"0";"0";"2";"0";"0";"5";"1";"0";"1";"2";"5";"0";"0";"0";"1";"1";"1"
;;"41";"Thiadens, F.M.";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Raijer, A.J.";"89";"8";"2";"3";"3";"0";"1";"7";"4";"1";"3";"0";"2";"13";"2";"2";"1";"13";"0";"4";"1";"1";"2";"4";"12"
;;"43";"van Bijnen, H.M.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"44";"van Hattem, A.W.J.A.";"9";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"2"
;;"45";"van Strien, G.A.";"62";"9";"1";"2";"0";"0";"2";"3";"2";"0";"3";"1";"0";"6";"7";"0";"0";"9";"3";"3";"0";"0";"0";"2";"9"
"5";"CDA";;;"18301";"1601";"641";"903";"555";"305";"620";"1357";"1068";"118";"1312";"113";"361";"954";"1166";"333";"260";"1496";"557";"492";"391";"290";"725";"1102";"1581"
;;"1";"Bontenbal, H.";"14725";"1330";"563";"799";"511";"267";"549";"500";"875";"105";"1112";"100";"299";"817";"841";"256";"214";"1312";"472";"400";"359";"257";"645";"818";"1324"
;;"2";"Vedder, E.C.";"969";"90";"30";"52";"20";"24";"34";"14";"63";"8";"77";"6";"25";"71";"39";"32";"18";"82";"35";"34";"18";"14";"39";"54";"90"
;;"3";"Boswijk, D.G.";"119";"11";"5";"8";"2";"0";"9";"6";"11";"0";"6";"0";"3";"9";"8";"3";"1";"13";"2";"1";"3";"1";"4";"5";"8"
