"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"20";"Martens-America, C.";"194";"7";"23";"3";"3";"7";"5";"19";"33";"6";"12";"16";"7";"6";"3";"8";"7";"1";"4";"24"
;;"21";"Meulenkamp, W.J.H.";"18";"1";"4";"0";"0";"0";"1";"1";"4";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"2"
;;"22";"de Groot, P.C.";"115";"6";"15";"4";"1";"5";"2";"11";"16";"6";"6";"6";"5";"4";"2";"0";"4";"1";"3";"18"
;;"23";"Kisteman, A.";"53";"0";"1";"0";"2";"1";"0";"7";"3";"5";"1";"25";"3";"1";"0";"0";"1";"1";"0";"2"
;;"24";"de Kort, A.H.J.";"36";"1";"4";"0";"0";"5";"1";"5";"6";"1";"0";"0";"1";"1";"1";"4";"2";"1";"0";"3"
;;"25";"van den Hil, J.";"105";"7";"6";"0";"1";"5";"2";"20";"13";"4";"2";"8";"1";"3";"3";"5";"9";"1";"3";"12"
;;"26";"Valstar, P.J.";"53";"11";"6";"1";"1";"1";"0";"9";"6";"1";"1";"2";"3";"1";"0";"6";"1";"0";"3";"0"
;;"27";"Bevers, H.";"30";"2";"3";"3";"0";"1";"0";"3";"5";"2";"1";"1";"3";"0";"0";"0";"4";"0";"0";"2"
;;"28";"Buijsse, M.R.G.";"20";"0";"3";"1";"1";"1";"0";"2";"4";"1";"2";"3";"1";"0";"0";"0";"0";"0";"1";"0"
;;"29";"Dral, R.M.";"222";"2";"22";"6";"4";"9";"6";"36";"19";"14";"9";"22";"5";"2";"7";"12";"15";"4";"9";"19"
;;"30";"Bikkers, B.T.";"32";"1";"2";"1";"0";"0";"1";"5";"3";"1";"2";"6";"2";"1";"1";"0";"1";"0";"0";"5"
;;"31";"Verkuijlen, R.";"234";"4";"0";"2";"4";"0";"0";"3";"2";"2";"1";"160";"12";"8";"0";"1";"0";"2";"20";"13"
;;"32";"Richardson, S.M.";"203";"5";"19";"3";"4";"6";"3";"23";"89";"6";"6";"15";"7";"3";"0";"4";"6";"1";"1";"2"
;;"33";"de Beer, M.E.E.";"51";"1";"5";"2";"0";"0";"0";"14";"10";"3";"3";"1";"3";"1";"0";"0";"2";"2";"0";"4"
;;"34";"van Strien, P.J.T.";"402";"2";"9";"4";"3";"34";"2";"205";"34";"12";"37";"8";"1";"0";"0";"4";"34";"6";"0";"7"
