"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"57";"Maessen, R.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"59";"Pi Van de Venne, P.R.";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"60";"Jenneskens, M.T.P.";"9";"0";"2";"0";"1";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"61";"Janssen, S.L.J.";"14";"0";"2";"0";"0";"2";"2";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"4"
;;"62";"de Vries, L.";"18";"2";"1";"1";"0";"0";"0";"4";"2";"1";"0";"1";"0";"0";"0";"1";"4";"0";"0";"1"
;;"63";"Chaban, S.";"8";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1"
;;"64";"Louhenapessij, A.F.";"43";"3";"28";"0";"1";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"6";"0";"0";"0";"1"
;;"65";"Nooitmeer, L.I.";"33";"2";"3";"1";"0";"0";"3";"3";"8";"1";"1";"5";"0";"0";"0";"0";"0";"0";"2";"4"
;;"66";"van Essen, J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"67";"Nunnely, J.M.";"6";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"15";"2";"4";"1";"0";"0";"0";"2";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"69";"van der Voort, P.H.J.";"7";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"6";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1"
;;"71";"Gräper-van Koolwijk, F.Q.";"10";"1";"0";"0";"0";"0";"0";"2";"4";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
;;"72";"Weerwind, F.M.";"33";"0";"1";"1";"1";"3";"0";"7";"9";"2";"0";"0";"1";"0";"0";"1";"7";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"22";"2";"2";"0";"0";"1";"1";"4";"1";"2";"1";"2";"1";"0";"0";"0";"3";"0";"1";"1"
;;"74";"Kuipers, E.J.";"60";"0";"3";"1";"0";"4";"1";"11";"18";"2";"1";"4";"1";"1";"1";"0";"2";"0";"3";"7"
;;"75";"Ollongren, K.H.";"63";"0";"9";"0";"0";"2";"0";"11";"10";"0";"5";"4";"3";"2";"2";"2";"3";"1";"3";"6"
;;"76";"Dijkgraaf, R.H.";"293";"10";"27";"3";"3";"16";"6";"65";"31";"10";"15";"22";"16";"4";"6";"8";"14";"3";"9";"25"
;;"77";"Uslu, G.";"78";"1";"11";"2";"2";"4";"3";"17";"7";"2";"4";"8";"1";"2";"3";"1";"1";"2";"1";"6"
;;"78";"Pechtold, A.";"76";"3";"5";"0";"0";"3";"5";"16";"9";"2";"1";"15";"1";"0";"2";"1";"5";"2";"0";"6"
;;"79";"Terlouw, J.C.";"94";"4";"11";"2";"2";"5";"3";"15";"16";"0";"3";"9";"3";"0";"0";"7";"6";"0";"1";"7"
;;"80";"Kaag, S.A.M.";"402";"12";"30";"9";"4";"36";"6";"75";"28";"12";"32";"49";"9";"4";"8";"8";"19";"3";"8";"50"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"98975";"1866";"9377";"3069";"795";"2739";"4141";"25123";"10878";"3236";"3313";"11038";"3157";"717";"1894";"2320";"5665";"1170";"1939";"6538"
;;"1";"Timmermans, F.C.G.M.";"45357";"948";"4367";"1538";"427";"1322";"1668";"10322";"5199";"1628";"1585";"4801";"1642";"425";"815";"1174";"2823";"643";"998";"3032"
;;"2";"Lahlah, A.";"12834";"212";"1138";"345";"84";"397";"552";"3825";"1371";"345";"444";"1350";"352";"86";"266";"246";"662";"125";"192";"842"
;;"3";"Klaver, J.F.";"10240";"204";"887";"394";"80";"269";"343";"2380";"1291";"405";"370";"1113";"364";"51";"170";"270";"687";"113";"225";"624"
;;"4";"Piri, K.P.";"2702";"51";"248";"74";"28";"94";"94";"768";"276";"75";"101";"273";"72";"23";"46";"58";"148";"32";"55";"186"
;;"5";"Westerveld, E.M.";"7352";"131";"628";"216";"45";"158";"273";"2166";"741";"246";"229";"852";"199";"34";"137";"180";"442";"79";"125";"471"
;;"6";"Patijn, M.H.";"2280";"22";"100";"25";"41";"28";"38";"214";"109";"39";"26";"986";"143";"24";"20";"21";"56";"12";"104";"272"
;;"7";"Kröger, S.C.";"2740";"54";"318";"62";"14";"68";"221";"807";"328";"65";"81";"163";"47";"11";"93";"74";"151";"24";"27";"132"
;;"8";"Bushoff, T.J.";"130";"3";"11";"2";"0";"7";"1";"40";"14";"8";"5";"10";"0";"0";"2";"2";"7";"3";"1";"14"
;;"9";"van der Lee, T.M.T.";"321";"8";"47";"13";"0";"12";"19";"78";"35";"12";"17";"22";"4";"2";"7";"8";"20";"3";"4";"10"
;;"10";"Mutluer, S.";"691";"12";"87";"39";"6";"12";"45";"193";"93";"31";"16";"32";"4";"0";"14";"20";"34";"7";"3";"43"
;;"11";"Bromet, L.";"1618";"24";"114";"58";"5";"56";"72";"494";"162";"58";"61";"157";"30";"9";"38";"29";"89";"17";"34";"111"
;;"12";"de Hoop, H.E.";"476";"5";"65";"5";"1";"8";"32";"129";"50";"5";"16";"46";"16";"0";"11";"18";"28";"6";"8";"27"
;;"13";"Maatoug, S.";"603";"7";"47";"11";"1";"20";"17";"237";"84";"7";"21";"69";"6";"1";"11";"9";"25";"6";"8";"16"
;;"14";"Mohandis, M.";"150";"3";"17";"3";"4";"1";"6";"36";"32";"0";"2";"18";"4";"1";"4";"4";"7";"0";"0";"8"
;;"15";"Gabriëls, G.J.W.";"114";"2";"10";"2";"0";"2";"5";"27";"8";"3";"4";"25";"1";"0";"2";"5";"7";"1";"3";"7"
;;"16";"Thijssen, J.";"194";"1";"9";"5";"7";"2";"7";"27";"13";"4";"7";"13";"13";"3";"3";"4";"5";"1";"1";"69"
;;"17";"Bouchallikh, K.";"892";"23";"111";"24";"2";"21";"72";"268";"88";"18";"20";"106";"24";"4";"20";"16";"23";"4";"10";"38"
;;"18";"Kathmann, B.C.";"388";"9";"29";"10";"2";"13";"21";"125";"35";"15";"18";"40";"9";"0";"5";"6";"16";"5";"5";"25"
;;"19";"Slagt-Tichelman, E.";"263";"3";"20";"4";"3";"12";"23";"76";"32";"2";"13";"26";"6";"2";"3";"9";"18";"0";"1";"10"
;;"20";"Tseggai, M.";"642";"7";"58";"5";"1";"12";"36";"296";"59";"20";"23";"44";"5";"2";"12";"11";"27";"7";"6";"11"
;;"21";"White, R.J.";"240";"4";"40";"3";"1";"6";"32";"52";"31";"6";"3";"24";"2";"1";"15";"4";"7";"0";"1";"8"
;;"22";"Pijpelink, A.";"343";"6";"36";"8";"3";"6";"14";"102";"32";"15";"11";"44";"9";"0";"7";"7";"16";"5";"4";"18"
;;"23";"Chakor, G.";"595";"6";"58";"14";"1";"18";"45";"217";"49";"11";"11";"68";"14";"3";"8";"7";"22";"3";"9";"31"
;;"24";"Nordkamp, J.";"34";"1";"5";"1";"2";"0";"0";"7";"4";"0";"2";"5";"1";"0";"1";"0";"3";"1";"0";"1"
;;"25";"Stultiens, L.C.J.";"97";"0";"10";"0";"0";"3";"8";"32";"9";"1";"4";"14";"2";"1";"2";"1";"1";"1";"3";"5"
;;"26";"Haage, M.W.";"831";"14";"90";"15";"7";"20";"36";"241";"83";"20";"23";"107";"23";"6";"10";"14";"46";"9";"15";"52"
;;"27";"Hirsch, D.H.";"1869";"33";"217";"33";"9";"46";"146";"602";"137";"39";"61";"170";"26";"8";"68";"22";"77";"13";"28";"134"
;;"28";"de Jong, H.A.";"128";"4";"22";"2";"0";"2";"10";"19";"13";"5";"7";"8";"3";"3";"4";"3";"1";"3";"5";"14"
;;"29";"Postma, J.P.";"36";"0";"5";"0";"0";"2";"2";"8";"4";"2";"0";"5";"3";"0";"1";"0";"1";"0";"0";"3"
;;"30";"Oosting, I.";"393";"2";"49";"9";"1";"9";"15";"118";"38";"12";"17";"60";"12";"2";"1";"10";"11";"3";"4";"20"
;;"31";"de Boer, M.M.";"344";"3";"53";"13";"1";"8";"24";"107";"34";"10";"5";"30";"3";"1";"5";"9";"12";"8";"2";"16"
;;"32";"Daenen, J.W.B.";"41";"3";"10";"0";"0";"2";"1";"11";"3";"1";"0";"3";"0";"0";"1";"0";"2";"0";"1";"3"
;;"33";"Ranshuijsen, A.B.";"375";"2";"45";"9";"2";"9";"36";"103";"36";"3";"10";"43";"12";"0";"9";"2";"16";"3";"3";"32"
;;"34";"Köseoglu, E.";"543";"6";"50";"43";"3";"10";"35";"161";"37";"32";"14";"64";"22";"1";"4";"7";"19";"5";"7";"23"
;;"35";"van Roemburg, E.T.W.";"162";"2";"17";"6";"0";"3";"13";"42";"9";"2";"7";"18";"0";"0";"3";"2";"9";"2";"3";"24"
;;"36";"Nessar, A.";"60";"2";"2";"2";"0";"1";"3";"15";"8";"1";"2";"3";"3";"0";"2";"1";"7";"1";"0";"7"
;;"37";"Muns, L.";"72";"0";"5";"3";"0";"0";"9";"25";"5";"1";"2";"12";"0";"1";"0";"1";"4";"1";"0";"3"
;;"38";"Vrolijks, I.L.";"315";"4";"33";"4";"1";"4";"16";"98";"41";"10";"9";"40";"8";"0";"6";"13";"9";"2";"3";"14"
;;"39";"Smits, P.L.";"41";"0";"4";"4";"0";"0";"3";"10";"9";"0";"0";"7";"0";"0";"1";"0";"1";"0";"0";"2"
;;"40";"Nabih, M.";"70";"0";"10";"2";"4";"0";"6";"15";"9";"4";"0";"2";"5";"0";"1";"2";"7";"1";"1";"1"
;;"41";"Rietveld, M.D.";"14";"0";"1";"0";"0";"0";"0";"4";"1";"2";"2";"1";"1";"0";"0";"0";"2";"0";"0";"0"
;;"42";"Torunoglu, Y.";"38";"0";"5";"1";"0";"1";"3";"12";"4";"1";"3";"1";"2";"0";"1";"0";"1";"0";"0";"3"
;;"43";"de Bruijn, E.";"240";"6";"33";"9";"1";"7";"13";"63";"19";"5";"9";"31";"5";"0";"4";"5";"15";"2";"1";"12"
;;"44";"Bosman, E.M.";"36";"0";"1";"2";"0";"0";"1";"17";"3";"1";"0";"4";"0";"1";"1";"0";"2";"0";"0";"3"
;;"45";"Kuipers, C.M.";"37";"1";"4";"1";"0";"0";"4";"6";"3";"2";"2";"7";"0";"0";"3";"1";"0";"0";"0";"3"
;;"46";"van Schalkwijk, M.W.";"80";"1";"3";"1";"0";"2";"6";"25";"13";"2";"1";"8";"5";"3";"1";"1";"3";"1";"0";"4"
;;"47";"van der Steenhoven, G.P.G.";"16";"1";"1";"1";"0";"0";"0";"4";"2";"0";"0";"4";"1";"0";"1";"1";"0";"0";"0";"0"
;;"48";"Tselms, R.V.";"45";"1";"7";"3";"0";"0";"9";"10";"3";"1";"1";"1";"5";"0";"1";"1";"0";"1";"0";"1"
;;"49";"Gankema, P.";"80";"1";"17";"6";"0";"0";"4";"23";"5";"2";"4";"7";"2";"0";"0";"1";"3";"3";"0";"2"
;;"50";"Moorman, M.";"1813";"34";"233";"39";"8";"66";"102";"466";"214";"59";"44";"101";"47";"8";"54";"41";"93";"14";"39";"151"
"4";"PVV (Partij voor de Vrijheid)";;;"115221";"4896";"6998";"6930";"1387";"1630";"2593";"13690";"23236";"6524";"2011";"9006";"5529";"1067";"1157";"4229";"12447";"3248";"3656";"4987"
;;"1";"Wilders, G.";"103383";"4402";"6088";"6349";"1220";"1446";"2348";"12241";"20970";"5884";"1790";"8054";"4941";"953";"1040";"3759";"11369";"2830";"3334";"4365"
;;"2";"Agema, M.";"6621";"275";"445";"353";"92";"98";"125";"790";"1313";"399";"108";"540";"363";"56";"54";"271";"652";"165";"185";"337"
;;"3";"van Meetelen, R.F.";"290";"15";"16";"19";"3";"1";"6";"42";"68";"15";"6";"26";"16";"0";"3";"9";"25";"2";"5";"13"
;;"4";"Markuszower, G.";"348";"19";"123";"8";"4";"5";"6";"45";"39";"10";"1";"13";"10";"3";"7";"12";"13";"3";"6";"21"
;;"5";"Bosma, M.";"2988";"132";"237";"116";"52";"63";"79";"374";"550";"134";"76";"249";"115";"43";"43";"127";"263";"66";"86";"183"
;;"6";"Claassen, R.A.B.";"45";"0";"3";"6";"1";"0";"0";"1";"13";"2";"4";"3";"1";"1";"1";"1";"4";"1";"2";"1"
;;"7";"Faber, M.H.M.";"287";"15";"15";"17";"2";"5";"8";"23";"58";"15";"3";"32";"29";"2";"5";"8";"21";"4";"10";"15"
;;"8";"Mulder, E.";"54";"0";"11";"0";"0";"1";"3";"8";"7";"4";"2";"4";"3";"0";"0";"2";"3";"1";"1";"4"
;;"9";"Maeijer, V.";"94";"2";"5";"3";"0";"0";"3";"12";"28";"6";"1";"7";"3";"1";"0";"5";"9";"0";"3";"6"
;;"10";"van Dijck, A.P.C.";"16";"1";"1";"2";"0";"1";"1";"2";"3";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1"
;;"11";"Kops, A.";"16";"0";"0";"0";"0";"1";"1";"2";"4";"1";"0";"0";"3";"0";"0";"0";"3";"0";"1";"0"
;;"12";"Madlener, B.";"11";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"2";"0"
;;"13";"de Jong, L.W.E.";"65";"2";"7";"9";"0";"0";"0";"9";"8";"3";"2";"5";"0";"2";"0";"4";"10";"1";"2";"1"
;;"14";"Graus, D.J.G.";"64";"1";"2";"3";"1";"0";"1";"15";"11";"2";"1";"9";"2";"0";"0";"4";"6";"1";"3";"2"
;;"15";"Blaauw, R.B.";"19";"0";"2";"0";"1";"0";"0";"1";"3";"2";"0";"5";"2";"1";"0";"0";"1";"1";"0";"0"
;;"16";"de Roon, R.";"11";"0";"1";"1";"0";"0";"0";"2";"3";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"17";"van Dijk, E.";"14";"0";"1";"2";"0";"1";"0";"1";"3";"1";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0"
;;"18";"de Vree, J.H.";"6";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0"
;;"19";"Aardema, M.";"18";"0";"0";"1";"0";"0";"1";"2";"5";"0";"0";"2";"2";"0";"0";"0";"2";"0";"1";"2"
;;"20";"van der Velde, M.K.";"113";"7";"5";"5";"1";"0";"2";"12";"9";"10";"2";"15";"9";"0";"0";"12";"7";"0";"8";"9"
;;"21";"van der Hoeff, P.H.";"5";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"22";"Deen, M.";"338";"1";"3";"8";"2";"7";"0";"58";"48";"5";"13";"3";"0";"0";"0";"0";"24";"165";"0";"1"
;;"23";"Nijhof-Leeuw, J.M.";"60";"3";"4";"5";"0";"0";"0";"6";"12";"4";"1";"7";"4";"0";"1";"4";"4";"1";"0";"4"
;;"24";"Boon, M.C.H.";"7";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0"
;;"25";"Mooiman, J.";"19";"5";"0";"0";"0";"0";"0";"2";"7";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"1"
;;"26";"Ram, D.";"15";"1";"2";"0";"0";"0";"1";"1";"3";"2";"0";"1";"1";"0";"0";"0";"2";"0";"1";"0"
;;"27";"Vlottes, E.";"9";"0";"2";"0";"0";"0";"1";"0";"3";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Smitskam, P.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"29";"Esser, E.R.F.";"8";"0";"0";"1";"0";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"30";"Boutkan, W.";"13";"0";"1";"0";"0";"0";"0";"1";"3";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"3"
;;"31";"van den Born, V.H.";"9";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0"
;;"32";"Crijns, P.P.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Haasen, J.P.";"30";"1";"2";"7";"0";"0";"0";"3";"4";"6";"0";"4";"0";"0";"0";"0";"3";"0";"0";"0"
;;"34";"Vondeling, M.";"70";"4";"4";"5";"1";"0";"0";"13";"21";"5";"0";"3";"2";"0";"0";"0";"4";"3";"1";"4"
;;"35";"Valize, J.J.T.M.";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Heutink, H.D.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Pool, J.";"7";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"38";"Faddegon, C.J.";"6";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"13";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"5";"0";"0";"0";"0";"0";"0";"1"
;;"40";"Rep, R.J.H.H.";"13";"0";"2";"0";"1";"0";"0";"1";"3";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"2"
;;"41";"Thiadens, F.M.";"4";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Raijer, A.J.";"60";"3";"3";"1";"5";"1";"4";"3";"9";"2";"0";"4";"6";"1";"1";"3";"4";"3";"1";"6"
;;"43";"van Bijnen, H.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
;;"45";"van Strien, G.A.";"55";"3";"7";"6";"1";"0";"0";"5";"9";"5";"0";"6";"1";"0";"1";"1";"6";"1";"0";"3"
"5";"CDA";;;"14626";"722";"1049";"524";"222";"511";"218";"1629";"2447";"719";"576";"1226";"1077";"225";"226";"472";"967";"200";"617";"999"
;;"1";"Bontenbal, H.";"12841";"623";"911";"468";"204";"467";"190";"1371";"2084";"634";"516";"1078";"978";"207";"206";"425";"855";"186";"548";"890"
;;"2";"Vedder, E.C.";"679";"28";"43";"25";"12";"15";"8";"93";"132";"33";"28";"51";"42";"8";"10";"21";"42";"7";"32";"49"
;;"3";"Boswijk, D.G.";"140";"24";"16";"2";"0";"3";"1";"21";"12";"4";"1";"13";"6";"1";"1";"5";"9";"1";"10";"10"
;;"4";"van Dijk, I.";"128";"2";"12";"8";"2";"2";"5";"18";"15";"8";"1";"15";"9";"0";"1";"5";"9";"2";"4";"10"
;;"5";"Krul, H.M.";"74";"5";"2";"11";"0";"2";"0";"9";"9";"11";"2";"3";"1";"2";"0";"2";"8";"0";"5";"2"
;;"6";"Palland-Mulder, H.M.";"66";"7";"5";"1";"1";"3";"1";"10";"11";"0";"1";"4";"5";"2";"2";"0";"6";"0";"4";"3"
;;"7";"van den Brink, G.";"47";"1";"0";"1";"2";"0";"0";"5";"8";"2";"0";"7";"8";"1";"1";"3";"3";"0";"2";"3"
;;"8";"Absil, M.G.J.A.C.";"25";"2";"2";"0";"0";"2";"2";"3";"2";"2";"1";"3";"3";"0";"1";"0";"0";"0";"1";"1"
;;"9";"Steen, H.S.";"26";"1";"2";"0";"0";"1";"0";"7";"4";"3";"0";"1";"0";"1";"0";"0";"3";"0";"1";"2"
;;"10";"Kuik, A.";"55";"8";"3";"1";"0";"1";"1";"5";"9";"3";"4";"6";"5";"0";"1";"3";"1";"0";"1";"3"
;;"11";"Spoelstra, J.";"13";"0";"1";"0";"0";"0";"0";"1";"1";"3";"0";"4";"0";"0";"0";"0";"3";"0";"0";"0"
;;"12";"Slootweg, E.J.";"11";"0";"1";"2";"0";"1";"0";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Chaoui-Nhass, S.";"13";"0";"4";"0";"0";"0";"0";"3";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Zwinkels, J.M.";"38";"1";"1";"0";"0";"1";"0";"6";"3";"1";"1";"12";"1";"1";"0";"1";"3";"0";"2";"4"
;;"15";"Diederen, R.";"4";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"16";"Hamstra, S.";"10";"0";"3";"0";"0";"0";"0";"0";"3";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0"
;;"17";"Houmes, E.S.";"8";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"2"
;;"18";"van den Berg, J.H.C.";"221";"9";"2";"2";"0";"6";"3";"45";"116";"5";"11";"0";"2";"0";"0";"2";"10";"2";"1";"5"
;;"19";"de Haan, J.D.P.";"6";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Vermeer, J.";"4";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"21";"van der Heide, E.J.";"21";"0";"0";"0";"0";"3";"0";"2";"3";"0";"0";"10";"1";"0";"0";"0";"0";"0";"1";"1"
;;"22";"Goos, J.C.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0"
;;"24";"Goudzwaard-Wiersma, W.";"6";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1"
;;"25";"Segers-Hoogendoorn, R.G.C.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"3"
;;"26";"van Gijssel, A.K.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"28";"van Lagen, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"van der Spek, A.M.";"7";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1"
;;"30";"Out, F.M.S.";"11";"2";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
;;"31";"Silos, J.J.";"5";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Tuncer, Y.";"6";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"4";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"van den Oever, J.A.";"5";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"14";"0";"0";"1";"0";"1";"0";"2";"3";"1";"0";"4";"0";"1";"0";"0";"1";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"14";"0";"2";"0";"0";"0";"0";"1";"3";"0";"1";"0";"4";"0";"0";"0";"2";"0";"0";"1"
;;"37";"van Luik, D.A.N.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"41";"Buijs, T.S.F.";"4";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"5";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"43";"Bracke, D.G.A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"45";"Meppelink, E.M.";"15";"0";"1";"0";"0";"1";"1";"2";"1";"0";"1";"5";"0";"0";"0";"0";"2";"0";"0";"1"
;;"46";"van Dijk, Q.A.";"7";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"43";"5";"25";"0";"0";"0";"3";"2";"4";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"24";"0";"3";"0";"0";"1";"2";"4";"3";"3";"1";"0";"1";"0";"1";"1";"3";"0";"1";"0"
"6";"SP (Socialistische Partij)";;;"15756";"389";"1232";"987";"157";"229";"558";"3149";"2209";"923";"301";"1530";"644";"109";"193";"494";"1329";"273";"354";"696"
;;"1";"Marijnissen, L.M.C.";"13217";"331";"1028";"814";"136";"194";"455";"2501";"1874";"767";"265";"1312";"549";"101";"167";"434";"1129";"243";"313";"604"
;;"2";"Beckerman, S.M.";"539";"20";"53";"22";"7";"3";"28";"118";"53";"25";"8";"55";"24";"3";"6";"16";"54";"8";"10";"26"
