"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
;;"8";"de Vries, A.";"149";"4";"1";"4";"1";"3";"1";"8";"3";"10";"3";"5";"3";"14";"0";"7";"0";"14";"3";"1";"11";"3";"4";"7";"4";"4";"4";"2";"11";"8";"5";"1"
;;"9";"Kamminga, R.J.";"50";"1";"2";"1";"1";"2";"1";"3";"1";"2";"0";"1";"2";"0";"0";"0";"0";"5";"3";"0";"3";"1";"3";"0";"3";"2";"1";"0";"3";"7";"1";"1"
;;"10";"Paul, M.L.J.";"67";"2";"0";"0";"1";"1";"0";"5";"4";"6";"1";"4";"0";"7";"0";"1";"0";"6";"2";"1";"1";"1";"1";"3";"4";"1";"3";"0";"3";"2";"3";"4"
;;"11";"Erkens, S.P.A.";"5030";"347";"120";"30";"12";"149";"1";"300";"654";"320";"109";"2";"17";"178";"116";"145";"42";"163";"74";"129";"45";"147";"76";"101";"84";"98";"157";"150";"559";"110";"222";"373"
;;"12";"Rajkowski, Q.M.";"76";"0";"1";"0";"0";"0";"1";"4";"1";"16";"1";"0";"3";"7";"0";"2";"0";"6";"3";"0";"4";"1";"6";"4";"2";"1";"1";"1";"5";"2";"3";"1"
;;"13";"Aartsen, A.A.";"75";"0";"1";"0";"0";"1";"0";"2";"2";"9";"0";"0";"1";"12";"0";"4";"2";"8";"0";"1";"3";"3";"4";"1";"2";"1";"2";"1";"7";"4";"2";"2"
;;"14";"van Campen, A.A.H.";"51";"2";"2";"1";"2";"0";"2";"0";"0";"3";"0";"0";"2";"2";"0";"0";"0";"4";"1";"1";"2";"1";"3";"4";"2";"2";"2";"0";"5";"2";"4";"2"
;;"15";"Tielen, J.Z.C.M.";"50";"1";"0";"0";"1";"0";"1";"3";"1";"4";"0";"0";"0";"5";"0";"0";"0";"7";"4";"0";"2";"1";"3";"3";"3";"0";"1";"1";"2";"4";"2";"1"
;;"16";"Veltman-Kamp, H.N.";"57";"2";"0";"3";"1";"1";"3";"1";"1";"4";"5";"0";"1";"11";"0";"1";"0";"4";"1";"1";"1";"1";"2";"0";"0";"2";"3";"1";"5";"1";"1";"0"
;;"17";"van Eijk-Nagel, W.P.J.";"4525";"21";"50";"40";"7";"14";"3";"35";"9";"147";"55";"6";"365";"243";"6";"59";"4";"174";"107";"19";"1473";"23";"192";"415";"206";"128";"139";"17";"223";"242";"45";"58"
