"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
"2";"D66";;;"31572";"633";"543";"326";"286";"381";"607";"1559";"575";"4576";"709";"502";"505";"1888";"206";"681";"150";"2724";"1465";"415";"1478";"539";"1494";"1107";"714";"433";"814";"375";"2602";"1277";"1032";"976"
;;"1";"Jetten, R.A.A.";"22377";"496";"377";"248";"217";"278";"440";"1184";"434";"2943";"512";"381";"366";"1351";"146";"483";"122";"1904";"1038";"299";"1065";"401";"1052";"791";"519";"292";"585";"288";"1797";"885";"773";"710"
;;"2";"Paternotte, J.M.";"873";"20";"20";"11";"3";"8";"20";"41";"15";"131";"16";"15";"15";"44";"5";"21";"0";"99";"47";"7";"37";"11";"27";"29";"22";"20";"24";"10";"76";"33";"21";"25"
;;"3";"Vijlbrief, J.A.";"251";"4";"2";"5";"5";"3";"4";"10";"4";"40";"4";"8";"3";"14";"1";"6";"1";"27";"12";"6";"13";"7";"7";"5";"8";"6";"6";"2";"15";"8";"8";"7"
;;"4";"Podt, A.";"2419";"31";"34";"19";"10";"31";"40";"85";"42";"487";"61";"32";"29";"151";"17";"41";"10";"223";"125";"35";"131";"38";"128";"74";"48";"31";"50";"18";"175";"90";"64";"69"
;;"5";"Sneller, J.C.";"72";"1";"0";"0";"0";"1";"0";"1";"2";"13";"2";"2";"2";"5";"1";"2";"0";"13";"1";"0";"2";"0";"2";"1";"3";"3";"4";"0";"7";"3";"1";"0"
;;"6";"Rooderkerk, I.";"390";"7";"8";"0";"5";"3";"5";"14";"3";"101";"3";"2";"6";"20";"1";"4";"1";"33";"15";"2";"12";"7";"26";"11";"8";"6";"11";"3";"30";"17";"9";"17"
;;"7";"Paulusma, W.";"218";"0";"10";"4";"6";"2";"8";"13";"3";"39";"6";"2";"1";"20";"1";"3";"0";"9";"16";"2";"11";"1";"5";"3";"10";"2";"4";"2";"16";"6";"5";"8"
;;"8";"van der Werf, J.J.";"344";"4";"4";"0";"1";"3";"5";"14";"5";"77";"15";"5";"2";"22";"1";"8";"3";"41";"8";"5";"19";"5";"24";"8";"5";"1";"6";"6";"17";"15";"10";"5"
;;"9";"Bamenga, P.";"179";"2";"5";"2";"0";"2";"5";"10";"2";"29";"3";"0";"9";"15";"1";"4";"2";"11";"13";"1";"8";"1";"9";"6";"5";"0";"5";"1";"11";"12";"3";"2"
;;"10";"de Groot, T.C.";"124";"1";"6";"0";"0";"0";"3";"7";"1";"18";"3";"1";"5";"4";"0";"3";"0";"7";"3";"2";"4";"1";"11";"4";"5";"3";"4";"2";"16";"8";"0";"2"
;;"11";"Synhaeve, M.";"474";"7";"9";"1";"7";"5";"40";"15";"3";"92";"4";"32";"3";"24";"1";"8";"2";"40";"36";"2";"20";"5";"35";"12";"7";"5";"6";"4";"23";"12";"4";"10"
;;"12";"van Ginneken, L.M.";"279";"1";"1";"3";"2";"4";"8";"17";"5";"54";"10";"3";"5";"16";"0";"6";"2";"22";"11";"4";"14";"6";"11";"16";"1";"1";"9";"3";"17";"11";"8";"8"
;;"13";"Belhaj, S.";"96";"1";"2";"0";"5";"1";"1";"8";"1";"21";"0";"1";"4";"10";"1";"2";"0";"7";"3";"0";"5";"0";"3";"1";"1";"0";"1";"0";"6";"6";"3";"2"
;;"14";"Boulakjar, F.";"32";"0";"1";"0";"1";"0";"0";"5";"0";"12";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"3";"2";"0";"0";"0";"1";"0";"0";"1"
;;"15";"Sahla, F.";"46";"1";"0";"0";"0";"0";"0";"0";"2";"8";"1";"1";"1";"5";"0";"1";"0";"3";"0";"0";"4";"1";"1";"2";"1";"0";"0";"0";"9";"1";"3";"1"
;;"16";"Klos, F.C.O.";"21";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"1";"1";"0";"4";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"5";"1";"1";"0"
;;"17";"Kat, H.";"45";"2";"1";"0";"0";"1";"1";"1";"0";"15";"0";"0";"1";"4";"0";"0";"0";"2";"3";"0";"5";"0";"0";"2";"0";"0";"1";"1";"2";"1";"0";"2"
;;"18";"Warmerdam, S.";"14";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3"
;;"19";"Alberg, S.T.";"34";"1";"0";"1";"0";"0";"0";"1";"1";"10";"0";"0";"2";"3";"1";"1";"0";"4";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0";"1";"0";"0";"2"
;;"20";"Hammelburg, A.R.";"15";"0";"0";"0";"0";"2";"2";"0";"1";"3";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"21";"Hollander, J.";"39";"1";"0";"0";"0";"0";"1";"2";"1";"7";"2";"1";"0";"5";"1";"1";"0";"3";"1";"1";"2";"2";"0";"1";"0";"0";"0";"1";"2";"3";"1";"0"
;;"22";"ten Dolle, L.";"68";"0";"1";"1";"1";"0";"3";"2";"1";"13";"0";"1";"1";"2";"0";"2";"0";"5";"4";"0";"4";"1";"3";"3";"2";"2";"0";"1";"4";"3";"3";"5"
;;"23";"Blommers, D.";"20";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"4";"0";"0";"3";"0";"0";"1";"0";"0";"1";"0";"3";"0";"2";"0"
;;"24";"van Breugel, C.";"66";"0";"0";"0";"0";"0";"2";"3";"1";"19";"1";"0";"1";"3";"1";"1";"0";"6";"1";"0";"7";"0";"3";"4";"2";"0";"1";"0";"6";"2";"1";"1"
;;"25";"Teunissen, J.C.M.";"21";"1";"0";"1";"0";"0";"1";"0";"0";"5";"0";"1";"0";"1";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"1"
;;"26";"Çimen, M.";"17";"0";"0";"1";"0";"1";"1";"0";"1";"7";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"27";"Oualhadj, A.";"16";"0";"0";"0";"0";"0";"0";"2";"0";"6";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
;;"28";"Putuhena, M.";"13";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2"
;;"29";"Keij, E.J.";"15";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"2";"1";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"1";"0"
;;"30";"Brink, V.J.";"15";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"5";"0";"1";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"31";"van Dorst, P.A.";"10";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"32";"Wijnja, G.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"33";"de Vries, M.M.";"9";"0";"0";"0";"0";"1";"0";"1";"1";"2";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"34";"Schoonbeek, F.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Mathlouti, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Koops, J.H.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"38";"Hagen, K.B.";"52";"1";"0";"2";"1";"0";"0";"2";"0";"7";"0";"1";"3";"2";"0";"3";"0";"3";"6";"2";"1";"0";"2";"2";"2";"2";"1";"0";"2";"4";"0";"3"
;;"39";"Hiemstra, G.J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"40";"Keijmel - den Boer, J.M.I.";"13";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
;;"41";"Tjeerdema, H.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Woudstra, E.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"43";"Olsthoorn, A.";"9";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0"
;;"44";"van Peski, C.J.";"7";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"5";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"van Driel, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"49";"van der Gaag, P.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"50";"Bosters, E.L.";"11";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"52";"van de Vijver, V.F.";"16";"1";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"1"
;;"53";"Vemer, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"54";"Wallast, R.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"56";"Wesseling, A.";"463";"5";"5";"12";"6";"1";"3";"3";"1";"11";"4";"1";"12";"31";"0";"3";"0";"83";"20";"3";"10";"1";"43";"43";"14";"12";"4";"0";"11";"114";"4";"3"
;;"57";"Maessen, R.J.M.";"234";"4";"2";"4";"0";"0";"2";"7";"1";"4";"1";"1";"5";"5";"0";"1";"0";"101";"12";"1";"16";"1";"16";"8";"3";"5";"3";"0";"8";"17";"2";"4"
;;"58";"Schoonen, M.";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"373";"7";"12";"0";"1";"9";"0";"17";"6";"8";"3";"0";"3";"8";"5";"26";"0";"1";"0";"5";"4";"2";"0";"7";"2";"5";"36";"2";"185";"1";"1";"17"
;;"60";"Jenneskens, M.T.P.";"954";"23";"19";"5";"3";"15";"2";"51";"18";"242";"38";"0";"2";"15";"16";"28";"3";"13";"41";"29";"19";"36";"50";"14";"15";"5";"27";"19";"80";"4";"85";"37"
;;"61";"Janssen, S.L.J.";"22";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"62";"de Vries, L.";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"63";"Chaban, S.";"10";"0";"0";"0";"0";"0";"0";"2";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"64";"Louhenapessij, A.F.";"5";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"11";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"66";"van Essen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"68";"Türkkol, N.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"72";"Weerwind, F.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"13";"1";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"3";"0"
;;"74";"Kuipers, E.J.";"34";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"1";"1";"0";"2";"0";"1";"1";"1";"4";"0";"1";"2";"1";"4";"1";"0";"5";"0";"2";"3"
;;"75";"Ollongren, K.H.";"36";"2";"0";"0";"3";"0";"0";"2";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"3";"0";"0";"0";"4";"1";"6";"3";"0";"1"
;;"76";"Dijkgraaf, R.H.";"308";"0";"12";"4";"4";"6";"1";"13";"2";"33";"1";"1";"7";"54";"2";"12";"1";"11";"9";"2";"19";"5";"10";"23";"8";"16";"11";"5";"11";"7";"4";"14"
;;"77";"Uslu, G.";"16";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"3";"0";"0";"2";"0";"0";"0";"0";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0";"2"
;;"78";"Pechtold, A.";"53";"3";"2";"0";"0";"0";"2";"2";"0";"5";"2";"2";"5";"4";"0";"0";"0";"0";"1";"2";"1";"0";"1";"5";"5";"1";"2";"1";"5";"0";"2";"0"
;;"79";"Terlouw, J.C.";"45";"1";"2";"0";"1";"0";"2";"1";"2";"8";"1";"0";"1";"3";"0";"1";"1";"3";"0";"0";"3";"0";"1";"3";"4";"1";"1";"0";"4";"0";"0";"1"
;;"80";"Kaag, S.A.M.";"194";"2";"1";"2";"1";"1";"1";"11";"6";"39";"8";"2";"3";"10";"2";"3";"0";"10";"16";"0";"18";"3";"8";"11";"3";"4";"0";"2";"15";"2";"6";"4"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"88112";"2675";"1294";"906";"740";"1710";"1466";"6862";"2823";"13911";"1840";"1264";"1061";"4283";"808";"1731";"674";"6793";"3017";"1204";"4042";"1554";"2886";"2225";"1583";"1378";"2081";"1472";"7760";"2226";"2711";"3132"
;;"1";"Timmermans, F.C.G.M.";"55225";"2008";"871";"612";"510";"1242";"774";"4984";"2236";"8023";"1237";"581";"457";"2578";"625";"1215";"505";"4095";"1740";"893";"1210";"1079";"1681";"1391";"1023";"963";"1411";"995";"4908";"1386";"1802";"2190"
;;"2";"Lahlah, A.";"7449";"141";"90";"78";"57";"93";"160";"449";"126";"1640";"148";"131";"61";"424";"35";"108";"51";"659";"343";"76";"210";"116";"317";"160";"109";"72";"120";"124";"715";"201";"209";"226"
;;"3";"Klaver, J.F.";"6265";"161";"90";"61";"48";"154";"117";"461";"135";"905";"119";"123";"70";"380";"34";"118";"35";"655";"298";"69";"143";"99";"227";"141";"119";"88";"173";"94";"619";"177";"168";"184"
;;"4";"Piri, K.P.";"1050";"23";"18";"8";"3";"16";"27";"94";"29";"227";"11";"19";"6";"58";"2";"14";"11";"93";"46";"9";"16";"20";"39";"25";"13";"14";"11";"15";"107";"23";"30";"23"
;;"5";"Westerveld, E.M.";"5042";"104";"51";"58";"66";"57";"247";"261";"87";"811";"86";"265";"42";"258";"29";"81";"18";"505";"304";"45";"112";"73";"275";"102";"69";"65";"95";"56";"388";"159";"137";"136"
;;"6";"Patijn, M.H.";"241";"7";"5";"2";"0";"7";"1";"18";"9";"45";"8";"0";"4";"15";"1";"3";"1";"20";"11";"3";"6";"1";"10";"3";"2";"5";"4";"5";"23";"7";"9";"6"
;;"7";"Kröger, S.C.";"361";"4";"7";"5";"6";"1";"7";"13";"2";"109";"12";"10";"4";"19";"0";"2";"5";"26";"9";"6";"7";"11";"15";"8";"2";"7";"9";"5";"23";"7";"14";"6"
;;"8";"Bushoff, T.J.";"62";"1";"0";"0";"0";"1";"3";"6";"11";"10";"1";"2";"1";"1";"0";"0";"0";"3";"3";"0";"1";"2";"4";"0";"0";"0";"0";"0";"10";"1";"1";"0"
;;"9";"van der Lee, T.M.T.";"61";"0";"0";"1";"1";"1";"1";"4";"2";"15";"1";"1";"1";"1";"0";"1";"1";"6";"2";"0";"1";"0";"6";"0";"0";"0";"2";"0";"7";"3";"1";"2"
;;"10";"Mutluer, S.";"171";"4";"5";"1";"0";"1";"0";"7";"5";"32";"6";"3";"0";"12";"0";"5";"2";"23";"13";"0";"4";"2";"4";"4";"1";"0";"6";"12";"8";"7";"2";"2"
;;"11";"Bromet, L.";"367";"6";"5";"4";"5";"5";"5";"26";"3";"73";"7";"12";"3";"40";"1";"7";"1";"23";"14";"3";"7";"6";"16";"5";"1";"7";"5";"9";"30";"11";"10";"17"
;;"12";"de Hoop, H.E.";"159";"6";"1";"0";"0";"6";"7";"13";"4";"37";"2";"0";"1";"8";"1";"0";"1";"15";"5";"1";"3";"2";"7";"3";"1";"2";"2";"2";"17";"2";"5";"5"
;;"13";"Maatoug, S.";"191";"2";"3";"1";"0";"2";"1";"13";"7";"44";"2";"0";"32";"9";"1";"1";"2";"10";"8";"3";"4";"3";"5";"1";"0";"0";"4";"3";"18";"5";"3";"4"
;;"14";"Mohandis, M.";"133";"0";"0";"2";"1";"2";"0";"6";"1";"22";"1";"2";"0";"9";"0";"0";"1";"35";"15";"0";"7";"1";"2";"0";"1";"0";"2";"0";"9";"1";"11";"2"
;;"15";"Gabriëls, G.J.W.";"5601";"70";"66";"41";"10";"45";"8";"118";"59";"300";"54";"5";"352";"209";"34";"66";"22";"197";"61";"33";"2194";"61";"109";"303";"169";"88";"126";"61";"360";"137";"98";"145"
;;"16";"Thijssen, J.";"56";"2";"1";"0";"0";"1";"2";"4";"0";"6";"4";"1";"0";"9";"0";"1";"0";"12";"1";"0";"1";"0";"1";"3";"0";"1";"0";"0";"3";"0";"2";"1"
;;"17";"Bouchallikh, K.";"227";"7";"0";"1";"0";"3";"6";"18";"4";"53";"1";"1";"1";"15";"1";"2";"1";"28";"11";"1";"16";"2";"5";"3";"2";"0";"4";"2";"25";"1";"7";"6"
;;"18";"Kathmann, B.C.";"116";"1";"0";"0";"0";"0";"3";"9";"0";"39";"1";"2";"0";"6";"0";"1";"2";"12";"2";"1";"5";"2";"2";"0";"4";"3";"3";"1";"13";"0";"2";"2"
;;"19";"Slagt-Tichelman, E.";"155";"5";"3";"1";"0";"0";"10";"8";"2";"38";"0";"5";"0";"9";"0";"2";"2";"15";"7";"0";"5";"4";"7";"0";"3";"0";"1";"4";"15";"3";"3";"3"
;;"20";"Tseggai, M.";"104";"6";"0";"1";"1";"2";"4";"8";"0";"29";"5";"1";"0";"3";"0";"2";"0";"13";"3";"3";"1";"0";"2";"2";"0";"4";"6";"0";"4";"2";"1";"1"
;;"21";"White, R.J.";"41";"0";"0";"1";"0";"1";"1";"2";"1";"12";"1";"0";"0";"5";"0";"2";"1";"5";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"1";"1";"2"
;;"22";"Pijpelink, A.";"142";"1";"0";"0";"2";"6";"6";"11";"3";"43";"6";"0";"1";"4";"1";"5";"2";"12";"6";"1";"3";"3";"5";"1";"1";"1";"2";"0";"9";"1";"2";"4"
;;"23";"Chakor, G.";"163";"1";"2";"1";"0";"1";"0";"8";"2";"63";"2";"2";"0";"11";"3";"3";"1";"12";"1";"4";"4";"1";"6";"2";"4";"1";"3";"2";"7";"1";"6";"9"
;;"24";"Nordkamp, J.";"12";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"25";"Stultiens, L.C.J.";"29";"0";"0";"0";"0";"0";"1";"3";"0";"9";"0";"1";"0";"3";"0";"0";"0";"3";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"4";"1";"0";"0"
;;"26";"Haage, M.W.";"289";"4";"4";"4";"6";"2";"3";"15";"3";"97";"4";"2";"2";"13";"0";"1";"2";"27";"17";"4";"8";"3";"11";"7";"3";"1";"4";"2";"17";"7";"8";"8"
;;"27";"Hirsch, D.H.";"357";"8";"6";"2";"1";"2";"3";"23";"2";"143";"7";"2";"1";"20";"2";"3";"0";"21";"10";"2";"10";"1";"22";"7";"3";"1";"4";"6";"25";"6";"10";"4"
;;"28";"de Jong, H.A.";"23";"0";"1";"0";"0";"0";"2";"1";"1";"4";"0";"4";"1";"0";"0";"1";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0"
;;"29";"Postma, J.P.";"13";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"1";"0";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"30";"Oosting, I.";"182";"0";"3";"0";"2";"1";"3";"15";"6";"42";"1";"3";"0";"14";"1";"1";"1";"19";"5";"1";"6";"2";"11";"4";"0";"4";"3";"4";"20";"2";"4";"4"
;;"31";"de Boer, M.M.";"66";"1";"0";"0";"3";"1";"1";"0";"0";"25";"2";"1";"0";"1";"1";"1";"0";"3";"2";"3";"1";"2";"0";"6";"2";"1";"2";"0";"4";"1";"2";"0"
;;"32";"Daenen, J.W.B.";"53";"2";"0";"0";"0";"0";"1";"2";"2";"7";"0";"1";"0";"3";"0";"2";"0";"9";"1";"0";"2";"0";"0";"1";"1";"0";"3";"0";"11";"2";"2";"1"
;;"33";"Ranshuijsen, A.B.";"222";"4";"3";"4";"3";"0";"17";"11";"1";"44";"4";"20";"2";"11";"2";"1";"0";"21";"12";"0";"5";"0";"18";"1";"2";"4";"5";"4";"9";"5";"7";"2"
;;"34";"Köseoglu, E.";"201";"9";"2";"1";"0";"0";"3";"4";"2";"61";"2";"0";"0";"15";"2";"1";"0";"53";"9";"1";"4";"3";"5";"1";"2";"0";"1";"0";"5";"9";"3";"3"
;;"35";"van Roemburg, E.T.W.";"2353";"69";"49";"10";"0";"50";"1";"192";"64";"712";"96";"1";"10";"77";"29";"63";"3";"85";"11";"32";"12";"47";"37";"21";"26";"36";"51";"38";"249";"30";"137";"115"
;;"36";"Nessar, A.";"56";"5";"0";"0";"1";"0";"0";"2";"1";"16";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"15";"10";"1";"1";"0"
;;"37";"Muns, L.";"35";"1";"2";"0";"0";"0";"0";"3";"0";"13";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"2";"2";"0";"0";"0";"3";"0";"3";"2"
