"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"14";"van Campen, A.A.H.";"66";"1";"1";"8";"7";"4";"1";"0";"0";"2";"1";"2";"5";"1";"3";"0";"1";"1";"1";"4";"2";"6";"10";"5"
;;"15";"Tielen, J.Z.C.M.";"80";"0";"3";"10";"5";"7";"1";"1";"3";"2";"3";"6";"5";"1";"3";"2";"1";"12";"2";"2";"0";"6";"2";"3"
;;"16";"Veltman-Kamp, H.N.";"54";"0";"2";"4";"6";"2";"0";"3";"1";"0";"0";"2";"1";"1";"1";"4";"3";"7";"1";"2";"4";"4";"1";"5"
;;"17";"van Eijk-Nagel, W.P.J.";"58";"1";"3";"6";"9";"1";"2";"2";"1";"2";"1";"1";"4";"0";"1";"5";"1";"6";"0";"2";"3";"3";"0";"4"
;;"18";"Ellian, U.";"107";"0";"8";"9";"10";"2";"2";"5";"1";"4";"5";"7";"4";"0";"7";"3";"4";"8";"3";"4";"4";"7";"4";"6"
;;"19";"Michon-Derkzen, I.J.M.";"112";"2";"2";"7";"4";"1";"0";"4";"1";"3";"2";"27";"4";"0";"1";"3";"2";"32";"3";"0";"4";"5";"2";"3"
;;"20";"Martens-America, C.";"55";"0";"3";"10";"3";"3";"0";"1";"0";"1";"1";"4";"2";"0";"4";"4";"5";"4";"0";"3";"6";"1";"0";"0"
;;"21";"Meulenkamp, W.J.H.";"33";"0";"0";"2";"4";"6";"1";"0";"0";"0";"0";"0";"1";"2";"1";"0";"1";"3";"1";"1";"5";"2";"0";"3"
;;"22";"de Groot, P.C.";"109";"1";"10";"32";"8";"1";"0";"3";"1";"7";"2";"5";"2";"1";"2";"4";"0";"14";"2";"3";"1";"4";"3";"3"
;;"23";"Kisteman, A.";"79";"0";"0";"4";"3";"2";"0";"1";"0";"2";"0";"1";"0";"0";"0";"4";"1";"47";"2";"0";"4";"8";"0";"0"
;;"24";"de Kort, A.H.J.";"31";"0";"2";"3";"5";"1";"0";"1";"1";"0";"4";"2";"0";"1";"0";"0";"1";"1";"1";"0";"1";"3";"1";"3"
;;"25";"van den Hil, J.";"157";"1";"9";"18";"6";"10";"1";"3";"1";"2";"5";"12";"3";"1";"5";"10";"3";"7";"9";"10";"9";"13";"3";"16"
;;"26";"Valstar, P.J.";"2673";"0";"2";"43";"1";"1";"0";"2";"40";"1";"4";"20";"2";"0";"4";"12";"0";"2419";"87";"3";"2";"11";"1";"18"
;;"27";"Bevers, H.";"32";"0";"4";"5";"5";"1";"0";"1";"1";"0";"0";"0";"4";"0";"0";"1";"0";"3";"2";"0";"2";"1";"1";"1"
;;"28";"Buijsse, M.R.G.";"18";"0";"1";"6";"2";"1";"0";"1";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1"
;;"29";"Dral, R.M.";"143";"4";"6";"28";"10";"5";"0";"3";"3";"1";"2";"13";"2";"2";"5";"6";"1";"18";"6";"0";"2";"8";"4";"14"
;;"30";"Bikkers, B.T.";"482";"2";"12";"8";"6";"2";"1";"3";"23";"4";"4";"0";"30";"0";"15";"268";"6";"7";"13";"3";"43";"11";"0";"21"
;;"31";"Verkuijlen, R.";"20";"0";"0";"3";"1";"1";"0";"2";"0";"1";"3";"2";"0";"1";"0";"1";"0";"3";"0";"0";"0";"1";"0";"1"
;;"32";"Richardson, S.M.";"102";"2";"3";"18";"4";"6";"1";"2";"1";"1";"4";"7";"7";"1";"1";"6";"1";"5";"1";"4";"5";"12";"1";"9"
;;"33";"de Beer, M.E.E.";"34";"0";"0";"6";"10";"1";"0";"4";"0";"0";"0";"0";"1";"2";"1";"0";"3";"1";"0";"0";"2";"1";"1";"1"
;;"34";"van Strien, P.J.T.";"17";"0";"0";"2";"2";"1";"0";"1";"0";"0";"0";"3";"0";"0";"0";"2";"0";"1";"0";"0";"2";"3";"0";"0"
;;"35";"Hartsuiker, R.J.J.";"17";"1";"1";"1";"3";"0";"0";"0";"0";"3";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1"
;;"36";"Klein Lankhorst, H.";"42";"0";"1";"7";"3";"2";"2";"0";"1";"1";"1";"2";"1";"2";"3";"2";"2";"2";"1";"0";"0";"3";"3";"3"
;;"37";"Haverkort, E.A.";"28";"0";"2";"5";"2";"2";"1";"1";"0";"0";"0";"2";"1";"0";"1";"0";"1";"2";"0";"0";"0";"3";"1";"4"
;;"38";"Simons, C.";"21";"0";"1";"2";"2";"1";"1";"0";"0";"0";"1";"0";"0";"1";"4";"0";"0";"1";"0";"0";"0";"1";"3";"3"
;;"39";"Bijenhof, Y.";"30";"0";"2";"8";"3";"2";"0";"2";"2";"0";"0";"1";"0";"0";"0";"1";"1";"2";"1";"2";"1";"1";"0";"1"
;;"40";"van Groningen, D.A.";"677";"5";"87";"14";"104";"4";"4";"41";"15";"14";"42";"8";"31";"5";"51";"12";"27";"6";"5";"8";"45";"86";"4";"59"
;;"41";"Zeeuw van der Laan, E.M.";"20";"0";"0";"1";"4";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"2";"0";"2";"0";"1";"1";"2";"2";"1"
;;"42";"Volkman, Y.";"291";"1";"6";"2";"6";"1";"0";"1";"5";"2";"7";"2";"179";"0";"4";"15";"4";"4";"3";"1";"5";"35";"0";"8"
;;"43";"van Kessel, P.W.";"17";"0";"0";"4";"1";"1";"0";"3";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1"
;;"44";"Rahimi, H.";"51";"0";"3";"14";"3";"0";"0";"0";"1";"0";"2";"4";"7";"1";"0";"2";"0";"11";"1";"0";"2";"0";"0";"0"
;;"45";"Omlo, B.F.";"10";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"46";"Yizhak Cooremans, R.A.T.";"16";"0";"0";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"5"
;;"47";"Nelisse, R.M.L.";"436";"1";"5";"11";"6";"4";"6";"2";"0";"1";"1";"4";"1";"1";"15";"0";"6";"6";"3";"220";"18";"47";"5";"73"
