"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"32";"Wijnja, G.H.";"17";"0";"0";"6";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"3";"0";"0"
;;"33";"de Vries, M.M.";"38";"0";"0";"6";"2";"2";"1";"0";"2";"0";"0";"4";"3";"0";"1";"1";"1";"2";"4";"1";"2";"3";"0";"3"
;;"34";"Schoonbeek, F.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"35";"Mathlouti, M.";"7";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Koops, J.H.";"11";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"2"
;;"38";"Hagen, K.B.";"65";"0";"1";"10";"7";"2";"1";"1";"1";"0";"4";"8";"3";"2";"1";"3";"1";"9";"1";"2";"2";"2";"1";"3"
;;"39";"Hiemstra, G.J.";"3";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"27";"0";"1";"1";"2";"1";"0";"1";"3";"0";"1";"1";"2";"0";"1";"1";"0";"0";"1";"4";"3";"2";"0";"2"
;;"41";"Tjeerdema, H.";"8";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1"
;;"42";"Woudstra, E.";"95";"1";"0";"12";"1";"0";"0";"0";"1";"0";"0";"59";"5";"0";"0";"0";"0";"9";"6";"0";"0";"0";"0";"1"
;;"43";"Olsthoorn, A.";"32";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"4";"2";"5";"1";"2";"11";"1";"0";"2"
;;"44";"van Peski, C.J.";"5";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"46";"Dekker-Abdulaziz, H.";"16";"0";"1";"4";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"1"
;;"47";"van Driel, M.";"9";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"10";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0"
;;"49";"van der Gaag, P.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"51";"Hoevers, J.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"52";"van de Vijver, V.F.";"11";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0"
;;"53";"Vemer, P.";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0"
;;"54";"Wallast, R.D.";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"2"
;;"55";"André, E.S.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"56";"Wesseling, A.";"8";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"57";"Maessen, R.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"8";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"2"
;;"59";"Pi Van de Venne, P.R.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"5";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"32";"1";"1";"1";"5";"0";"0";"1";"0";"1";"3";"1";"1";"0";"1";"1";"6";"0";"0";"1";"2";"3";"0";"3"
;;"62";"de Vries, L.";"8";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1"
;;"63";"Chaban, S.";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"64";"Louhenapessij, A.F.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"34";"1";"4";"5";"4";"2";"2";"0";"1";"0";"1";"1";"3";"0";"1";"3";"0";"1";"0";"0";"1";"1";"1";"2"
;;"66";"van Essen, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"49";"0";"5";"3";"2";"0";"0";"2";"2";"0";"2";"1";"11";"1";"0";"2";"1";"1";"0";"0";"8";"5";"0";"3"
;;"68";"Türkkol, N.";"9";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"69";"van der Voort, P.H.J.";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"70";"Hendrickx, M.T.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"71";"Gräper-van Koolwijk, F.Q.";"5";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
;;"72";"Weerwind, F.M.";"15";"0";"0";"4";"1";"1";"0";"0";"1";"1";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2"
;;"73";"van Huffelen, A.C.";"18";"0";"0";"1";"5";"1";"0";"1";"2";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"2";"1"
;;"74";"Kuipers, E.J.";"42";"1";"4";"5";"2";"0";"0";"2";"2";"1";"2";"1";"1";"1";"1";"2";"4";"1";"0";"0";"2";"6";"0";"4"
;;"75";"Ollongren, K.H.";"28";"0";"1";"4";"1";"1";"0";"0";"1";"1";"0";"3";"1";"0";"0";"2";"1";"2";"2";"2";"3";"1";"0";"2"
;;"76";"Dijkgraaf, R.H.";"198";"1";"7";"50";"13";"5";"1";"6";"5";"3";"8";"21";"13";"2";"4";"5";"8";"15";"4";"5";"3";"9";"1";"9"
;;"77";"Uslu, G.";"25";"0";"1";"7";"2";"0";"0";"0";"2";"1";"0";"3";"0";"0";"4";"1";"2";"1";"0";"0";"0";"0";"1";"0"
;;"78";"Pechtold, A.";"68";"2";"2";"13";"5";"2";"2";"1";"0";"2";"1";"3";"1";"0";"3";"3";"3";"4";"2";"0";"4";"7";"2";"6"
;;"79";"Terlouw, J.C.";"71";"0";"1";"17";"8";"4";"0";"0";"0";"2";"4";"2";"1";"0";"3";"3";"3";"3";"2";"1";"4";"7";"2";"4"
;;"80";"Kaag, S.A.M.";"268";"0";"11";"36";"37";"13";"1";"1";"9";"4";"4";"25";"12";"4";"11";"12";"6";"14";"5";"7";"9";"29";"2";"16"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"85660";"1074";"2969";"15295";"10131";"3011";"612";"1538";"2106";"1914";"2406";"5102";"5720";"1142";"1593";"4871";"2457";"4352";"1469";"2158";"4451";"5259";"1907";"4123"
;;"1";"Timmermans, F.C.G.M.";"44676";"655";"1480";"6545";"5165";"1553";"382";"898";"1164";"1158";"1418";"2424";"2753";"691";"819";"2560";"1454";"2264";"705";"1355";"2572";"3138";"1170";"2353"
;;"2";"Lahlah, A.";"9946";"99";"356";"2025";"1365";"452";"52";"153";"177";"175";"253";"646";"690";"106";"192";"513";"246";"507";"152";"202";"425";"517";"221";"422"
;;"3";"Klaver, J.F.";"9229";"94";"360";"1451";"1154";"329";"64";"169";"204";"208";"251";"580";"582";"103";"176";"564";"257";"549";"180";"219";"512";"530";"186";"507"
;;"4";"Piri, K.P.";"2370";"20";"57";"507";"252";"75";"20";"34";"53";"33";"48";"231";"181";"26";"38";"112";"68";"162";"61";"42";"82";"112";"35";"121"
;;"5";"Westerveld, E.M.";"6280";"90";"236";"1239";"789";"244";"47";"123";"137";"136";"143";"356";"378";"82";"86";"304";"162";"356";"137";"154";"295";"391";"133";"262"
;;"6";"Patijn, M.H.";"471";"9";"16";"76";"68";"24";"3";"12";"14";"6";"13";"29";"30";"5";"6";"33";"13";"29";"11";"6";"18";"15";"5";"30"
;;"7";"Kröger, S.C.";"869";"8";"21";"320";"107";"28";"5";"11";"14";"10";"22";"49";"50";"11";"10";"35";"13";"41";"23";"8";"20";"34";"11";"18"
;;"8";"Bushoff, T.J.";"95";"0";"1";"31";"11";"2";"1";"2";"1";"3";"2";"4";"8";"1";"0";"2";"1";"5";"1";"1";"4";"4";"5";"5"
;;"9";"van der Lee, T.M.T.";"130";"0";"5";"32";"15";"1";"3";"2";"1";"0";"2";"16";"15";"1";"2";"9";"3";"4";"1";"3";"4";"7";"2";"2"
;;"10";"Mutluer, S.";"363";"3";"19";"59";"61";"25";"0";"8";"3";"7";"11";"21";"42";"1";"13";"33";"3";"9";"2";"2";"19";"6";"2";"14"
;;"11";"Bromet, L.";"775";"13";"25";"198";"102";"26";"2";"10";"12";"15";"23";"47";"68";"8";"15";"33";"15";"29";"11";"16";"21";"37";"18";"31"
;;"12";"de Hoop, H.E.";"319";"1";"10";"75";"45";"5";"1";"1";"7";"4";"9";"25";"25";"3";"10";"19";"13";"12";"8";"11";"12";"11";"4";"8"
;;"13";"Maatoug, S.";"428";"2";"6";"150";"44";"15";"0";"4";"1";"5";"6";"52";"30";"3";"10";"19";"9";"17";"7";"2";"15";"15";"6";"10"
;;"14";"Mohandis, M.";"170";"4";"7";"24";"21";"21";"1";"0";"6";"3";"7";"11";"5";"13";"4";"7";"9";"4";"1";"3";"8";"3";"7";"1"
;;"15";"Gabriëls, G.J.W.";"109";"1";"3";"41";"15";"1";"0";"1";"1";"0";"1";"4";"8";"1";"1";"6";"2";"5";"0";"1";"5";"5";"3";"4"
;;"16";"Thijssen, J.";"161";"0";"4";"97";"10";"2";"0";"1";"1";"3";"0";"5";"5";"1";"4";"3";"4";"1";"5";"3";"3";"2";"1";"6"
;;"17";"Bouchallikh, K.";"497";"2";"22";"116";"73";"13";"1";"7";"7";"7";"10";"32";"72";"8";"15";"19";"13";"22";"7";"4";"18";"17";"2";"10"
;;"18";"Kathmann, B.C.";"1462";"9";"115";"151";"131";"16";"5";"21";"28";"30";"67";"27";"193";"18";"73";"89";"43";"15";"16";"22";"154";"141";"18";"80"
;;"19";"Slagt-Tichelman, E.";"236";"0";"6";"90";"25";"4";"5";"2";"2";"2";"0";"22";"10";"0";"5";"6";"3";"10";"6";"4";"10";"11";"4";"9"
;;"20";"Tseggai, M.";"327";"2";"16";"92";"31";"7";"0";"2";"2";"4";"3";"32";"25";"1";"10";"17";"7";"7";"9";"4";"23";"21";"6";"6"
;;"21";"White, R.J.";"103";"1";"9";"20";"13";"3";"0";"0";"2";"0";"2";"14";"8";"1";"1";"8";"5";"2";"0";"0";"7";"1";"2";"4"
;;"22";"Pijpelink, A.";"350";"6";"7";"98";"38";"13";"3";"2";"3";"4";"4";"16";"9";"3";"2";"13";"7";"16";"4";"24";"18";"19";"9";"32"
;;"23";"Chakor, G.";"364";"2";"6";"135";"48";"6";"2";"5";"4";"4";"5";"32";"24";"2";"8";"10";"10";"22";"7";"4";"6";"8";"3";"11"
;;"24";"Nordkamp, J.";"26";"0";"1";"5";"3";"1";"0";"2";"0";"2";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"1";"2";"3";"1"
;;"25";"Stultiens, L.C.J.";"199";"0";"2";"139";"7";"1";"1";"0";"2";"0";"1";"9";"9";"2";"0";"6";"1";"7";"5";"0";"3";"0";"1";"3"
;;"26";"Haage, M.W.";"1314";"15";"47";"337";"138";"33";"3";"28";"18";"20";"40";"61";"135";"13";"38";"59";"28";"49";"22";"17";"63";"83";"11";"56"
;;"27";"Hirsch, D.H.";"834";"6";"9";"425";"72";"17";"2";"6";"8";"6";"10";"54";"40";"10";"5";"28";"8";"43";"15";"7";"10";"24";"13";"16"
;;"28";"de Jong, H.A.";"50";"3";"1";"11";"8";"3";"0";"2";"2";"1";"1";"1";"2";"1";"1";"3";"4";"0";"0";"1";"2";"2";"0";"1"
;;"29";"Postma, J.P.";"168";"1";"15";"15";"23";"2";"0";"9";"2";"5";"5";"1";"21";"0";"6";"6";"8";"2";"1";"1";"21";"6";"1";"17"
;;"30";"Oosting, I.";"317";"5";"9";"129";"34";"8";"5";"2";"3";"3";"1";"19";"19";"5";"3";"14";"7";"14";"9";"4";"6";"7";"6";"5"
;;"31";"de Boer, M.M.";"122";"0";"2";"52";"14";"1";"0";"2";"1";"6";"3";"3";"6";"1";"0";"7";"2";"4";"1";"0";"4";"7";"1";"5"
;;"32";"Daenen, J.W.B.";"49";"1";"1";"25";"4";"0";"0";"0";"0";"1";"2";"2";"1";"0";"0";"3";"2";"2";"3";"0";"0";"0";"1";"1"
;;"33";"Ranshuijsen, A.B.";"291";"4";"7";"78";"38";"14";"3";"5";"2";"8";"10";"31";"19";"0";"5";"18";"6";"6";"9";"5";"7";"9";"3";"4"
;;"34";"Köseoglu, E.";"443";"8";"32";"70";"68";"14";"0";"0";"2";"16";"4";"28";"123";"1";"5";"33";"1";"10";"3";"1";"11";"8";"1";"4"
;;"35";"van Roemburg, E.T.W.";"80";"0";"0";"37";"7";"2";"0";"0";"1";"1";"1";"7";"4";"2";"0";"3";"0";"3";"2";"5";"0";"4";"0";"1"
;;"36";"Nessar, A.";"39";"0";"0";"7";"4";"11";"0";"1";"0";"1";"0";"3";"0";"3";"1";"3";"4";"1";"0";"0";"0";"0";"0";"0"
;;"37";"Muns, L.";"34";"0";"0";"12";"2";"0";"0";"0";"3";"0";"0";"3";"1";"0";"0";"2";"0";"3";"2";"0";"3";"2";"0";"1"
;;"38";"Vrolijks, I.L.";"656";"4";"25";"104";"38";"10";"0";"3";"187";"5";"8";"21";"33";"5";"6";"33";"10";"59";"18";"8";"26";"22";"2";"29"
;;"39";"Smits, P.L.";"30";"1";"0";"10";"1";"0";"0";"2";"0";"1";"0";"3";"1";"0";"1";"2";"0";"4";"0";"0";"2";"2";"0";"0"
;;"40";"Nabih, M.";"44";"0";"1";"12";"4";"3";"0";"0";"4";"0";"0";"3";"2";"0";"3";"5";"1";"0";"0";"1";"3";"1";"0";"1"
;;"41";"Rietveld, M.D.";"22";"0";"0";"3";"1";"0";"0";"0";"2";"1";"1";"7";"2";"0";"1";"0";"0";"1";"0";"0";"1";"0";"2";"0"
;;"42";"Torunoglu, Y.";"54";"0";"3";"8";"7";"0";"0";"0";"2";"1";"2";"5";"12";"0";"2";"6";"0";"0";"3";"0";"2";"0";"0";"1"
;;"43";"de Bruijn, E.";"258";"0";"8";"113";"24";"12";"0";"2";"3";"4";"4";"12";"10";"1";"7";"8";"1";"10";"7";"4";"8";"8";"3";"9"
;;"44";"Bosman, E.M.";"217";"0";"1";"64";"2";"0";"0";"1";"1";"0";"1";"116";"1";"1";"0";"3";"0";"12";"4";"0";"3";"4";"0";"3"
;;"45";"Kuipers, C.M.";"17";"0";"0";"7";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0"
;;"46";"van Schalkwijk, M.W.";"53";"0";"2";"7";"8";"3";"0";"1";"2";"4";"0";"3";"1";"1";"1";"4";"2";"2";"1";"0";"7";"1";"3";"0"
;;"47";"Bijlsma, J.S.";"19";"0";"1";"2";"1";"1";"0";"0";"0";"0";"2";"5";"0";"1";"0";"0";"0";"3";"0";"0";"1";"0";"1";"1"
;;"48";"Rowaan, R.";"13";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"49";"van der Hoeven, A.A.M.";"90";"0";"4";"20";"10";"3";"0";"1";"1";"1";"3";"13";"6";"1";"3";"5";"3";"10";"0";"1";"0";"3";"0";"2"
;;"50";"van Kalken, L.";"491";"5";"11";"28";"26";"6";"1";"3";"16";"8";"7";"16";"54";"5";"5";"203";"9";"17";"10";"13";"12";"18";"2";"16"
"4";"PVV (Partij voor de Vrijheid)";;;"207281";"3031";"8094";"9885";"16011";"5155";"2685";"5219";"5531";"5619";"8926";"7975";"10725";"3938";"4763";"11392";"7443";"22634";"2771";"9612";"17747";"16091";"6570";"15464"
;;"1";"Wilders, G.";"188479";"2772";"7339";"8973";"14648";"4697";"2400";"4764";"5000";"5095";"8156";"7199";"9791";"3582";"4262";"10390";"6858";"20473";"2480";"8880";"16109";"14777";"5985";"13849"
;;"2";"Agema, M.";"11300";"159";"439";"520";"842";"272";"133";"273";"350";"310";"508";"460";"547";"226";"294";"598";"345";"1408";"189";"431";"1012";"781";"325";"878"
;;"3";"van Meetelen, R.F.";"582";"6";"17";"24";"55";"15";"7";"19";"9";"16";"19";"20";"30";"17";"7";"26";"21";"46";"6";"44";"59";"67";"11";"41"
;;"4";"Markuszower, G.";"163";"2";"9";"18";"13";"0";"1";"6";"3";"6";"5";"4";"9";"3";"3";"7";"12";"10";"2";"6";"5";"17";"6";"16"
;;"5";"Bosma, M.";"3999";"49";"167";"217";"259";"114";"43";"102";"94";"109";"141";"211";"219";"62";"111";"253";"126";"473";"56";"161";"288";"292";"149";"303"
;;"6";"Claassen, R.A.B.";"55";"1";"2";"1";"5";"2";"0";"0";"4";"2";"2";"2";"5";"1";"0";"5";"3";"8";"0";"0";"7";"0";"5";"0"
;;"7";"Faber, M.H.M.";"292";"5";"12";"21";"26";"9";"3";"8";"9";"8";"14";"11";"14";"2";"6";"18";"11";"33";"3";"15";"24";"13";"12";"15"
;;"8";"Mulder, E.";"63";"0";"3";"1";"9";"1";"0";"1";"1";"4";"5";"1";"4";"2";"0";"5";"2";"2";"1";"3";"7";"1";"4";"6"
;;"9";"Maeijer, V.";"295";"10";"14";"16";"18";"5";"3";"11";"8";"6";"17";"6";"19";"7";"3";"20";"11";"22";"3";"9";"29";"25";"8";"25"
;;"10";"van Dijck, A.P.C.";"74";"0";"1";"3";"7";"0";"0";"0";"7";"2";"0";"8";"2";"1";"2";"4";"1";"20";"0";"0";"3";"4";"3";"6"
;;"11";"Kops, A.";"34";"0";"2";"6";"2";"1";"1";"1";"1";"0";"0";"3";"2";"0";"2";"1";"1";"1";"1";"0";"6";"1";"0";"2"
;;"12";"Madlener, B.";"391";"3";"6";"3";"9";"0";"1";"2";"3";"1";"1";"1";"3";"2";"5";"2";"3";"7";"2";"17";"68";"13";"1";"238"
;;"13";"de Jong, L.W.E.";"130";"1";"0";"12";"7";"1";"0";"4";"3";"3";"1";"11";"19";"2";"3";"8";"3";"14";"2";"8";"11";"6";"2";"9"
;;"14";"Graus, D.J.G.";"71";"1";"3";"10";"2";"1";"2";"4";"3";"4";"4";"2";"2";"1";"1";"1";"1";"6";"1";"5";"5";"6";"3";"3"
;;"15";"Blaauw, R.B.";"19";"0";"0";"2";"1";"0";"1";"1";"0";"0";"0";"2";"1";"1";"0";"1";"2";"1";"0";"0";"2";"1";"1";"2"
;;"16";"de Roon, R.";"21";"0";"3";"2";"2";"0";"1";"0";"0";"1";"0";"1";"3";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"2"
;;"17";"van Dijk, E.";"46";"0";"1";"1";"5";"0";"0";"0";"1";"1";"1";"8";"2";"2";"0";"5";"1";"11";"0";"2";"1";"0";"0";"4"
;;"18";"de Vree, J.H.";"219";"8";"1";"3";"20";"16";"77";"2";"0";"23";"6";"1";"2";"16";"0";"0";"6";"0";"3";"1";"1";"2";"29";"2"
;;"19";"Aardema, M.";"17";"0";"0";"0";"5";"2";"0";"0";"0";"1";"2";"2";"1";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0"
;;"20";"van der Velde, M.K.";"131";"3";"5";"9";"11";"2";"2";"1";"7";"4";"6";"4";"8";"3";"2";"7";"6";"19";"6";"2";"6";"7";"4";"7"
;;"21";"van der Hoeff, P.H.";"13";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"4";"0";"0"
;;"22";"Deen, M.";"12";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0"
;;"23";"Nijhof-Leeuw, J.M.";"81";"2";"7";"7";"2";"2";"4";"1";"2";"1";"3";"1";"2";"1";"0";"3";"3";"8";"2";"6";"5";"6";"6";"7"
;;"24";"Boon, M.C.H.";"26";"0";"2";"1";"1";"0";"0";"2";"3";"3";"0";"0";"0";"0";"0";"0";"1";"1";"1";"6";"0";"4";"0";"1"
;;"25";"Mooiman, J.";"73";"0";"3";"4";"3";"1";"0";"2";"1";"1";"3";"4";"5";"0";"1";"2";"7";"10";"3";"3";"8";"3";"2";"7"
;;"26";"Ram, D.";"23";"1";"1";"1";"5";"1";"0";"0";"1";"0";"1";"0";"2";"1";"0";"4";"1";"2";"0";"0";"1";"0";"1";"0"
;;"27";"Vlottes, E.";"11";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"2";"0";"1"
;;"28";"Smitskam, P.";"20";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"2";"1";"4";"0";"1";"2";"1";"0";"2"
;;"29";"Esser, E.R.F.";"8";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"1"
;;"30";"Boutkan, W.";"14";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"4";"0";"1";"1";"1";"0";"3"
;;"31";"van den Born, V.H.";"7";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
;;"32";"Crijns, P.P.";"9";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"1";"1"
;;"33";"van Haasen, J.P.";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"34";"Vondeling, M.";"368";"4";"46";"12";"16";"4";"2";"6";"8";"11";"18";"4";"14";"2";"55";"10";"5";"19";"3";"4";"69";"34";"3";"19"
;;"35";"Valize, J.J.T.M.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"36";"Heutink, H.D.";"9";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1"
;;"37";"Pool, J.";"9";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"1"
;;"38";"Faddegon, C.J.";"11";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"2"
;;"39";"Uppelschoten, N.A.";"11";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"2"
;;"40";"Rep, R.J.H.H.";"23";"0";"2";"1";"8";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"1";"1";"0"
;;"41";"Thiadens, F.M.";"14";"0";"1";"1";"1";"1";"0";"0";"1";"0";"2";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0"
;;"42";"Raijer, A.J.";"62";"1";"1";"2";"12";"1";"1";"3";"1";"1";"4";"2";"4";"1";"2";"5";"1";"7";"2";"1";"1";"5";"1";"3"
;;"43";"van Bijnen, H.M.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"44";"van Hattem, A.W.J.A.";"7";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"45";"van Strien, G.A.";"78";"1";"3";"4";"6";"2";"1";"0";"4";"3";"2";"1";"2";"0";"2";"8";"4";"7";"4";"4";"6";"9";"3";"2"
"5";"CDA";;;"27934";"504";"1240";"1464";"1855";"631";"599";"808";"903";"730";"1169";"788";"848";"670";"651";"1183";"984";"4029";"830";"1321";"1160";"2422";"2034";"1111"
;;"1";"Bontenbal, H.";"24364";"466";"1145";"1253";"1650";"553";"532";"709";"816";"664";"1088";"694";"716";"594";"556";"1028";"909";"3143";"727";"1199";"1007";"2133";"1795";"987"
;;"2";"Vedder, E.C.";"1253";"22";"46";"81";"86";"30";"39";"48";"30";"28";"38";"42";"36";"45";"31";"45";"33";"108";"46";"76";"71";"113";"99";"60"
;;"3";"Boswijk, D.G.";"177";"8";"5";"8";"18";"7";"6";"8";"2";"3";"4";"6";"3";"5";"2";"6";"4";"19";"4";"14";"3";"16";"22";"4"
